Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85
 ,37,23,33,14,79,90,19,81,57,30,40,97,74,33,58,71,50,71,38,27,15,4, ,86,88,59,68,71,4,13,53,23,60,21,57,72, ,90,58,65,10,46,61,55,81,55,3,56,26,74,31,44, ,35,64,52,67,97,7,7,54,5,60,43,98,87, ,69,57,48,39,97, ,43,25,62,1,90,5, ,49,76,51,18
60,96,20,15,27,60,14,79,12,37, ,88,51,74,3,37,80,21,33,5,85,12,9,82,36,95,81,53,35,53,48,63, ,84,38,25,27, ,30,25,86, ,81,73, , ,0,60,48,2,55,98,28,83,43,86,10,59,90,90,5,71,61,44,82,89,33, , ,11,17,0,27,1,83,27,55,35,38,58,7,29,80,84,24
28,51,45,39,66,39,96,26,22,28,48, ,77,3,16,64,43,63,52,12,8,38,32,29,56,92, ,27,20,64,75,25,23,51,84,9,2,22,78,34, ,28,51,62,91, ,51,56,86,9,77,30,77,32,38,56,53,2,21,51, ,73,16,67,58,3, ,97, ,74,45,98,30,9,74,21,49,13,65,95,23,80,49,23,18
36, ,35,3,29,82,25,77,44,45, ,78,51,24,65,76,46,47, ,66,55,26,23, ,0,13,78,98,85,16,50,57, ,4,13,87,47,75, ,99,50,59,1,51,95,48,46, ,4,60,65,33,53,97,54, ,81,28,93, ,45,74,78,28,80,3,41,15,23,54,98, ,27,27, , ,85,66,84,93,76,51,74,50, 
24,76,87,88,2,13,10,44,0,4,52,25,26,98,84,26,9,87,78,83,54, ,65,83,32,90,95, ,19,41,10,60,34,39,67, ,51,52,38,80,3,64,95,59,79,43,61,57,3,37,95,22, ,74,92,75,96,78,84,50,17,30,63,72,3, ,28,54,42,25, ,18,15,2,6,33,73,58, ,21,37,7,81,33,85
43,14,30,61,30,51,88,90,66,5, , ,71,80,41,87, ,31,4,68, ,14,93,80,73,22,66,28,70,70,52,65,38, ,77,48, ,85,57,25,61,9,39,11,40,68,33,23,60,55,40,80,12,47, ,73, ,72,91,92,81,84,45,70,16,31,63,90,58,10,71,78,63,96,63,57,22,94,59,36,96,48,40,4,41
3,71, ,34,89,97,47,1,37,48,6, ,74,59,12,13,78,67,0,84,49,31, ,74,11,98,13,85,79, ,94, ,8,13,93,25,46, ,21,30,65,54,57, ,62,2,59,35,8,57,69,84,4,54,52, ,96,97,88,65,16,81,25,94, ,38,86,65,2, ,57,55,14,15,2,66, ,83,63,58,35,82,29,81,39
65,41,96,57, , ,50, ,18,18,11,10,96,12,56, ,51,35,62,59,23,7,85,50, ,99, ,10,39,96,54,22,17,56,90,29, ,53,86,51,89,21,11,99,88, , ,94,76,90,86,41,72,85,57, ,8,53,38,91,41,77,10,76, ,6,58,17,99,90,16,56,56,34,11,28,18,76,42, ,26,83,75,19,76
 ,61,13,7, ,42,2,34,37,79,8,14,4,37,75,54,65,12,33, , ,21,8,60,26,9,36,94,53,50,79, ,34,12,89,88, ,90,45,64,42,4,98,69,93,92, ,72,61,45,61,79,53,40, , ,59,82,40,48,3,75,33,42,87,12,79, ,58,21, ,15,4,8,25,20,31, ,7,49,94,14,68,77, 
 ,65, ,29,51,27,20,8, ,40,43, ,92, ,48,11,35,58,26, ,5,39,87,17,19,49,66,90,33, ,46,75,48,47,61,31,79, ,37,54,81,81,20,46,61,93,27,25,73, ,81,7,46,98,24,88,53,60,82,31,70,87,39,45,86,58,80,80,52,61,49,56, ,17,94,18,95,75,69, , ,74,53,21,23
71,10,51,5, ,22,65,59,43,28,59,18,91,7,82, ,31,59,46,1,65,73,38,66,64, ,22,36, ,28,78, ,4,14,80,49,57,55,75,67,28,60,79,1,24,44,50,9,28,58,80,0,8,67,18,80,95,31,23,91,4,73,44, ,72,67,88,82,84,94,56,48,25,35,13,91,72, ,27,18, ,26, ,14,8
64,35,3,80,90,41,83,81,82, ,10,98, ,24,51,32,79,6,30,80,15, ,57,64,43,50,88,33,8,10,9,93,28,74,21,24,0,13, ,77,1,76,74, ,60,45,6,20,23,91,93,82,45,14,40,36,74,43,97, ,58,62,34,50,41,26,93,22,84,26,46,78,73,56,98,19,65,86,99,34,36,79,99,41,7
26,67,66,6,42,60,61,43,25,83,82,20,49,64,4,58,25,35, ,42,9,74,8,14,26,39,39,6,8,67,30, ,61,84,55, ,69,86,31,45,50,3,57,49,45,90,55,51,82,97,71,18,8,85,0,86,2, ,60, ,24,47,91,36, ,18,15,30,16, , ,56,23, , ,89,16,22,74,54,93,25,76,95,42
55,97,82,40,39,79,28,78,3,51,42,16,81,12,84,3,15,67,53,2,46,22,78,25,53, ,96,56,3,76,33, ,73,84, ,38,47,94,54,8,94,9,29,92,69, ,46,68,60,26,81,83,19,24,70,57,87,35,76,51,10,96, , ,37,5,30,35,17,29, ,99,62,22,60,87,32, ,80,70, ,7,15,19,7
 ,62,62,63, ,89,40,0,51,76,13,34,31,7,13,51,61,83,35,88,80,51,28,47,85,43, ,78,77, , ,34,76,13,38,84,28,69,68,34, ,14,61,3,36,84,44, ,97,46,34,50, ,78,42,3,18,69,28,91,38,53,84,32,94,22,53,55,80,7,18,54, ,23,62, ,95, ,48,74,48,41,73,20, 
92,37,82, ,36, ,60,7, ,3,16,24,98,42, ,16,60, ,53,27,39,63,78,37,15,70, ,87,86, ,59,7,38,60,84, ,12,31,29,74,45,52,88,60,41,55,6,16, ,11,49,80,8,73,77,78,27,67,85,86,79, ,89,93,45,17,58,93, ,40,25,55,32, ,99,86,96, ,29,7,57,15, ,27, 
20,64,97,78,94,35,10,81,41,68,92,41,89,14,83,63, ,28,59,44,12,47,65,88,34,82,8,47, ,4,67,11,92,59,34,2,90,94,22,86,22,20,12,76,27,43,68, ,61,86,63,21,54,5,0,38,15, , ,53,21,65,66,70,86,51,51,37,26,51,43,24,90,23,83,87,0,6,12,89,9,72,56,34,1
13,37, , , ,50,60,64,27,71,29, ,28,24,19,10,62,39,56, ,82,90,82,59,15,65,81,36,23, ,24,68,68,45,7, ,21,89,17,63, ,79, ,66,80,9,97,28,67,80,8,6,72,95,40,34,90,82,41,0,52,26,8,62,17,74,30,36,9,64,44,53,55,88,84,18,98,86,99,82,91,42,38,24,10
96, ,49,44,77,70,59,65,94,4,55,34,63,50,80,53, ,7, ,96,30,43,40, ,6,2,12,34, ,46, ,97,15,92,89,43,96,64,88,11,73,99,96,20,45,76,36,82,68, ,58,80,71,57,15,53,95,6,67,92,63,74,29,88,17,19,38,68,26,52,48,47,77,15,73,42,1,42,65, ,83,31,32,28, 
54,98,2,47,0,25,71,10,85,3,84,34,46,12,21,34,51,79,79,34,89,54, ,64,13,37,3,98,99,94,13,12,1,68,25,91,84,59,80,80,43,57,71,29,47,48,74,49,7,32,12,37,75,43,21,49,42,11,62,84, ,33,39,20, ,37,33,73,47,68,4,14,54,61,70,6,34,88, ,82,27,62,18,49, 
98,51,48,57,23,69,43,48,47,82,19,85,70,22, ,12,8,96, ,62,22,88,78,67,9,63,73,0,86,20,54,22,40,95,12,22,43, ,22,95,52,12,84,44,82,63, ,94,69, ,65, ,23,55,20,88,79, ,89,59,45,16,19,19,74,59,41,97,47,17,26,2,80,4,89,43,68,62,40,77,16, ,25,58,61
22,20,8,28,37,22,55,39,24,44,19,64,48,89,53,12,33,88,81,93,50,68,34,33,46,50,49,83,75,8,44,97,28,53,26,66,76,81,5,1,25,24,65,74,14,18,87,48,7,68,42,57,37,76,91,83,27,41,66,2,49,10,0,77,64,26,43,40,8,48,41,34,73,6,9,88,25,96,36,32,64,79,90,2,56
