Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91
119.10, ,223.45,8.50,212.98,28.26,197.85,14.69,94.07,74.16,190.80,57.87,39.68,73.39,31.73,134.76,5.65,108.84,219.15,108.07,232.10,199.05, ,213.74,32.92,39.86,20.91,115.49,68.35,127.25,257.47,51.51,19.43,156.89,16.29,56.60,206.33,47.47,131.77,1.98,91.33,222.31,70.50,166.10,263.55,55.60, ,107.12,26.58,125.95, ,100.18,68.98,224.63,42.78,77.67,221.09,86.60,281.24,181.21,295.95,140.70,65.78,158.67,174.41, , ,283.48,181.22,267.49,168.91,162.25,55.03,115.58,226.76,298.73,244.17,252.73,46.23, , ,53.35,267.83, ,251.31,137.85,142.62, ,152.90,119.27,189.30
49.56,31.67,224.02,42.97,60.70,195.25,294.09,100.50,162.75,213.23,194.97,180.49,89.70,244.62,241.32,143.82,249.98,39.17,151.32,50.75,171.33,205.41,194.61,127.35,63.03,95.23,257.59,96.68,9.12,256.26,175.22,241.32,275.56,299.20,62.62,38.89,295.96, ,190.57,226.73,13.24,43.16,224.91,67.93, ,109.22,278.44,28.54,109.63,200.24,130.98,158.78,196.82,114.18,45.30,222.94,77.63, ,48.88,55.26,87.37, , , ,210.47,281.46,48.48,128.92,144.56,49.34, ,163.52,187.73,260.51,5.55,217.33,265.93,171.24,55.86,69.15,7.73,99.03,162.02,156.75,125.28,90.83,286.88,204.23,182.27,55.57,15.50
242.24,245.50,34.74,210.75,118.93,217.42,246.31,198.68,120.93,247.52,190.61,166.11,109.02,259.58,236.18,137.49,256.51,291.91,84.36,95.15,121.13,121.26,92.01,170.51,43.90,124.69,52.44, ,161.46, ,26.05,264.01,153.78,246.53,211.78,48.34, , , ,55.44,111.52,107.44,119.28,149.16,277.91,83.15,179.13,165.42,36.09,8.27,275.49,168.40,202.31,240.57,194.84,8.71,71.39,30.82,41.62,244.46,19.93,158.91, ,24.33,135.78,61.83,28.78,260.79,118.10,275.74,30.96,198.60,43.15,68.14,56.37,178.29,268.05,234.82,5.58,220.66, ,282.49,41.22,194.55,16.38,52.13,61.63,104.87,67.04,167.09,175.98
179.14,83.25,186.71,90.63,171.02,158.30,165.75,51.79,275.92,90.97,274.44,51.94,251.56,198.92,119.83,233.86,26.79,84.02,267.47,59.36, ,217.66,272.38,43.79,93.10,123.64, ,276.24,165.72,292.06,46.45,139.54,110.87,297.42,79.84,69.53,103.38,56.87,148.53,139.17, ,251.13,88.31, ,261.40,208.88,267.90,65.35,235.65,273.77,71.10,197.95,192.81,16.78,96.70, ,235.87,90.89,51.36,224.55,140.60,241.33,95.71,159.40,132.31,176.92,106.72,263.32,123.34, ,73.02, ,196.76,175.97,184.22,166.85, ,7.45,201.10,32.28,260.91,230.08,112.34,103.26,258.77,166.22, ,239.24,144.19,281.99,123.65
247.49,274.97,297.96, ,99.47,206.13,179.25,56.91,131.65,34.46,210.77,13.85,139.93,69.71,280.61,99.58,37.36,121.78,88.05, ,187.51,259.11,156.40,4.80,226.96,182.45,75.74,31.24,223.06,70.96,10.46,298.57,198.18,279.06, , ,195.78,289.54, ,145.93,16.90,177.15,176.37, ,259.50,258.87,255.63,81.55,190.66, ,88.84,102.44,45.47,127.42,104.36,121.78,232.50,244.22,20.55,4.19,80.09,237.03,185.60,44.20,157.52,275.07,293.09,178.01,192.34,148.24, ,270.02,220.23, , ,129.26, , ,91.90,44.45,149.65,98.75,168.84,276.42,216.16,293.21,246.27,102.96,286.38, ,206.61
 ,236.50,92.98,118.37, , ,239.43,174.14,85.61, ,62.04,177.41,151.39,62.24,235.08, , ,195.17,189.74,279.51,69.34,19.06,184.70,193.65,56.02,54.59, ,116.62,70.49,108.57,294.83,137.69, ,145.75,138.01,171.56,236.18,67.61, ,252.31,88.76,193.15,275.87,213.67,249.33, ,57.90, ,16.50,19.94,170.22,249.51,86.71,141.90,134.64,222.71,234.27,8.24,32.06,119.58,76.60,229.89,126.81,121.59,141.14,254.80,56.68,217.08, ,58.98, ,156.13,192.94,105.16,217.83,185.28,82.95,106.32,63.56,129.51,76.43,26.68,282.02,235.54, ,206.88,97.72,114.21,205.80, ,106.97
133.79,159.85,254.14,229.58,199.29,202.85,29.75,6.96,12.89,210.87,149.39,37.36,283.18,68.05,225.35,10.24, ,170.09, ,136.25,139.11, ,41.97,294.30,18.23,284.39,216.94,110.12,261.39,69.08,40.41,115.51,267.11,82.71, ,204.12,55.99,8.99,85.20,14.84,38.49,41.10,237.86,109.34,226.51, ,116.67,49.72,37.55,106.84,154.02,24.38,13.37,136.45,152.82,48.76,195.19,250.61,7.53,3.75, ,85.45,258.92,173.85,245.11,297.95,44.69,89.74,268.70,8.61,10.17,51.37,60.51,170.30,128.56,258.66,228.29, ,187.22,157.84,196.79,76.28,93.21,51.90,0.30,273.98,219.42, ,139.11,175.31,154.72
95.46,163.73,157.50,210.98, ,289.31,54.08,268.11,97.19,112.66,229.26,100.40,225.93,287.80, ,297.22,33.86,93.83,116.44,45.32,60.50,16.72,104.96,34.57,179.50,64.91,283.84,77.40,77.48,120.33,262.07,183.65,210.23,193.53,228.80,54.09,289.73,55.75,153.12, ,32.63,111.85,128.73,87.03,40.87,81.59, , ,127.72,109.36, , ,34.00,190.13,99.21,79.05,114.07,240.84,14.27, , , ,243.34,56.95,185.85,243.62,128.75,194.34,91.38,267.96,220.51,0.08,70.31,295.51,134.82, ,187.50,96.96,241.87,260.53, ,261.56,172.06,68.68,24.26,96.78,60.92, ,61.00,53.78, 
293.47,36.46,277.29,44.38,276.86,141.41,32.68,29.12, ,97.79,217.52,67.92,18.76,193.21,283.95,34.74,240.46,214.66, ,249.64,282.70,177.87,107.67,227.07,115.30,234.58,37.86,154.36,211.19,140.80,223.52,25.69,28.25,16.38,252.05,148.40,192.52,58.86,236.82, ,52.12,71.57,144.12,292.92,175.19,232.52,156.02,191.84,48.57,274.12,294.11,113.09,132.67,287.72,76.18,269.85,79.91,266.87, ,259.79, ,192.29,46.75,268.57,6.05,280.65,281.84,220.32,203.62,234.29,185.85,164.99,138.78,197.13,168.92,65.43,83.15,132.92,6.03,68.48,118.64,292.25,23.88,195.40,265.56,118.85,140.16,7.12, ,204.24,97.67
150.01,189.93,115.26,113.76,88.30,35.39,118.09,161.31,31.26,296.22,207.67,1.10,154.74,120.26,64.61,165.77,200.26,22.34,75.52, ,163.82,267.66,80.02,162.56,134.78,106.89,159.05,296.82, ,276.86, ,41.46,34.02,289.02,278.41,165.24,236.82,76.44,30.31, ,192.87,142.79,74.02, ,28.54,53.86,112.19,6.04, ,40.06,2.47,88.14,295.02,243.83,279.08, ,135.54,247.26,299.10,176.69,94.81,272.95,43.03,73.37,238.79,89.13,89.29,136.65,213.93, , ,18.39, ,153.93,239.66,43.86,133.29, ,38.52,274.67,239.56,130.61,134.85,226.87,138.66,20.44,102.83,290.59,249.02,275.14,222.64
37.63, ,219.11,103.54,54.47,13.09,15.70,237.36,118.32,74.11,181.94,284.67,117.28,191.53,81.03, ,12.77, ,77.79,56.51,215.58,66.42,213.48,120.12,17.57,12.34,120.28,218.37,136.80,210.85,135.90,213.64,4.64,135.50,278.62,263.77,2.99,122.87,112.31,67.32,181.42,221.57,273.94,106.66,175.58, ,11.48,52.71,14.01,5.78,167.91,60.21,200.78,184.97,202.71,184.57,9.37,254.17,238.17,117.72,269.69,187.99,144.60, ,158.62,157.23,297.89,15.28,255.81,244.96,8.39,257.63,82.28,295.16,160.03,211.07,58.96,96.94,190.90, , ,167.63,4.58,103.85,225.52, ,170.48,133.92,90.35,25.66,170.08
172.23,30.08, ,76.37,58.46,215.75,16.78,298.87,248.90,41.22,162.39,44.89,0.67,85.45,13.95,45.66,269.89,163.03,23.33,229.18,206.67,31.83,228.31,244.81,133.44,51.63,152.78, , ,84.81, ,98.76,74.69,143.93,94.74,103.04,124.18, ,269.12,164.26,247.37,74.65,95.10,76.62,222.80,101.32,143.94,106.37,205.04, ,284.75,56.92,166.96,272.61,150.22, ,47.65, ,122.30,176.21,294.05,171.38,225.41,205.54,285.36,260.81, ,245.56,142.35,23.23, ,131.00,195.21,221.32,184.15,249.27,292.20,184.45, ,109.86,210.48,27.93,126.43,219.43,207.63,105.33,85.24,61.86,6.49,180.23,49.04
287.61,216.05, ,79.63,103.70,146.35,150.12,95.76,199.78, ,261.57,39.98,84.35,5.71,266.74,129.17,109.80,125.18,47.72,105.48,222.73,129.93,77.80,287.81,10.05,88.41,128.63,18.42,230.24,3.82,210.08,212.76,249.77,45.74,156.98,281.07,78.89,271.77,221.28,135.98,115.14,202.95,52.79,156.75, ,160.56,155.59, , ,243.33,221.21,287.70, ,67.41,32.89,8.00,298.77,185.50,68.37,57.69,9.81,104.18,74.99,110.91,76.96,11.88,207.59,195.38,174.58,131.33,1.97,161.64,283.32,114.66,135.58,172.84,86.78,100.71,261.21,230.32,197.99,245.84,194.89,85.60,104.00,276.94,56.27,106.72,185.72,91.27,93.73
166.68,241.13,42.28,179.00,240.50,214.79,182.58,27.55, ,131.56,156.08, , , ,280.96,265.64,201.67,36.34,239.87,35.75,179.81,254.74, ,169.53, ,279.20,142.50,165.77,14.42,268.99,147.55,189.46,22.19,172.55,159.49,36.00,94.57,109.98,36.13, ,42.78,198.04,118.55,242.76,70.80,115.15,193.61,269.34, ,60.47,145.82,291.78,115.19,97.63,135.65,26.90, ,2.94,253.53,8.90,267.65,242.36, ,135.97,128.93,235.19,22.13,109.37,262.82,100.26,149.73,194.21,290.40,179.57,24.29,251.82,268.71,162.94,191.11,199.42,141.69,209.45, ,18.82,178.44,277.99,93.10,133.11,204.30,149.30,228.14
 ,148.73,130.56,170.58,10.57,41.71,204.61,16.08,269.97,298.68,171.80,6.45,70.68,290.00,125.48,202.69,236.26,94.91,63.08,88.48,35.49,225.91, ,241.99,51.33,59.02,7.59,271.13,67.28,83.30,72.79,244.51,156.77,143.53,59.00,12.07,144.52,58.56,223.62,144.96,136.34,239.62, ,210.75,267.86,20.52,230.84,254.19,97.81,122.99,9.12,33.47,76.53,200.33, ,200.88,74.31,210.11, ,110.68,118.38,82.75,88.22,79.95,293.05,292.53,199.16,48.06,143.42,108.38,285.76,244.63,282.06,201.98,163.01,220.68,91.21,120.30,17.02,221.85,78.01,126.11,216.03,209.80,298.78,103.20,225.93,276.41,29.69, ,192.70
124.66,282.27,294.40,145.10,83.55,272.66,281.28, ,155.46,273.40,177.82,138.77,124.44, ,154.13, ,46.83,40.36,166.91,215.33,13.55,112.16,82.64,150.00,24.04, , , ,69.92,298.48,198.48,185.39,107.25,99.44,141.45,158.80,235.70, ,45.68, ,128.31,42.16,133.69,52.89,207.34,205.17,296.48,19.48,156.26, ,255.71,124.41,277.41,211.78,157.76,164.39, ,274.05,246.55, ,299.44,47.05,144.03,118.73,272.34,103.95,283.57,217.68,35.73,242.29, ,100.05,224.31,290.72,242.05,6.09,236.71,128.81,88.99,177.70,54.02,140.61,161.87,70.76,235.99,212.14, ,12.19, ,162.15,148.43
16.45,185.97,99.48,12.12,96.45,225.13,68.12,3.55, ,74.32,202.00,111.98,65.94,173.96,286.32, ,90.53,18.97,222.74,291.27,6.91,124.68,238.19,297.79,122.79, ,22.63,56.23,251.30,258.78, ,245.10,2.63, ,21.60,270.72,3.38,146.96,30.27,29.29,76.80, ,40.59,68.50,43.32,157.69,161.89,3.66,61.34,142.61,27.89,80.05,158.12,14.90,15.91,278.51,170.71,284.86, ,53.36,279.96,275.38,118.36, ,225.35,155.39,129.00,222.70,51.21,194.68,30.03,160.03,149.58,258.10, ,194.74,59.73,144.26, ,262.62, ,187.97,24.62,142.12,178.64,259.12,245.85,289.48, ,298.03,215.99
140.45,150.86,217.76,172.50,45.69,246.31, , ,239.54,101.54,157.68, ,117.12,131.79,255.00,104.64,233.05,101.47,211.62,8.83,2.21,282.87,208.01, ,167.44,139.48,284.78,121.69,114.28,223.13,175.24,25.52,173.23,237.72,297.91,273.14,69.64, ,206.98,115.74,10.29, ,279.27,204.04,29.19,21.21,239.20,192.50,32.70,51.01,30.03,37.85,284.00,238.01, ,80.87,81.88,270.76,70.43,192.81,237.80,192.60,150.33,82.62,121.74,166.06,178.39,130.01,198.97,119.57, ,200.44,33.83, ,22.60,297.99,233.41,126.54,125.92,215.05,91.93,56.89,128.95,172.96,116.84,196.45,172.86,136.85,182.23,80.85,190.47
120.23,14.64, , ,223.64, ,15.56,105.99,30.69,146.51,158.11,186.11,91.30,231.38,216.74,163.62,250.29,241.80,257.11,24.07,112.21,146.76,90.76,101.33,294.01,111.11,166.29,246.65,31.72,40.37,237.84,70.04,146.46,262.32,200.42,201.23,175.41,140.41,0.73,87.63,189.58,146.87,195.95,13.46, ,53.83,209.38,246.18,104.28,59.84,158.45,109.07,221.64, ,187.82,253.22,152.53, ,299.40,70.14,212.14,64.45,173.96,223.79,71.35,78.18,235.91,177.42,107.70,202.04,286.87, ,262.32,215.21, ,113.89,4.67,204.46,292.00,42.95,198.58,243.86,245.49,213.38,224.76,221.96,140.26,186.63, ,98.99, 
7.66,10.75,241.76,214.31,15.42,267.80,118.77,84.54,259.80,197.20,127.49,175.59,95.78,241.79,119.46,72.54,187.28,299.24,285.91,10.18,224.00,6.99,232.14,50.80,147.25,140.97,237.43,59.92,12.12,36.42,187.79,19.79,47.17,129.56,234.09,62.59,97.35,52.87,147.13,57.15,250.07,274.62,232.74,45.85,216.41,52.20,118.38,103.69,51.44,104.30,113.87,275.43,111.29,46.01,26.23,258.54,186.98,263.66,18.46,199.10,0.08,206.25,218.89,47.25,35.80,152.98,109.84,133.15,205.85,256.97,190.31,155.91,231.59,123.05,201.76,148.00,175.25,20.14,251.70,226.69,124.43,65.57,202.12,235.72,111.57,228.36,194.26,298.55,192.02,212.72,197.65
