Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106
141.20,98.54,205.07,248.83,286.79, ,64.27,153.23,177.73, ,200.59,272.40,291.86,90.41,273.09,136.43,100.34,269.84,59.69,243.72,287.52,158.54,294.78,95.92,287.05,209.66,138.74,93.42,87.98, ,61.07,117.33,288.97,255.01,154.65,131.57,117.44,21.71, ,131.02,258.58,20.43,5.70,50.29,289.77,282.95,199.34,87.99,160.56,139.53,37.60,179.98,86.90,222.48,298.91,3.10,171.57,125.73,182.70,276.39,14.30,143.13,130.93, ,291.48,237.67,151.67,219.87,294.02,274.93,160.83,144.16,200.01,244.05,50.39,53.68,134.37,65.99, ,297.11,135.43,83.83,262.85,95.18,284.97,290.22,117.94,270.19,218.66,180.32,188.27,49.62,134.76,177.12,206.58,28.92,285.40,217.32,103.69,263.54,269.60,214.70,272.40, ,191.06,204.12
211.05,236.62, ,299.25,222.03,73.52,247.83,63.69,7.17,177.64,256.05,224.46,234.79,55.64, ,78.42,274.93,67.22,11.64,210.79,28.53,284.46,64.44,43.17,50.55,107.22,166.61,245.71,189.25,93.01,230.50,10.55,160.89,116.97,184.27,83.46,144.37,192.28,111.30,138.39,146.01,183.10,200.08,49.98,271.39,237.17,14.41, , ,25.50,47.82, ,131.28,96.41,14.85,10.50,143.61,96.31,55.46,289.30, ,78.63, ,15.80,16.31, ,191.61,89.17,198.79,70.72, ,269.92,142.86, , ,152.77,75.70,191.75,92.50, ,248.17, ,5.74, ,170.62,111.98,199.93,1.01,32.14,240.56,281.50,54.86,73.75,43.67,29.44,74.49,252.30,132.68,28.40,234.70,162.05,158.82,57.45,32.62,298.48,157.93
 ,212.80,267.92,291.63,79.92,24.39,52.60,292.70, ,194.26, ,56.31,133.28,203.16,150.92,291.59,150.68,18.27, ,286.19,211.16,193.88,260.48,64.07,46.60,82.98,27.45,297.17,190.73,76.32,266.39,175.44,219.75,108.76,66.55,97.18, ,291.06,291.51,53.24,91.56,82.02,9.09,29.59,30.20,258.58,111.44,89.49, ,236.50,230.63,105.64,280.77,18.87,128.18,23.18,155.38,209.25,13.92,217.38,78.92,154.76,173.88,82.45,129.80,86.50,22.01,88.24,28.81,272.72,170.93,284.22,0.72,214.10,242.18,210.81, , ,14.06,247.97,143.60,115.46,138.21,122.25,140.25,33.55,8.05, ,292.27,109.57,144.88,127.92, ,149.01, , ,238.07,259.58,126.35,11.78,212.51,191.00,285.09,165.72,129.02,285.42
84.15,204.68, ,181.04,148.08,43.98,289.38,270.73,218.90,82.83,258.28,74.45,201.95, ,195.09,151.32,187.81,51.66,143.83,273.53,198.81, ,209.97,223.74,85.27,226.47,26.09, ,100.53,286.91,72.52, ,223.84,115.34,114.16,3.13,181.35,63.70,221.54, ,145.28,5.68, ,173.79,265.58,114.54,245.65, ,127.64,157.73,256.93,4.30,20.17,46.11,232.89,32.05,172.71, , ,165.24,52.18,107.34,293.78,256.57,202.58,49.44,274.36,77.35,171.12,147.85,208.04,169.52,287.29, ,48.20,282.66,272.81,297.29,155.69,240.31,168.57,112.97,298.88,6.23,290.46,125.40,11.78,77.22,193.42,69.29,40.08,131.58,213.87,296.62, , ,133.10,261.45,192.31,65.41,237.89,2.28,263.57,269.42,265.94,160.23
104.47,87.19,213.21,64.93,70.62,146.76,123.22,149.79,68.55,214.06,271.08, ,234.65,39.14,196.36,135.67,6.46,18.79,249.19,7.44,90.47,5.78,290.45,143.98,182.54,220.04,30.27,258.70,66.80, ,263.16,76.02,206.28,213.55, ,233.40,220.22,23.47,18.05,40.00,19.89,221.21, ,251.47,70.22,143.12,156.75, ,232.77,174.17,214.59,105.98,179.20,171.85,252.20,216.59,51.93,214.74,176.41,224.61,96.49,95.85,297.75,132.43,203.18,275.30,29.57,265.76,107.48,111.44,27.51,51.88,264.50,52.58,292.89,93.64,118.19,253.93,91.62,46.46,92.96,112.57,103.04,31.30,215.94,270.19,170.76,22.89,288.70,276.17,52.66,70.97,259.30,286.79,111.26,45.72,55.01,26.76,236.61,68.56,200.79,96.00,60.83,206.82,194.36,31.12
252.81,117.86,126.99,263.03,137.90,142.48, ,169.23,103.65,119.53,128.08,52.20,219.12,106.46,65.44,299.77,242.26, ,154.37,234.96,167.12,126.15,265.77,178.83,96.83,136.26,234.20,105.23,213.66,240.30,41.75,182.08,172.02,184.51,212.81,143.79,192.33,89.52,263.13,174.84,74.46,112.99,5.65,142.50,194.52,101.62,12.56,290.48,267.65, ,180.45, ,260.38,24.70, ,287.83,219.74,92.71,160.77,236.50,243.88,273.51,257.43, ,241.13,223.82,75.25, ,69.71,49.61,214.24,1.41,117.75,249.85,152.00,11.83, ,255.71,163.12, ,72.90,142.87,245.45, ,80.23,118.12, ,74.63,289.99,86.09,297.19,18.20,146.57,237.70,285.74,199.29,83.75,289.76, ,235.21, ,15.45,111.87,9.62,169.25,262.53
107.36,291.28,108.92,155.59,174.02, , ,109.46,45.50,239.01,34.44,284.60,36.41,35.11,282.95,45.65,159.69,205.21,278.57,288.82, ,162.84,289.38,84.95,281.66,240.77,218.62,257.11,194.45,3.62,36.53,286.14,67.67,187.22,117.71, ,251.87,70.31,251.48, ,253.25,196.50, ,115.12, ,83.63,271.32, ,7.85,173.15,62.91,177.08,130.01,189.02,40.52,9.24, ,21.55,253.92, , ,33.17, ,116.80,103.64,24.87,199.29,101.35,210.32,243.75,56.85,122.21,92.10,89.37,153.00,11.82,173.89,104.22,58.70,203.09,125.08,273.83,125.98,286.57,53.61,76.63,63.10, ,155.20,297.21,183.28, , ,205.71,58.54,210.01,174.02, ,101.98,129.01,121.35,264.27,45.90,285.42,239.73,264.20
190.46,153.29,102.22,127.99,166.16,163.53,272.95,250.36, ,79.37,103.40,267.17,240.85,263.77,247.80,14.05,47.48,71.11, ,178.73,247.09,196.68,190.62,46.50,244.57,220.35,131.95,214.64,56.15,74.08,170.50, ,88.32,11.39,248.33,38.15,252.04,242.75,273.66, ,114.64, ,34.99,269.67,219.05,206.44, ,12.44,85.16,100.57,143.87,12.07,298.15,100.86,0.90,54.86,272.68,170.24,204.50, ,54.79,160.06,235.46,273.67,99.28,48.28,250.02,175.10,6.42,199.70,234.15,142.48,35.90,217.68,216.47,226.37,186.03,232.50, ,206.18,199.84,117.47,262.36,237.96,132.17,260.90,105.36,62.26,60.01,70.47,290.71,132.69,48.83,194.47,19.67,239.51,112.98,282.37,182.73,136.54, ,97.43,196.89,296.94, ,71.17
87.87,282.96,23.85,139.68,202.11,18.98,78.86,198.61,207.30,281.56,96.24, ,30.92,262.81, ,144.37,139.83,160.91,152.79,154.58,103.09, ,122.07,230.68,96.92,161.33,273.47,274.51,46.42,16.55,33.29,153.60,176.05,293.23, ,178.00,231.10,210.12,103.16,13.60,205.36,218.52, ,123.68,25.55, ,42.09,96.85,32.93,254.37,222.40,57.39,106.64,81.49,71.41,125.20,241.84,90.53,114.18,284.05,95.06,235.87,33.48,215.47,261.90,185.18,123.05,284.70,231.07,246.46,250.84,87.49, ,178.02,216.39,37.10,42.59,24.57,224.73,95.21,19.20, ,203.50,118.90,17.79,254.40,52.44,35.89,97.93,17.96,54.49,188.08,8.08,167.75,4.06, ,295.20,248.07,147.75, ,35.95,40.40,18.19,195.59,232.78,192.19
144.50,216.23,89.86,111.90,112.12,182.67,111.16,43.22,274.67,273.13, ,13.53,151.53,196.56,39.15, ,289.89,44.48,67.16,130.42,91.95,295.03,37.69, ,80.91,76.20,62.01, ,75.54,145.16,284.36,221.06,148.59,209.03,117.06,27.41,155.26,190.02,93.97,256.48,8.62,271.71,107.37,162.56, ,7.72,130.69, ,5.13,196.82,100.16,190.35,261.35,246.92,195.89,79.08,236.40, ,208.11,5.10,119.18,112.97,252.83,185.41, ,92.49,162.95,149.40,20.21,98.91, ,294.80,41.21,244.43,44.90,85.54,119.18,238.01,31.62,175.81,129.55,9.52,287.56,114.47,222.39,139.77,187.34, ,228.55,141.97,26.64,143.00,113.69,14.65,79.34,221.65,35.04,5.89,33.81,114.57,130.45,214.44,227.13,217.51,30.75,213.14
 ,56.14,167.68,148.67,183.19,135.17, , ,185.44,215.24,203.87,223.95,204.35,170.79, ,26.48,220.92,41.49,295.75,142.59,24.18,282.79,191.28,167.53,47.80,287.94,160.70,65.25,182.19,275.15,170.60,119.65,241.24, ,237.00,209.01,60.82,19.39,156.40,6.68,229.54,217.04,124.20,136.09, ,145.27,212.63,205.35,107.39,193.42,83.59,82.83,290.89,139.58,204.36,136.73,250.87,50.50,224.44,157.81,22.47,56.73, ,262.08,126.34, ,0.15,90.86,12.45,130.94,211.80, ,48.53,124.23,219.26,73.21,3.75,187.12,282.95,25.76,89.58,53.70, ,245.96,235.24,122.98,110.44,101.48,83.31, ,232.08,253.97,54.15,231.51,264.54,63.48,159.49,142.41,103.43,159.15, ,117.56,296.08,2.41,211.79,67.81
17.79,273.79,11.46,254.60,196.05,16.20,28.56,28.77,272.68,100.90,253.33,84.97,146.46,46.98,173.09,78.07,72.09,213.97,283.37,36.27,37.63,65.79,221.72,7.94,117.98,11.73,27.31,20.72, ,67.69,57.17,10.08,254.57,162.03,45.32,74.39,68.23, ,134.42,85.09,242.97,251.21,274.37,51.40,152.29,62.78,292.65,94.38,199.83, ,237.95,133.33,126.39,139.19,35.97,202.01,130.74,129.54,79.44,136.84, ,72.32,44.65,82.56,5.69,295.36,220.34,241.75, ,143.31,140.32,259.64,57.61,147.40,175.82,295.22,1.36,84.99,0.22, ,139.26,203.61,264.07,31.62,56.64,49.13,195.33, ,237.66,178.54,173.18,11.90,67.02,123.98,151.92,1.97,263.46,276.76,121.69,129.70,157.35,76.65,80.05,74.02,291.09,102.77
6.92,32.68,127.93,225.94,280.86,52.99,85.52,42.40,130.46,234.73,56.81,273.68,16.44,154.56,0.26,171.79,71.99,81.12,61.13,179.77,234.96,286.31,262.52, ,92.98,162.43,257.61,54.47,190.24,249.02,102.44,69.56,278.34,190.74,35.15,58.03,132.77,63.45,253.31,80.95,292.95,127.08,117.19,45.02,283.73,205.20,200.39,195.79,248.78,56.99, ,115.02,117.10,124.51,59.13,51.31,209.62,232.51,111.88,205.20,97.80, ,183.96,299.27,278.35,166.29,231.98, ,293.04, ,117.56,15.32,289.39,243.85, ,104.03,167.33,215.28,208.47,149.09,239.05,286.45,95.13,119.07,172.17,213.48,229.67, ,263.90,264.43,125.04,11.78,185.02,136.28,229.49,299.22,15.12,224.04,23.20,21.29,118.00,182.43,63.09,90.04,174.95,234.73
72.16,220.99,267.52,107.31,133.34,134.60,34.60,50.68,4.48,26.74, ,209.18,268.47,158.88,118.12,230.18,285.51,39.10,144.22,50.00,229.71,175.82, ,234.46,248.93,200.82,61.42,184.85, ,128.02,70.11,202.50,64.25,176.99, ,21.21,180.70,129.44,238.26,228.36,36.46,111.66,152.96,43.47,3.34,165.82,188.25,194.98,176.21,65.53,213.69, ,94.39,8.73,87.43,59.98, ,237.26,190.07, ,233.55,248.23,293.84,239.93,135.70,282.01,194.01, , ,140.86,129.92,58.39,65.93,177.51,55.63,208.80,194.22,273.88,194.03,83.17,73.53,262.43,137.57, ,269.96,157.97,267.11,255.12,73.48,61.98,129.12,1.01,205.52,248.85,37.38,131.15,290.10,133.78,187.59,62.75,127.41,54.29,228.27,278.98,82.90,93.95
 ,94.96,257.78,135.86,275.70,136.91,42.54,280.82,74.53,150.93,98.45,286.37,299.91,171.95, , ,95.61,265.16,177.71,128.89,228.70,66.01,251.63,252.54,196.73, ,47.66,1.95,245.51, ,241.29,120.87,279.77,10.68,107.06,167.88, ,96.58,267.96,292.16,114.73,273.24,128.12,100.95,140.20, ,259.41,91.85,7.72, ,18.40,103.82,184.44,108.75,80.30, ,72.46,257.94,126.46,125.20,200.69,287.55,280.25,234.91,27.24,143.73,261.03,127.82,44.73,276.56,247.89,168.96,206.49,17.43,226.65,180.30,97.89,74.49, , , ,142.04,293.98,213.05,293.86,199.00,57.43,109.34,93.70, ,220.60,50.14, ,230.43,87.65, ,165.79, ,16.04,10.50,221.16,164.30,4.43,76.47,288.05,172.56
15.51, ,162.64,149.60,170.32,240.04,173.27,181.69,121.88,242.25,157.97,296.21,170.24,149.46,47.56,104.66,50.79,131.66,234.30,65.82,105.46,73.23, ,254.91,233.57,152.72,49.68, ,122.67,121.19,120.87,7.41,298.06,219.94, ,154.24,37.46,216.44,32.09,155.02,105.64,178.72,154.06,276.90,51.07,36.94, ,205.69,212.07,88.80,33.46,286.26,97.89,60.89,277.21, , ,61.70,142.93,238.88,296.96,122.40,191.56,149.16, ,61.23,265.01,34.45,179.50,123.34,239.79,101.83,260.77,257.55,208.98,284.46, ,139.09,137.19,248.32, ,124.52,128.89,240.83,114.97,42.24,244.95,202.85,177.88,112.84, ,21.82,193.67,87.60,104.85,63.41,211.14,177.68,20.20,199.56,82.18,225.78,264.85,223.35,85.70,124.47
 ,146.28,189.85,121.75,253.26,286.02,257.68,184.10,197.53,115.97,233.50,6.85,100.71,177.33,0.37,236.81,260.48,255.65,231.51,72.95,123.94,191.20,236.30,298.03,226.62,214.89,249.87, ,50.58,291.43,136.78,99.73,216.22,13.91,114.34,139.50,215.25,190.31,134.77,294.91, ,108.91,52.34,105.23,109.35,157.87,78.41,72.00, ,254.83,96.38,241.91,68.29, ,258.60,269.12,148.95,116.45,121.19,16.64,35.23,168.06,98.26, ,170.27, ,125.10,132.91,175.66,262.56,203.13, ,172.25,35.81,261.83,231.15,10.31,165.85,25.63,234.57,65.66,55.26,229.93,235.10,164.66,86.77,207.02,84.35,153.32,189.22,113.84,245.78,277.95,260.45, ,195.02,236.24,30.93,229.79,273.54,184.60,140.77,184.45,166.43,2.03,152.94
100.43,62.96,251.26,185.04,45.17,230.51,79.91,19.85, ,293.39,165.97,204.46,155.27,114.49,55.19,271.92,201.52,235.33, ,109.91,151.32,91.20,136.49,43.26,180.80,149.73,190.61,148.95, ,202.11,94.79,54.25,129.66,11.94,81.87,174.90,59.73,184.21,166.46,184.82,236.12, ,180.61,293.08,238.73,231.66,63.69,246.13,18.62,142.34,283.77,258.50,110.49,260.99,154.94,136.86,252.43,50.28,146.38,162.59,12.26,276.98,283.21,206.36,125.01,85.44,99.45,185.56,32.42,161.98,162.87,65.10,45.16, ,191.54,110.93,171.01,253.62,188.39,153.32,1.75,275.66,1.46, ,211.40,142.65,239.38,72.23,120.81,119.86,8.93,180.07,149.61,239.19,273.65, ,163.87,151.91,228.21,159.13,64.77,66.96,150.53,210.38,193.29,274.87
36.70,142.51,103.09,261.47,201.40,149.56, ,1.47,123.29,63.93,219.60,114.55,125.61,268.13,80.32,255.48,32.61,185.26,12.04,16.35, ,93.75,79.69,62.73,112.13,48.43,137.16,274.28,149.12, ,129.73,158.94,284.37,294.16,246.43,282.64,217.91, ,279.17,45.37,61.24,259.46,17.22,133.18,291.53,152.80, ,94.42,197.23,205.06,248.42,197.60,114.27,228.12,94.68,216.17,66.11,96.03,90.88,8.95,184.17,235.18,103.27,52.25,108.40,191.90,108.80,287.88, , ,93.87,220.87,136.25,83.70,162.75,124.93,256.95,162.94,47.84,221.73,266.71,57.40,86.94,248.11,89.27,290.83,152.81,193.19,198.69,221.34,151.47,233.14,55.37,0.55,62.30,203.30,252.41,187.62, ,135.74,216.18,105.02,141.67, ,130.73,269.40
276.85,98.35,229.29, ,229.85,68.37, , , ,120.93,143.90,120.75,164.00, ,263.33,79.82, ,295.23,134.09,46.11,182.06,86.15,205.25,256.51,203.31,161.93, ,5.83, ,263.91,269.26,99.39,106.84,2.56,280.46,74.14,69.09,1.97,144.34,198.32,264.61, ,126.54, , ,97.92,96.28,22.56, ,243.10,88.60, ,69.07,106.34, , , ,6.64,4.83,7.74,6.59,95.98,56.13,230.36, ,164.35,147.93,75.10,286.33,110.27,103.07,151.03,279.15, ,186.03,166.06,222.92,56.26,5.10, ,235.46,271.88,53.82,297.54,197.88,149.67,39.26, ,190.29,203.90,168.30,92.41,283.70,207.02,34.22,152.35,147.57,253.35,127.99,244.92,271.04,106.57,268.04,203.94,266.51,297.27
197.77,169.17,105.00,221.43,288.30,120.69,147.96,83.26,147.20,232.86, ,39.43,225.00,1.37,65.25,80.61,6.98,69.23,275.28,109.88,133.72,235.19,31.63,52.85,156.43,240.45,37.99,72.11,78.63,46.34,182.69,43.93,297.22,78.12,258.58,87.01,71.67,61.89, ,114.74,187.86,51.35, ,31.23,196.77,8.12,253.73,70.05,80.48,110.83,39.78,46.60,161.71,148.98,221.58,38.34,68.26, , ,167.89,165.43,224.91,7.77,64.36,176.31,145.10,3.42,56.55,11.67,168.29,141.85,41.06,122.34,114.31,40.11,21.22,46.86,79.09,124.77,132.46,288.28,288.22, ,44.77,174.10,210.01,104.87,75.80,122.22,99.38,225.23,49.60,128.44,209.86,120.50,15.53,41.59,109.81,155.52,75.01,117.60,64.37,284.90,207.53,25.30,135.51
88.48,81.30,180.85,100.00,44.48,122.94,108.62,119.35,87.32,293.77,179.38,127.38, ,34.91, ,41.81,174.14,292.03,47.22,246.61,174.22,262.75,77.15,229.91,35.52,90.86,222.15,87.43, ,285.75, ,209.36,212.84,256.56,38.94, ,285.54,251.96, ,249.12,185.13,250.28, ,41.13,118.41,37.38,145.88,252.39,232.48,164.64,35.21,54.91,147.24,189.98,17.09,48.32,188.86,21.15,123.62,59.46,73.64,109.98,119.97,171.32,141.03,68.43,105.46,215.23,163.81,51.90, ,100.23,297.80,272.91,151.20,166.77,108.83,203.21, ,265.58,136.03,235.64,282.84,27.81,293.80,3.28,72.51,145.93,110.02,297.19,24.71,84.10,141.20,21.14,131.30,69.23, ,4.87,76.16,199.60,39.76,277.50,163.73,231.39,199.74, 
117.07,217.57,247.54,248.89, ,80.18,297.56,48.72,219.30,48.40,99.12,210.13,173.63,166.34,261.87,209.92,183.15,64.64,287.07,33.21,51.75,211.16,160.90,51.75,84.77, ,183.89,109.24, ,183.11,166.97,192.93,292.05,116.42,160.40,180.11,59.25, ,270.41,167.91,32.92,15.07,147.23,21.39,159.47,139.58,250.30, ,27.19,255.33,33.30,247.09,9.35,145.27,276.75,184.26,159.37,222.11,279.60,13.83,280.53,75.65,47.45,146.10,36.82,218.24,217.16,283.52,171.68,242.86,255.22,55.47,259.49,107.03,98.65,175.17,218.01,46.03,11.04,40.11,293.56,117.96,123.69,137.24, ,80.10,185.48, ,0.07,176.86,105.81,227.95,54.69,231.81,111.42,292.86,290.70,109.88,197.16,210.14,228.94,114.50,25.88,272.01,188.44,133.05
124.38,275.24,206.96, ,18.39,272.67,140.61,279.80,156.25,159.42,142.30,5.15,25.71,187.05,215.31,184.71,160.29,184.81,152.67,19.17,241.77,40.97,250.93, ,107.18, ,297.83,190.89,291.47,29.84,268.26, ,152.97,74.73,39.53, ,131.39,122.42,125.11,155.54, ,187.20,118.29,181.05,269.16,186.20,213.87,154.01,279.15,13.74,105.67,167.97,184.66,179.44,126.34,113.37,226.99, , ,78.83,240.00,150.68,233.75,190.91,223.57,94.75,223.93,290.58,257.44,93.14,133.07,179.70,121.86,247.01,151.96,174.11,73.83,218.16,89.33,95.35,279.13,250.21,90.51,294.96,116.04,184.81,7.57, , ,171.20,36.89,168.41,115.13,235.80, ,25.13,45.17,121.49,288.25,25.77, ,73.71,107.61,294.20,23.04,244.61
32.33,217.40, ,32.53,128.31, ,153.44,137.97,29.67,179.72,99.00,73.74,153.85,131.23,296.52, ,241.14,70.16,265.90,115.15, ,243.46,206.68,272.41,288.38,117.88,56.31,276.87,89.58,11.38,278.78,75.07,249.04,86.76,89.46,286.84, ,230.30, ,27.21,122.86,126.62,183.69,157.62,12.97,291.28,168.00,32.26,286.67,66.63, , ,131.09,243.98,70.13,80.84,220.64,112.92,144.44,230.18,157.16,249.25,267.50,118.50,60.31,281.05,178.60, ,9.69,227.00,43.99,93.15, ,296.85,290.99,250.84,143.36,164.32,256.44, , ,131.57,180.11,97.10,246.67,68.40,7.13,264.52,173.86,273.97,60.08,12.01,186.14,118.92, ,75.37,157.83,13.85,30.43,225.10, ,5.23,293.68,238.25,42.58,64.03
282.84,281.51, , ,150.22,218.11,29.32,256.03,114.25,210.06,9.13,13.88,156.74,26.71,265.74,207.11, ,189.95,67.36, ,235.01,242.85,133.21,253.52,151.80,173.27,8.49, ,22.37,217.80,223.47,295.67,219.90,78.62,179.31,294.65,80.99,111.06,162.88,187.63,235.02, ,296.87,7.80,286.26,275.73,128.03,11.84,208.42, ,18.27,45.39,84.80,42.58, ,205.46,248.12,214.11,282.97,167.40,268.91,195.33,169.84,233.15,144.17,218.96,159.84,88.98,220.36,215.34,275.85,95.31,278.38,127.49,220.40,252.12,148.55,133.94,170.81,200.07,208.66, ,68.51,147.54,174.95,156.61,38.75,86.48, ,95.90,217.14,85.10,205.60,16.71, ,187.52,152.12,15.30,261.06,225.74,25.07,171.49, ,210.24,178.34,114.88
263.17,290.53,201.27,281.93,235.67,105.49,86.09,57.61,269.05,282.98,166.49,249.13,175.52,207.26,32.33,28.09,54.15,43.77,214.76,173.39,259.67,192.74,286.88,103.00, ,85.97,258.26,282.69,45.16,213.70,174.39,127.11,289.98,213.66,60.49, ,210.92,97.68,244.79,54.01,40.48,133.76,104.05,56.73,48.56,24.18,73.19,274.69,249.99,156.74,180.92,14.19,295.13,195.50,196.42, ,236.90,121.47,199.35,67.67,173.42,34.01,39.66,295.68,244.01, ,139.40,235.60,88.87,265.46,170.65,233.89,98.78,279.82,228.54,177.40,278.11,272.38,183.54,294.78, ,110.89,49.80,241.37,196.79,168.85,42.75,115.05,129.51,180.93,72.78,116.63,263.73,283.53,144.04,257.61,160.32,16.10,176.43,113.51,129.57,254.37,13.09, ,142.60,254.36
286.44,198.47,203.71,281.12,3.02, ,13.34, ,29.44,69.08,115.00,116.47,96.67,110.45,62.22,79.76,34.89,256.56,63.79,92.34,26.80,275.96,108.70,43.61,68.82,125.04,255.00,281.18, ,91.63,292.53,297.52,79.57,265.66,127.51,105.27,152.73,148.38,9.32,47.30,284.53,272.50,114.99, ,166.66,241.16,136.85,81.93,65.42,111.62, , ,183.62,90.28,293.96,93.56,141.26,194.20,213.51,116.25,212.07,271.84,67.33,139.07,254.64, ,66.26, ,3.80,113.64,250.69,188.04,17.27,285.27,30.56,274.02,26.30,129.72,39.32, ,178.39,61.48,41.22,65.72,131.54,122.93, , ,113.66,247.80,212.39,173.52,133.29,137.47,150.05,58.71,242.45,93.42,19.99,131.67,143.93,17.88,188.83,197.39,127.86,145.45
4.47,151.41,39.31, ,189.36,215.86,66.95,29.88,172.95,202.55,8.45,276.53,54.59,172.70,5.13,202.53,22.36,196.79,260.82,17.28,10.17,86.64,86.10,147.99,281.04,217.70, , ,264.80,71.49,27.98,155.39,121.99,152.02,37.88,204.46,263.01,288.29,291.74,166.16,33.43,190.28,136.69,145.35,77.47,238.98,293.46,35.96,272.12,134.24,0.82, ,263.82,53.45, ,127.83,84.81,26.84,112.40,81.67,265.01,174.59,264.59,298.37,283.51,188.53,280.49,156.46,153.17,99.09, ,226.93,139.66,73.12,200.59,196.42,201.65,32.93,20.15, ,20.70,74.50, ,54.99,158.71,251.76, ,118.41,126.66,163.01,237.81,115.44,174.18,76.10,6.72,249.89, ,270.59,60.27,94.46,278.42,215.90,221.66,48.59, ,213.28
157.15,85.79,25.53,246.37, ,253.09,139.59,269.15,252.99,290.02,144.68,0.62,198.62,176.22,167.30,160.49,275.66,61.11,37.10,194.62,210.79,122.12,8.50,160.57,120.69,8.95, , ,25.96, ,202.18,99.15,125.34,296.35,135.59,174.01,139.22,67.46,134.86,295.43,278.41,46.81,265.87,248.02,38.14, ,240.32,6.45, ,80.93,192.77,201.96,73.20,79.51,28.12,258.50,140.49,280.47,65.92,199.49, ,237.63, ,177.95,135.54,265.99,96.33,132.99,225.53,39.48, , ,219.41, ,59.90,71.61, ,17.96,22.13,84.34,68.83,211.86,101.26,120.84,36.61,195.88,160.02,267.18,2.95,212.22,246.49, ,193.69,183.66,184.81,124.73,192.24, ,96.61, ,217.44,12.87,281.74,31.29,242.18,220.04
150.38,75.25,179.82,167.55,9.34,186.88,238.90,221.09,175.73,13.57, ,26.43,176.96,295.73,243.61,14.09,84.27, ,89.14,116.57,271.52,9.05,259.97,237.52,285.25,290.43,206.42,25.25,62.62,166.59,270.29,170.76,184.74, ,273.88,6.86, ,132.76,236.94,187.57,273.80,287.71,171.64,149.88,64.99,223.57,69.17,32.05,236.53,138.91,190.68,133.68, ,266.45,261.40,248.44, ,121.26,297.22,17.70,189.79,59.59,14.27,7.23,68.69, ,207.60,153.80,204.27,177.97,35.93,229.91, ,262.90, ,260.11,116.50, , ,166.80, ,295.56,259.78,52.68,271.85,76.70,27.54,3.34,87.68,128.17,117.93,177.68,51.18,33.24,264.54,25.19,145.89,175.14,85.00,28.58,51.08,182.21,157.04,276.88,28.25,16.77
196.12,62.91,170.66,105.69,28.58,201.42,151.63,280.15, ,8.73,55.45,175.69, , ,110.94,89.48,232.53, ,126.99,59.42,94.71,132.85,295.99,297.76,110.82,84.26,286.63,170.64,253.43,71.69,115.64,104.14,219.98,143.75,38.36,44.62,68.28,256.37,211.73,211.89,232.03,137.75,73.89,19.30,13.08,41.98,78.44,160.36,185.91, ,224.27,90.01,275.57,13.71,179.21,251.73,199.87,39.51,21.77,137.84,60.98,91.07,7.27,50.06,123.09,51.08,261.47,104.71,108.57, ,287.78,228.60,286.13, ,104.67,276.96,247.35,171.34,227.63,275.60, ,98.69,235.38,293.34,250.76,185.05,207.25,155.44,62.38,12.34,246.25,268.41,157.96,60.09,233.98,171.98, ,270.66,58.37,236.89,67.47, ,136.65,192.73,210.36,133.67
246.56,133.31,268.68,221.31,187.64, ,59.62, ,30.29,148.83,247.39,214.47,3.57,189.16,43.21,151.41,22.23,256.80,12.94,146.81,254.25, ,221.72,156.49,124.36,161.01,114.38,185.82,148.27,118.19,280.16,195.98,239.94,113.84,6.88,242.29,293.58,30.66,70.82,227.48,54.13,166.53,233.19,97.54,289.30,126.03,133.43,126.49,15.95,168.86,279.67,263.96,87.89,188.55,181.76,53.88,204.53, ,137.72,201.94,262.06,45.20,251.10,58.01,83.15,193.33,278.01, ,251.26,64.56,251.07,255.83,182.22, ,286.63,198.13,217.25,6.24,91.70,29.65,281.81,148.06,218.78,179.61,77.32,53.29,223.05,172.95,181.84, ,168.47,51.50, ,211.69,211.07,20.63,153.10,53.52,177.58, ,57.19,204.55,14.32,252.23, ,180.23
