Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129
260.34,86.27,90.18,100.64,23.54,19.75,201.54,186.16,145.39,65.79,158.27,71.86,143.65,51.09,286.83,93.03,200.29,181.54,151.90,185.60,14.43, ,215.97,274.60,123.29,203.41,77.93, ,127.61,278.72,53.30,258.24,212.73,25.63,148.99,76.46,52.97,239.94,6.86,116.01,41.14,47.89, , ,250.70,234.50,119.91, ,78.15,107.70, ,201.97,37.31,120.27,69.31,231.69,278.06,220.65,83.38,129.19, ,79.89,272.41,258.11,204.28,94.35,272.94,213.95,291.43,178.89,261.69, , ,217.17,258.50,144.49,65.57, ,145.46,237.35,137.78,59.05,291.91,146.99,284.98, ,177.35,19.17,23.60,176.89,93.67,177.14,62.43,279.62,88.16, ,242.93,162.29,171.12,73.01, ,57.98,37.70,8.21,74.37,89.43,272.57,86.65,121.24, ,100.87,180.57,141.18,257.24,125.48,157.68,146.47,256.47,295.62,78.40,266.17,141.91,82.77,4.09,146.24,24.89,29.63,207.28,28.95
 ,154.43,31.97,139.35,9.39,285.50,287.93,167.36,179.89,180.91,88.89,51.13,138.27,271.69,205.52,72.68,16.80,62.92,280.03,38.65, ,24.15,99.73,57.98,242.02,78.78,231.66,198.04,30.43,145.41,101.81,146.84,4.72,234.76,53.98,92.14, ,116.29,48.56,292.00,120.44,25.20,66.44,165.39,247.80,85.57,163.49, ,35.33, ,270.10,296.74,223.84,55.95,274.16,218.55,50.94,100.93,6.35,293.51,107.52,233.42,263.27,266.58, ,44.79,102.34,71.56,100.33,265.42,85.86,59.01,120.87,152.95,104.36,190.52,127.85,209.52,95.10,287.52, ,32.32,241.02,73.55,9.13,115.91,271.11,208.59,6.70,176.09,110.95, ,87.06,226.07,45.20,3.02,248.34,65.03,82.72,23.87,282.97, ,132.55,234.95,203.37,47.74,145.37,275.87,245.75,165.68, ,186.85,78.04, , ,85.51,116.92,102.98,18.50,232.44,87.05,102.11,21.32,174.07,157.44,125.77,279.35, ,166.20
280.94,100.51,86.89,240.93,73.27,214.78,273.25,12.42,215.62,268.15,215.20,254.62,273.95,8.23,15.08,55.52,175.81, ,262.71,60.96,199.58, ,124.96,187.27,21.86,178.50,200.07,138.19, ,112.13,130.80,281.97,209.71,181.04,98.01,192.05, ,91.64,76.48,35.77,53.97,66.64,47.64,26.17,121.41, ,88.30,152.15,284.76,48.24,127.59,9.55,5.23,111.28,88.75,1.74,81.84,119.15,107.01,40.48,207.28,290.79,168.75,65.84,204.79,19.31,260.34,52.03,41.13,231.54, ,233.28,273.01,1.55,99.66,27.80, ,217.01,290.26,226.22,239.28,170.18,163.39,287.45,96.07, ,27.61, ,260.89,242.92,42.41,53.20,258.04,124.51,228.97,260.81,170.87,286.20,158.68,171.56,65.01,174.71,295.24,113.64,74.06,209.68,286.79,246.29,108.58,119.87,185.58,192.74, ,178.94,139.45,269.05,93.53, ,237.27,193.48,188.06,107.46,84.00,60.63,39.07,101.10,206.76,239.63,43.13
278.44, ,6.96,45.42,46.36,37.77,99.18, ,66.71,264.10,290.38,181.01,193.94, ,100.69,128.02, ,48.42,152.54,185.59,153.69, ,59.40,286.87,112.53,225.29,117.33, ,142.06,28.48,239.13,136.68,44.90,219.83,215.50,201.58,34.59,87.18,114.66,30.03,223.56, , ,0.59, ,142.64,259.73,170.69,15.32,221.50,298.44,267.70,216.40,105.39,155.97,86.33,178.59, ,61.85, ,62.44,54.01,164.23,83.72, ,99.04,111.84,111.97,118.93,43.05,288.17,43.69,101.05,15.31,201.25,118.74,139.60,78.03,215.63,128.40,282.11,64.08,78.66,220.59,58.82,85.31,278.36, ,79.40,199.02,40.94, ,64.95,110.16,160.46,234.75,276.33,216.29,10.80,216.45,192.54,195.03, ,173.39,205.96,246.55,192.82,81.15,52.44,61.73,57.38,130.18,63.85,262.52,57.83, , ,150.02,184.26,18.22,234.73, ,181.28,203.26,110.30,221.22,216.57,64.61,246.82
67.94,73.38, ,30.85,40.91,188.87,8.74,282.82,131.28,124.75,196.52,270.73,214.74,267.93,42.58, ,153.43,272.06,212.15,257.66,64.66, ,289.83,201.02,90.73,265.91,192.73,209.01,213.80,141.42,155.14, ,133.35,193.70,264.23, ,221.89,193.81,204.83,207.67,156.29, ,122.20,30.88,122.89,198.43, ,80.16,219.75,235.13,127.61,221.41,169.69,144.37, ,49.20,111.36,103.42,293.20,23.64,210.26,218.41,93.17,188.85,173.92,130.08,250.37,52.51,40.31,28.20,99.50,50.94,232.45,20.62,79.98, ,290.24, ,98.93, ,287.78,296.23, ,127.33,179.61,244.73,75.64,23.73,50.33,86.00,229.04,208.42,150.88,299.26,26.27,25.63,85.96,144.80,213.54,257.39,151.97,13.08,175.05,102.74,111.49,208.16,295.35,49.55, ,48.80,0.99,213.53,232.95,294.36, , ,86.83,118.46,137.84,164.00,148.81,286.13,297.55,32.89, ,179.12,125.01,89.83,280.56
204.94,233.75, ,200.24,255.00,110.16,64.77,267.48, ,253.61,61.09,284.00,56.47,264.06, ,53.89,210.71,58.43,227.03,139.57,214.01,145.97,187.41,298.33,124.30,108.50, ,88.77,298.19,222.54,26.73,16.15,63.40,238.63,236.45,212.31,245.45,209.68, ,120.41,49.18,29.83,20.13,246.45, ,91.69, ,118.42,129.39, , ,237.26,75.27,203.25,214.15,48.66,104.43,151.73,113.80,11.28,34.36,213.48,49.42,298.60,70.37,166.46,266.81,279.51,72.42,181.06,92.89,170.34,98.80,50.93, ,62.21,237.98,260.02,69.36,121.92,245.97,103.66, ,207.38,258.80,96.81,266.36,69.58,87.02, ,137.95,62.39,127.51,220.11,123.69,263.13,226.67,195.53,143.64,237.71,71.04,154.50,183.86,280.47,131.23,179.33,229.83,169.34,242.09,144.88,78.93,11.39,17.11,35.93,19.17,218.44,191.14,1.11,117.15,95.56,130.44,217.55,216.61,117.63,176.35,224.47,70.51,260.88,142.79
248.36,270.45,252.18,239.75,236.59, ,32.16,65.33,222.82,223.66,243.23,186.07,6.83,276.24,102.22, ,99.04, ,69.49,199.64,118.77,167.67,87.81,180.94,206.87,278.74,113.47,212.89,127.70,140.88,162.42,167.79,42.14,195.37,59.04,42.71,247.94,53.48,110.20,188.89,38.18,147.61,89.60,151.20,280.22,21.24,235.19, ,277.34,285.91, ,80.91,5.89,42.05,64.60,293.80,169.33,121.12, , , ,34.83,57.65,149.26,262.11, ,239.44,276.74,235.41,160.08,86.50,0.68,54.38,104.58,26.45, ,210.09,18.08,264.43,271.84,276.01,151.98,173.39,243.58,194.73,61.88,87.73,136.71,18.38,43.41,157.63,182.73,105.52, ,69.95,284.47,252.55,35.62,91.81,162.97,189.66,55.48,251.93,162.40,37.87,234.16,151.21,162.69,8.79,231.56,40.04,262.39,134.45,211.97,292.94,219.87,239.14, ,191.07,70.70,32.71,15.98, ,219.25,134.40, ,65.96,278.90,269.18
116.44,183.46, ,258.40, ,197.54,51.03,232.75,170.43,186.00,278.13,105.66,235.88,92.36,40.49,283.82,42.76,276.85,142.96,184.62,79.72,43.44,170.78,252.49,241.65,227.62,239.97,73.27,66.99,177.68,236.90,117.14,261.77,205.88,30.98,210.26,172.66,241.46, ,193.95,171.53,12.27, ,45.55, ,112.53,25.94, ,187.45,246.77,131.15,253.95,243.15,272.84,117.91,159.25,108.25,219.34,256.16,113.10, ,261.36,205.44,34.26,174.74,119.33,202.56,277.91,215.13,37.54,260.04,190.19,60.10,227.18,90.25,13.89, ,275.25,18.50,240.47,137.29,10.39,214.44,139.17,197.50,16.67,241.34,118.63, ,252.72, ,42.97,243.29,227.25,41.13,181.08,136.81,293.48,179.62,129.57,187.05,0.08,255.52,172.24, ,200.85,66.96,69.83,73.53,108.40,245.89,173.15,190.96,220.96,71.14, ,89.92,194.80,219.66,31.42,224.47,292.74,288.97,21.16,196.52,278.52,171.80,61.74,223.62
20.26,24.40,129.50,165.07,204.33,174.63,176.62,157.76,50.42,292.35, ,188.87,295.37,169.30,139.20,251.67,288.85,116.86,42.95,3.05,135.51,241.88,264.39,229.01,91.40,126.09,92.60,160.48,92.42,116.01,298.38,24.09,281.12,125.21,72.14,91.32,216.04,278.91,74.18,14.17,283.67,28.56,155.23,164.23,218.82,179.28,47.93,204.43, ,29.64,116.46,144.44,73.95,3.02,251.83,268.54,194.61, ,270.87,35.01,211.68,115.35,171.03,294.32,192.33,105.10,155.10,89.89,36.96,182.24,219.37,259.87,287.78,182.74,32.70,93.76,171.58,35.34, ,29.66,264.71,223.17,223.41,0.05,223.14,284.86,186.96,174.33,65.83,106.47,275.71,118.23,195.80,255.43,99.73,56.49,53.40,274.60,165.84,79.43,242.24,3.45,142.34, ,208.16,159.39,96.50, ,16.59,78.21,17.83,257.12,242.38,53.98,287.33,191.63, ,133.86,12.26,273.40,15.98,10.83, ,107.33, ,123.92,243.29,156.24,53.07
63.61,284.53,50.92, , ,213.16,248.75,269.13,115.46,103.71,160.48,233.62,82.99,57.87,153.48,147.52,144.66,270.15,191.72,33.55, ,246.72,87.50,39.15,287.60,113.35,184.74,47.51,114.25,162.08,258.53,288.06,220.85,135.23,90.91,83.59,295.05,224.87,202.45,92.19,288.28,3.94,236.80,277.23,156.50,191.60,215.49,280.11,78.85,186.38,271.63,24.61,0.28,49.23,213.50,92.78, ,96.72,283.76,52.02,4.66,226.42,106.82,99.80,184.92,129.53,186.77,79.30,99.77,202.68,242.27,95.28,91.06,218.84,40.16,109.65,162.19,164.51,142.14,212.15,179.44,81.75,141.18,219.67,189.82,243.45,166.45,276.14,230.72,32.34,165.84,15.70,178.06,297.03,144.52,47.27,250.86,90.18,290.07, ,179.89,276.45,298.65,288.12,245.90,288.51,48.93,232.49,8.55,73.99,257.22,76.02,234.03,71.37,195.11,59.07,213.41, ,212.06,75.10,296.61,156.74, ,287.23,84.09,258.59,24.54,141.24,197.00
5.61,101.34,49.58,275.72,195.93,175.05,137.80,243.24,200.01,103.13,2.52,183.04,45.28,176.92,8.14,261.79,42.28,214.47,223.55,54.84, , ,66.12,273.17,186.69, ,289.82,168.51,243.46,222.32,6.53,159.18, ,172.93,133.77,214.59,277.59,176.81,199.33,21.17,252.29,45.67,197.67,286.80,49.56,297.02,122.95,59.78,176.49,26.13,20.11,67.58,210.15,228.17,187.32,281.97,157.20,257.90, ,244.70,183.30,126.60,184.06,143.68, ,76.39,119.21,54.30,94.20,131.18,73.93,271.71,158.11,83.53,183.78,60.70, , ,139.95,5.87,28.14,181.35, ,0.56,261.21,295.24,18.54,299.58,289.32,195.14,139.01, , ,71.86,156.85,155.30, ,227.70,292.88,173.99,109.62,160.99,70.27,15.51,86.22,77.19,247.69, , ,197.41,30.70,193.83,68.05,123.92,4.59,104.81,16.58,253.62,211.40, ,226.91,50.43,188.95,227.15,172.83,281.77, ,194.53,141.07
38.77,258.34,81.78,221.95,277.57,275.93, ,240.14,11.22,95.35,182.70,284.54,208.49,265.33,160.85,266.24,107.73,81.76,13.01, ,111.38,248.61,11.46,27.46,159.29,222.70,200.73,44.01,153.69,221.59,171.17,245.11,98.28,76.36,189.35,22.42,43.75,88.04,119.11,182.56,133.53,37.86,50.46,290.51,92.19,183.01,202.65,257.95,4.45,250.31,255.58,194.53, ,282.57,62.87, ,41.27,42.37,265.85,161.00,296.98,168.47,216.55,8.11,72.05,208.81,206.37,295.09,163.72,83.48, ,181.55,42.99,197.73,79.00,283.11,287.54,203.84,152.86,175.65,47.01,236.17,94.59,64.46,264.28,278.98,5.04,37.89, , , , , ,153.25,213.72,291.88,242.41, ,269.77,145.12,83.22,6.50,135.21,151.00,153.31,274.71,204.06,126.82,1.06,227.44,266.72,80.99,259.41, ,229.18,150.00,144.89, ,292.57,112.41,39.10,299.61,156.93,262.19,277.86,36.75,52.36, ,133.35
181.72,56.31,242.84,246.02,296.02, ,220.94,223.88,165.78,273.84,127.15,6.45,199.29,10.32,46.66,85.00,114.34,154.41,209.01,171.26,56.74,77.05, ,0.94,24.74,211.56,51.58,53.90,46.89,166.91,143.77,83.53, ,49.70,139.10,156.99,255.46,269.27,191.41,33.45,152.97,40.69,9.45,254.33,235.18,32.96,195.20,17.25,46.36,233.33,25.67,195.82,4.05,13.65,293.32,24.59,4.98,46.72,253.57,180.48,52.48, ,247.68,139.71,92.29,18.08,232.33,173.57,112.45,227.11,31.97,32.50,279.19, ,293.62,226.03,240.10,87.54,226.20,202.27,225.75, ,203.50,137.42,254.73,115.72,257.77,156.05,25.96, ,250.95,139.40,2.97, ,90.51,81.70,44.32, ,153.25,53.23, ,130.30,208.95,31.08,93.72,156.99,22.37,70.63,84.44,154.21,103.11,5.98,168.70,277.46,203.55,71.66,58.22,247.30,147.98,133.90,165.51,61.39, ,132.03,20.37, ,184.30,138.06,67.57
240.59,25.18,144.16,242.21,298.80,169.56,167.89,88.50,294.36,221.29,281.91,250.67,153.75,244.31,25.26,298.56,56.91,109.99, ,52.20,119.39, ,266.18,276.49,143.00,204.56,201.15, ,151.82,178.46,192.34,12.05,168.83,261.13,87.89,13.16,265.66,81.79,98.74,215.17,34.39, ,98.69,244.45,238.98,1.86,84.83,237.82,40.96,250.18,3.62,246.70,78.05,225.49, ,116.88,31.40,117.93,249.96,33.83,144.08,75.22,11.15,7.68,288.30,250.38,227.02,168.54, ,140.81,247.79,296.22,157.54,125.78,113.10,89.45,157.18,264.38,207.38,246.56,214.34,112.47,280.39,287.70,256.55,206.71,62.92,26.41,217.86,10.27,34.09,218.06,298.57,257.49,168.44,220.41,184.52,231.21,88.94,255.24,72.02,36.73,251.46,229.56,162.51,64.56,19.01,19.69,28.94,226.38,266.25,243.29,38.86,246.64,230.99,295.41,153.36,293.91,21.82,71.22,4.18,55.91,289.28,2.75,13.40,157.72,223.15,197.92,88.93
