Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103
77.29,161.62,161.77,61.32,134.79,140.38,144.58,106.77,172.27,165.86, ,36.41,107.86, , ,113.38,7.94, ,81.60,205.59,178.26,155.90,225.46,180.84, ,287.62,150.67,198.40,237.05,128.20, ,252.92,255.75,22.09, ,103.69,156.68,164.87,202.97,49.05,58.76,177.65,151.63,164.56,169.26,284.85,146.52, ,160.66, ,182.75, ,286.44,121.53,124.83,236.47,294.17,61.50,13.37,264.88,272.45,210.95,299.77,220.57,158.80,209.95,263.99,137.39,143.25,283.93,204.03, ,198.20,32.33,69.50,276.34,112.66,22.14,291.02,107.28,89.35,27.96,152.50,99.28,54.51,86.86,262.22,293.42, ,25.74,132.88,148.21,278.62,266.21, ,196.77,248.49,161.13,248.02,187.71,116.56, ,203.42
67.73,258.23,274.06, ,106.94,248.23,128.55,17.23,218.19,266.49,200.12,143.13,141.25,195.45,273.05,161.23, ,71.91,296.83,180.07,152.91,45.08,158.55,221.15,50.97,118.91,35.27,60.77, , ,78.86,64.66,206.81,148.49,198.62,24.69,242.16,108.69,81.51, ,2.66,170.98,238.57,173.08,149.39,272.87,135.35,5.65, ,8.18,203.99,208.95,285.48,106.27,138.35,61.41,190.45,129.35,119.64,201.34,67.37,277.61,93.17,14.02,221.34,71.97,228.99,54.02,132.03,8.64,48.07,228.76,251.11,266.78,276.09,75.49,125.95,51.84,49.17,227.45, ,299.42,17.05,149.87,112.37, ,82.76, ,11.51,261.32,263.54,45.72,107.55,257.61,141.02,209.82,104.18,294.93,276.19,83.93,243.49, ,183.65
194.45,290.58, ,60.21,187.24,286.41,195.10,155.45,120.75,242.99,245.60,28.52,249.90,47.85,8.77,77.04, ,270.90,269.73,38.63,13.31,110.89,39.65,163.55,175.67, ,100.59,256.68,96.21,241.57,99.97,28.12,238.18,147.91,76.36,255.22,287.29,11.73,139.42,158.94,242.31, ,42.90,190.64,58.39,113.59,197.19, ,74.20,37.20,218.71,196.09,14.40,273.71,178.76,92.77,28.32,125.46,77.97,152.92, ,250.14,48.46,127.52,221.53,16.22,48.34,39.73,144.18,195.98,101.87,263.07,37.43,265.03,76.11,152.64,198.70,89.68,250.11, ,171.64, ,15.29,72.20,17.44, ,213.42,79.99, ,219.56,47.89,259.67,237.27,150.11,215.09,83.13,156.99, , ,251.73,298.99,107.15,240.30
229.84,165.26,76.73,112.33,269.41,248.63,184.31,42.65,38.53,264.60,135.09,99.34, ,98.33,160.72,51.03,44.59,111.24,154.74,9.29,165.48, ,72.16,26.73,65.00,240.58,260.78,31.05,162.48,158.45, ,273.20,191.33,102.26,214.76,198.64,236.38,5.34,136.27,191.11,35.95,191.66,217.15,96.60,129.82,135.72,126.56, ,17.89,229.55,41.48,219.10, ,283.22,287.31,241.81,70.57,134.79,43.32,229.57, ,59.39,164.93,147.71,289.70, ,219.25,142.05,105.17,228.74, ,216.05,20.26,278.45,229.25, ,281.19, ,10.40,202.41,92.06,149.19,215.72,1.01, ,106.82,199.38,295.35,251.62,298.08,181.67,275.34,37.45,292.61, ,222.25,142.27,171.24, , ,241.22,188.75,203.89
232.40,91.06,191.08,208.31,175.96,212.50,241.86,290.93,135.97,281.69,227.47, ,23.54,210.91,128.65,24.50,176.33,15.43,155.04,294.87,185.67,4.70, ,173.73,1.72,88.09,287.93,136.35,39.10,168.53,204.90,184.21,288.79,144.69,3.21,70.22,40.07,100.11,110.65,98.98,283.54,95.78,202.64,229.09,8.38, ,213.27,285.65,198.87,187.22,137.04,44.44,81.69,32.55,124.60,104.74,289.93,32.75,194.45,190.49,273.26,237.63,198.19,229.07,57.11,71.28,157.91,126.59, ,159.14,254.27,50.11,155.46,224.00,236.37,7.34,162.15,10.17,193.64,277.75,290.56,61.97,251.95, ,191.56,170.42, ,35.95,152.88,228.95,8.26,265.77,237.87,11.05,176.60,181.49,195.38,248.38,56.75,135.03, ,142.39,228.82
274.41,256.90, ,33.78,210.12, ,147.99,200.73,4.07, ,158.41,149.57,258.13,7.13,274.36,235.55,27.85,187.24, ,53.06,30.25,98.63, ,246.61,17.55,161.34,20.16,123.75, ,81.88,133.67, ,232.70,263.25, ,150.49,146.61,292.77,130.70,206.66,38.01,265.08,225.27, ,245.02,270.55, ,46.61,168.71, ,279.29,98.49,210.77,276.05,195.51,245.02,59.58,24.92,157.62,48.78,206.38,157.45,65.35,223.54,19.83, ,299.12,207.00,291.63,104.61,5.26,50.97,17.10,17.09, ,122.66,46.80,183.18,205.98,55.37,219.11,150.09,74.31, ,202.87,44.37,28.53,265.00,41.80,23.02, ,124.16,12.10,210.59,75.21, , ,246.09,205.76,90.55,27.13,182.94,69.55
278.23,155.41,160.98,80.75,260.23,101.42,75.87,167.62,128.59, ,74.68,187.41, ,167.48, ,50.42,259.65,125.93,96.24,239.81,264.41,193.99,261.10, ,273.12, ,101.71, ,176.39,265.32,284.66,245.25,183.21,134.41, ,213.23,102.54,154.04, ,48.04, ,214.36,246.94,277.74,293.68,225.04,20.97,98.09,217.55,36.98,107.26,229.37,81.31,173.53,98.87,283.39,160.08,216.62, ,194.36,139.74,80.72,270.98,51.26,270.56,161.73,131.37,210.43,104.06,25.39,41.21,22.79,71.72,292.98,66.59,34.42,137.34,159.50, ,210.76,138.72,94.79,66.23,30.20,221.60,243.48,13.76,283.80,226.85,83.10,270.93,140.02,107.78,36.76,123.32,149.16,182.39, ,248.62,112.01,283.09,110.20,98.31
227.89,192.17,271.53,103.16,137.79,49.74,17.19,216.27,114.99,147.10,260.11,120.44, ,103.52,72.65,254.98,275.50, ,107.73,227.91,56.90,191.32,158.64,72.46,173.23,253.21, ,213.33,66.84,78.51, ,151.15,97.10,193.48,119.26,55.45,212.10,112.86,218.98,11.93, ,185.16,299.63, ,212.96,192.14,100.05,40.52,280.48,140.32,78.14,175.17,6.75,245.93,190.69,91.12,156.35,87.78,137.17,160.55,14.81, ,114.86,289.05,95.66,206.39,204.82,144.79,172.72,284.33, ,149.24,25.37,220.99,40.83,106.40,108.28,254.06,236.07,45.86,164.91,208.51,77.36,279.31,247.20,100.09,34.12,22.99,254.91,172.62, ,279.02,110.41,151.19,36.30,213.08,85.34,246.94,162.98,199.18, ,110.55,208.16
28.15,204.15,175.12,278.81,55.80, ,156.03,154.87,247.57,230.76,153.57,252.78,199.12,295.28, ,74.10,107.19, ,11.34,182.18,64.13,143.91,47.08,267.20,192.27,269.90,247.68,0.73,140.01,52.43,67.60, ,143.51,11.64,133.48,32.74,161.09,65.50, ,65.44,41.20,283.14,80.75,134.56,131.28, ,183.72, ,198.67,192.44,30.90,154.28,75.75,288.95,141.37,7.17,158.47,164.54,59.46,72.43,26.76,168.60,87.43,57.02,297.71,6.90,292.47,156.47,237.05,236.15,235.53,285.25,291.69,235.61, ,8.04,121.82,113.77,299.19,186.93,89.94,292.18,128.86,275.02,90.41,133.23,55.96,154.09,68.23,85.57,98.93,64.55,5.37,50.66,270.54,289.83,73.97,179.02,135.37,99.91,274.47,94.63,9.68
180.39,252.58,197.28,59.57,272.27,140.15, ,110.69, ,171.16,41.33,237.32,204.23,102.49,270.37,209.13,145.83,57.95,55.48,149.92,217.07,179.98,145.12,167.90,8.78,140.13,89.25,226.82,114.68,172.18,226.42,65.09,170.83,170.66,78.28,41.35,142.77,52.56,170.80,93.52,259.53,229.69,11.10,42.26,185.82,210.83,295.75,184.49,98.96,92.88,75.73,172.59,55.56,206.38,145.62, ,105.15, , ,244.64,196.19,77.96,281.25,106.38,74.70,56.13,65.84,205.57, , ,255.63,30.44, ,30.34,281.89,23.56,208.52,32.02,293.68,260.18,249.03, ,221.99,88.42,206.85,187.90,118.06,43.94,25.52,178.84,202.56,37.02,51.24, ,30.17,213.05,130.28, ,88.86, ,177.28,88.02,259.81
289.34, ,137.84,65.45,142.32,159.41,6.40,132.07,240.81,289.84,208.76,138.85,236.00,174.90,108.04,267.72,35.52,53.65,199.93,190.05,87.11,221.58,260.09,170.30,132.12,132.06,12.07,38.49,290.93,255.98,259.57,7.84,294.77,168.45,180.59,236.94,107.94,61.20,212.18,268.94,91.63,85.17,71.91,51.77,37.06,161.81,231.46,291.72,231.15,120.92,218.66,79.43,216.39,94.64,72.12,172.86, ,258.03,236.50,19.23,118.76,161.16,258.45,107.12,261.97,5.60,185.95,153.13,279.85,7.20, ,70.79,229.64,239.30,171.88,216.33,139.77,32.38,201.76,62.28,25.17,92.03,215.51,252.01,135.33,135.27,11.65,225.02,141.42,138.38,185.32,184.52,298.02,280.25,280.11,286.21,72.09,104.16,233.73,115.66,1.93,12.81,156.98
254.86,102.14,11.70,147.95,12.56,113.13, ,93.24,31.96,107.42, ,95.02,258.84,112.98,161.61,274.35,63.61,16.99,22.46,153.23, ,165.79,38.05,62.12,193.93, ,1.35, , ,248.19,7.05,52.11,186.96, , ,255.67,116.33,232.94,148.54,135.34,195.91,227.03,187.87,257.02,225.38,285.59,180.85,234.74,161.31,259.42,72.28,252.81,193.23,158.17,43.61,206.68,287.45, , ,154.82,64.54,13.26,253.77, ,188.52,204.08,86.50,82.49,205.44,194.82,129.27,134.80,143.27, , ,41.05,131.81,50.08,278.05,165.78,142.98,299.24,64.52,299.69, , ,118.11,296.33,218.75,70.15,205.45,39.00,165.92,211.29,82.81,16.20,61.50,2.89,206.24,146.49,214.42,111.07, 
107.40,134.73,50.06,143.98,235.74,96.35,1.76,189.36,28.55,252.60,140.85,93.97,159.83, ,93.65,155.21,218.36,144.36,185.18,0.86,276.86,211.96,93.10,272.76,252.86, ,140.60,250.14,159.82, ,282.51,45.43,213.25,272.84,120.67,98.73,273.63,212.87,158.99,109.91,290.16,242.47,203.37,177.09,53.86,72.39,190.67,174.08,81.61,161.54,4.94,23.81,35.85, ,194.83,274.08,232.80,269.05,240.22,36.85,216.94,150.55,214.58,127.38,49.98, ,252.25,140.31,257.81,212.74,70.99,96.07,88.19,66.62,73.15,284.79, ,8.70,99.94, ,227.32,20.20, ,272.45,262.13,138.68,161.26,209.28,56.74,104.84,73.47,262.80,37.58,149.82, ,249.76,86.18,211.33,78.71, ,259.58,27.34,133.57
58.93,205.25,49.69,5.32,62.87, ,100.45,276.17,198.19, ,284.36,27.61,181.73,169.57,56.05,239.57,85.51,232.46, ,282.15,119.48,63.73,231.67,169.84,10.90,133.77, ,236.79,143.14,215.56,259.83,209.61,161.23,197.90,285.89,75.84,131.55,50.48,112.82,89.01,225.56,154.42,209.44,207.54,209.73,65.28,94.71,68.96, ,266.87,255.91,125.46,110.48,293.14,119.44,118.65,133.35,294.51,185.13,93.64,295.45,2.98,11.44,233.98,247.88,17.00,179.78,146.45,149.07,19.90,47.38,108.59,114.24,66.83,188.83,237.07,77.21, , ,217.91,56.03,184.12, ,63.90,216.03,64.55,74.05, , ,141.65,26.84,50.57,133.59, ,17.87,203.32,76.90,50.45,287.02,205.96, ,121.44,52.62
28.25,219.05,39.28, ,66.12,165.57,139.04,55.61,64.86,224.09,80.16,274.69,209.11,123.77,2.09,260.19,124.65,107.13,126.14,70.89,173.28,284.59,13.06,169.23,299.13,219.69,67.86,146.46,75.03,184.54,66.64,265.22,231.60,147.18,240.18, ,113.46,234.60,167.59,295.01,273.94,165.21,156.19,199.69,134.62,17.70,236.57,176.96,94.04,275.04,189.49,101.79,47.64,128.72, ,123.73,285.14,25.95,68.26,238.06,220.16,219.11,44.56,8.87,175.58,147.45,147.67,129.15,88.20,279.34,176.74,164.17,15.14,200.24,275.67,284.81,246.29,27.73, ,36.60,161.05,10.70, ,51.26,293.07,183.10,142.88,75.49,221.71,197.17,174.02,260.25,68.67, ,96.40,48.23,60.63,127.78,97.69,122.58,263.31,298.36,104.91
11.20,279.91,9.13,275.86,62.12,250.64,197.45,166.03,180.04,154.96,297.99,278.06,67.92,82.61,177.09,124.47,299.48, ,8.61,265.98, ,100.67,237.03,188.27,243.80,29.73,76.13,51.43,148.29,295.56,185.62,118.42,60.93,114.48, ,20.74,17.10,117.70,226.14,46.59,59.62,58.94,191.03,209.81,234.95,240.77,214.77, ,224.86,102.16,225.40,60.07,245.77, ,104.10,175.94,4.53,265.60,93.95,150.12,101.85,32.91,250.92,156.04, ,30.38,211.86,266.02,198.21,21.11,15.90,134.27,0.97,132.19,163.78,214.56,90.66, ,133.28,148.12, ,20.65,223.07,275.48,204.44,100.89,132.02,221.99,283.38,36.12,287.39,104.39,67.44,201.57,28.33, ,17.65,136.64,260.91, ,150.01,186.51,199.14
67.68,284.82,44.08,166.63,220.84,233.42,166.06,256.16,287.10,212.04,208.80,285.86,262.22,251.55,86.76,167.26,271.82,205.50,173.02,47.37, ,280.78, ,115.77,103.58,110.46,127.82,265.01,297.22,249.55,75.96,99.45,190.74,95.29,87.17,168.36,62.17,115.32,120.69, ,224.27,293.08,161.79,204.90,9.56,225.02,208.08,57.78,152.07,246.59,216.22,116.67,277.07,166.07,148.85,4.01,131.13,13.01,9.43,268.38,50.04, ,258.12,35.11,6.79,56.01,80.37,71.76,247.98,297.19,248.77,73.37,225.48,34.90,79.89,186.78,2.85,76.22,234.90,70.39,275.48,196.78,97.31,186.97,68.46,114.65,278.52, ,204.01,74.03,38.37, ,137.26,89.36,290.67,24.79,265.95,187.47,56.12,131.26,30.06, ,144.70
105.79,256.08,291.20, ,29.57,141.38,86.65,80.29,255.00,138.39,105.36,83.67,10.63,104.58,114.65,185.38,37.63, ,47.43,17.78,238.87,21.00,161.37,185.99, , ,77.08,96.43,211.34,113.56,62.49,240.91,39.62,31.96,260.18,167.03,259.01,52.69,211.60,231.74,152.75,88.65,266.15,32.76, ,146.31,205.49,244.66,40.17,231.78,177.35,164.93,270.18,208.00,182.43,181.93,274.81,68.67,286.55,237.39,96.75,167.78,84.26,202.06,29.61,122.33,145.01,62.28,258.09, , ,92.34,120.54,267.70,271.79, ,209.19,239.71,286.06,77.15, ,201.57,277.86, ,122.87,97.34,269.25,3.43,159.96,230.32,218.43,198.91,262.48,290.95,100.99,144.16,75.50,79.71,266.03,238.67,114.77,26.95,103.63
193.79,281.10,190.71,243.63,72.20,197.72,108.32,40.16,176.85,240.64,19.27,60.17, ,174.93,22.51, ,52.88,61.18,276.86, ,220.49,5.71, ,68.86,237.94,187.40,224.68,71.35,34.71,201.88,6.45,52.78,293.41,118.14,139.64,6.49,15.49,78.85,287.24,77.02,256.73,39.97,92.46,125.36,242.83,157.44,223.07, , ,15.88,271.08,127.82,228.67,25.57,285.40,155.23,237.99,26.83,293.37,89.28,246.45,145.97,281.38,14.12,285.53,228.88,185.52,234.18,200.00,121.72,272.56,247.82,88.91,188.52,93.94,201.01,9.90, ,291.29,158.40, ,188.40,58.16,172.92,188.12,252.09,258.32,286.78,135.21,180.79,157.97,1.52,15.12, ,159.41,221.98,190.06,206.21,81.69,179.20,168.26,26.13, 
