Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131
 ,282.06,240.77,98.57,196.47,91.68, ,177.96,186.48,101.54,58.81,56.20,192.06, ,182.13,166.55,238.65,162.63,32.93,111.52,128.74,292.65,42.02,98.39,47.30,158.94,20.52, ,241.43,208.48,266.35, ,43.07,257.15,122.05,9.09,121.57,241.56,58.26,275.03,40.98, ,199.92,138.89,145.78,176.31, ,142.66,203.66, ,160.81,40.33,100.51,272.46,215.46,296.61,61.71,240.01,271.62,289.99, ,135.77,108.33,249.56,206.99,136.72,14.03,165.61,28.65,137.38,54.97,263.60, ,116.86,69.79,33.95,199.00,195.54,74.30,39.39,292.57,162.01,206.64,283.45,118.80,208.94,177.93,49.40,118.75,25.95,254.74,248.31,25.87, ,100.17,282.97, , ,287.47,82.22,23.29,196.41,62.73,24.18,31.61,14.47,182.05,152.61,151.31,267.82,249.93,224.61,193.45,108.47,186.47,258.53,44.49,56.01,137.15,2.93,236.29, ,118.34,219.24,71.71,28.12,175.52,291.50,289.57, ,170.49
107.59,234.34,283.97,259.29,70.53,289.88,279.62,125.16,275.75,271.73,213.58,76.87,30.11,299.27, ,169.76,209.78,127.14,282.76,21.15,188.02,93.76,262.99,20.00, ,205.45,27.36,173.34,128.74,289.52,71.67,297.77, ,296.56,63.33, ,84.48,97.12,176.97,30.84,11.95, ,217.41,180.61,201.91,165.18, ,293.18,66.06, ,67.53, ,130.87,142.22,50.04, ,227.01,14.04,243.25,107.50, ,288.11,138.36,62.28,247.31,120.75,46.42,80.91,195.37,0.78,127.13,276.94,277.83,124.37,151.50,39.58,268.70,209.26,0.65, ,247.96, ,261.33, ,42.24,29.15,108.14,81.14,43.69,136.79,15.84,103.43,108.45,16.79,24.84,136.79,174.63,23.38,46.08,179.93,204.17,42.33,275.82,171.27,14.93,271.44,76.94,78.86,190.45,21.53,219.51,211.67,243.06,140.29,31.86,77.46,229.30,248.34,243.25,224.63,127.68,288.96,270.93,90.00, ,111.53,82.98,288.33,212.91,17.41,255.24
279.52, ,99.31,172.04,259.21,0.75,292.74,291.51, ,81.51,221.01,201.71,162.89,181.11, ,198.51,68.67, ,259.94,56.69,75.11,58.76,100.00,164.52,137.15,147.23, , ,111.71, ,274.60,253.33,158.43,28.27,87.98,187.04,42.34,66.16, ,237.94,190.99,31.29,230.65,246.81,246.76,38.83,33.11,272.32, , ,111.79,212.15,56.39,139.78,269.35,88.32,222.95,9.75, ,240.39,254.26,79.52,163.11,45.88,70.82,189.20,241.18, ,38.62,10.33,157.91,159.76,186.97,225.53,36.95,137.10,187.24, , ,124.49,245.89,118.55,260.62,16.48,120.67,134.11,233.49,110.68,238.25, ,163.79, ,96.77,82.62,292.84,184.02,79.58,188.75,205.21,211.67,168.55,276.79,163.34,294.69,3.54,271.66,96.72,92.42,197.48,177.51,206.89,7.64,191.45,184.61,45.77,18.35,128.63,216.98,205.42,266.00,144.61,88.46,103.68,134.82,55.92, ,262.81,199.11,265.31,133.90,141.27
80.33,58.82,272.57,280.88,16.80, ,254.46,270.18,159.17,59.30, ,250.77,191.19, ,156.51,261.09,86.64,298.81,250.10,114.79,55.15, ,244.99,272.15,298.06, ,103.06,297.54,40.36,111.59,2.64,135.60,186.57,155.02,64.46, ,179.26,14.80,123.71,206.17,183.07,126.15,7.28,263.06,256.10,39.26,141.15,281.92,193.93,259.89,268.62,38.96,171.02,26.17,13.55, ,196.62, ,162.14,132.47,71.52,263.70,234.90,118.13,209.73,120.98,91.36,234.63,237.48,184.07,100.39,195.98,94.24,107.71,176.38,81.57,28.75,58.67,150.13,180.47,188.85,229.48,91.05, ,28.53,294.61,70.16,188.16,286.47,68.84,97.08,24.41,37.77,103.64,219.82,181.89,169.30,209.15,274.39,260.04,43.03,295.11,146.88,74.32,103.97,76.19,152.17,246.02,170.29,191.37,30.10,69.78,256.60,48.91,52.19,233.92,263.61,208.41,112.30,243.83,125.89,117.32,120.62,168.00,113.00,81.02,132.63,42.51,129.72,20.21,100.38
277.14,183.16,174.47,168.28,211.73,138.32,272.23,92.39,249.85,199.61,48.51,181.66,121.46,182.43,193.29,95.80,46.79,55.98,274.43,39.56,218.43,215.21,136.83,30.90,213.00,117.55,262.74,52.52,10.59, ,203.89, ,74.32,0.63,185.81,54.56,161.22, ,76.43,240.08,194.56,297.03,144.31,87.79,11.06,154.11,97.85,163.77,132.31,120.15,14.14,17.17,256.42,42.77,153.83,116.88,9.61,173.45,72.46,297.43,133.23,29.53,209.54,50.60,21.63, ,35.77,21.64,222.38,18.05,165.64, ,214.03,186.03,164.42,48.73,42.00, ,71.53,222.94,163.64,286.45,269.26,0.34,297.51, ,15.56,168.34,250.06,26.96, ,191.39,218.58,136.57,66.65, ,289.59,77.21,159.38,223.64,111.93,179.11,217.24,212.59,211.12,167.96,298.73, ,93.30, ,229.87,249.36,270.52,10.89,193.33,159.33,51.87,31.51,5.91, ,218.50,36.75, ,274.83,240.12,173.18,287.00,253.46,241.02,175.31,271.71
 ,131.03,174.04,217.13,108.21,230.65,200.23,107.85,242.22,42.65,60.90,33.51,192.63,104.97, ,56.88,213.82,219.35,53.10,16.57, ,182.46,156.56,56.16,185.22, , ,44.90,167.04,76.99,48.29,176.28,238.85,107.29,183.94,171.01,223.30,35.44,117.89,188.44,156.41,172.43,1.53,221.58,295.74,228.25,180.54,237.49,69.13,237.29,251.50,158.66, ,194.10,255.31,169.00,242.51,1.79,244.19,172.64,214.85,41.02,51.75,196.37, ,241.14,167.76,216.73,67.45,220.53,9.46,217.00,249.14, ,200.19,59.73,216.62, ,257.64,295.79,129.83,17.88,275.35,263.62,212.06,246.23,79.08,139.22,94.51,155.74,288.55,294.85,176.21,5.42,202.89,237.04,168.13,103.69,140.56,35.56, ,281.79,177.45,24.43,31.99,29.27,101.34,261.95, ,231.38,298.92,169.35,166.99,190.88,180.97,37.98,84.07, , ,13.81,293.72,167.79,216.61,207.85,96.85,70.54,238.71,162.51,5.41,145.55,0.16
227.74,243.06,174.50,281.10,277.18,75.65,81.33,279.88, , ,59.75, ,298.46,267.47,43.14,252.08,297.13,167.17,221.67,209.78,160.09,40.24,173.74,216.24,165.09,63.75,265.17,46.78,69.76,70.16,11.22,52.34,0.86,43.63,98.50,285.58,51.50,93.49,211.02,91.25,215.15, ,180.32,64.71,256.78, , ,90.19,122.02,237.21,142.18,140.03,145.31,147.08,192.11,82.15, ,158.26,18.57,297.30,240.90,162.38,55.36,110.06,54.09,228.93,50.79,235.65,233.98,293.46,226.38,187.25, ,45.51,247.92,242.50,162.59,15.90,139.11, ,130.82,201.13,97.68,148.42,98.30,67.60, , ,157.54,122.19,120.26,34.81,9.89,204.55,204.23,232.75,79.53,154.26,123.33,232.59,285.27,54.14,122.64,46.85,16.39,67.07,236.43,178.61,290.22,39.97,170.17,46.66,36.29, ,159.62,162.96,138.11,185.50,16.49,237.83,143.54,63.75,43.30,158.80,155.86,29.59,112.13,96.97,38.60, ,198.21
155.16,288.83,215.08,65.50,117.64,185.76, ,165.94,291.55,257.43,266.70,197.72,289.33,140.66, ,132.86,143.29,255.72,37.03,11.93,213.02,164.70,54.07,264.72,282.16, ,129.57,266.33,34.98,21.97,283.58,8.50,157.82,165.44, ,36.24,136.09, ,0.79, ,291.40,207.39,2.20,103.13,153.02,293.34,152.39, ,166.93,1.98,174.01, ,207.57,16.56,152.91,44.45,33.51,213.68,9.42,127.58,174.24,242.96,89.27,36.57,262.28,183.51, ,50.94,295.64,18.28,107.51, ,8.44,119.61,140.67,138.00,241.57,248.85,179.83,279.89,219.66,130.45,229.20,154.11,214.14,249.20, ,115.47,224.65, ,146.77,285.84,124.18,297.02,111.94,111.15,93.25,34.01, ,263.21, ,194.13,96.80,9.80,258.80,237.67,203.81,129.98,69.22,117.05,27.19,243.10,20.83,169.15,260.05,18.04, ,212.17,88.03,168.40,14.30,38.71,119.20,118.34,192.37,125.90,99.69, ,238.03,238.05,130.56
110.32,0.35,60.77,189.58,27.35, ,242.74,118.93,152.47,70.79,9.78,3.45, ,205.15,27.31,154.68,41.30,6.47,66.55,200.61,183.52,246.75, ,276.08,232.65,70.31,173.39,200.13,189.55,81.99,179.03,91.73,266.50,43.37,123.28,208.76,294.14,26.17,7.42,141.26,130.79,243.50,291.65,181.02,295.35,118.25, ,209.98,154.72,254.64,89.99,71.64,59.39,195.57,215.78,208.88,28.61,99.34,112.10,213.82,238.32,111.55,65.06,23.96,288.24,82.65,43.86,247.64,62.65,170.88,41.03,134.27,200.21,102.44,176.59,5.61,193.11,227.60,138.69,177.94,230.17, ,274.02,152.79,177.54,248.15,37.03,290.25,228.12,209.12,100.46,246.05,118.50,142.97,201.89,254.61,24.70,233.96,30.09,76.00,82.75,63.61,52.06,226.46,277.73,220.62,60.97,293.55,229.87,256.14,231.05,160.57,125.95,254.46,181.29,63.69,54.61,83.83,181.16,86.86,145.86,237.07,174.14,86.30, ,42.44,298.18,96.34,79.14,208.38,72.17
298.88,293.45,120.04,7.34,186.97,276.18,103.29,68.58,269.32,101.04,108.36,264.95,53.13,95.58,279.29,200.35,203.96,104.35,293.91,154.32,277.91,75.33,13.52,115.10,16.51,294.60,15.35,29.57,3.64,29.99,292.90,261.10,124.14, ,118.05,75.17,155.04,74.27,219.19,51.34,234.70,196.63,282.83,89.14,159.82,81.30,207.19,103.86,135.78, ,253.83,100.07,201.47,27.03,224.93,189.05,179.93,23.58,139.36,28.64,39.58,271.98,150.11,286.20,119.39,279.05,201.93,25.98,84.86,241.12,298.24,136.74, ,160.32,126.06,146.30,79.66,288.71,239.34,248.20,91.72,172.55,5.63,190.92,36.53,50.15,242.18,183.05,167.01,238.01, ,84.31,163.11,298.51,112.88,73.31,62.56,178.93,182.64,118.43,167.14,41.83,4.55,96.50,89.16,62.91, ,147.22,86.42,90.56, , ,284.85, ,161.87,51.46,149.55,36.19,232.25,230.13,0.18,61.70,166.50,171.58,271.83,176.24,54.17,126.23,72.63,239.53,285.19
279.01,160.87, ,93.13,81.55,93.40,91.63,274.69,54.31,188.08, ,180.67, ,6.90,101.16,127.20,258.34,14.66,279.06,244.49,123.08,102.12,134.24,99.21, ,153.52,298.09,114.18,243.56,185.67,243.87,258.44,117.15,294.18, ,24.04,127.88,180.77,63.59, ,162.80,233.76,297.36,187.77,110.61,254.26,262.56,155.09,177.65,297.62,182.47,195.87,181.19,217.95,106.58,234.94,56.88,285.70,100.55,165.79,4.81,207.43,18.17,188.37, ,186.00,217.23,263.52,120.50,172.37,113.09,166.63,162.20,68.17,135.88,82.24,246.45,254.47,220.46,102.19,51.76,183.94,227.49,223.41,153.97,279.67,201.10,49.52,181.63,279.74,59.33,64.54,264.27, ,184.73,21.78,87.77,184.95,237.46,280.18,186.38,265.11,277.06,202.96,293.03,20.10,79.98,75.08,46.35,5.35,130.11,232.09,37.09,274.65,149.46,259.99, ,225.10,7.84,92.25,29.54,68.30,192.88,115.15,196.72,283.98,39.36,59.89,48.21,231.90,26.39
282.75,217.52,251.51,244.35,273.56,156.66,13.96,192.23,28.17,38.37,216.75,23.27,34.98,153.58, ,179.97,76.98,71.12,193.72,229.18,270.05,94.13,217.03,204.13,171.85,84.51,209.84,207.28,197.22,40.07,72.99,17.70,162.25,134.80,85.31,293.44,267.04,67.25, ,271.39,103.09,14.73,174.32,194.37,74.20,100.88,246.12,256.00,183.17,230.90,130.13,232.58,261.91,252.73,251.41,76.20,188.60,41.60,267.90,123.73,109.11,280.39,245.53,151.33,281.21,67.84,77.10,296.81,20.59,184.99,173.66, ,62.26,68.09,20.02,248.92, ,173.53,168.40,278.90,247.77,101.96,71.44,16.04,218.06,17.79,8.62,64.25,253.71, ,78.90,107.27,198.50,201.34, ,20.40,108.58,180.01,283.78,89.59,19.70,36.44,110.71,228.93,80.17,291.32,261.54,290.65,26.20,190.69,299.95,187.12,179.26,19.08,18.58,162.85,116.32,75.76,244.35,101.98,187.33,207.90,221.00,138.22,109.65,214.41,240.00,218.14,168.65, ,187.23
145.14,162.21,1.26,288.78,191.22,193.28,221.21,205.52,180.37,229.41,67.13,149.29,257.17,37.31,250.83,240.28,150.04, , ,191.73,157.25,142.50,67.47,92.68,183.46, ,112.87,192.84, ,61.50,0.17,3.45,23.34, ,173.38,187.39,237.94,181.94, ,232.47,222.78, ,106.24, ,219.11,79.89,212.17,180.07,240.19,163.35,127.24,136.91,97.71,111.39,43.54,273.36,220.62,1.16,2.38,169.01,179.92,292.49,90.29,4.44,56.08,294.01,78.11,56.77, ,168.16,36.07,263.48, ,159.62,203.00,12.61,83.48,20.92,284.62,248.54,141.69,156.84,187.94,266.62,110.77, , ,295.22,64.36,34.34,20.54,85.96,9.36,225.67,245.42,141.48,199.34,198.57,118.86, ,85.49,101.89,144.09,39.85,267.13,291.72,67.68, ,100.83,146.50,268.70,236.79,285.87, ,184.44,212.22,183.44,2.16,42.34,188.10,103.63,129.34,46.33,24.42,297.85,169.90,231.55,261.14,247.69,135.09, 
47.30,173.04,105.23,87.35,46.48,55.10,298.88,248.04,174.86,193.75,141.33,69.26,179.25,50.83,246.07,266.12,286.02,38.39,297.53,42.72,295.28,245.72,248.27,190.06,165.19,260.84,1.91,109.66,141.09,157.69, ,123.81,29.47,118.92,260.51,163.44,239.94,250.23,209.53,124.15,9.17,293.51,209.88,125.35, ,285.84,251.85,72.54,58.75,151.31,296.02,42.91,35.90,250.77,213.70,94.15,103.93,239.87,211.99,244.97,128.16,251.76,260.08,112.39,59.82, ,55.84,241.20,95.57,7.14,159.07,159.71,205.83,45.30,73.81, ,76.85,201.21,216.95,52.91,180.12,293.04,168.56,19.61,148.27,232.07,124.04,73.54,239.80,274.77,9.17,235.65,120.48, ,37.43,167.53,178.28,59.81,148.81,276.29,260.77,5.82,65.30,248.14,279.58,269.54,192.67,180.48,73.56,93.32,15.50,177.76,241.10,150.46,50.07,163.66,68.02,185.45,209.26,128.09,17.09,133.67, ,14.14,124.26,281.77,46.99,113.01,183.72,91.23,100.65
 ,111.50,6.77,119.32, , ,104.87, ,238.54,95.73, ,220.00,227.62, ,170.24,271.92, ,63.15,119.49,164.90,267.14,227.94,87.70,33.87, ,78.90,263.49,83.79,94.63,136.96,99.12,218.15,61.16,134.18,56.49,253.66,82.45,215.41, ,273.88,105.59,281.69,143.47,20.49,250.96,189.76,187.57, ,258.60,55.98,46.89,208.10,99.95,125.87,159.48,289.24,144.49,43.96,12.70,101.68,151.25, ,52.10,152.22, , ,227.07,157.23,37.20, ,27.76, ,187.23,144.09,167.03,293.46,26.02,49.90,45.00,46.78,17.74,268.19,9.35,183.14,234.80,24.37,248.09,229.14,30.56,84.82,86.55,145.81,272.02,204.09, , ,114.12,149.87,207.52,277.56,25.81,10.99,286.66,58.19,94.40,289.03,286.34, ,132.15,229.52,92.23, ,43.10,17.08,142.97,52.20,15.25,32.90,128.20,285.32,235.35,275.14,258.94,299.96,93.64,145.96,280.34,285.10,153.17,216.42,226.77
116.67,46.64,268.25,169.12, ,104.47,36.37,292.23,28.80,91.49,54.63,197.25,198.08,0.31,137.11,127.03,113.12,152.37,37.30,131.81,88.43, ,124.79,16.39,293.94,214.13, ,127.12,126.83,28.78,225.46,123.59, ,236.71,123.98,158.82,31.22,239.61,173.85,232.63,187.04,115.29,137.41,228.29,221.81,274.28,178.95,172.54,111.78,52.96,8.66,86.94,61.47, ,235.32,240.01,277.99,240.85,3.99,7.46,257.65,223.78,139.90, ,71.33,288.40, ,297.06,198.44,97.54,44.31,15.94,158.42,150.89,73.09,135.11,104.38, , ,99.36, ,278.51,267.83,77.02,263.97,277.76,210.62,45.21,218.69,101.90,180.42,285.71,36.27,139.68,107.76, ,289.16,206.90,227.77,18.91,137.77,284.85,42.61,183.89,106.29,87.99,93.83,4.61,25.43, ,154.45,136.65,167.78,289.74,24.36,128.57,1.32,16.30,3.18,23.88,10.20,77.26,31.13,33.72,91.85,129.09,283.22,29.15,62.33,260.67,182.43
118.14, ,134.44,52.99,47.62,48.54,119.52,16.05,111.37, ,215.96,224.09,271.14,50.17,272.12,120.16,100.08,38.29,72.74,202.87,109.66,159.63,64.65,110.62,48.65,228.39,292.35,163.79,105.72, ,77.85,117.13,24.88,270.69,128.16,77.64,142.38,98.88,87.43,47.58,84.80,266.41,26.87,213.20,224.62,287.32,51.96,234.87,159.88,251.60,238.29,227.29,52.02,17.63,62.32, ,147.13,143.88,126.61,109.74,187.40,104.29,288.86,124.74,68.62,17.31,268.60,283.96,98.57,66.91,72.45,115.47,231.86,116.12,222.13,175.43, , ,299.40,188.47,217.33, ,234.63,123.04,297.72,79.75,239.21,80.30,133.23,3.20,115.99,14.71,237.10, ,216.83,56.25,247.78,62.38, ,76.14,189.39,97.57,81.70,286.90,108.12,161.87,212.72,172.98,19.71,51.68,26.91,280.58,123.10,194.59,162.36,150.58,44.58,20.90,284.93,288.28,127.94,204.36,128.01,268.09,187.43,72.06,195.09,46.54,6.78,243.52,211.85
220.90,42.24,82.72,249.60,120.22,221.15,118.19,101.93,196.89,106.06,203.69,21.59,19.35,191.35, ,103.20,118.41,99.20,142.35,9.80,246.60,134.51,205.52,73.10, ,62.46, ,266.15,71.10,118.37,107.73,296.98,138.19,270.57,175.60,63.77,26.28,272.73, ,178.26,54.65, ,117.11, ,83.25,245.64,185.32,107.36,42.10,104.74,288.87, ,101.79,218.49,116.27, ,97.82, ,152.47,158.33,207.48,52.83, ,52.46,23.63,126.29,178.12,223.22,273.16, ,79.06,96.85,66.03,293.16,119.02,75.06,115.20,10.23,256.97,220.50,12.37, ,78.10,174.04,125.43,257.63,226.26,191.06,198.47,114.75,95.79,109.04,75.58,83.37,48.56,164.11,84.48,108.29,202.87,163.91,129.52,122.51,253.97,177.37,290.34,186.42,252.50,159.26,87.05,271.69,14.74,0.89,80.23,261.81,91.51,11.40,247.25,276.81, ,154.18, ,146.30,223.94, , ,126.88,25.83,158.22,234.37,139.79,268.28
297.71,227.32,280.82,143.02,75.80,111.80,128.31,69.56,56.90,135.46,27.72,282.35, ,216.72,41.65, ,143.25,73.11,238.13,245.13,11.55,71.64,150.39,81.45,252.21,225.06,22.13, ,4.47,150.81, ,192.46,197.06,81.54,106.27,24.10,100.82, ,172.46,222.72,240.46,24.63,67.73, ,20.50,105.42,212.06,42.95, , , ,260.66,246.48,234.28,81.15,70.21, ,292.93,69.40, ,148.21,162.96,223.83,54.57, ,81.18,240.78,66.01,220.96,27.47,210.47, ,180.41,236.05,88.50,78.74,12.74,127.43, ,51.26,230.68,236.17,260.30,272.17,257.93,2.50,94.41,10.77,93.37,12.89,194.83,181.46,287.71, ,163.40,297.62,215.21,199.47,92.23,199.24,34.35, ,19.76,34.00,263.63,136.86,230.10,251.49, ,239.20,96.97,204.51,65.91,226.52, ,18.75,246.05,76.15,258.32,225.20,126.44,119.70,165.35, ,116.84,145.60, ,242.57,285.85,224.56, 
189.94,282.43,98.43,7.90,78.04,62.04,230.25,190.07,116.22,188.54,101.23,289.11,276.72, , ,72.31, ,262.25, ,194.00,79.73,61.64,5.71,228.14,74.56,129.51,58.08,123.84,52.20,41.89,260.70,42.80,184.30,295.27,280.38,235.47,91.16,217.88,120.80,32.83,264.23,86.13,180.40, ,232.60,223.51,283.63,4.32,18.12,11.92,5.08,264.26,292.35,283.06,82.17,122.05,93.30,63.66,164.78,297.24,296.56,58.90,54.57,296.84,87.91, ,92.99,65.73,202.30,141.23,109.27,113.57,63.60,150.46,262.74,176.45,120.66,119.02,151.77, ,224.45, ,25.92,16.41,221.30, ,62.53,228.02, ,14.82,121.76,275.65,289.38, ,110.04,263.64,101.07,8.60,116.02, ,179.15,143.09,50.19,162.97,189.85, , ,292.23,69.95,190.50,119.98,169.36,298.77,170.35,88.86,260.66,247.30,35.39,240.26,52.22,46.01,299.04,146.74, ,216.69,26.73,79.13,145.38,60.61,18.75, 
214.62,218.42,5.73, ,245.99,4.53,85.40,48.26,93.35,251.87,298.68,286.05,40.44,226.21,57.07,6.31,159.58,290.00,177.95,273.81,283.20, ,68.60,221.43,18.30,136.10,259.64,14.39,155.13,263.66,202.89,262.50,68.19,264.46,12.67,63.51,191.47,9.78,266.80,144.32,192.16,13.44,95.12, ,250.25,152.91,76.55,168.94,129.72,15.48,16.33,282.92,115.22,162.71,291.57, ,276.67,200.04,137.88, ,27.13,191.60, ,268.14,20.78, ,24.44,290.69,258.38,193.70,298.38, ,289.95, , ,136.41,256.73,263.73,1.42,166.28,60.98,123.03,153.58,106.21,185.00,146.60,40.67,156.99,69.12,247.41,113.55,106.22,58.11,44.96,279.08,241.00,45.66,121.83,258.34,87.45,75.00,1.95,154.25,212.76,5.86,61.01,243.99,189.70,237.17,61.65,145.91,256.31, , ,90.81, ,178.26,81.18,170.30,266.56,109.61,35.10,250.94,213.78,44.21,55.35,277.53,124.79,227.91,46.87,107.16
12.23, ,93.41,110.55,64.28,99.87,174.88,205.15, ,23.32,199.31,52.48,50.27,157.03, ,203.90,0.78,296.45,216.03,83.92,80.11,166.36,102.41,249.63, ,233.06,144.23,109.55,9.22,73.98,137.99,70.15,268.38,118.67,261.98,38.49,288.64, ,168.62,196.16,296.66,51.31,111.02, ,7.73,296.91,59.15,49.31,257.12,175.25,272.26,284.31, ,272.95, ,141.57,176.86,183.21,11.13,254.67,47.83,87.72,44.12,179.64,276.18,111.11,212.54,288.65,94.14,169.79,95.14,178.14,271.18,115.66,272.09,177.13,32.74,64.66,111.71,170.28,81.05,239.31,64.77,190.43,42.40,150.50,71.59,109.54,89.98,25.08,295.52,81.99,167.05, , ,90.95,66.65,256.78,165.59,233.92,180.45,116.25,113.86,59.58,230.60,148.59,211.64,157.89,172.37,140.29,3.69,252.86,103.24,76.30,231.18,24.86,286.54,142.58,28.93, ,259.54,172.38, ,16.49,257.00,98.04,166.34,28.53, ,131.77,248.37
260.02,125.46,245.14,214.23,295.50, ,255.03,241.72,131.48,243.35,147.07, ,13.41,214.30,15.20,161.44,146.68,222.17,193.11,238.70,212.84,223.73,189.24,223.89,223.33,2.84,29.17,197.59,187.36,175.18,157.96,166.14,158.08,276.77, ,215.48,168.45,82.25,38.92,74.52,97.43,101.24,285.79,6.83,32.84,203.55,276.67,101.54,98.26, ,149.45,173.56, ,23.24, ,62.15,239.05,61.76,261.80,181.46,177.84, , ,113.38,273.22,177.06,151.82, ,1.28, ,9.26,109.41,90.81,63.82,32.12,225.54,296.59,101.18, ,241.29,130.21,144.21,193.86,35.60,11.35, ,97.51,99.41,145.62,78.48,220.09,35.02,104.51,252.62,206.04,146.98,99.66,221.23,57.66, ,18.42,55.90,128.82, ,35.74,181.18,157.09,224.81,246.89,223.72,235.01,168.96,206.78,245.79,252.04,147.98,21.86,26.96,8.11,204.38,76.64,158.07,186.83,125.84,112.20,33.23,179.31, ,86.09,74.99,122.83
62.08,100.29,120.86,249.48,218.08,26.50,151.40,190.47,86.06,46.49,57.41,14.93,222.90,130.38,15.13,76.31,47.11,18.57,190.31,117.82,261.37,112.03,104.54,47.06,26.68,26.23,187.25,43.68, ,174.06,157.31,184.35,174.38,253.08,251.26,160.17,182.50,171.68,109.03,42.33,200.86,25.87,23.13,28.62, ,202.68,66.52,125.66,204.33,254.12,137.86,106.85,57.75,69.19,220.38,95.35,144.23, ,129.17, ,157.79,222.13,28.95,90.41,289.69,41.21,241.42, ,48.28,176.81,145.78,80.00,25.18,233.38,245.91,210.78,220.34,180.96,27.38,71.22,159.30,223.20,7.39,222.18,178.86,215.29,28.81,113.79,295.30,10.41,109.72, ,30.06,81.00, ,250.61,128.98,148.05,213.03,154.44, , , ,126.39,263.00, ,16.99,218.90,58.19,248.59,58.69,39.23,115.20,151.64,99.75,296.35,155.13,147.99,184.10,192.63,45.18,113.78,131.28,89.58, ,38.17,119.99,186.94,21.58, ,265.76
40.88,289.31,112.90,262.25,219.48,239.05, ,52.82,0.46,116.42,146.80,37.64,60.96,156.33, ,197.51, ,238.39, ,134.40,204.49,120.31,251.52,88.62,112.18,121.15,231.88,44.48,48.72,147.43,167.59,74.65,278.27,3.49,219.72,111.98,234.53,248.17,291.64,6.75,152.25,1.49,138.99, ,187.71,18.02,224.82,235.66,226.25,293.42,7.91,26.89,65.84,80.29,250.82,258.64,269.33,56.13,225.53,224.05,159.33,274.25,190.04,74.09,298.10,31.21,198.81,138.13,17.29,216.54,35.49, , ,261.73,58.28,180.99,0.50,224.39,124.48,184.65,230.73,266.07,188.76,20.04, ,37.33,46.08,280.79,28.19,182.99,43.90,288.07,70.74, ,45.49,65.05,51.44,112.90, ,1.65,277.76,11.92,273.83,20.53,279.26,240.24,155.80,232.50,10.36,172.26,48.73,26.03,76.57,91.78,279.51,276.47,121.96,272.35,46.40,50.42,41.60,187.91,274.79,41.27,123.66,246.14,238.66,151.27,293.97,109.31,36.47
230.75,74.18,254.23,195.98,146.24, ,34.15, ,154.56,255.26,89.77,150.61, ,1.88,167.52,152.97,281.40,71.75,12.93,94.07,170.83,279.75,94.02,243.38,168.46,19.37,209.39,297.28, ,299.16,261.85,134.45,225.48,174.60,86.14,159.38,20.28,199.40,52.11,72.06,81.75, ,228.43,56.37, ,150.70,20.36,168.95, ,94.43,90.01,14.16, , ,259.74,133.22,29.34, ,145.56,52.15,56.69,37.54,192.10,207.26,0.79,67.26, ,295.28,30.38,245.65, ,205.39,76.47,56.06,154.28,251.24, , ,59.65,290.33,108.57,164.20,273.79,25.55,226.75,174.81,277.40,179.44,251.05,176.59,78.90,208.74,237.31,38.07,11.87,248.71,225.98,229.81, , ,44.20,287.11,207.32, , ,147.29,42.68,101.49,54.75,151.72,101.77,289.03,218.19, ,144.17,163.90,95.05,88.15,106.37,273.50,150.50,218.16,102.93,46.37,296.80,76.22,158.37,277.89,184.20, ,28.37
70.01,61.34,160.46,295.63,101.01,18.12,284.67,264.20,9.36,223.51, ,212.37,230.95,196.34, ,102.45,72.19,215.83,61.72,261.05,243.91,123.86,223.34,225.03,35.24,76.25,0.36,171.12,272.14,121.03, ,223.47,239.47,146.63,157.64,34.06,166.83,38.85,19.46,53.89,182.62, ,141.37,24.44,213.32,73.88,83.87, ,14.67,53.75,253.65,84.21,126.38,83.82,79.89, ,133.78,195.24,293.53,110.69,49.10,14.55, ,98.42,16.18,244.80,274.38,281.32,186.14,9.63,272.94,73.25,223.29,180.79,77.05,156.04, ,180.05,89.49,208.00,254.58,98.44,295.46, ,54.05,113.53,152.98,153.19, ,76.49,252.80,86.81, ,181.83,157.92,226.18,199.41,50.91,178.26, ,175.14,270.00,194.78, ,281.24,137.37,263.36,6.06,233.93,63.07,12.96,107.18,17.32, ,68.24,197.23,143.02,224.92,130.53,146.69,100.94,179.04, ,26.17,82.11,36.52, ,49.48, ,288.63,189.62
