Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112
252.42,120.52,239.25,158.14,139.65,107.81,116.28,118.40,55.42,208.29,149.37,82.30,115.31,239.19, , ,165.63,238.72,20.55,157.92,156.16,143.40,40.18, ,158.59,132.59,23.09,112.43,161.48,96.62,122.42,146.40,249.35,230.92,79.06,93.42,265.05,101.15,131.17,6.18,175.62,252.81,217.95,180.02,248.47,266.15,60.37,63.08,171.06,245.22,102.89,207.87,129.63,296.95,69.84,250.57,141.89,144.18,268.62,139.26,0.85,287.97,217.96,70.94,45.06,39.13,54.80,215.89, ,212.84, ,215.96,271.31,299.18,117.69,139.69,184.89,62.36,201.75,223.92,69.33,288.84,116.92,55.46,228.07, ,73.30,161.61,8.63,168.29,37.15,263.81,20.98, ,193.84,36.78, ,106.10,267.63,203.65,270.02,239.34, ,12.64,43.72,27.43,50.03,0.34, ,294.44,219.70,100.94
87.68,204.58,5.42,108.35,183.48,145.54, ,27.64,78.65,17.19,34.55,257.63,253.34,29.33,292.68,261.37,167.92,123.07,185.49,170.05,178.75,240.10,8.26,137.02,39.11,192.99,221.43,108.55,223.60,35.21,218.12,134.76,176.65,147.73,253.11,156.70, ,96.80, ,64.54,61.37,124.66,177.31,104.98,220.87,123.74,244.86,252.66,127.89,37.45,191.44,293.40, ,259.59,255.84,209.48,295.41,50.95,190.44,54.75,17.91,0.04,28.18,226.65,169.79,145.25,247.39,138.82,258.22,140.47,32.46, ,27.87,191.30, , ,32.40,6.25,129.87,143.91,206.89,41.56,96.96,210.23,25.80,190.98,46.23,156.67,245.39,159.26, ,112.78,194.59,131.29, , ,154.22,18.42, ,281.26,172.77,135.66,97.26,22.78,131.68,239.67,63.99,213.77,211.71,120.77,170.10,226.77
285.31,0.06,156.80,294.14,172.82,228.14,156.43,113.58,130.37,65.19,152.18,120.54,17.77,218.19,72.40,169.51,15.97,148.96,150.89, ,23.71,130.49,129.32,107.37,211.78,182.63,12.80,226.69,179.37,294.88,240.41,236.75,155.82,147.09,257.21, ,280.92,61.44,92.39,82.08,54.64,92.46,255.50,87.47,133.42,27.06,195.89,137.41,22.72,41.10,200.93,282.26, ,43.70,86.75,238.64,241.20,89.04,136.83,189.46,176.51,196.07,40.83,214.57,85.69,275.95,59.22,119.27,1.59,97.62,49.54,84.92,217.59,92.72, , ,223.43,127.12,170.73,182.47,102.79,243.60,105.18,85.97,243.89,87.43,175.90,77.77,127.71,134.78,49.78,202.61,145.40,92.72,197.67,101.43,243.36,79.20,47.85,272.99,252.73, ,128.63,111.02,25.10,224.23,156.15,148.13,121.47,222.08,75.53,239.03
140.63,155.19,31.92,162.16,273.10,56.91,119.98,191.17,274.30, ,130.45,238.73,212.94,181.89,192.12,289.56,219.79,123.30,5.54,271.11,116.77,86.10,13.67, ,158.75,225.07,58.77,188.08,229.47,200.48,196.79,269.56, ,243.18,8.38,131.87,277.92, ,64.02,186.86,276.79,246.38,294.96,218.40,23.74,187.71, ,84.51,97.43, ,40.62,111.66,69.49,267.26,264.34,185.25,49.33,196.80,63.91,0.86,74.79,130.17, ,258.04,152.66,296.42,96.10,67.60,3.51,52.69,123.08,206.89,133.31,171.07,132.85,129.87,137.62, ,100.12,203.36,255.93,143.55,54.94,279.46,81.10,193.07,261.30,9.63,110.35,106.65,211.41,69.23,7.09,271.88,26.96,254.35,134.09,194.75,175.48,29.40, ,222.47,273.73,68.94, ,147.50,249.23,185.42,85.48,242.15, ,269.11
254.07,66.69, ,255.72,20.97,184.02,207.59,7.13,12.27,116.98,232.39, ,117.81,4.17, ,61.52,295.93, ,247.93,16.07,16.53,115.65,127.53,209.25,156.19,83.13,133.34,5.01,161.60,284.21,133.14, ,143.17,221.41,254.87,123.35, ,66.87,0.41, ,209.66,170.46,48.40,59.35,248.10,152.90,243.10,204.06,245.94,261.07,154.51,149.57,265.50,44.73,148.73,144.98,204.39,284.40,258.53,244.09,2.65,277.55,115.65,199.87,228.84,228.94,76.89,61.22,226.83,173.10,45.07,133.96,33.52,202.25,162.12,198.68,243.33,110.52,57.83,120.57,171.33,70.02, ,131.24,54.85,163.71,282.25,264.37,215.30,133.97,244.85,106.03, ,282.25,282.62, ,103.19,101.85,96.77,280.71,40.67,165.19,165.98,86.16,79.16,213.09,208.82,193.44, ,117.08,187.68,37.17
202.89,220.04,160.70,36.30,10.78, , ,237.84,1.32,180.51,281.28, ,139.22,226.45,104.16,294.45,260.71,106.75,32.69, ,2.80,274.05,270.51,228.73,29.31,276.55,232.84, ,144.45,290.54,203.81,294.43,298.56,10.91,279.78,267.66,46.39,139.17,136.82,288.70,96.43,21.72,151.59, ,296.04,0.25,280.41,61.36,93.52,189.58,296.28,166.50,279.56,0.56,169.62,28.22,164.11,236.51,98.57,180.07,292.65,161.55,275.28,151.73,239.41,267.62,274.48, ,254.04,97.64,36.54,21.79,29.44,187.84,67.34,79.87, ,260.19,69.60,246.40,4.26,262.63,121.50,106.00,191.14,16.23,9.47,206.49, ,175.25,110.79,252.52,104.54,150.85,118.66,74.43,90.58,2.61,81.74,168.46,130.85,16.56,150.85,222.04,109.10,260.28,39.88,110.55,261.87,272.45,47.72,120.51
7.13,200.75,62.84,89.20,210.59, ,61.45,131.29,112.97,133.38,268.47,143.41,8.05,85.34,152.52,209.10,139.36,191.56,95.06,17.43,171.37,198.00,127.05,105.91,257.88,272.88,285.47,39.24,221.09, ,73.61,291.20,96.16,255.98,118.48,41.82,88.13,5.23,292.06,126.85,292.40,204.96,51.60,257.99,242.32,127.22,39.37,80.35,141.84, ,260.32, ,67.55,66.75,62.16, ,189.01,99.71, ,18.46,217.09,51.87,59.02,175.34,297.51,233.92,292.02,99.67,295.59,286.33,240.00,121.16,237.51,147.01,7.91,199.40,141.92,84.41,130.36,299.32, ,233.24,207.46,66.90,22.66, ,85.00,187.41,221.41,18.21,17.57,233.88,251.11,168.24,276.73,295.27,126.47,209.29,118.18,160.59, ,94.70,44.03, ,250.19,121.99,258.64,294.51,56.53,268.31,281.15,223.37
221.09,187.14,143.53,66.74,276.07,98.83,69.80,82.82,257.86,288.38,44.38,109.01,228.52,25.69,22.37,186.09,298.89,73.85,78.54,146.54,166.36,140.35, ,223.18,270.87, ,187.36,227.43,273.29,73.71,65.62,248.02,39.54,24.93,89.34,253.98,158.08,181.25,56.51,221.61,165.12,257.20,221.97,48.87,40.58,194.23,218.65,57.91,89.17,71.58,186.31,114.38,145.91,42.82,189.88,215.08,14.03,107.50,56.90,131.25,278.94,203.69,167.73,155.78,44.44,135.39,252.93,275.15,245.40,1.26,282.40,190.29,88.61,232.42,154.15,243.00,89.15,30.67,108.29,213.77,113.82,83.49,298.94,165.58,76.61,79.62,83.17, ,171.78,287.84,121.85,260.29,140.66,285.62,215.27,11.31,285.89,151.49,59.41,218.21,286.74,83.37,168.22,101.16,20.99,57.29,140.52,97.78,124.57,78.71,255.47,107.83
150.49,293.98,169.45,213.65,297.24,201.93,50.30,205.46,92.10,214.12,280.34,213.80,95.31,144.73,82.53,292.13,211.89,142.92,198.31,237.53,53.58, ,103.87, ,175.16,229.22,167.27,101.19,14.46,73.57,247.28,111.76,89.12,225.53,105.00,288.60,19.40,181.99,146.05,46.88,259.19,110.49, ,211.69,200.11,281.10,55.47,171.07,226.32,220.42, ,44.27,42.25,189.14,144.08,248.79,56.40,167.06,34.44,78.58,252.83,223.07,242.23,183.20,286.59,157.53,77.65,291.91,265.46,44.14,216.24,0.50,200.91,139.52,220.27, ,173.10,100.38,47.09,68.44,147.24,141.73, ,43.53,43.90,165.16,118.53,80.97,54.02,286.58,217.23,111.64,79.94,194.93,263.59,33.61,202.82,89.52,103.98, ,147.89,44.28,260.58,16.91,179.69,66.19, ,273.04,10.57,101.37, , 
261.08,12.75,231.75,58.91,235.33,183.62, ,119.55,107.98,117.56,135.25, ,51.26,245.78,209.77,267.33,112.11,279.71,92.30,227.13,247.19,89.25,239.83,250.36,179.55,95.35,222.07,228.13,135.89,35.16,221.07,273.60, ,253.30,23.20,85.18,111.94,263.67,187.47,193.11,214.78,260.60,201.99,10.14, ,184.06,121.26,212.97,138.31,48.16,167.06,81.54,24.86,5.14,216.64,160.71,255.15,42.49,42.63,47.30,57.79,128.43, ,41.40,174.80,22.06,52.32,252.69,259.84,98.92,198.50,88.16,94.44,22.88, ,5.08,189.37,110.25,241.91,59.20,21.53,237.87,296.77, ,90.56,127.24,60.13,28.77,6.14,77.08, ,48.50,133.70,96.96,255.67,90.69,254.69, ,192.56,256.10, ,46.66,277.52,258.23,264.91,9.40,183.60, ,232.11,176.64,169.49,125.66
211.28,163.05,99.86, ,55.96, ,102.62,156.21,277.36,3.68,168.88,267.48, ,199.59,11.37,149.31, ,57.68,35.76,66.74,276.34, ,97.36,294.20,130.04,93.84,36.64,158.40,145.21,263.17, ,274.54,194.84,9.60,149.74,173.24,180.97,11.61,246.94,66.75,115.47,157.27,136.36,263.39,180.20,227.97,74.62,39.37,9.01,221.98,94.32, ,275.29,86.83,191.75,114.59,187.74, ,292.73,147.43,15.46,285.21,252.63,145.94,29.29,40.96,13.70, , ,110.57, ,158.42,248.01,138.21,187.32,128.48,98.09,253.44,69.80, ,129.63,70.34,197.77,110.18,246.58,0.39,147.96,215.57,124.15,169.22,75.90,88.38,217.96,267.32,242.78,122.02,207.02,231.31,3.66,16.25,198.16,7.38,192.77,77.13,111.54,276.82,66.22,201.32,238.17,27.85,32.84,253.35
42.24,44.64,226.16,296.13,77.53,170.44, , ,287.22,193.92,225.43, ,126.75,267.40,272.16, ,122.04,268.09, ,12.73,212.52,206.30,151.16,207.28, , ,108.69, ,72.72,8.90,226.46,69.35,225.37,250.09,19.39,211.69,230.91,218.27,28.16,155.70,162.38,74.24, ,248.51,158.58, ,260.53,28.10,196.51,247.58,0.88,64.78,272.73,34.42,0.23, ,155.94,8.49,74.78, ,23.29,77.53,166.60,46.16,67.94,148.16,89.27,282.49,61.61, ,96.03,149.98,292.33,159.16,139.01,26.53,257.22, ,28.71,173.56,179.54,17.55,257.02,176.75,260.87,194.73,34.38,260.59,33.28,52.15,105.51,60.63,243.30,298.98,163.73,46.89, ,64.44,71.06,247.72,132.12,205.31,220.46,203.32,279.55, , ,275.33,74.29,94.99,137.80,116.89
113.90,124.39,231.14,49.59,206.03,64.94,124.45,57.61,98.85,197.59,50.81,116.13,11.74,78.26,278.11,159.89,55.31,270.34,179.73,165.31,201.64,197.10, ,254.71, ,291.87,278.93,124.38,167.77,6.17,285.67,141.19,76.29,129.83, ,9.56,48.26,268.21,292.41,194.15,48.16,238.99,187.57,123.99,149.44,288.79,245.78, ,91.34,133.16,96.00, ,162.56,26.04,42.88,125.06,265.58,145.66,172.83, ,296.82,35.68,4.65,202.73,67.82,27.08,215.24,217.09,285.65,172.01,24.34,241.48, ,114.70,60.61,140.27,284.36,282.53,160.77,144.03,181.51,165.58,53.33,299.58,274.31,71.30,5.39,32.20,117.80, ,178.42,214.07,118.79,107.80,230.97,204.12,103.00,235.04,95.55,185.07,198.01,66.14,171.51,20.93,145.70,212.08,2.27,149.39,196.35,181.16, ,85.28
281.69,131.82,223.04,52.25,253.53,284.02,89.88,263.19,157.62, ,181.73,266.38,254.35,288.32,290.05,220.79,148.69,18.66,271.34,68.12, ,286.49,269.97,185.15,4.52,64.18,224.50,111.12,151.82,243.94,263.89,208.13,259.63,169.38, ,243.56,116.98, ,290.22,106.49,174.40,218.14,255.75, , ,98.27,40.71,275.21,153.16,155.33,139.76,88.30,268.27,184.50,162.04,180.78,50.09,79.53,293.75,110.88,102.15, ,142.86,92.87,104.52,2.80,115.96,5.61, ,137.54,235.32,242.70,268.11,171.27,261.02, ,71.90,185.06,112.47,232.42,175.39,181.54,254.26,205.70,180.99,97.41,136.79,191.67,65.10, ,112.74,289.17,217.39, ,198.44,108.65, ,284.04,183.33,122.06,67.92,61.82,179.34, ,276.33,59.07,86.93,154.17,172.40, ,156.38,48.25
239.19,254.62,46.92,85.45,18.79,250.90,122.77, ,228.96, ,288.03,80.79,2.16,43.66,163.02,182.54, ,121.73,107.50,137.30,130.41,264.25,257.18,106.55,136.26,193.98,23.53, ,194.79,224.13,96.13,138.50,298.41,100.39,98.88,226.10,275.76,8.59,189.55,66.09,189.71,170.94,125.13,230.76,257.05,258.38,242.03,31.84,88.25,29.23,277.59,231.48,187.70,212.88,293.52,54.21,80.56,203.08,138.07,225.61,288.72,148.30,280.86,171.19,12.38,256.25,155.75,243.31,127.80, ,121.32,174.91,215.73,207.63,238.12,47.03,30.19,181.55,211.88,132.13,74.07,237.25,188.31,7.36,252.78,52.46,298.72,78.66,27.43,35.88, ,82.91,57.95, , ,225.81,151.01,16.10,144.05,71.87,87.50,221.80,56.10,249.77,74.56,10.90,200.10,88.61, ,146.55, ,165.44
97.60,129.55,200.02,193.85,242.62,275.53,232.41, ,182.18,234.88,26.00,246.50,84.33, ,230.88,133.25,149.19,112.77,44.56,252.33,284.68,219.76,59.37,291.83,34.35,154.57,32.93,27.26,234.63,13.05,183.22,261.83, , ,11.15,87.39,60.11,158.44,32.27,132.04,137.49, ,292.06,63.96,274.40,76.98,112.38,114.40,204.33,35.82,157.96,66.31,217.64, ,197.52,197.69,194.74,195.95,27.25,289.73, ,89.06,48.67,189.08,160.11,9.88,72.34,53.45, ,271.09,269.18,147.66,198.17,202.05,268.17,237.22,98.90,46.96,103.39,234.57, , ,276.34,100.32,57.88,133.47,215.99, ,63.65,95.75,171.56,74.21,127.09,199.75,79.07,285.19,179.81,135.95, ,140.37,72.16,247.08,227.22,8.27,226.71,220.55,149.34,106.97,237.51, ,119.31, 
104.50,275.00,81.55,284.12,190.90,120.17,261.91,1.05,172.19,247.97,260.51,203.17,47.51,206.55,259.99,292.64,70.29,120.63,150.43,73.75,161.04,179.31,241.31,93.14,108.11,206.24,138.41, ,185.92,42.65,210.08,76.01,237.63,95.19,194.08,163.21,60.98,114.72, ,295.08,111.94,18.17,171.82,127.60,42.51,50.57, ,217.91,262.32,245.54,245.00,257.46,75.03,165.34,202.38,184.83,275.72,197.62,159.85,121.50,96.71, ,222.59,136.25,149.27,70.03,236.80,164.24,284.68,210.35,85.07,59.27,49.85,162.14,207.14,165.25,13.06,293.24,251.38,60.13,121.29,7.43,39.81,103.09,54.36,198.93,87.57,103.94,5.49,181.18,182.43,287.54,110.86,131.13,110.28,162.89,21.43,289.65,42.00,85.73,106.18,235.79,242.85,31.18,5.81,160.98,258.79,83.72,129.30,131.90,106.13,171.15
165.11,188.79,253.53,3.46,259.18,253.47,278.98,150.38,197.02,173.03,159.88,225.46,171.61,228.76,52.14,105.30,260.70,124.36,268.61, ,227.79, ,129.83,212.08, ,109.10,203.87,151.44,190.36,32.24,69.38,299.85, , ,129.99,41.46,77.97,18.17,236.35,135.59,157.68,13.22,107.36,231.67,77.71,99.43,69.74,119.92,38.10,286.70,44.56, ,122.53,230.48,133.78,263.89,33.76,129.40, ,46.49,145.86,54.23,234.15,114.10,193.56,289.27,20.28,208.42,156.36,163.06, ,39.14,55.82,28.23,73.42,231.71,61.14,59.85, ,183.82,44.13,272.71,257.65, ,166.07,223.58, ,208.23,127.78,267.40,185.00,274.10,84.32,161.42,39.58,130.29,288.37,0.79,207.82,254.07,124.51,198.63,268.28,8.03,263.64, ,148.64,270.83,212.37,110.34,290.12,182.89
266.56,214.32,265.13,181.71,297.27,138.81, ,245.68,125.70,77.17,57.95,93.25,117.58,117.20,33.92, ,247.45,110.38,289.59,34.52,15.69,232.66,125.50, ,227.24,9.50,210.42,209.62,74.31,47.46,197.39,286.91,28.83,60.83,38.44,225.11,152.03,142.40, ,104.69,9.64,116.22,103.10,223.68,257.98,154.23,148.27,136.41,264.45,159.56,223.70,80.15, ,37.05,154.47,80.52,129.09,77.41,76.31,66.82, ,17.71,68.56,272.93,264.70, ,124.26,13.92,172.56,268.10,123.19,29.05,83.77,176.92,1.28,122.26,136.32,85.81,109.88, ,14.84,83.94,40.76,118.98,48.92,129.02,89.53, ,293.24, ,170.16,147.01,18.81,259.71,0.92,170.00,279.92,169.20,289.91,240.22,70.88,75.23,247.67,151.49,158.00,80.98, ,227.98,102.21,111.26,144.02,32.34
224.52,265.93,207.09,228.60,246.76,91.22,165.42,298.15, ,185.01,142.13,109.63,70.63,104.94,96.74,265.31,274.07,159.40,89.58, ,105.57,108.80,128.71,152.77,74.88,11.87,108.88,66.17,50.91,207.51,115.64, ,9.11,131.68,193.58,203.79,26.83,193.44,14.54,76.39,242.54,153.28,152.02,265.23,184.48,162.09,99.77,117.54,50.27,277.38,170.48,28.49,67.00,120.93,89.57,222.94,240.46,231.18,209.78,47.07, ,209.16,280.31,80.16,78.58,66.56,199.87,50.92,14.72,218.12,62.42, ,94.53,95.42,148.39,222.12,99.46,104.61,82.97,142.25,211.49,238.70,71.50,284.84,201.14,86.80,20.10,16.59,258.14,140.33,117.21,1.98, ,106.59,248.07,120.99, ,292.62,84.91,245.33,232.80,27.43, , ,221.84,162.15,272.46,286.51,64.92,6.33,95.07,178.10
 ,298.31,98.69,270.48,2.56,95.62,67.65,292.89,37.06,277.33,125.80,203.55,44.72,221.79,287.11, ,21.69,151.15,111.62,177.73,210.94,70.06,285.61,52.86,222.35,78.11,32.00,42.94,102.63,169.25,222.09,230.23,89.04,151.03,289.76,175.11,246.71,260.67,130.46,33.10,219.74,192.20,169.12,199.21,170.13,49.14,144.57,35.99,60.74,134.29,215.78,251.20,254.57,94.81,225.41,137.84,239.13,96.89,265.19, ,135.32,129.15,209.13,263.53,169.25,277.03,66.33,170.96,241.00,23.64,8.24,163.87,90.69,250.27,159.10,278.95,10.93,221.95,216.60,62.81,36.03,5.61,26.27,31.18,259.40,293.30,206.38,121.02,51.08, ,210.18,174.96,28.59,126.55,199.66, ,285.51,51.31,150.41,167.70,44.86, ,38.16,142.79, ,139.86,287.04,156.58,210.83, ,193.88,281.95
199.76,79.05,44.73,98.22,237.87,167.18,216.23,159.70,100.67,198.89,62.50,203.66,145.58,100.50,152.57,133.00,75.88,0.13,282.24,242.93,78.17,285.08,15.45,53.43,220.24,163.19,187.07,49.94,31.69,72.12,232.90,236.58,117.18,129.39,35.07,19.53,182.43,107.65,149.39,14.00,113.39, ,0.46,102.31,275.72,105.24,185.64,96.55,127.54,23.81,68.33, ,181.57, ,289.22,100.49,190.44,263.68,222.49,11.66,297.26,277.54,147.35,112.86,57.61,277.16,167.36,177.55,227.07,64.95,32.55,66.58,35.57,290.62,294.41,282.85,289.66,94.16,123.58,80.92,147.41,262.61, ,140.16,30.64,193.58,28.82,13.51,94.60,242.44,38.18,35.51,234.39,124.00,119.49,152.33,178.43,263.28,13.98,21.84,99.71, , ,274.45,80.35,48.83,121.70,267.52,116.85,153.12,273.32,271.87
273.28,36.06,43.51,40.00,94.67,280.76,268.24,91.28,24.26,71.40,227.13,3.17,240.84,284.84,128.90,39.81,107.01,38.74,125.92,215.87,218.45, , ,151.84,235.29, ,6.69,165.33,25.23,286.44, ,200.60,150.87,112.60,16.29, ,142.20,24.27,148.51,69.60,72.74,270.50,105.90,270.90,22.79,180.55,177.66,209.84,225.57,0.67,166.54,291.86,82.07,71.53,237.03,265.79,8.82,258.61,213.48, ,236.27,266.50,103.29,155.34,266.78,292.04,172.13,142.10,226.12,252.40,95.27,122.51,102.36, ,217.08,293.16, ,218.80,154.04,10.75, ,277.53,5.50,187.09,269.87,75.67,20.36,223.38,54.89,216.25,92.07,85.96,136.36,4.02,148.53,116.64,39.56,172.87,221.95,194.61,127.92,19.93,202.66,262.18,271.72,71.23,11.76,149.01,151.69,254.02,179.13,158.13
164.83,263.76,90.96,278.60,128.65,67.16,241.83,288.87,207.77,277.34,217.29,67.65,279.37, ,158.51,227.33,257.15,40.96,49.29,22.52,27.99,35.34,262.88, ,176.43,108.27,191.97,280.11,94.54,281.28,117.99,91.07,30.75,236.15, ,135.49,66.87, ,102.21,81.11,270.94,139.34,111.31, ,91.42,199.31, ,63.05,45.80,64.08,203.53, ,2.23, ,69.10,66.65,221.97,38.21, , ,272.12, ,76.89,199.78,58.92,39.26,217.79,291.89,96.91,145.56,127.83,168.25,160.61,48.99, ,241.90,255.32,30.28,290.91,63.95,97.23,6.37,153.73,16.92,296.67,293.63,136.87,264.06,248.20,12.89,81.39,70.24,168.81,200.88,138.83,126.83,200.78,261.09,32.97,202.58,287.05,125.45,283.80,87.82,93.13,188.57,55.50, ,224.30,112.12, ,76.96
134.22,44.06, , ,73.33,106.67,131.03,184.30,21.63,46.83,72.83,289.28,194.21, ,253.55,136.65,89.60,285.94,91.57, ,168.60,34.40,214.96,207.38,280.26,71.38,43.77,262.49,272.55,233.57,110.25,161.83,35.81,247.91,0.91,202.71,183.75,144.78,102.55,197.97,281.17,109.91,113.57, ,86.11,291.56,39.36,273.12,273.58,249.24,183.37,279.43,162.16,197.66,19.09, ,101.91,128.19,255.93,284.22,27.87,5.49,252.67,112.29, ,294.75,293.56,181.65,231.00,189.53,4.68, ,163.52,9.47,222.35, ,206.57,261.34,284.82,72.56,212.80,144.92,229.81,85.67,111.47,155.28,145.33, ,223.81,220.16,15.19,198.69,49.07,210.01,162.85,241.52,223.32,235.85,197.88, , ,185.80,164.62,78.55,96.42,48.06, ,63.25,134.34,208.16, ,77.12
232.44,266.15,286.71,286.62,276.34,193.93,136.38, ,214.92,145.35, ,161.92,194.43,287.26,229.16, ,6.28,60.70,140.98,11.62,203.07,19.32,90.14,242.62,230.38,231.82,74.82,237.65,257.43,214.99,187.82,292.04,89.45,219.01,269.19,273.42,126.84,278.50,174.19,65.68,78.66,180.30,60.50, ,17.93,296.20,264.43,173.75,0.26,77.55,195.68,204.11,135.03,46.45,71.04,117.70,46.22,55.91,175.69,280.90,250.47,75.34, ,249.09,188.18,150.99, , , ,139.20,219.82,46.21, ,163.91,199.43,222.37,154.80,80.02,46.71,123.77,245.04,35.06,248.43,252.08,45.22,158.89,194.88,85.63,197.74,52.20,228.65,196.29,70.81,131.87,33.45,79.13, ,114.19,276.93,63.79, ,38.84,84.86,200.04,119.45,120.03,194.95,146.22,132.12,67.56,34.55,219.63
79.49,227.87,225.06,254.98,273.55,77.18,227.55,228.91,74.99,218.65,97.62,61.18, ,128.74,16.45, ,130.13,61.50, ,286.56,155.43,259.65,285.40,76.81,246.97,37.60,42.46,93.53,68.72,89.23,217.01,127.22,235.81,91.89,36.91,279.90,286.67,41.60,257.62,234.69, ,272.29,284.68,294.03,48.56,181.25,234.32,73.25,222.73,56.60,246.63,196.44, ,135.99, ,93.60,28.48,241.19,198.69, ,192.73,29.17,199.13,144.36,48.45, , ,165.67,204.81,221.77,122.42, ,216.21,223.33,149.55,245.46,90.40,240.98,255.24,7.42,295.38,278.89,2.28,270.12,141.87,249.38,93.25,110.01,158.50,254.14,197.87,56.30,125.67,96.56,148.30,11.34,297.46, ,299.74, ,27.35,189.08,254.81,283.87, ,142.37,245.93,296.03,206.73,271.20,80.86,52.31
63.45,182.30,144.12,280.96,209.38,251.45,4.94,169.98,225.56,167.92,162.76,17.02,148.26,273.50,40.32, ,103.77,296.26,65.92,138.41,87.68,79.74,193.47,143.76,239.07,131.16,18.87,127.58,143.38,61.86, ,87.68,259.90,182.72,75.40,255.75,148.69,283.42,37.76,266.24,236.01,132.15,141.21,174.16,270.64,291.43,146.09,229.60,88.58,223.33,173.34,67.66,23.37,144.50,48.02,62.12,233.07,30.61,21.54,3.85,194.73,35.32,74.38, ,162.96,70.14,250.59,94.60,272.60,117.11, ,227.84,177.74,290.13, ,11.66,239.04,7.84,39.16,8.70,195.47,81.34,198.60,214.84,4.53,138.89,221.17,49.49,210.35,7.15,145.60, ,84.64,239.65,61.81,27.67,183.78,147.24,97.93,64.22,183.69,230.04,172.83,54.82,172.99,197.00,110.82,223.50,238.46,214.43,151.47,66.18
141.43, , ,92.58, ,276.27,260.54, ,223.18,263.19,1.63,87.86,76.00, , ,174.52,14.75,164.44,61.23,294.35,245.23, ,275.73,95.22,44.79,159.44,131.75,82.83, , ,67.94, ,82.41,125.55, ,289.99,16.55,172.43,241.09,157.11,22.55,153.08,120.88,148.53,268.12,244.57,126.64,66.41,94.93,155.39, ,145.38,267.62,242.60,82.33, ,299.14,39.46, ,160.34,140.37,132.86,57.55,198.37,210.86,164.99,83.61,157.68,127.24,70.23,55.33,271.81,151.70,181.91,188.15,168.65,155.23, ,212.77,298.61,56.81,147.82,10.42,121.11,32.14,9.65,1.74,73.79,13.90,26.11,158.25,186.47,223.59,287.01,33.93,119.20,212.43, ,222.86,175.28,204.06,171.92, ,34.12,267.63,49.95,65.85, ,252.31,285.70,81.98, 
67.59,264.96,208.29,202.88,194.41,284.27,237.06, ,271.19,107.17,120.11,85.06,163.03,123.29,177.66,270.79,272.87,16.83,120.34,155.77,230.37,184.81,157.98,86.01,245.29,148.38,294.10,93.73,270.80,5.86,122.30,200.34,188.70,48.05,253.14,209.58,124.74,129.98,269.52,111.89,109.17,280.22,193.70,260.41,290.97,12.96,242.91,208.43,130.48,140.63,160.30,267.12,144.60,267.76, , ,28.93,39.91, ,233.61,185.94,74.05,111.07,95.11,95.74,154.85,67.35,212.52,205.58,262.16,165.33,15.76,105.20,284.89,63.55,197.43, ,271.49,127.68,196.81,254.54,6.91,190.87,219.29,150.96,270.59,282.18,169.40,152.06,212.04,70.97,163.84,147.15,122.16,294.12,126.88,142.49,255.43,79.17,41.80,291.57,83.77,59.26,200.91,260.59,177.73,243.49,52.02,176.89,65.46,193.15,119.68
26.14, ,105.31,110.82,241.40,119.22,182.47,116.06,32.98,271.52, ,13.09, ,189.98,28.58,183.88,180.67,247.06,288.54,205.62, ,147.02,207.04,105.03,178.24,12.41,170.34,279.74, ,242.86,184.23,134.39,192.37,287.63,270.85,191.80,75.52,23.49,186.66,103.12,263.91,178.50,172.28,50.89,148.93,129.11,265.20,101.26,278.56,296.99,65.07,125.88,168.42,138.68,235.04, ,198.95,99.66,116.01,20.99,204.03,0.83,279.94,38.45,242.88,134.50,192.42,18.17,191.71,171.69,102.58, ,1.53,267.61,173.23,292.62,226.75, ,163.94,10.10,124.82,29.74,145.27,282.61,255.17,30.98,121.10,240.34, ,297.56,106.71,279.38,215.74,106.71,70.06, ,272.45,224.58,178.16, ,160.77,179.53,264.27,156.19,246.73,232.91,101.91,115.07,138.96,287.42,292.32,39.68
