Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124
17.95,116.24,59.22,204.04,236.97,41.05,76.53,63.86,215.35,75.88,281.01,171.87,269.24,198.81,158.42,151.11,207.04,272.18, ,176.22,62.54,137.75,292.75,145.17,68.25,200.10,20.84,190.02,95.56,27.90,178.91,1.15,247.78,27.46,94.07,10.75,119.91,237.93,1.40,236.88,122.93,87.80,263.29,272.86,298.30,208.89,41.50,232.49,178.55,203.32,163.64,129.23,62.57,96.21,150.26,133.62,170.05,116.97,199.23, , ,90.59,74.74,11.13,121.37,267.18, ,130.82,291.53,1.32,210.56,208.95,198.91,113.70, , ,19.55,139.24,179.54, ,11.63,299.04,141.14,157.68,97.04, ,211.40,53.66,163.04,65.61,144.76,182.27,126.36,232.81,36.97,94.61,136.76,133.98, ,276.32,90.78,154.63,260.28,183.48,14.56,146.69, ,224.44,47.50,99.69,171.86,55.34,42.78,189.47,55.05, , ,227.10,209.95,286.62,216.28,275.15,68.03,71.13
201.89,57.68,257.91,260.48,264.96,34.46,102.49,173.62,106.69,162.41,188.52,52.36,80.66,266.18,103.12,246.56,109.94,73.93, ,240.57,82.98, ,154.90,272.81,221.82,112.35,2.52,283.93,34.26,264.15,34.19,242.44,123.23, ,164.42,236.50,234.67,48.22,31.99,120.86,36.97,237.22, ,172.15,190.50,235.33,189.03,124.90,48.38,107.68,112.55,139.84,146.62,6.96,129.75,115.52,159.07,191.84,58.00,80.94,270.40,103.16,285.78,290.92,176.18,237.50,10.54,247.46,175.10,151.82,76.53,259.47,202.84,213.64,215.30,209.35,10.84,45.15,240.57, ,116.74,268.29,145.20,52.93, ,7.36,225.59,121.53,19.50, ,233.14,251.67,194.56,238.55, ,235.18,218.59,264.37,234.26, ,279.90,200.81, ,55.00,214.03,11.29,200.89,166.66,299.33,80.65, ,287.72,268.11,237.83,99.72,168.34,189.53,292.34,48.87,145.34,36.50,186.39,222.75,136.69
 ,231.06,70.10,177.21,232.10,27.17,112.28,34.51,207.78,274.19,231.61,196.09,173.14,229.80,278.10,227.64,165.16,61.47,182.33,149.93,42.42,67.94,166.08,150.46,202.17,120.36,62.53,62.20,290.53, ,268.63,277.90, ,163.59,202.02,196.54, ,238.96,192.38,269.45,205.77,144.77,271.14,0.71,99.54,278.12,286.63,59.62,117.00,128.12,94.88,245.27,298.48, ,190.87,219.64,145.32,278.25,41.56, ,29.16,20.59,206.66,254.02,271.75, ,99.87, , ,65.02,272.39,51.04, ,270.68,34.12,274.98,82.67,201.84,105.69,119.10,229.65,278.63,144.14,1.27,91.79,28.92,247.57,243.68,166.97,107.56, ,82.54,38.13,220.56,144.67,63.16, ,140.04,5.77, , , ,203.46,147.55,239.85,98.21,23.80,172.45,170.32,55.27,192.71,280.71,158.00,272.30,183.91, ,120.98,132.99,16.06,250.21, ,54.65,251.97,161.42
 ,31.74,256.00,235.42,203.61,193.55,245.10,131.40, ,252.38,33.87,299.15,5.26,222.78,239.35,138.37,299.18,132.51,295.10,277.31,259.04,224.19,195.21, ,65.70,290.29,203.26,47.94,50.60, ,110.51,9.20,158.22,287.97, , ,46.16,13.71,277.67,211.72,206.41,238.59,239.93,279.06,35.32,35.87,25.16,210.86,95.25,42.73,59.82,66.29,120.55,111.17,17.89,271.12,225.33,24.23,245.82, ,17.78,116.83,97.94,207.64,111.52,94.86,14.33,192.96,25.87,278.49,60.07,112.26,240.14,130.42,253.10,120.98,100.84,41.76,165.36, ,276.88,86.29,162.41,80.73,285.91,8.23,113.58,228.23,263.19,50.20,188.61,247.65, ,185.45,165.74,150.65,27.69, ,215.46,203.52,190.88,49.70,5.41,222.15,83.06,169.15, ,57.76,259.66,266.35, ,132.10,269.15,223.63,232.75,129.02,135.27,25.71,219.00,48.25,264.76,26.49,264.57,191.67
298.17,230.31,227.43, ,196.58, ,164.46,101.94,120.72,13.38,122.18,177.55,73.53,1.74,276.22,138.52,230.28,276.81,279.98,223.01, ,274.69,265.28,84.00,79.85,272.13,143.40,103.83,278.04,15.57,222.35, ,90.24,53.28,72.77, ,295.78, ,270.47,37.36,118.52,9.45, ,235.72,172.77,296.95,285.68,228.87,294.42, ,206.59,65.31,231.99,275.14,108.68,18.96,175.20,142.16,277.21,120.37,283.18,257.30,145.60,62.86,264.24,51.90,107.04,150.19,153.81,23.47,70.93,108.53,179.92,130.78,61.11,117.48,111.07,178.29,44.60,10.31,149.46,179.67,179.43, , , ,19.00,226.13, ,172.26,54.95,98.50,254.19,160.36,290.74,21.94,279.80,44.18,145.91,162.86,195.80,73.14,288.59,47.06,163.32,279.68,91.42,37.12,174.59,111.86,46.95,53.38,272.44, ,118.35,86.45,47.80,89.28,298.51,172.58,62.68,215.39, ,251.49
54.39,39.80,14.58,49.95,213.10,281.08,140.74,223.15,180.87, ,6.38,145.52, ,208.20, ,85.49,34.16,139.29,39.69,174.82,55.49,39.54,223.86,218.62,99.40, ,32.47,244.18,167.18,131.33,59.37,160.87,248.16,283.55,200.45,283.23,44.58,66.43,149.86, ,206.79, ,144.59,138.23,5.41,169.92,271.29,241.66,32.09,99.11,88.20,29.77, ,96.20,199.58,296.29,80.94, ,39.75,294.17,195.37, , ,109.01, ,220.76,147.31,162.99,37.76,279.85, ,244.45,218.25,32.14,205.13,209.37,151.41, ,268.24,239.11,20.29,56.95,271.25,34.35,243.72,56.93,296.03,155.91,12.35, ,204.10,112.79, , ,295.39,89.19,294.06,238.16,241.13,102.67,42.92,128.83, , ,258.44,127.57,95.09,291.84,196.56,191.95,235.80,3.95,64.85,68.10,40.38,294.86,18.94,82.62,146.70,72.16,271.00, ,36.21,253.70
94.17,295.03,52.29,26.46, ,132.59,227.70,99.10,132.27,206.91,165.92,110.67,129.97,58.86,103.66,206.95,252.52, ,139.43, ,165.89, ,298.48,247.08, , ,223.91,220.73,35.38, , , ,123.08,112.79,280.77,20.01,33.76, , ,132.45,196.68,237.09,98.91,263.96,252.65,33.46,168.81, ,232.37,289.60,5.90,35.56,236.35,59.41,41.56,177.12,56.16, ,236.93,245.99,240.59,34.31,202.89,172.34,135.48,59.00,71.35,225.83,211.70,156.40,236.23,133.48,72.04,133.64,290.29,209.86,278.28, ,181.17,77.26,282.76,9.58,214.06,98.86,196.63,167.46,229.75,286.48,255.39,279.79,139.21,174.21,37.70,275.01,265.65,169.45,194.98,121.45,163.97,120.10,213.83, ,143.58,200.07,126.29,269.51,273.93,191.99,169.47, ,212.66,171.26,231.43,215.43,122.60,167.59,269.80,134.11,51.18,3.77,73.84,60.57,245.94,154.74
196.09,165.76,276.00,22.74,188.46,81.53,79.35,61.90,28.89,155.52,192.59, , ,131.30,229.17,118.07,63.44,1.73,122.92, ,145.66, ,83.82, ,163.17,227.63,244.71,67.84,16.22,55.66,58.42,211.82,265.19,199.09,297.45,102.27,94.51,160.33,31.75,114.92,42.84,107.25,166.19,12.33,102.20,165.05,215.11,296.28,72.60,159.65,23.66,45.23,209.86, ,241.61,182.29,75.43,243.78,91.03,75.31,221.07,138.49,58.41,77.97,287.96,239.35,186.11,21.78, ,269.92,11.46,191.78,263.58, ,261.75,225.06,152.31,148.36,223.00,109.32,160.12,116.17,263.37,36.46,296.93,255.08,99.70,65.72,280.31, ,242.06,68.82,121.75,265.75,253.04,3.09,40.57,88.57,291.77,176.50,87.79,232.00,64.44,27.44,229.04, ,171.10,215.43,241.06,254.24,198.49,137.92,175.27,259.46,158.10,191.80,138.10,67.03,220.98,127.27,244.80,70.43,96.44,104.40
231.32, ,129.81, , ,68.61,260.16,34.69,275.72, ,132.27,248.41,252.51,277.08,52.81,13.21,33.36,186.76, , ,94.49,69.35,138.21,55.36,280.63,178.38,40.38,254.88,169.22,150.71,71.97,56.86,107.21,80.74,13.58,283.38,164.57,153.90,25.83,274.73,239.67,132.98,160.01,88.91,227.87,196.56,252.60,123.16, ,203.90,255.41,279.98,57.47,94.66,68.41,179.57,51.87,43.94,192.68,120.82,59.68,118.47,13.04,182.68,13.72,69.45,279.47,209.89,92.00,241.78, ,121.35,168.60,115.33,46.71, ,268.62,81.77,66.33,158.98,172.70,141.83,286.53,51.99,56.26,238.95,115.12,41.60,125.66,15.84,263.44,79.60,71.56,94.94,244.79,231.31,9.85,191.32,259.13,209.74,157.57,218.40,277.97,66.12,152.78,253.12,17.73,147.49, ,83.47,62.78,285.74,190.52,192.38,158.49,289.51,95.35,285.44,20.86,178.36,289.87,43.00,126.24,198.46
209.74,249.43,131.72,241.80,224.31, ,82.79, ,158.77,265.75,171.30,281.31,76.49,158.17,22.15,227.15,66.07,202.55,109.40, ,51.20,174.97,43.47, ,19.95,3.49,260.75,272.31,224.46,213.24,168.30,67.03,156.00,232.34,148.58,92.81,92.94,274.21,192.78,25.08,48.51,198.43,203.38,251.31,219.55,210.46,99.93,183.30,110.58,14.48,157.38,58.41,256.60,228.64,264.59,62.11, , ,22.35,131.29,13.51,138.22,142.41,35.01,183.01,19.65,33.76,79.81, ,79.43,175.17,30.45,61.80,274.37,43.30, ,276.97,27.68,257.29,246.92,166.61,14.93,280.05,214.33,74.86,139.29,252.65,29.85,133.76,94.94,191.21,280.72,183.21,107.55, ,54.47,45.10,147.72,164.45,145.69,271.27,63.59, ,135.55,296.39,148.42,166.62,269.65,207.80,155.75,293.35,69.82,79.34,273.86,118.66,156.39,141.53,106.55,255.39, , ,211.40,43.11,0.75
225.37,165.61,223.91,115.36,285.10,247.94,205.40, ,61.79,270.75,216.11,96.74,195.65,69.60,91.63,157.53,72.99,270.00,290.00, ,283.72,293.83,71.58,144.09,223.76,1.48,196.95,106.83,239.47,156.17,21.05,103.00,106.63,124.12,64.80, ,226.84,163.39,262.05,40.07,242.23,147.98, ,147.85,282.19,237.81,158.53, ,261.54,86.59, ,162.50,279.89,284.81,195.45,132.40, ,278.90,80.81,278.31, ,207.30,62.04,258.27,103.98,182.11,24.83,92.44,233.25,219.39,242.68,98.85,28.76,53.99,100.52, ,238.24,70.53,217.63,16.42,19.62,20.32,279.49,298.22,128.84, ,46.90,201.05,88.32,165.45,114.73,23.17,204.21,48.49,96.40,278.78,283.76,254.92,212.93,187.76,279.35,165.94,271.54,28.72,55.43,2.22,243.33,247.83,260.13,136.92,190.88,256.71,157.21,143.44,215.87, ,161.67,213.16,105.33,255.87,26.45,293.22,31.88,149.55
201.63, ,127.94,33.35,292.33,96.80,169.60,281.43,174.34, , ,257.47,190.16,157.66,224.55,106.98,230.84,79.53,38.53,100.67,292.12, ,88.92,132.05,210.21, ,62.35,210.20,155.28,251.16,175.45,94.23,53.61, ,133.14,25.26,196.06, ,289.06,121.66,191.65,128.04, ,190.39,109.37, ,209.73,55.41,37.08,67.61,174.72,223.83,79.60,166.18,297.19,236.34,73.08,42.09,291.11,91.51,50.62,220.78,218.38,127.47,41.72,261.84,150.22,111.75,267.24,87.46,199.76,63.19,47.68,87.12,289.29,84.87,78.19,211.63,104.90,239.82,101.78,72.72,150.95,48.24,91.60,42.31,92.10,184.88,47.37,215.62,175.28,21.29,71.35, ,176.26,189.87,73.81,95.59,242.48,74.05,71.67,102.98,1.84,247.92,255.85, ,292.51,57.72,48.68,246.71,5.33,188.60,292.55,123.80,222.60,92.40,175.53,86.25,3.99,186.48,250.57,202.85,201.61,256.88
89.64,249.02,122.33,123.17,117.74,133.23,50.84,23.61,227.77, ,231.76,51.42,55.16,280.22,59.44,255.12,30.42,258.74,281.04,248.56,214.10,229.15,246.37,278.06,82.55,37.68,192.51,91.68,246.93,245.91,12.68,59.74,168.49,71.19, ,285.29,65.85,217.79, ,5.71,109.15,91.81,292.84,52.59,273.88,234.93,216.55, ,237.19,166.53,270.63,57.91,97.14,34.23,214.39,159.41,288.39,70.32,268.92, ,69.83,198.11,120.19,109.79,207.91,158.83,252.01,177.81,287.98,180.69,284.59,266.61,141.50,75.77,214.32,154.22,105.77, ,116.37,248.52,147.40,57.80,228.89,105.83,252.39,198.34,230.29,258.92, ,129.49,187.25,172.47,282.56,205.41,85.25,15.54,147.82,69.31,201.01,106.90,53.85,273.57,108.06,202.67,131.24,113.40,249.19,42.54,91.23, ,121.88,297.16,100.18,43.48,127.55, ,270.06,220.35,29.30,99.53,145.94,49.84,204.89, 
247.43,194.02,160.32,43.57,143.76,42.02,269.78,190.12,202.77,276.72,20.17,226.14,193.39,80.37,125.26,261.44,288.30,244.04,165.11,104.95,236.02,117.58,289.95,170.38,29.09,185.80,83.95,38.04,154.76,178.29,88.38,295.41,77.96,267.75, ,72.70,194.10, ,150.29,195.66, ,224.75,88.27,205.10,185.28,242.29,247.71,176.99,217.72,165.40,221.42,115.24,193.36,290.56,159.63,161.26, ,222.44,228.93,87.25,240.27,283.04,64.89,53.29,149.07,172.65, ,295.68,178.64,210.89,42.91,158.35,181.94,126.62,33.14,108.71,222.56,142.33,133.25, ,222.29,272.68, ,103.57,257.53, ,168.42,289.40,216.52,157.18,20.19,53.87,287.35,225.05,55.50,188.95,297.78,220.90,206.18,74.03,195.97, ,64.40,232.69,30.93,196.81,146.46,105.53, ,18.70, ,74.20, ,287.87,118.69,277.01,147.21,21.66,107.27,107.58,197.63,252.61,44.01,170.36
109.81,182.25,93.31, ,102.08, ,108.64,99.34,151.76,136.69,289.73,138.37,165.65, ,118.26,66.23, ,287.83,206.67,100.23,78.45,192.13,296.78,252.18,240.01,19.93,258.10,234.40,119.61,130.95,41.73,21.95,248.70,220.79,17.21,219.28,296.87,103.24,168.24,263.92,206.49,92.04,235.68,169.60,200.33, ,242.06,103.51,255.95,256.46, ,89.73,223.40,118.45,210.52,133.47,94.95,158.30,204.55,213.44,149.26,74.70, ,81.95,91.50,260.03, , ,137.69,126.32,41.85,134.81,286.44,123.50,167.55,230.95,223.94,110.78,79.80,93.53,75.94, ,35.96,220.66,70.68,65.21,185.92,129.77, ,139.02,231.02,48.46,268.09,167.07, ,246.87,103.63,196.41,215.91,130.02,139.77,9.76,195.53,219.14,217.15,108.68,202.14, ,16.25,64.99,59.90,219.89,295.52, ,228.47,177.60,25.86, ,35.63,93.72,4.34,41.55,248.52,297.06
189.49,214.32,17.28,88.22,12.82,22.28,12.21, ,171.31,76.40,283.09,163.23, ,3.07,260.85,227.55,103.50,271.22,71.52,292.04,225.68,243.48,186.28,169.56,126.99,21.71,100.10,59.72,49.25,56.63,14.38, ,117.89,239.24,172.74,127.74,153.42,275.96, ,231.64,264.19,87.95,255.13,169.22,95.64,77.65,228.58,136.45,209.91,135.84,110.41,173.36, ,5.96,18.37,50.48,289.03,78.10, ,91.11,155.84,22.25,44.19,85.63,180.53,30.15, ,185.35,190.18,66.73,108.39,280.63,246.28,41.84,283.63,115.49,169.83,218.38,207.81,202.67,116.15,294.17, ,179.51,85.35,257.64,124.95,198.10,77.90,286.25, ,0.25,125.57,81.39,287.12, ,189.80,95.71,247.38,261.50,6.55,143.46,264.32,95.81,212.82,108.23,275.99,199.32,163.23,275.15,56.53, ,246.33, ,12.66,98.08,291.83,21.01,68.82,103.70, ,16.52,255.98,14.32
114.91,156.88,183.23,240.85,250.79,65.13,199.83,31.31,221.90,195.01,204.76,160.88,28.09,107.71,92.98,277.73,87.97, ,142.44,90.18, , ,123.51,178.79,6.00,293.37,221.61,117.67,65.60,185.73,165.01, ,175.78,216.33,10.58,106.19,40.90,132.00,253.98,283.67,297.13,111.53,51.57, ,278.99,211.63,267.15,36.44,252.42,287.46,244.74,22.36,279.07, ,83.96,217.69,224.95,197.59,24.34,98.67, ,226.46,92.88,239.79,264.74,63.48,108.38,190.38,102.77,283.56, , , ,21.05,161.85,51.79,167.80,137.71,76.93,188.84,240.66,235.28,81.64,241.26,77.87,192.63,55.55,200.74,168.99,161.21,140.42,217.02,63.46,104.19,55.61,110.93,11.20,129.15,233.70,182.69,91.36,48.68,47.36,38.13,241.97,37.41,111.35, ,90.55,46.44,278.76,229.57,51.36,39.96,224.80,94.51,246.71,21.96,227.32,266.97,81.82, , ,138.03
 ,228.58, ,180.81,218.10,269.25,94.24,274.38,164.57, ,111.28, ,40.13,154.13,209.29,33.78,52.23,145.33,100.39,267.31,138.62,91.59,154.88,117.09,204.87,198.15,92.95,211.47, ,65.60,232.45,173.96,53.78,57.61,146.16, ,127.36,193.06,156.71,104.77,177.20,255.47,206.82,222.35,181.49,183.90,177.97, ,90.25,241.39,279.56,58.07,214.91,180.28,263.61,238.62,105.42,192.89,155.08,81.10, ,58.43,218.84,28.96,40.65,11.00,81.16,75.28,257.20,278.63,25.73, ,291.54,28.33,189.41,24.28,231.96,28.94,123.73,284.71,6.78,17.96,140.93,100.29,21.31,140.25, ,154.41,183.85, ,254.02,299.89, ,231.86, ,187.61,213.49,13.88,232.09, ,73.02,45.57, ,212.16,132.19,229.30,288.32,71.32,235.70,220.63,3.07, ,190.68,14.96,124.64,295.08,180.50, ,226.07,69.70,77.63,242.70, ,231.02
210.80,230.43,93.99,285.08,186.02,8.57, ,133.21,233.83,16.71,242.11,4.67,81.01,213.70,89.23,254.73,263.97,14.40,222.07,231.06,284.97,128.45,173.15,171.38,287.75,194.01,268.86,176.87,100.69,165.63,159.46, ,194.22,173.40,271.72,225.79,289.76,50.11,81.74,283.09,5.55,142.51, ,140.10,185.13,23.94,105.35,185.04,77.62,108.81, , , ,218.02,46.28,71.40,285.94,76.52,204.95,80.93,59.12,209.41,71.20,105.25,145.21,32.21,149.47,217.88,81.80,79.08,104.03,256.10, ,32.62,109.91,162.39,10.76,43.61,280.84,115.91,148.98,267.65,6.04,262.55,293.56,204.52,202.48,77.75,259.95,73.90,62.01,204.06,145.93, ,126.77,199.35, ,55.92,145.09,241.61,187.40,206.09,56.82,146.91,101.01,244.94,176.72,111.20, ,257.14,163.16,279.89,146.12,118.43,225.41,117.58,67.80,239.14,109.58,6.62,148.71,189.08,290.21, 
70.99,91.97,138.92,79.34,21.99,19.87,85.07,15.55, ,68.30,127.77, ,134.39,253.67,11.10,238.09,112.14,182.89, ,21.81,187.86,101.98,243.11,132.59,15.49,111.43,7.96,261.67,73.59,66.59,94.80, ,1.93,268.63,60.13,206.63,265.02,242.09,73.00,145.12,257.51, ,41.30,267.00,216.70,86.67,62.06,27.18,183.39,290.25,243.34,274.85,32.42,25.54,177.73,190.08,225.08, ,266.38,88.89,6.39,56.02,191.55,16.87,85.06,143.27, ,71.60,29.67,72.96,209.09,253.69,80.12,72.71,112.10,204.88,227.21,277.78,174.78,199.07,97.14,55.72,113.30,245.60,212.31,4.55,280.47,294.60,165.79,86.61,287.74,241.94,157.04,289.32,231.80,244.26,171.65,233.72, ,179.33,39.61,132.48,178.36,155.61,256.51,25.55,210.66,176.33,174.08,114.92,27.85,150.17,174.96,290.51, ,169.84,17.05,120.31,246.08,33.66,167.54,210.58,167.24,278.26
101.71,107.77,102.16,157.78,286.04,149.46,285.36,133.78,87.02,180.46,165.12, ,32.66,128.71,37.95,112.84,158.05,138.56,289.31,174.69, ,290.20,22.53, ,187.15,81.73,225.08,90.79,52.27,106.36,60.89,193.85,188.47,276.44,116.73,54.55,240.48,281.62,95.45,52.78,49.55,284.44, , ,2.69,128.26,29.16,180.17,113.07,182.83,287.59,285.82,290.98,115.07,26.00, ,78.78,21.60,177.56,101.51,298.93,81.04,71.16,288.14,83.27,176.99,44.37,158.59,167.54,201.58,110.89,112.19, , , ,182.77, ,135.55, ,216.59,17.63,225.07,270.05, ,142.83,65.34,112.74,86.31,73.02,126.42,86.88, ,189.84,149.02,149.97,40.79,214.89,253.34,70.22,121.80,66.22,24.34,260.77,153.96,64.81,286.15,188.61,39.25,205.28,250.10, ,237.66,183.37,140.55,141.58,152.06, ,139.82,265.47,299.98,226.21,100.78,41.85,27.68
99.45,139.89, ,216.48,111.75,132.86,257.53,271.88,137.04,249.41,41.04,284.70,112.71,133.43,91.34,52.74,222.27,12.33,269.11,259.05,28.65,33.16,66.34,95.77,80.61, ,121.65,172.80,44.38,287.73,13.63,122.19,32.82,198.40,77.00,263.70,155.85,191.02,121.94,237.79,276.67,213.42,214.64,252.62,8.50,28.46,50.89,208.19,258.54,88.36,233.79,193.40, ,84.41,229.60,169.45,257.13,168.34, , ,8.07,263.05,263.75,88.24,172.75,233.41,231.97,267.02,114.10,249.77,56.97,26.08,257.17,74.80, ,183.51,101.65,111.17,95.97,149.67,30.43, ,265.64,8.35,290.22,26.24,205.12,174.04, ,131.21,250.93, ,134.45,274.94, ,36.37,268.71,67.88,205.18,264.79,14.88,146.51,223.69,42.46,260.54,183.03,104.65,240.95,268.41,252.89,51.85, ,20.56,65.57,80.47,284.50,86.99,83.27,105.63,266.78,130.30,295.55,45.09,162.99
 ,103.81,32.98,265.18,176.22,96.25, ,168.36,157.71,62.37,179.67,110.75,280.52,86.88,163.10,105.57,155.00,129.90,236.47,96.10,161.77,111.18,69.61,294.76, ,54.36,142.82,18.99,245.00,229.51, , ,60.09,289.87,57.89,101.68,262.29,266.95,196.46,146.45,171.71,265.55,227.36, ,182.69,31.76,117.07,299.07,31.40,107.57,271.52, ,258.17,294.11,194.63,15.01,273.48,274.78,142.80, ,220.51,30.47,171.31, , ,61.65,216.99,169.48,211.36,277.38,82.58, ,266.47,13.96,141.15,103.84,77.01,217.58,3.26,181.00,144.74,84.14,202.13,263.01,269.51, , ,240.68,212.06,30.08,226.76,154.21,26.55,53.35,38.43,294.15,171.00,74.85,8.67,73.75,71.63,20.38,288.43,238.32,34.59, ,80.57,122.42, ,184.18,209.64,60.90,18.57, ,236.60,225.32,119.56,59.47,127.04,110.41,206.42,275.55,20.71,9.19
158.74,27.32,128.62,86.33,112.78,85.20,210.36,132.52,92.80,130.12,176.23,231.99,173.41,196.05,263.66,37.26,124.22,147.82,158.79,17.31,246.63,20.95,113.03,186.91,45.46,125.68,257.57,4.34,265.22,25.11,105.63,51.27,126.96,182.69,133.24,257.32, ,278.27,115.53,123.76, ,140.80,98.89,204.73,229.34,3.62,98.82,16.82,39.11,49.18,129.53,121.78,262.30,65.12,239.82,22.92,74.06,108.25,262.08,276.18,182.93,145.87,281.61,88.00,236.93,252.54, ,209.17,11.25,97.02, ,208.29,267.64,114.53,236.14,88.81,158.97,266.39,99.03,174.31,38.06,135.29,276.94,264.36,115.88,149.06,233.09,294.83,205.49,35.93,31.40,196.84,271.23,20.16,267.85,296.38,288.90,259.03,120.56,17.88,195.78,218.94,224.29,29.59,23.12,271.40,190.27, ,161.50,265.04,299.32,228.15,148.41, ,114.26,187.66,116.83,299.08,212.30,249.53,53.15, ,24.55,197.69
272.05,224.26,290.97,96.61,228.82,278.94,59.28,80.74,276.16,190.50,76.48,261.45,167.02,25.80,261.27,84.36,282.69,170.42,232.19,192.78,212.05, ,271.33,134.83,7.21,53.25,75.49,280.59,34.14,119.67,175.96,10.07,25.85,279.71,250.87,192.29,158.79, ,130.12,0.79,102.28, ,121.42,213.24,169.17,16.70,173.09,32.00,1.94,201.84,57.37,228.38,264.59,13.67,217.28,131.35,211.02,256.26,206.45,134.44,116.88,64.45,43.79,173.13,154.30,27.37,227.69, ,192.27,174.99,260.20,154.17,194.74,126.61,191.77,61.61,112.98,31.84,256.54,276.08,282.60,29.64, ,285.40, ,28.32,193.84,214.32,158.86,33.34,36.24,281.57,192.50,10.60,197.51,52.64,269.41,224.65,229.51,171.71,59.35,82.26,108.80,278.62,99.83,8.52,248.75,274.41,76.53,195.54,176.07,72.60,27.92,127.28,50.04,78.00,100.51,237.58,228.27,268.08,56.20,278.42, ,252.84
252.93, ,158.63,88.15,258.40,275.65,84.65,135.08,100.28,94.48,56.66, ,50.00,182.75,169.63,227.41,185.80,233.98,56.13,94.75,167.41,156.26,102.78,251.31,125.79,45.10,222.82,108.63,80.10,100.60,77.53,62.75,211.63, ,49.11,184.22,250.80,102.46,154.64,120.76,204.96,78.86, ,155.61,278.99, ,95.52,77.06, ,276.45,97.21,15.05,192.17,8.24,23.31,131.18,81.32,137.88,18.33,213.70,2.95,30.52,229.20,216.40,55.13,134.23,201.71,183.79,211.94,87.61,194.19, ,254.77,111.84,144.47,229.98,77.08,264.82,177.44,157.03,47.69, ,276.92,74.01,236.85,172.95,125.21,178.26,296.44,294.64,104.82, ,271.34,144.29,164.03,47.89,4.11, ,229.15, ,209.05,145.44,105.08,23.30,40.47,135.95,47.93,205.81, ,69.25,140.03, , ,110.13,240.69,270.91,85.50,169.71,42.53,293.00,99.36,209.48,130.90,267.13
1.85,285.06,246.18,7.24, ,282.92,244.13,162.32,275.44,279.53,175.91,158.83,224.44,98.44,223.17,29.04,292.00,217.53, ,165.38, ,140.82,178.98,280.96,259.68,229.09,240.07,246.92,200.91,71.55,39.93,238.68, , ,260.33,108.32,32.37,115.60,81.56,153.34,82.03,126.68,291.80,287.36, ,188.27,237.21,150.01,126.30,181.39,179.30, ,64.87,41.85,253.94,175.04,185.93,220.30,268.20,79.37,150.81,143.84,182.24,110.90,157.75,295.57,209.17,80.04,124.69,154.51,245.29,185.90,286.63,143.83,18.29,210.40,168.23,129.99, , ,164.65,270.75,158.17,204.16,153.97,60.10,107.47,38.03,136.61,99.56, ,117.85,189.89, ,244.12,122.34, ,286.99,28.56,131.42,162.54,190.98,93.33,175.20,278.11,183.35,57.93,36.68,183.27,146.20,151.09,269.25,242.68,19.09,231.79,237.73,182.72,62.52,24.28,192.56,202.45,240.01,256.24,132.03
163.57, , ,273.42,118.32,80.12,223.38, ,6.58,161.10,106.24,189.30,289.81,168.76,165.34,14.10,106.47,57.90,16.49,8.92,133.81,256.50,269.29,147.44,16.84,197.84,142.04,76.43,237.16,159.83,295.16,196.40,86.87,175.17,115.46,13.30,227.54,152.12,257.07,179.63,76.03,162.89,197.04,236.49,17.45,49.41,115.76,269.75,278.52,296.61,138.33,54.54,198.56,137.59,162.78,296.77,72.80,224.67,133.90,133.81,73.22,114.23,274.28,262.86,156.18,288.68,30.11,118.81,144.66,286.51,112.37,185.59,299.82,246.69,102.87,91.55,121.66,240.47,32.83,295.62,234.78,101.76,122.96,86.85,97.06,33.53,136.40,227.94,49.60,290.07,22.90,18.52,253.30,7.40,55.93,98.99,49.15,234.12,77.91,67.71,290.20,57.19,261.56,230.34,151.78,87.46,119.76,229.21,190.80,220.80,296.92,176.33,175.49,287.12,102.60,148.70,44.31,207.14,75.21,5.87,13.11,56.77,274.83,243.45
