Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136
 ,10.68,1.38,178.77,63.12, ,167.69, ,5.16,43.81,290.22,220.38,47.73,246.15,277.29,59.88,0.51,173.74,109.47,141.38,162.41,216.00, , ,256.82,268.36,21.32,187.19,25.81,245.11,190.37,143.17, ,158.30,160.27,181.59,90.02,143.53,207.19,264.52, , ,130.07, ,159.69,179.61,299.93, ,175.98,165.08,83.87,277.19,195.22,123.66,205.38,235.70,247.99,108.84,0.70,31.66,98.60,17.60,104.56,65.47,159.11,179.87,262.07,40.92,112.07,189.26,206.43, ,154.42,170.34,231.66,295.09,207.85,87.25,204.28,128.37,288.57,64.69,20.99,272.46,33.82,67.54,43.48,112.77,123.46,161.32,92.36,124.77,256.14,63.11,41.49,45.24,250.41,261.59,31.68,149.68,71.10,116.76,109.73,12.47,212.64, ,5.00,113.09,286.35, ,146.77,259.82,96.66,1.93, ,33.61,31.30,63.41, ,177.99,145.40,291.46,64.26,63.04, ,46.72,135.77,107.31,296.74,197.68,95.55,181.69,93.33, ,34.11,198.09
235.14,77.66,82.62,40.72,255.62,82.29,173.05,57.62, ,37.10,273.05,188.13, ,281.46,286.06,232.90,71.05,97.13,153.65,75.13,215.31, ,297.60,104.70,38.69,107.43, ,80.47,190.08,208.07,63.06,187.10,78.27,164.01,106.86,55.14,212.04,212.74,268.05,248.39,232.50,129.62,54.82,216.73, ,124.80,208.37,3.54,97.20,68.35,68.55,27.74,298.05, ,141.74,57.08,288.45,143.01, ,197.83,173.47,259.17,286.17,128.11,280.32,213.46,254.99,210.29,196.45,250.97,91.50,201.66,234.15,245.32, ,34.82,145.34,134.98,246.46,88.94, ,177.47, ,260.34,261.05,70.50,293.25,76.07,112.80,15.65,121.19, , ,71.02,187.80, , ,135.93,289.10,161.78,126.56,160.23, ,230.73,252.43, ,33.93, ,49.58,118.91, ,274.92,149.15,3.02,296.98,28.83,51.40, ,181.44,11.34,258.26, ,130.85,84.44,24.22,104.94,76.84,39.37,143.17,1.10,131.96,265.84,84.23,262.89, ,58.24
149.77,67.34,287.23,191.66,172.82,286.57,16.37, ,134.03,152.88,139.00, ,41.66,30.43,274.45,0.01,100.40,193.55,226.32,186.30, ,28.38,18.36,262.48,92.22,182.79,234.52,197.98,47.24,112.51,246.86,72.60, , , ,138.34,43.68,219.11, ,7.95,159.00,123.27, ,6.06,278.81,5.92,118.18, ,210.54,281.53, ,233.16,86.73,122.77,179.84,30.46,49.84,2.55,138.49, ,144.55,282.10, ,178.63,90.49,244.21,169.20,105.45, ,192.18,123.82,53.70,53.06,215.54, ,174.54,149.12,51.33, ,266.82,38.56,60.05,244.71,95.44,230.17,173.11,71.66,144.95,162.64,22.62,266.29,252.72,71.53,224.40,290.49,247.46,191.72,255.29,132.23, ,181.61,20.20,29.71,168.18,194.01,162.13,193.13,74.41,227.25,176.72,42.47, ,127.82,181.61,257.87,289.46,63.21,247.41,128.95, ,94.76,181.66,259.70,185.50,130.07,63.26, ,110.11,134.63,115.34,102.18,12.94,120.04,237.82,139.16,273.52
161.54,11.95,215.31,11.38,42.58,41.47,165.19,86.84,16.05,287.93,7.33,106.91,143.12, ,55.30,191.14,296.50,126.31,193.41,160.82,220.59,112.54,269.86,279.20,287.41,111.41,193.38,173.93,245.12,191.45,119.05,293.66,239.32,186.83,41.66,210.67,131.50,20.57,181.20,61.35,103.41,272.00,144.76,7.84,299.05,239.37,224.63,263.57,87.60,23.61,24.63, ,156.13,237.98,128.41,89.23,170.31,234.99,116.90,50.74,279.80, ,147.20,114.60,293.57,228.55, ,6.95,294.61,137.15,159.72,97.96,96.26,180.05,175.01,109.49,158.89, ,294.26,76.81,62.47,141.75,17.25,74.61,270.19,37.32,10.75,121.52,199.92,21.43,218.60,250.45,291.82,40.23,147.94,268.11, , ,187.05,258.52,171.07, ,208.39,1.61,116.67,112.66,213.84,78.86, ,179.43,258.61,24.67,36.69,16.95,102.63,233.86,165.65,289.85,13.33,158.12, ,50.53,261.93,292.33,11.13,220.21,155.00,74.38,176.55,278.49,169.79,237.07,48.15,220.78,55.33,62.78
7.45,20.11,161.27, ,237.34,13.29,149.79,134.83,243.95,212.70,115.96,45.65,168.58,273.75,38.93,119.21,62.16, ,116.64,131.88,98.65,107.74,84.82,26.97,126.16,290.41,239.68,37.11, ,116.82,193.69,103.01, ,165.17, ,281.81,232.47,220.36,71.97,158.17, , , ,293.04,103.05,257.80,238.98,256.98,239.25,21.99,16.00,110.05,168.98,49.06, ,122.41, ,280.57,163.80,2.18,67.41,89.57,245.39,70.78,247.52, ,269.51, ,156.68,147.68,3.99,158.86,19.15,150.59, ,14.39,256.82,95.91,260.80,7.44,191.91,236.86,224.91,164.13,63.05,103.68,240.35,247.56,249.36,299.24,151.22,199.22,202.55,172.82,141.29,10.32,273.27,290.07,294.34,100.03,158.61,80.68,13.69,242.18,232.09, ,83.30,277.39,185.75, ,165.38,288.22,19.59,205.60,166.26,198.37, ,56.98,220.13,109.19,181.99,260.75,150.42,106.62,198.13,35.62,157.75,213.24,104.31, , ,40.99,12.35,278.45,102.77,9.14
227.24,284.21,14.55,232.03,262.43,113.54,55.19,82.77,4.74,143.15,1.06,82.79,191.42,82.73,259.83,206.14,283.01,75.05,24.98,118.74,137.25,285.46,203.57,160.86,255.31,152.11,188.16,269.77,296.14,73.76,144.38,143.03,281.49,244.26,56.37,125.58,212.55,77.38,271.60,45.93,154.12,137.02,123.30,4.97,153.50,202.07,216.39,248.74,26.91, ,289.15,295.93,198.94, ,73.37,289.76,69.11,237.77,260.52,54.70,26.44,15.59,173.19,200.21,50.11,49.32, ,267.69, ,224.50,274.28, ,126.26,191.61, , , ,259.45,84.12,258.55,92.86, ,106.32,198.63,232.16,21.50,181.83, ,73.44,42.46,224.22,277.73,141.45,270.24,277.11,269.26,43.42,295.30,168.43,183.96,261.37,88.43,121.36,241.07, ,283.53,104.06,186.90,189.45,37.68,182.24,259.61,135.46,113.20,190.15,4.75,19.76,119.38,176.54,285.32,99.27,231.84, ,193.88,81.67,295.57,179.90,126.85,185.03,219.17,16.86,145.99,136.45,173.07,35.95,152.91
232.51,15.14,97.84,150.16,226.15, ,106.05,77.81,59.40,297.87,22.97,285.33,251.02,249.74,180.68,271.52,15.50,279.12,175.03,293.78, , ,5.49,13.88, ,73.28,296.91, ,111.48, ,62.50,138.79,223.35,152.64,237.28,166.45,104.85,74.69,168.87,164.87,228.08,88.23,37.59,213.98, ,111.93, ,154.60,140.25,99.57,265.29,222.70,117.75,186.32,186.93, ,51.80,34.71, ,36.07, ,250.05,214.40,226.53,216.58,180.73,204.41, , ,276.60,146.62, ,247.69,24.80,58.56,141.87,98.60,196.59,240.94,2.82,199.72,107.34,168.03,160.07,225.72,209.15,200.64,76.48,209.10,86.24,63.92,56.93,274.50,7.91,221.16, ,120.88,97.33,166.06,236.61,44.87,7.75,191.26,254.13,50.06,125.83,119.32,74.65,28.44,289.75,249.33,233.88,298.50, ,164.56,83.36,195.22,270.91,265.25,26.99,161.94,130.67,201.72,254.30,213.05,173.31,231.80,90.81,172.28,148.76, ,232.12,167.59,270.93,271.36,267.44
244.74,106.87,251.56,78.69,204.53, ,61.46,182.21,294.97,274.28,91.34,181.21,25.78,110.75,228.73,129.36,187.77,0.18,246.54,63.47,205.27,228.73,151.04,142.05,286.28,10.44, ,293.20,264.19,14.63,3.52,283.15,187.09,183.44,8.08,222.12,117.79,208.09, ,289.28,237.73, ,53.29,33.20,231.94,36.83,155.10,276.32, ,163.41,165.48,94.31,128.59,292.68,238.27,66.18, ,3.91,22.26,169.36,136.35,228.05,174.41,83.10,221.39,14.14,230.62, ,105.51,132.11, ,70.38,48.67, ,52.57,126.43,177.05,246.12,109.94,152.75,202.40,114.49,17.61,198.15,224.04,287.39,101.85,126.53,18.54, ,71.12,199.03,9.21,127.01,190.87,14.95,30.75,67.14,249.65,181.19, ,121.12,116.06,180.96,13.74,74.14,201.53,262.80,235.69,145.62,282.45,19.54,184.04, ,72.33,76.89, ,41.44,163.43,137.52,207.93,120.12,267.12,102.56,81.88,112.98,6.14,92.44,225.29,76.67,102.79,177.54,9.76,233.31,241.73,272.30
42.00,203.21,49.61,258.69,127.88,61.78,123.54,138.36, ,215.03,38.80,27.02,185.70, ,58.89,79.59,37.39,123.62,130.71,246.38,4.71,161.07, ,284.62,46.64,156.73,182.94,137.61,270.98,155.96, ,43.69,113.40,180.91,21.67,110.24, ,114.96,262.09,250.60,102.18,280.16,30.07,216.97,206.18, ,40.00,141.85,206.96,62.55,108.08,194.04,160.35, , ,258.41, ,104.31,28.04,90.36,274.61,89.11,275.90,45.74, ,80.05,165.45,243.99,263.88,224.32, ,44.47,224.15,168.32,295.01,87.40,88.61,146.81,143.76,106.95,140.32,156.78,244.85,38.00,128.97, ,276.06,107.33,194.39,291.51,228.92,87.40, ,125.39,278.69,119.68,256.81,287.56, ,108.30,184.74,210.99,296.59,97.53, ,49.53,93.91, ,213.58, ,9.32,283.61,118.44,278.18,118.58,222.35, ,259.57,146.81,55.82,287.55,289.71,202.88,188.00,194.20,104.38,110.90,60.87,152.21,295.76,165.37,138.01,53.86,172.78,208.31,67.83
188.40,182.85,206.85,58.65,288.37,176.06,147.78,257.31,262.86,76.32,4.95,78.07,79.52,210.30,82.33,41.88,148.65,197.45,118.02,194.38,139.34,109.50,181.43,187.64,148.08,6.62,98.94,78.40,262.30,156.23,148.98,155.29,78.64,280.88,243.83,186.72,245.71,70.29,63.01,271.43,221.90,64.12,62.75,199.30,131.22,69.67,253.64,277.82,277.70,228.94,133.97,4.71,111.87,206.82, , ,85.98,156.30, , ,292.62,244.09,230.51,104.03,238.73,216.42,40.55,137.97,261.01,254.20,247.76,205.46,183.84,56.12,0.29,72.45,11.17, ,227.60,65.57,193.56,55.45,125.92, , ,282.00,131.77,265.88,219.26,205.88,76.65,299.02,35.79,96.38,289.94,256.38,298.93,212.07,118.51,147.20,123.66,30.43, ,110.31,236.85,87.81,193.87,112.98,216.17,39.66,245.21,117.80,220.42,231.15,77.30,39.53,202.01,171.13,16.65,172.99,170.65,227.73,267.82,290.05,2.05,265.69,182.42,88.40,55.89, ,133.19,236.43,299.92,145.02,34.46,80.92
297.11,215.69,51.68,159.21,294.11,131.78,111.49,252.22,74.25,151.58,70.72, ,147.00,262.91,83.02,63.40,36.68,261.44,90.11,49.29,151.96,220.40,65.91, ,210.66,202.65,0.93,29.65,239.62,255.07,119.97,15.49,123.60,190.93,162.96,54.38,91.61,152.26,94.11,273.62,215.44,133.84,195.52,281.79,253.37,87.23,23.79,2.82,175.58,152.48, ,206.86,225.00,122.65,294.27,167.78,60.11,288.44,20.76,266.74,20.62,275.68,33.60,225.65,285.12,165.69,167.31,231.10,251.73,193.00,233.47,242.99,273.34,227.76, ,9.61,2.42,118.86,115.78,165.93,32.46,191.27,33.86,227.17,132.36,189.84,182.03,187.63,178.02,109.78,266.96,274.58,247.48,219.81,41.80,277.63,120.89,66.39,249.65,199.81,138.42,227.73,173.83, ,43.45,59.15,76.81,286.65, ,93.31,195.40,123.13,80.99,238.14,210.33,53.39,7.73,250.86,74.97,47.91,168.14, ,288.89,168.73,46.16, , ,278.96,148.71,284.94,90.13,3.05, ,113.20,221.11, 
227.79,96.52,90.15, , ,121.97,125.03, ,74.60,191.02,105.36,111.96,105.14,278.94, ,225.94,164.17,92.88,276.07,299.06,136.40,246.58,296.75,186.42, , ,179.96, ,190.53,198.46,204.74,144.75,119.27,183.64,266.34,48.93,255.85,22.96,59.04,40.92,281.94,103.54,129.51,129.26,266.78,278.25,3.05, ,144.53,44.23, ,61.52,87.77,51.70,254.77,55.76,17.52,299.02,166.99,230.07,51.33,233.10,147.46, ,126.38,85.68,179.20, ,114.07,20.74,209.77,56.10,20.60,174.70,217.80,247.56,104.27,1.45,28.46,273.51,275.28,97.43,233.39,78.00,264.39,213.23,74.24,139.69,114.46,56.09,60.89,197.73, , ,225.43,185.56,256.86,88.83,178.18,2.42,11.15,253.77,152.31,142.58,273.64,75.71,196.90,187.82,275.16,69.07,57.86,29.81,58.97,86.92,246.87,259.53,261.07,276.13,176.92,57.82,64.74,236.22,135.48,17.77,210.99,155.58,162.60,76.38,223.46,220.34,240.90,226.85,161.59,259.81,70.96,86.62
 ,204.77,294.65,62.50,72.32,108.60,80.35,58.64,70.47,110.73,253.71,164.63,120.92,162.42,161.93,280.06,187.48,146.74,28.46,136.82,274.98,147.38,212.53,227.31,161.82,192.79, ,136.26,211.81,273.00, ,82.62, ,168.68,286.43, ,81.68,69.19,75.97, , ,64.01,108.87, ,279.68,63.49,125.69, ,241.15,99.21, ,138.00,225.96,135.06,206.11,184.47,233.51,50.78,98.71,23.37,33.40,228.28,65.36,86.31,295.12,237.57,293.84,137.44,200.00,35.07,130.04, , ,254.24,278.05,11.11,40.95,139.40,281.54,221.48,298.07,32.99,146.27,59.01,80.98,40.17,163.72,137.23,156.86,77.43,279.77,151.57,118.77,179.75, ,227.40,50.94,132.43, ,269.80,71.45,12.07,101.00,170.46,156.18,48.05,275.10,114.00,277.73,116.41,251.96,183.39,3.72,187.98, ,58.44,184.57,237.51,33.65,88.80, ,143.51,207.30,90.44,271.86,206.74,239.48,238.03,56.94,107.26,26.83,3.36,134.68,175.06,16.84,264.23
51.67,138.17,137.59,280.27,296.77,197.72,45.72,59.13, ,166.39,104.34,50.93,251.17,216.94,50.96,90.82,88.09,46.63,36.15, ,145.60,214.34,177.97,265.43,9.09,220.53,96.94,130.62, ,149.49,14.43, ,191.80,194.54,217.27,198.89,152.18,172.69, ,114.43,4.21,278.22,262.29,191.01,77.27,10.52,296.93,174.59,211.07,29.79,75.79,194.89,248.97,56.71,188.38,255.69,72.49,158.61,212.37,180.78,259.10, , ,171.56,294.91, ,24.70,204.27,134.82,167.36,227.78,0.75,149.29,175.83,58.26,119.51,126.03, , , , ,258.08,234.69,150.37,122.60,177.78,225.71,69.79,238.74,256.84,270.19,295.17,77.92,171.23,200.27,290.47,212.89,90.34,131.22,106.97,295.34,211.25,29.88,74.55,51.57, ,208.90,286.36,90.50,149.28,151.50,127.39,66.78,75.47,92.30,278.23,252.40,103.62,169.60,191.21,218.31,293.79,166.15,191.79,263.73,35.29,174.11,134.82,268.98,178.09,97.93,236.93,85.02,70.63,25.98,49.66
57.14,250.46,73.37,45.86,186.92,36.55, ,222.88,179.33,159.08, ,161.72, ,1.65,41.88,174.75,124.36,92.69,34.73, ,9.62,5.74, , ,233.37,219.51,299.23,194.38,164.06,13.39,57.74, ,136.25, ,260.61,238.67,112.73,72.61,56.14,132.84,15.34,24.66,101.51,103.03,54.97,51.99,99.67,123.79,245.97,120.10,131.97,122.43,187.90,67.06,145.93,161.79,294.38,191.38,186.89,169.31,53.30,12.16,184.87,202.67,25.02,95.31,138.63,271.90,230.63,94.79,189.44,138.49,125.57,77.92,191.12,68.61, ,80.78,207.92,176.49,258.40,184.80,130.39,3.61,90.30,293.92,97.19,5.36,76.07, ,88.53,6.17,170.76,237.92,237.15,21.06,129.69,211.44,143.20, ,42.33,72.76,28.28,286.75,150.96, ,209.90,295.21,8.49,245.30,10.55,117.71,209.09,44.42,108.79,191.64,229.95,46.56,81.33,252.94, ,15.75,277.38,179.04,175.59, ,122.00,21.19,87.17,187.11,50.81,19.21,269.70,295.50,215.35,232.77
138.45,98.93, ,266.36,282.12,10.46, ,218.82,247.19,271.82,288.35,104.59,99.44,274.80,148.89,275.07,140.72,169.05,281.95,206.02,122.50,139.63,286.91, ,234.10,39.41,180.45,13.28,73.12, ,289.80,186.90,279.46,78.40,267.28,288.89,189.51,27.73,102.49,87.60,248.73,209.49, ,183.17,170.23, ,155.12, ,42.02,195.82,289.35,36.93,33.22,239.20,237.95,247.10,55.95,201.32,26.66, ,209.83,66.04,198.50,112.20,263.17,10.68, ,55.01, ,88.23,1.39, ,269.74,170.52,297.11,61.34,130.57,233.60,23.18,258.48,211.91,207.51,84.02,247.55, ,287.92, ,257.38,159.78,95.84,114.20,226.18,179.96,125.92, ,87.21,165.24,164.62,113.45,58.74,156.47,173.43,101.84,101.77,230.89,13.92,216.42,168.87,290.80,76.31,39.63,69.02,149.82,277.30,5.05,184.59,30.23,5.92,129.13,50.14,209.91,2.70,174.89,76.72,114.30,278.23,16.55,58.80,280.89,129.63,72.14,147.47,72.24,234.44,170.98,264.08
223.54,74.03,249.94,67.46,162.67,95.61, ,253.81,82.40,292.32,152.86,288.50,53.75,212.85,235.93,103.74,74.65,147.94,124.49,148.00,154.93, ,207.23,124.17,295.90,207.54,267.43,143.53,248.13,142.06, ,268.05,160.09,185.49,135.41,127.67,59.35,54.72,104.80,108.06,274.05,195.74,162.05,208.40,230.78,197.23,202.39,96.66,259.20,275.08,222.35,245.02,185.56,102.28, ,210.34,117.54,163.27,35.96,156.73,173.73,288.35, ,153.63,215.07,34.05, ,256.40,152.47,178.46,40.38,295.71,136.35,124.63,61.57,242.58,251.71, ,240.06,21.10,123.45,206.53,126.33,266.45,297.69,92.38, ,2.49,280.02,97.12,220.30,159.63,0.74,72.19,145.92,150.65,154.84,287.77,264.60,179.78,265.64,299.94,153.11,217.04,3.98, ,275.41,155.31,261.39,281.30,180.42,280.08, ,146.61,214.82,299.56,74.35,28.82,196.26,229.26,253.32,289.32,121.88, ,233.94,294.52,259.17,3.28,85.39,85.86,10.24,75.47,228.34,157.44,232.79,167.44
15.30,182.33,32.46, ,266.40,218.85,20.67,184.92,179.18,45.78,290.59,128.10,66.28,38.63,192.89,144.31,112.09,259.09,49.07,190.07,183.34,299.88,79.62,173.76,181.17,146.56, ,202.39,25.10,33.52,182.73,288.74,83.02,124.66,71.74,69.63, ,88.44,1.10,13.29,201.06,220.82,298.10,0.80,247.96,58.20,0.81,163.56, ,138.35, ,107.02,174.55,287.89,217.14,194.72,148.73,101.46,207.37,186.28,135.27,176.87,29.08,263.00,243.13,67.18,290.93,295.58,205.63,82.52,138.69,76.82,37.33,283.01,99.12,89.35,222.10, ,251.18, ,233.15,264.00,290.40,127.78,236.24,296.96,28.43,49.35,123.06,283.53,31.38,275.36,17.03,86.94,148.65,186.40, ,150.40,206.76,209.89,41.58,189.70,271.73,109.68,148.40,60.52,227.73,229.83,160.20,135.39,275.94,166.81,231.83,139.85,122.54,31.33, , ,224.45,246.38,41.76,230.49,49.26,245.44, , ,106.38,86.05,57.53,140.05,270.07,127.95,29.64,256.72,80.31,287.46
215.30, ,254.61,202.79,165.01,259.96,285.14,16.28,273.63,107.47,223.50,259.17,272.23,41.48,46.07, ,166.52,103.22,256.40,267.36,42.43,262.25,252.40,203.86,96.87,123.34,7.65, ,65.21,215.73,188.58,225.71,128.32,15.27,183.90,160.26,235.12,148.43,79.91,26.57,68.55, ,275.93,187.90,183.58,58.20,17.49,215.98,148.32,244.81,27.37,201.47,72.62,61.99,108.90,221.90,102.21,123.81,150.98,220.61,140.62,24.82,298.81,87.65,84.27, ,111.64,89.81,242.59,87.19,227.69,59.81,223.07,256.19, ,267.90,277.96,200.62,266.64,243.58,46.56,86.75,25.53,280.74,229.34,47.42,108.35, ,209.68,233.46, ,8.14,275.19,56.16,184.43,134.64,127.07,216.71,19.55,210.41,56.60,23.21,157.85,6.66, ,86.48,150.24,60.66,160.64,11.69,230.15,100.68,33.66,240.31,133.44,286.01,145.91,296.80,294.07,173.45,81.79,196.12,204.80,153.41,135.26,252.40,44.47,268.59,293.35,292.65,217.27,179.53,63.24, ,201.71,85.83
93.97, , ,233.06,179.49,96.05,190.23,261.66,220.59,24.79,18.21, ,215.66, ,278.90,36.61,169.48,217.57,285.79, , ,68.33,49.65,75.37,85.30, ,5.89,296.12,80.79,155.91,178.18,252.73,0.78,25.74,22.53,288.02,272.21,164.90,79.12,291.87,61.10,298.35,77.17,121.16,170.68,128.94,67.42,95.79,136.89,240.91,215.48,146.16,43.73,128.93,52.81,227.61, ,147.73,18.76,70.48,254.21,191.10,73.81,181.24,54.05,80.51,29.78,123.78,72.24,275.84,292.25,112.83,232.81,180.04,258.97,16.45,15.87,166.40,159.92,59.09,67.13,165.15,67.85,210.22,131.48,177.13, ,289.96, ,57.00,113.42,260.59, ,276.46,146.55,264.18,125.24,261.32,43.31,32.68,268.46, ,154.52,287.46,39.85,252.10,186.31,112.82,195.40,123.37,239.52,263.84,187.49,190.93,92.37, , ,247.92,277.51,43.93,293.39,66.86,2.57,135.22,225.58,223.49,44.39,143.97,89.33,202.96,293.58,36.36,118.10,155.57,103.96,244.32
 ,59.15,255.68,136.26,2.61,134.58,135.86,286.13,276.08,270.22, ,291.21,19.40,25.15,269.18,237.30,90.50,4.56,155.09,48.69,273.42,61.81,202.31,172.02,158.38,288.76,210.99, ,230.39, ,108.54,118.83, ,209.33, ,121.76,9.16,27.57,236.90,168.48,271.68,157.76,180.03,164.49,126.50,21.41,23.70,226.69,175.80,51.87,298.82,221.39,44.08,290.57, ,159.05,10.02,277.94,79.58,267.20,224.41,176.28,116.25,53.77,253.03,193.34,167.83,3.33,225.75,158.54,3.21,74.06,273.09,136.57,263.90,197.08,53.91,223.32, ,277.09,93.68,66.32, ,211.22,9.44,140.87,129.81,20.14, ,293.23,130.14,104.14, ,292.45,254.66,157.96,192.86,189.00,97.25,33.71,119.46,145.44,211.13,104.42,179.12, ,19.36,208.72,162.03,115.94,44.68,7.79,224.56,28.99,135.98,137.64,151.01,289.90,91.92,215.76,144.26,247.70,241.88,287.11,246.44,253.74,134.76,131.12, , ,163.25,191.67,280.71,181.68, ,273.60
69.79,80.01,244.49, ,100.90, ,47.34,272.30,181.81,299.91,240.40,62.84,215.86,128.00,222.19,187.33,285.85,280.13,129.74,115.67,73.21,189.16,249.25,12.90,113.67,224.35,9.83,297.53,120.68,10.05,164.14,230.85,8.03,267.54,240.92,136.88,5.59,120.84,187.51,85.91, ,10.26,156.38,52.77,118.13,92.13,42.43,91.85,297.54,159.96,243.76,272.19,248.76,78.72,185.74,289.52,59.01,242.15,297.22,297.48,173.21,276.34,79.12,108.05,71.03,211.96, , ,272.67, ,51.39,68.12,53.07,22.87,197.18,50.06,235.74,65.31,141.75,104.47,89.00,280.97, ,295.75,277.24,128.14,19.82,256.88,211.26,18.94,217.50,129.27,132.57,110.58,4.95,157.76,169.87,164.83,180.74,205.46,158.03,42.21,223.56,192.61,209.44, ,126.95,2.51,29.10,135.36,48.24,106.64,67.27,187.69,282.70,68.36,108.63,208.17,214.32,55.92, ,267.47,243.65,224.90,193.10,103.79,16.43,248.63,68.46,226.97,33.29,299.72,286.20, , ,204.79
205.43,131.38,176.32,36.90,43.46,69.40,71.98,148.45,125.11, ,52.08,104.49,147.99,215.85,111.15,43.26,270.80,257.21,173.51,180.60,75.70,44.13,182.58,71.40,255.08, ,7.16,78.88,284.58,152.66,193.76,166.31,188.83,155.11,27.03,285.88,279.37, ,202.32,120.01,234.14,123.80,116.44, ,289.02,100.11,180.30,56.51,12.61,205.73,217.15,286.53,120.90,50.98,168.23,244.14,94.65,32.77,152.66,75.33,258.61,190.83,181.83,251.56,28.46,62.16,90.05,148.64, ,199.62, ,60.13,91.79,15.44,156.34,225.79,9.79,107.11,23.30,147.96,183.38,132.15,122.03,294.23,133.15,170.29,191.66,147.45,85.20,108.01,31.00,173.21, ,280.33,241.49,89.37,152.65,48.50,87.82,92.43,103.85,228.79,292.93,119.54,244.42,84.38,13.42,59.17,36.37,295.61,8.77,194.21,50.77,22.42,289.80,170.99,52.77,195.21, ,167.18,225.26,299.22,106.89,24.53,118.41,4.28,158.89,132.04,57.90,178.17,35.40,41.82,253.91,51.56,159.48,59.49
92.14,0.82,41.95,30.45,195.86,151.43,95.46,210.51,29.07,24.20,289.83, ,243.74,272.39, ,191.14,86.23, ,87.05,129.05,212.75,8.27,140.84,42.94,273.54,153.38,220.50, ,286.52,295.79,111.06,130.01,293.06,285.47,3.29,209.21,80.54,123.96,39.45,70.96,160.52,17.14, ,234.99,174.28,270.57,184.72,132.81,228.30,172.39, ,40.18,168.04,116.28,148.73,178.98,19.48,186.94,262.23,271.61, ,96.49,91.57,217.90,188.69,175.87, ,99.71,131.94,217.18,138.64,174.18,283.77,236.31,284.70,281.90,88.63,163.16,67.97,261.03,4.81,17.25,167.51,74.46,24.75,147.53,141.45, ,125.22,75.46,153.46,257.39,260.60,83.29,1.77, ,143.14,67.70, ,235.22,123.73, ,115.37,165.49,103.91,82.04,80.09,126.14,14.92,212.67,129.55,250.48,181.19,233.17, , ,184.11,106.16,233.46,200.97,178.36,103.58, ,183.67,103.69,32.84,48.41,279.51,232.03,146.01,241.64,279.66,279.01,30.24,144.48,298.75
130.13,47.01,281.20,108.44,66.42, ,114.83,214.36, ,31.99,126.37,108.11,264.59,176.84,124.45,165.85, , ,195.88,5.51, ,221.90,285.00, ,229.97,297.30,258.10,245.21,247.16,284.52, ,161.37,171.79,279.77,72.85,268.30,187.38, ,109.28,54.54,234.55,196.58,83.31, ,28.51,208.29,223.67,129.17,233.96,258.80,73.38,95.60,151.49,165.28,92.26,275.56,60.13,64.47,43.38,253.11,158.29,153.72,281.45,167.00,283.86,129.14,157.44,98.92, ,264.20,299.98, ,167.87,165.58,141.88,151.49,280.85,256.40,91.75,117.47,153.27,84.54,158.57, ,257.48,114.86,180.86,11.46, ,161.36,215.06, ,280.24,26.57,18.60,103.75,193.98,57.55,48.71,236.42,160.81,251.54,131.18,70.74,228.19,142.07,109.78,101.72,52.65,135.33,99.55,148.07,45.34,88.11,142.55, ,3.36,28.90,252.37,203.87,185.49,16.85,174.11,100.56,150.06,99.46,28.40,69.37,83.89,110.04,117.54,255.30,255.77,254.03,241.50,82.91
 ,99.76,96.33,226.38,47.23,159.92,183.64,37.91,282.36,15.62,130.44,115.60,105.96,205.38,41.30, ,168.29,196.78,81.85,220.49, ,75.73,109.71,200.70, ,183.06,180.55,290.96,158.96,136.71, , ,0.06, ,168.35,144.61,278.33,82.95,79.74,122.87,183.32,84.15,269.11,188.91,205.52,97.18,291.43,83.62,137.96,91.06,206.84,239.77,83.76, ,138.02,207.67,24.66, ,46.46,22.17,29.89,14.60,290.01,186.95,20.34,77.67,75.93,15.67,248.68,263.62,237.45,151.62,129.62,106.11,124.84,111.46,55.97, ,45.98,168.75,152.44, ,263.84,181.79,285.28,78.94,74.41,53.86,146.10,79.70,59.55,80.48,59.28, ,41.08,129.17,2.03,103.48,245.44,81.10,58.34,3.88,285.97,61.10,166.37,291.70,4.12,199.06,255.52,172.21,217.93,206.42,282.98,119.28,82.97,153.36,111.94,148.55,177.52,9.91,154.22,47.24,35.71,270.22,220.23,38.99,255.22,149.55,149.81,10.63,82.84,90.23,132.27,176.20,245.25,262.03
