Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102
205.61,259.33,273.29,74.18,47.16,29.67,1.02,68.26,46.31,223.16,226.98,29.65,103.27,17.37,142.19, ,47.80,130.96,182.39,219.62,95.56,107.38,11.74,199.10,146.11,129.97,31.37,82.05,3.87,35.69,110.49,203.10, ,34.07,192.30, , ,178.02,77.39,245.81,207.95,23.30,282.59,43.71, ,62.03,126.05,218.54,198.52, ,208.42,98.56,238.18,70.72, ,148.11,201.79, ,54.42,45.35,124.30,220.20, ,107.27,248.81,44.63,147.45,55.75,238.02,241.34, ,57.53,75.31,117.71,215.60,149.20,209.13,50.02,255.54,236.60,149.93,108.26, ,247.71,113.01,209.48,145.66,111.88,211.98, ,12.58,51.40, ,260.53,221.05,90.82, ,154.45,288.86,269.36,210.42,211.72
231.85,241.82,77.96,280.50, ,293.09,234.08,153.54,290.15,284.48,196.76, ,168.86,198.14,98.50,160.58, ,92.43,146.54,54.26,141.45,32.61,109.19,289.41,161.31,37.32,60.54,156.72,102.93,194.12,255.01,101.72,207.41,241.54,55.10,203.89,122.48, ,231.67,20.51,64.50,231.72,60.62, ,56.60,223.51,209.87,253.40,143.76,205.75,214.77,81.10,157.41,55.16,135.26,209.02,22.86,261.38,269.72,0.15,95.89,277.03,102.18, ,245.94,223.10,6.02,112.34,41.36,179.84,151.18,138.89,161.06,142.21,17.70,94.35,65.27,21.04,120.18, ,66.12,11.49,48.75,209.71,236.80,53.26,76.81,5.56,52.52,99.86,71.24,241.08,134.52,136.30,79.27,293.95,130.51,242.76,200.87, ,137.68, 
4.34, ,9.90,49.91,212.43,134.68,137.71,116.20,86.23,176.07,15.70, ,21.14,183.77,116.69,59.69,42.38,49.71,73.93,89.68,74.71,272.05,124.03, ,220.83,194.34,182.22,118.36,231.18, ,153.19,6.94,94.05,276.91,89.09,6.04,188.21,165.10,137.13,82.24,209.95, ,6.85,114.10,159.40,207.78,198.47,236.84,201.10,88.26,75.25,50.90,27.30,119.13,268.77,269.81,18.20,182.55,32.94,150.25,41.94,122.23,165.08,51.76,45.23,111.03,279.11,74.51,293.57, ,262.34,163.78,20.09,123.37,256.98,195.39,161.96,271.55,118.50,154.13,75.85,295.71,273.25,270.84, ,164.48,113.54,37.41,186.46,177.74,218.43,126.99,159.72,39.30,198.92,116.22,145.77,79.30,83.61,12.94,88.15,236.90
43.78,256.06,235.76,161.84, ,288.83,291.28,261.24,268.17,69.59,176.93, ,219.02,68.01,26.83,109.38,57.85,238.03,83.41,147.70,27.98,234.08,270.55,211.16, , ,293.52,119.25,154.33,137.04,270.23,78.50, ,136.35,65.63, ,239.42,261.43,277.21,217.33,198.84,171.68,70.82,193.61,38.67,228.33,270.29,39.58,278.17,185.13,232.80,227.14, ,188.57,10.55,56.96,282.93,129.99, ,295.18, ,33.85,74.66,65.11,249.14,251.40, , ,49.11,89.49,67.75,60.97,62.16,36.61,3.39,198.37,161.78,106.00,40.08,105.19,153.89,219.09, ,218.12,219.75,57.13,20.30,202.05,97.36,135.21,23.37,40.81,163.58,89.04,26.14,164.41,123.59,50.42,89.37,196.52,221.08,150.20
 ,52.25, ,72.23, , ,176.99,78.64,255.53,99.79,137.37, ,260.96,163.42, ,131.96,281.42,40.01,294.42,183.87,115.07,209.58,51.70,13.19,127.14,298.00,250.38,191.13,96.33,226.79, ,58.75,27.79, ,159.41,141.40, ,256.47,50.20,51.08,13.38,263.92,179.42,232.48,81.97,111.12,222.65,202.40,169.83,93.20,89.60,123.77,40.04,132.26,80.44,227.02,64.75, , ,81.78,258.96,4.25,19.79,167.38,208.30, ,1.50,241.97,143.34,240.96,207.11,4.03,258.22,155.20,173.78,230.94,58.32,186.43,114.48,295.78,21.63,189.03, ,131.00,195.90, ,119.49,196.20,203.40,221.38, ,95.16,234.51,216.29,163.76,143.69,40.48,298.71,69.38,126.02,245.88,106.22
141.42,7.08,122.57,186.32,165.07,39.13,258.81,128.80,0.12,99.65,152.83,114.06,120.20,122.59,262.01,176.97,147.97, ,270.54,254.69,210.62,190.83,194.98,139.00,146.37,117.19,264.32,1.02,35.76,9.12,203.12, ,6.55,162.87,56.43,29.61,119.03,98.97,160.75,268.24, , ,295.49,44.05,279.58,246.81,239.69,123.80, , ,263.51,205.26,98.76,228.07,200.65,47.04,272.26,239.70,95.01,42.41,146.24,69.63,242.68,141.72,186.94,196.82,59.56,170.38,36.95,76.12,125.49,299.00,138.44,161.61,173.89,72.50, ,142.13,168.69,254.89,38.38,131.99,183.65,59.20,271.02,118.09,283.15,207.63,79.68,242.52,20.22,85.62,72.57,153.52,79.20,176.43,232.51,6.41,242.49,158.14,223.27,122.14
217.47,287.32,176.10, ,196.31,95.90,148.95,90.17,102.84,266.65,131.10,226.83,217.56,105.40,215.71,253.21,299.10,109.45,159.08,6.53,115.68,292.04,126.07, ,228.92,21.49,111.90,76.17, ,68.62,45.20,246.18,106.45,281.39, ,140.47,248.06,70.86,187.90,176.56, ,105.47,111.84,62.81, ,121.96,99.60,67.72,232.70,190.38,47.52,119.50,61.47,83.85,118.05,167.83,241.85,100.08,70.01,255.57, ,77.53,185.48,268.65, ,34.78, , ,266.07,270.30,61.78,159.87,25.88,174.43,285.86, ,55.87,116.06,115.28, ,0.77,103.86,254.38,129.97, ,96.03,191.24,185.09,283.43,271.27,239.35,296.99,99.50,243.26,287.13,109.15, ,66.78,29.48,64.83,150.25,255.48
177.02,158.65, ,223.57,73.61,32.67,76.77,123.45,47.72,78.57, ,137.88,159.10,244.81,26.81,209.71,68.63,61.34,209.13,150.85,197.44,35.46,90.53,91.48,215.35,189.13,134.97,295.87,194.36,217.99,35.75, ,104.37,264.81,123.55, ,126.35,196.27,254.11,29.44,97.37, ,286.50,82.61,12.88,207.87,294.67,289.30,32.50,36.80,125.33,85.95,286.70,204.10,26.13,177.96,288.27,19.37,139.76,288.27,178.66,106.19,25.18,295.70,189.17,54.99,192.86, , ,212.95,28.08,117.35,10.80,28.78,80.39,132.14, ,10.80,127.36,289.97,179.83,112.02, ,126.52,243.57,284.75, ,12.83,192.64,106.40,247.65,78.65, ,147.31,279.51,264.71,102.08,43.48,299.58,252.37,61.01,274.95
52.47,58.60,242.88,254.48,225.11,19.79,59.76,178.65,279.22,202.92,30.91,231.03,202.21,156.59,79.35,8.99,181.78,279.90,45.05, ,270.16,85.60,85.18,190.10,231.92,27.37,64.37,244.26,175.98,251.45,207.02,148.19,264.77,18.73,260.83,155.23,278.53,242.44, ,132.54,125.46,215.53,230.36,82.95, ,210.61,204.48,59.66,156.47,268.44,113.86,128.31,160.26,209.93,170.55,235.23,228.93,274.24,31.58,150.56,228.82,33.46,178.80,185.96,117.55,210.47,83.67,200.50, ,110.43,16.15,281.85,142.82, ,210.43,212.65,171.44,122.17,274.76,298.03,36.24,15.12,46.99,285.48,42.71,57.92,147.24,71.18,114.64,271.21,268.89,86.07, , ,45.23,209.20,160.79,158.84,192.14,274.69,153.32,8.70
 ,155.94,177.91,297.70,49.25,1.05,108.84, ,17.07,258.49,229.87,171.72,295.19,294.53,241.48,287.28, ,94.01,242.15,184.16,4.08,262.62, , ,146.51,88.53,83.41,262.99,186.52,197.87,46.22, ,194.07,142.04,249.04,195.30,132.31,225.04, ,230.17, , ,57.13,109.80,272.55,43.23,124.48,109.46,108.85,64.77,143.36,212.91,213.22,223.82,58.92, ,289.09,15.35, , ,175.58,245.64, ,104.72,103.74,243.55,215.49,176.46,26.23, ,239.45,74.18,282.17,133.94,285.47,37.03, ,212.61,68.03,246.41,233.82,86.92,262.73,185.69,61.26,228.57,151.37,285.80,133.99,273.14, ,122.43,299.33,54.90,12.83,29.50,149.70,272.50,42.38,212.76,36.16,110.15
276.06,233.58,95.97,88.39,18.08,43.51,155.62,100.51,14.28,54.04,209.66,191.05,1.44,133.62,228.49,285.38,205.75,19.80,202.06,202.93,19.00, ,174.62,38.05,59.12, ,223.10,123.65,29.76,217.95,162.70,107.15,50.99,67.04,14.61, ,217.55, ,163.99,72.61,164.84,267.96,212.81,110.62,5.20,161.56, ,24.26,110.92,120.60,239.38,138.43,70.37,97.72,219.96,40.96,89.33,96.76,69.46,232.86,293.02,267.48,77.01,285.78,164.08, ,103.46,150.18,68.14,109.66,126.12,77.45,123.50,51.68,3.56,178.59,32.51, ,248.69,68.69,216.78,40.85,36.23,78.71,106.77,157.84,110.99,220.72,15.50,117.58,158.37,139.82,189.59,44.80,120.50,72.75,46.27,265.80,152.22, ,258.99, 
102.25,180.52,206.26, ,23.84,36.16,297.07,70.50,48.82,209.22,281.53,208.58,212.29,247.35,121.75,286.17,8.59,290.78, ,186.80,56.62,245.52,41.12,8.05,298.35,39.06,198.36,69.25,197.84,240.83,182.08,140.80,155.76,283.13,0.11,96.69,213.98, ,255.10,2.32,290.10, ,150.77,109.55,110.99,280.35,162.03,198.99,154.78, ,137.91,270.26,38.76,221.82,21.26,72.71,261.85,242.73,213.58,195.40,171.23,113.95,64.82,122.03,131.16,37.80,118.85,276.91,35.05,238.59,75.64, ,37.49,22.63,287.70,18.74, ,221.53,177.14,211.62,54.00,175.95,11.85,99.86,152.42,187.48,191.22,102.32,0.61,293.75,164.13,142.69,30.72,220.67,50.57,207.04, ,82.98,186.92,296.22,230.21, 
21.22,26.26,293.47, ,287.22, ,63.85,149.54,57.74,2.43,202.50,212.88,292.46,264.49,105.47,0.45, ,21.67,229.57,252.42,145.18,107.27,3.49,158.82,158.52,100.49, , ,179.72,2.42,173.59,94.45,73.11,217.06,290.01,239.98,103.08,182.08,94.45,11.13,283.62, ,84.12,13.83,16.22,96.50,96.53,99.64,242.28,27.34,120.70,277.04,277.06, ,187.40,130.77,109.92,68.18,198.51,6.04,220.89,89.10,25.50,25.72,200.54,163.12,277.11,214.63,14.16,285.44,133.48, ,243.39,168.28,129.12,241.65,293.85,210.82, ,169.09, ,69.63, ,7.22,232.12,119.42,198.69,147.85, ,247.95,151.69,211.16,189.19,102.53,23.43,102.97,182.44,251.44,150.69,259.29,78.59,49.29
79.83,172.72,75.23,87.55,236.90,207.72,151.51,9.12,23.59,94.49,160.71, ,11.40,117.38,270.98, ,295.85,144.71,190.36,289.24,146.85,276.61,52.23,64.81,3.07,173.43,294.43,143.48,45.54,269.91,6.85, ,2.70,122.08, ,42.01,215.06,86.66,243.42,19.80,200.23,96.63,120.42,107.80,243.59,299.77,140.15,181.94,9.32,239.59,165.89,41.11,170.46,272.63,266.65, ,166.88,218.74,135.71,48.33,253.40,99.38, ,106.00, ,115.32, ,295.91,80.54,224.42,164.79,64.88,189.48,298.31, ,238.84,115.52,140.09,188.85,235.81,45.47,90.02,262.23,156.70,269.50,30.12,58.51,285.38,116.65,188.26,278.08,61.90,114.28,162.51,141.46,233.80,82.97,47.72,212.78,150.90,98.15,102.79
108.19,46.61,260.53,246.26,61.97,32.20,210.15, ,51.62,113.18,76.01,286.27,49.79, , ,288.85,34.86,261.31,192.12, ,126.99,22.16, , ,65.20,249.07,102.34,57.76,18.12,27.17,244.56,111.42, ,264.54,52.23,34.53,112.00,71.33,140.25, ,194.61,135.71, ,238.05,27.84,103.91, ,243.24,223.98,43.79,19.21,182.92,289.81,57.06,198.60,248.15, ,142.76,222.17, , ,72.25,139.17,104.90,119.40,69.26, ,199.95,271.14,138.32,210.14,68.85,196.86,267.62,159.77,205.49,6.46,218.47,204.90,293.65,214.04,119.44,281.57,281.36,102.27,213.66,15.07,121.14,299.52,195.26,240.76,5.51,166.47,135.97, ,129.62,232.65,240.99,76.90,2.11,62.66,243.27
136.87,196.21,225.31,244.06,225.73,90.11, ,14.09,282.65,138.54,265.36,45.19,10.77,288.21,68.24,283.65,246.88,39.52,134.75,239.75,250.22,9.45,195.85, ,178.50,270.62,21.60,27.89,215.26,295.92,101.71,239.29,52.82,284.54,283.47,288.26,259.24,212.27,168.67,214.50,292.05,29.87,89.62,21.36,91.23,260.52,123.21,137.96,48.54,224.53, ,212.79,90.76,147.09,54.27,87.66,74.95,131.30,62.40,109.96,280.28,27.80,250.45,11.18, ,133.67,8.16,263.79,55.94, ,229.11,172.98,5.10,289.56,36.54,25.46,119.24, ,147.04,224.19,190.15, ,23.82,58.95,65.46,44.95,92.02,118.52,290.84, ,280.40,249.47, ,95.96,291.24, ,170.21,73.28,44.55,84.17,183.03,211.68
118.13,276.98,245.05,83.03,154.91, ,104.37, ,200.34,5.43,246.01,263.93,236.00,143.37, ,26.40,66.38,211.49,188.35,137.96,86.71, ,150.13,89.60, ,289.94,254.97,139.30,223.91, , ,1.97, ,28.37,153.46,91.63,128.08,184.33,182.02,243.64,26.31,278.06,23.18,230.82, ,61.44,169.25,139.45,214.84,199.59,80.00,186.62,267.40,10.70,163.94,169.44,127.99,174.16,225.86,34.67,56.17,116.09,224.16,96.64, ,296.23,262.08,120.62,102.95,99.16,266.49,198.19,28.82,36.74,26.73,167.33,138.42,51.84,187.60,160.48,189.47,260.60,292.26,240.00,183.76,123.96,239.98,12.83,123.03,101.47, ,268.80,270.23,137.36,119.84,194.55,34.21,107.05,43.52,125.75,72.02,262.69
104.89,235.10,107.87,175.16,116.49,43.14,76.20,120.79, ,15.34,59.44,149.53,110.12,70.94,109.82,211.54,40.73,267.20,4.24,289.59,68.36,5.01,209.76,275.88,210.74,148.29,57.83,215.37,35.62,116.80,222.16,177.54,224.71,77.32,96.61,190.82,200.46,20.06,81.33,216.02,287.17,262.25,62.13,212.95,163.94,243.19,58.07,49.00,265.46, ,62.06,102.56,93.67,247.09,79.72,119.91,230.20,34.04,246.34,188.14, ,217.89,161.71,107.99, , ,37.02,135.51,273.04,23.91,9.64,51.14,47.70,182.88, ,158.08,68.64,222.33,264.11,5.96,17.58,198.82,253.68,226.54,42.33,207.82,298.72,64.90,183.31,134.28,44.81, , ,38.58,257.70,125.39,242.76,180.32,234.00,210.88,17.91, 
 , ,148.34,31.88,244.65, , , ,226.38,77.98, ,35.68,94.54,210.42,179.66,171.52,262.88,31.57,181.68,183.07,18.63,129.77, ,63.79,99.18,76.50,255.13, ,222.78,212.19,77.69, ,249.21,148.07,137.09,162.94,247.23,113.01,22.73,296.83,99.44,76.68,273.18,221.57,254.58, ,87.78,190.08,88.65,121.04,132.69,232.85,132.43, ,294.60,116.38,235.05,87.43,91.75,43.53,246.64,75.07,85.89, ,58.86,230.53,73.07,65.10,290.30,131.72,192.12,146.76,215.31,270.98,154.32,270.57,278.23, , ,54.58,258.02,160.39,293.34,251.78, ,242.08,71.10,148.09,119.22,266.67,2.61,36.11,164.28, ,132.97,35.52,3.71,0.99,182.10,97.57,52.77,75.97
108.05,156.83,167.65,126.08,191.08,85.55,184.07,237.72,135.78,204.58,266.79,3.59,199.90,282.78,138.11,261.42,107.17,105.57,6.70,24.26,251.44,123.07,99.12,152.54,34.02,74.39,262.69,149.70,179.15,115.27,191.23,263.41, ,68.98,201.63,297.48,252.07,222.48,206.41,240.12,17.29,215.70,259.93,167.80, ,0.28,190.08,14.48,189.91,222.47,111.04,160.61,175.17,132.94,174.30,202.87,133.49, ,151.59,224.98,282.57,19.67,287.89,234.84,101.09,63.85,255.29, , ,162.11,298.68,267.02, ,282.63,227.83,99.96,138.91,70.44,139.02,224.62,225.64,151.30,129.85,25.18,240.35,278.91,189.61,0.10,131.48,252.86, ,52.82,35.57,217.62,11.19,196.92,134.05,212.69,92.77,229.13,268.56,188.47
9.66, ,14.16,284.45,183.03,19.84,216.67,247.83,203.19,85.88,290.30,177.27,141.57,123.37,174.03,239.62,253.09,177.39,55.57,234.26,42.94, ,259.61,216.64,49.30,234.45,63.18,191.15,124.83, ,175.97,24.21,146.32,47.43, ,103.00,178.81,228.48,10.41,279.02,36.65,299.92,42.20,254.36, ,79.19,101.31,0.63,70.74,102.83,170.66,221.17,226.18,284.68,273.18,38.11,209.42, ,180.53,263.24,41.98,214.07,85.08, ,210.61,219.53,58.14,60.81,146.40,242.08, ,215.26,84.20,213.27,15.62,259.26,228.69,262.62,73.19,12.00,258.31,65.31,10.10, ,289.41,19.55, ,65.63,136.83,262.23,0.47,143.91,256.71,260.97, ,34.17,227.37,225.35,245.25, ,100.75, 
102.64,110.34,14.85,72.45,219.33, ,197.18, ,153.89,85.85,254.44,40.27,299.96,61.14,162.73,45.95,129.41,41.61,84.22,196.85,221.14, ,86.28,245.70,167.26,297.01,239.22,280.75,117.00,182.17,109.10,108.16,262.14,243.10,40.97,98.74,220.69,176.88, , ,218.13,107.36,36.02,32.18,167.61,263.15,211.38,182.51,273.74,276.30,46.54,216.39,214.92,60.19,144.04,214.38,84.01,277.32,68.32,136.81,158.68,285.71,172.21,89.60,12.86,62.78,83.17,204.68,116.25,89.88,253.35, ,37.36,299.79, ,9.29,30.25,94.16,238.04,184.17,112.32,93.54,256.43,154.27,174.80,125.98,230.81,268.94, ,294.94,274.08,262.35,119.50,62.45, ,28.82,96.01,216.66,16.24,66.27,34.20,141.03
205.74,239.51,25.12,169.62,30.28,240.53,78.38,61.03, ,89.85,235.24,150.12,247.24, ,117.75,132.12,217.58,30.62,212.55,213.29, ,243.57,274.45,119.43, , ,184.54, ,119.77,116.85,271.25,135.62, , ,47.78,5.61,272.14,134.15,0.33,129.00,142.51,160.81, ,194.08,167.33,192.13,277.67, ,117.73,251.59,240.06,130.25,77.78, ,211.92,164.16,116.82,222.50,66.35,262.28,182.68,121.25, ,98.92,183.55,183.83,231.85, ,62.10,212.29,233.38, ,97.54,269.13,126.69,69.42,119.37,119.69,151.10,269.94,106.02,166.67,288.63,113.74,160.63,35.42,116.67,177.43,63.82,217.28,3.65,127.52,16.55,72.00,141.73,117.67,195.43,237.60,82.87,7.19,234.62, 
51.30,146.05,266.05,182.79,296.26,284.09,186.05,191.28,73.04,171.36,128.65,258.38,238.57,19.90,244.34,150.69,264.74,261.15, ,143.94,285.61,71.45,199.49, ,253.18,229.39,96.59,280.25,70.75,64.68,100.89,153.16,4.65,248.32, , ,109.74,223.28,207.51, ,210.27,275.85,253.73, ,11.77,137.62,299.45,173.18,211.32,51.92,144.24,181.77,237.92,29.00,114.69,189.37,146.78, ,132.85,213.59,179.20, ,261.72,255.44,94.02,161.24,82.74,146.18,198.43,256.02,245.30,163.94,208.07,48.37,143.57,234.86,95.00,112.21,222.77,191.62,234.41,162.72,58.35,281.66,93.00,184.21,8.39,172.97,58.86,237.73,137.13,261.51, ,73.72,24.45,180.48, ,233.34, , ,212.85,248.48
12.26,44.15,180.83,237.12,138.45,142.12,47.44,207.72,177.36,173.58,77.04,94.51,118.76,2.08,262.02,37.47,83.25,294.94,298.74,203.77,106.90,112.77,149.52,3.47,217.06,45.61,91.86,4.48,27.56,242.23, ,279.70,40.37,258.80,60.06,208.21,297.76,10.02,103.62,155.58,247.57,176.11,124.48,246.15, ,252.72,33.36,257.03,250.22,256.02, ,146.88,275.65,116.98,296.75,16.18,51.11,184.95,205.41,243.44,44.53,104.28,20.58,278.89,264.34,273.82,75.64,81.89,265.33,36.96,119.48,114.40, ,299.35,222.30, ,73.86,28.46,75.16,192.26,66.84,51.29,75.61,161.35,178.22,56.38, , ,268.32,46.44,202.51,207.50,185.48,264.59,159.50,262.99,93.81,208.37,70.47, ,231.82,150.24
197.86,147.25,33.74,120.15, ,264.40,164.20,207.82,63.83, ,26.81,262.36,27.45, ,11.43,58.93,229.72,50.78,264.68,28.89,244.64,268.01,274.29,58.92,261.01,249.43,149.56,91.92,95.97,33.30,278.85,260.31,209.66,203.72,135.58,189.43,280.44,289.26,289.64,136.84,170.92, ,20.47,172.13,250.76,259.97,50.36, ,258.93,29.56, ,165.14,25.62,75.69,234.61,172.70, , ,153.70, , ,108.33,100.84, ,60.81,197.56,135.72,74.86, ,211.05,114.39,275.77,119.71,220.50,193.17,115.75,41.31,221.04, ,21.88,242.19,25.99,195.70,296.24,26.99,181.60,129.77,33.18,237.98,240.36, ,28.13, , ,65.45,219.08,126.53,102.64,153.81,104.92, ,75.48
254.01,99.93,75.34,103.63,76.68,243.70,72.11,97.01,55.28,60.63, ,188.46,237.41,260.76,57.79,117.81,153.40,200.24, ,33.36,163.54,84.79, ,156.91,120.46,152.36,59.09,50.31,86.46,289.82, ,47.61,147.86, ,222.74,37.19, ,77.99,191.56,43.75,19.69,35.47,293.19,77.24,107.91,147.74,14.61,125.69,141.58,210.14,196.29, ,269.26, ,205.77,219.56,146.38,90.34,257.41, ,34.65,47.36,292.55,74.05,268.68,29.10,46.41,138.51,249.48,44.53,13.53, ,263.05,165.07,4.14,136.92,157.13,290.95,274.28,290.63,102.62,190.90,173.30,183.36,111.08,222.54,4.66, ,267.71,208.23,24.87, ,268.47, ,259.42,114.02, ,275.82,221.94,240.83, ,124.19
139.42,195.79,119.98,299.91, ,208.14,139.84,266.81,126.70,67.72,220.58,26.16,57.08,63.13,43.34,122.10,230.87,212.39,57.40,187.54,121.58,253.88,34.54,69.72,27.24,92.35,298.53,144.22,66.61,53.52,298.81,126.55,113.05,117.32,45.56,15.54,100.55, , ,190.11, ,217.36,88.69, ,207.20,89.87,216.76,83.76,19.02,145.25,249.24, , ,267.43,161.94,287.48,203.07,188.78,94.95, ,260.13,195.29,48.63,186.29,252.85,211.04, , ,112.39,45.62,177.11,269.13,51.15,148.16,148.41,23.69,35.67,31.67,253.35, ,139.64,52.89,183.36,188.60,28.44,272.08,275.38,104.76, , ,68.64,212.80,39.35,151.87,17.39,276.52,182.87,70.01,57.65,151.82,179.84, 
151.92,19.90,120.65,274.59,9.01,97.84,29.60,277.09,100.95,29.29,242.80,268.65,203.10,30.38,101.86,193.85,226.52,141.46,154.13,232.22,106.31,288.35,113.62,188.68,25.37,113.20, ,81.85,266.52,177.11,105.73,9.71,14.27, ,61.45,17.02,240.73,23.72,259.24,194.53,51.91, ,165.11,129.33, ,95.85,211.90,56.57, ,116.09,144.89,75.37,34.08,163.21,92.76, ,230.10,264.56,206.73,147.12,159.79,129.58,44.93,167.34,41.14,217.59,233.65,130.43,268.72,19.35,292.22, ,222.32,207.33,5.19,51.46,97.59,229.57,190.48,220.57,12.19,209.58,242.98,197.68,112.95,118.46,89.37,181.84,28.57,216.03,26.97,133.75,113.03,177.78,34.37,295.50,107.67,113.81,49.31,149.77,108.64,101.32
198.33,209.70,72.33,260.68, ,94.43,206.25,101.63,192.12,205.27,7.64,52.48,159.65, ,21.90,176.29,70.61,106.38,1.53,106.04,278.01,56.64,105.50,3.49,106.50,220.53,211.11,97.65,190.54,177.47,34.22,35.66, ,142.05,129.92,191.17,298.78,148.77, ,63.16,211.19,107.59,214.83,162.61,288.10,174.11,265.58,219.33,13.15,143.30,177.63,289.45,162.84,118.53,275.80,267.60,51.35,18.71, ,181.32,82.00,152.78,200.05,166.90,74.26,44.60,92.24,161.99,71.49,180.54,217.67, ,104.65,177.77,79.77,4.69,53.66,211.23,139.21,168.13,46.59,85.10,174.98,81.12,65.25,117.52,240.66,2.79,293.33,168.68,152.22,131.55,112.53,207.11,15.11,292.23,157.97,280.82,71.09,269.93,84.93,36.55
267.20,70.89,219.89,33.63,112.94, ,225.47,185.10,223.07,169.43,118.31,265.58,17.86,121.18,112.45,190.74, , ,208.93,149.97,169.99,261.44,200.06,243.14,64.11,45.49,150.97,180.31,15.05,144.07,52.36,44.87,94.56,173.18,57.05,151.99, ,113.43,145.28,205.35,64.45,275.93,222.53,178.31,154.78,183.16,128.83,35.89,234.24,245.12,13.64,89.71,213.48,202.90,203.48,289.20,179.81, ,102.35,144.23, ,220.70,250.66,164.28,121.47,243.14,36.25, ,125.96,248.33,100.36,232.58,296.30,88.42,166.44,66.29,32.20,231.37,276.60,221.08,102.37,206.30,55.85, ,181.81, ,210.91, ,143.49,155.53,157.93,210.45,183.26,80.90,152.48,185.79,58.78,235.76,55.25,134.22,8.51,278.87
226.94,19.88,209.27,114.44,292.37,115.89,246.00,84.82,34.49,231.87,119.56,171.64,272.34,93.14,21.89, ,248.83,161.38,121.04,133.70,29.16,4.12,104.59,289.61,235.41,134.95,79.78,200.32,274.92,47.73, ,119.74,176.89,258.67,152.55,29.85,24.62,44.90,293.02,219.02,181.23,31.04,259.02,110.22,8.54,261.35,244.46, ,121.35,20.28,265.14,47.35,40.36,50.82,228.80, ,124.90, ,155.94,27.04,198.00,198.09,202.00,158.86,224.02,95.68,297.71,260.03,66.73,280.83,270.17,114.19,34.53,226.98,79.84,80.02,194.68,192.23, ,51.09,64.54,175.44,29.00,268.86,2.99,54.88, , ,234.74,299.05,25.36,6.64,269.54,174.07,176.70,88.18,50.50,259.08,161.55,162.20,62.13,99.67
285.73,81.53,137.48,147.27,270.09,142.23,138.38,187.28,287.04,242.87,128.17,263.48,190.03,120.14,290.86,69.18,258.91,197.06,231.28,259.23,198.23, ,36.61,28.27,104.80, ,142.34,196.51,121.61,231.50,38.70,161.56,198.96,258.59,216.86,140.35,91.23,277.56,75.19,260.49,200.12,121.44,96.11,148.29,104.50,159.47, ,21.03,201.12,209.67,58.36,137.48,190.77,212.00, ,7.32,78.14,47.70,249.91,217.54,61.53,177.99,165.24,242.04,81.26,25.99,141.89,215.88,16.30,288.34,43.19,222.78,203.10,20.92,114.29,251.20,260.49,96.82,9.34,242.05,122.39,169.01, ,84.88,109.86,28.95, ,24.61,41.35,142.40,80.72,0.72,132.51,161.12,86.94,268.18,261.07,297.02,54.85,214.95,200.44,124.42
 ,149.04,53.15,163.91,157.46,116.14,253.11,50.50,164.29, ,193.28,241.19,12.10,280.88,91.51,18.83,30.91,64.97,83.78,216.33,299.19,15.33,290.05,239.07,256.98,23.11,42.06,40.56,260.34,281.21,202.76,267.80,30.67,286.09,174.49,13.64,239.36,62.25,121.66,101.90, ,125.01,203.43,269.44,49.65,238.80, ,238.84, ,269.52,113.40,276.57,97.61,255.19,212.51,248.24,286.50,75.20, ,278.63,225.20,250.46,175.01,109.73,121.28,83.37, ,167.34,66.26,50.19,91.52,206.04,176.53,66.63,4.04,230.36,247.59,155.31,41.58,273.40,28.55,238.81,260.87,151.84,71.10,48.58,164.72,202.38,147.16,292.98,291.40,56.06,89.91,102.66,118.65,286.94,286.49,99.11,31.90,274.49, ,23.07
17.69,168.00,124.85,51.92,128.41,32.11,65.18,170.05,62.12,183.61, ,109.37, ,141.27,154.44,112.36,209.89,155.19,188.99, ,240.91,43.31,288.20, ,231.68,178.03,226.85,203.12,171.01,39.39,170.94,256.55,71.33,113.35,244.34,206.56,243.25,202.56,150.85,140.79,294.01,76.32,80.46,80.31,191.01,263.75,13.52,45.25,86.74,11.38,160.94,190.33,80.59,263.62,106.15,13.97,123.22, ,203.68,101.33,260.75, ,22.70,39.21,19.41,226.54, ,87.48,47.36, ,140.25,260.76,259.69,46.56,65.02,286.60,168.92,95.51,260.66,24.50,186.15,125.82,74.69,200.17,30.21,52.73,247.12,116.86,288.22,289.73, ,276.33,99.92,283.52,78.75,214.36,287.88,204.44,32.96,0.73,217.51,109.11
