Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96
255.98,168.27,133.25,183.12,131.97,285.46,110.73,299.23,63.28,138.17,249.99, ,11.80, ,279.40,123.65,86.17,168.88, , ,127.85,62.75,205.49,251.16,235.13,294.13,63.48,206.73,120.24,25.27,183.32, ,6.97,184.81,255.19,97.63,267.10,20.07,197.27,178.08,3.41,207.63,191.95,208.55,160.16, , ,71.84, ,78.81,77.50,276.84,263.04,183.84,254.24,152.09,288.84,25.92,273.22,9.26, ,214.67,124.80,267.35,80.70,275.45,237.54,79.20,103.89,38.12,267.60,210.80,137.72,16.03,249.61,264.29,280.04,136.06, ,103.41, ,263.45,207.37,117.78,55.27, ,93.39,267.53,191.18,79.99, ,35.02,17.43,79.94,178.27,102.31
19.41, ,282.86,214.98,198.49,239.13,201.49,100.54,274.79, ,54.78,100.33,276.47,89.11,115.22,272.42, ,291.83,177.58,102.03,158.55,294.12,120.68,130.21, ,105.00,191.28,72.22,249.57,109.37, ,224.59,77.53,176.03,163.42,44.06,146.17, ,140.29,86.65,130.50,100.52,220.81,95.27,283.42,41.73,83.53,17.37,224.37,265.62, ,19.24,288.35,240.40,5.70,40.97,71.19,142.12,269.65,101.96,117.33,4.41,230.34,227.49,75.62,285.55,109.87,107.14,170.20,52.54,288.23,217.50,142.35,66.10,193.54,74.69,14.86,220.99,230.35,265.13,235.44,75.33,255.48,143.52,230.01,1.59,289.57,277.65,278.71,243.93,211.81, ,226.68,104.11,28.06,137.01
188.02,109.35,43.17,76.84,221.83, ,140.07,89.53, ,68.24,38.33,73.30,123.61, ,227.72,182.73, ,216.75, ,26.11,139.74,78.48,239.77, ,79.84,268.57,108.27,59.05,277.30,203.55,132.32,28.63, ,208.92,157.70,109.60,278.87,201.74,257.93,108.74,221.35,105.53,230.87,177.96, , ,281.02,142.63,249.18,280.18,159.84,135.34,21.68,218.78,171.56, ,280.30, ,102.90, ,33.77,283.16,81.19,92.26,136.10,250.93,111.68,142.74,244.37, ,58.58,194.66, , ,210.44,245.87,40.55,47.12,34.22,83.29,250.62,163.78,35.96,193.79,289.42,89.36,114.58, ,9.24,40.23,288.53,214.70,2.11,48.99,299.98,87.50
157.97,191.45,208.49,133.88,27.55,142.84,91.80,261.71,68.86,69.87,263.50,59.26,250.33,269.83,15.60,277.97,229.85,113.65,207.55,191.82,224.75,64.25,25.43,117.59,27.89, ,291.40,210.93,122.36,226.84,34.78,50.63,214.01,22.00, ,269.53,62.69,278.83,210.83, ,28.42,180.79,250.23, ,161.16,210.26,56.04,215.12, ,123.47,253.60,6.57,115.01,143.90,229.58, ,233.85,248.53,4.52,282.63, ,143.80,162.57,61.95,239.26,179.04,56.37,208.21, ,23.22,57.74,243.28,252.63,152.30,209.52,65.58,33.53,35.95,180.45,101.39,299.35,204.97,259.92,270.30,251.46,36.56,26.04,37.77,156.96,179.84,46.90,258.64,263.30,119.87,54.69,169.69
124.80,116.13,112.28, ,63.74,144.14,106.01,110.70, ,0.78,47.41,209.95,128.11,0.65,17.01,169.23,109.37,261.36,78.74,11.93,137.38,30.46,197.90,21.02,135.37,247.11,69.47,188.84,30.31,145.55, ,14.79,54.19,195.38,87.56,291.62,106.41, ,16.72,158.79,264.00,59.54,176.95,68.17,26.59,255.28,145.80,186.93,254.28,275.19,283.31,225.59,50.62,261.54,290.52,105.09,114.50,165.64,293.63, ,20.22,12.52,178.08,79.30,166.90,233.09,258.35,26.46,227.93,177.09,26.10,100.37, ,264.99, ,258.63,160.61,112.36,171.22,85.75,248.34,225.56,53.52,58.73,99.45,115.56,281.94,273.96,122.28,47.30,189.24,48.61, ,160.97,155.99,8.73
99.75,32.06,14.91,39.91,15.43,210.45,8.52,265.93,174.39, ,142.93,144.05,290.90,52.51,284.82,222.61,3.66,123.39,198.90,24.75,54.79, ,46.75,256.35,150.67,64.49,273.67,132.84, ,261.66,210.31,121.64,37.80,16.91,110.14,200.54,209.60,186.21,2.09,70.20,96.71,79.25,174.62, ,39.83,180.01,291.52,79.19,164.29,141.36,14.63,226.02,266.77,35.72,183.44,150.81,78.49,277.46, ,62.25,266.21,262.35,134.99,2.95,253.13,100.79,222.07, ,71.59,85.99,205.35,89.08,167.64,107.92,31.56,207.36,0.50,76.25,185.81,227.22,118.22,246.04, ,104.00,128.32,87.46, ,56.90,190.25,192.28,69.65,32.46,37.73,27.83, ,213.64
184.44,97.29,4.93,75.84,195.60,37.67, ,171.75,164.51,264.49,60.16,280.63,11.14,125.59, ,82.81,111.41,11.50,286.36,102.83,125.36,266.36,281.49,34.79,270.67,285.94,156.95,8.08,31.22, ,70.19,157.97,270.20,34.29,111.58,281.73,176.08,140.13,261.65,73.90, ,170.69,244.41,289.10, ,20.32, ,90.51,210.36,107.93,147.59,147.16,268.56,74.39,161.07,210.37,187.41, , ,162.48,85.75,221.22,171.90,115.36,37.89,75.70,61.29,132.65,121.61,229.39,49.94,9.51,197.83,153.76,255.02,190.87,167.82,103.74,12.26,2.12,244.81,195.97,1.12,214.56,129.83,18.73,234.42,140.07,225.15,54.39,10.07,220.94,57.36,217.60,243.78,119.77
297.54,194.69,44.35,121.38, ,140.11,187.61,194.02,93.49,74.25,197.91,194.60,76.88, ,146.51, ,266.28,210.65,246.34,26.37,30.69,8.78,254.50,39.13,216.25,36.37,106.28,10.02, ,86.90, ,233.41,216.58,134.87,181.70,36.53,136.79,108.61,238.00,41.96,211.63, ,247.99, , ,258.72, ,45.62,195.81,220.32, ,55.19,60.41,276.14,273.19,77.08,281.35,160.72,51.82,68.25,67.62, ,26.34,74.43,38.31,50.98,82.63,13.82,290.09,298.38,123.41,35.64,23.08,102.89,227.65,49.82,289.43,109.54,235.33,87.72,154.22, ,236.85,246.07, ,96.29,17.04,299.20,161.88, ,264.77,156.16,53.67,176.01,193.17,23.10
279.49,231.36,228.99,186.57,127.31,271.36,262.09,83.99,52.94,243.29,110.12,204.29,183.08,251.56,272.06,153.39,271.40,69.74,252.97,75.46,201.36,165.06,237.89,178.23,55.32,8.54,220.97,29.22,293.12,180.31,255.44,216.74,118.45,127.23,242.78,151.70,249.51, ,187.40,185.81,21.13,186.77,228.30,215.78,92.72,212.66,151.99,274.65,64.82,206.06,203.90,287.94,58.26,55.62,270.52,123.88,248.76,178.22,110.24,209.42,290.56,260.87,68.44,221.38,196.64,269.49,236.19, ,294.45, ,240.10, ,63.97,94.38,102.55, ,196.55,87.83, ,48.70,71.38,251.05,180.87,174.12,14.68,130.00,93.70,249.22,179.83,250.69,87.82,245.65,249.78,60.51,129.44,166.56
 ,117.61,274.31,279.57,210.78,85.72,204.83,169.13,299.74,181.89,270.14,219.60,184.91,3.34,175.55,188.36, ,5.97,180.30,161.40,112.84,221.74,177.37,201.87,41.39,290.46,54.34,234.94,110.49, ,132.29, ,20.65, ,26.62,199.33,276.20,41.52,257.09,126.09,276.14,40.13,225.11,114.68, ,111.84,271.47,93.48,225.39,61.05,140.75,143.76,152.05,110.95,136.20,226.87,161.35,175.07,86.64,36.36,220.96,198.52,260.55,20.51,106.12,130.37,257.41,16.29,153.24, , ,12.46,124.38, ,299.45,85.26,131.86,150.96,221.11,240.61,63.90,19.22,256.92,102.88,282.38,84.29,122.57,122.08,198.11,258.30,91.38,127.56,66.16,203.30,21.92,200.37
270.46,231.29,185.68,158.43,246.51,277.69,16.45,28.76,95.65,112.13,30.62,110.27,218.22,84.04,157.48,25.96,204.00,55.33,291.42,257.74,156.49,7.01,35.19,87.50, ,199.63,53.44,128.14,57.53, ,297.67,218.68,127.15,280.89,212.36,96.24,210.23,105.54,125.67,253.01,271.57,112.79,29.28,117.59,9.64,113.76, ,32.44,85.65,11.84,67.49,64.38,194.38,43.13, ,183.86,55.94,40.46, ,69.74,262.46,130.48,63.00, ,95.45,265.93,180.59,18.06,298.44, ,15.54,170.74,182.63,214.25,275.84,182.93,203.81,294.82, ,57.82,247.44,40.84,103.84,147.43, ,145.86,145.28,76.32,19.72,251.40,297.01,16.94, ,220.75,267.65,92.51
127.13,178.74,253.32,89.39,104.47,246.61,20.83,258.33,127.73,288.26,214.28,78.63,188.33,119.56,254.42,181.45,252.01,249.50,42.77,6.07,214.44,29.24,60.70,272.12,204.84,250.13, ,28.76,64.21,32.91,282.55,101.64,196.98,13.60,204.60,108.38,266.93,81.08,121.76,174.32,273.49,260.32,10.59, ,74.80,38.87,299.77,96.64,180.82,77.47,163.07,91.52, ,152.58,299.09,64.64,284.54,8.12, ,18.70,136.72,251.16,88.50,159.42,14.80,143.61,23.38,222.23,221.59,267.48,18.21,282.22,226.37, ,171.23,218.43,287.82,56.34,100.44,22.83, ,63.07,114.35,135.87,201.35,55.69,275.03,110.65,265.52,277.60,208.25,83.68,116.52,69.77,196.06,2.75
99.12,10.82,152.27,250.04,204.14,222.45,79.64,136.43,70.12,210.40,242.73,291.81,89.70,39.17, ,41.92,237.74,178.22,260.00,101.24,229.05,236.07,186.62,244.66,39.29,142.17,1.42,9.47,225.96,99.85, , ,79.12,249.50,298.60,282.25,223.13,206.83,19.52,128.37,25.21, ,167.38,24.29,194.79,229.60,184.82,175.50,220.44,276.09,21.50,160.03, ,71.32,267.93,121.61,55.02,263.95,14.21,102.18,44.06,247.45,71.96,185.40,9.21,74.63, ,260.23,51.14,118.35, ,209.19,133.19,47.75, ,61.96, ,79.81,31.42, ,103.38,185.76,125.24,276.55,23.85,59.26,5.75,154.31,86.80,175.84,102.98,93.12,219.39,244.75,268.82,210.22
88.04,274.11,190.04,225.52,187.46,288.89,162.39,235.86,198.43,0.21, ,93.33,4.06,111.10,299.54,124.13,171.16,45.85,110.15, ,24.05,294.75,77.18,156.13,106.34,124.73,55.97,199.89,213.46,33.42,230.16,251.51,287.70,47.74,281.77,82.11,228.23,18.76,234.01,18.46, ,143.19,285.43,46.80,266.06,241.17,207.57,44.94,45.42, ,117.56, ,199.68,229.70,222.92,210.56,253.58,27.27,97.83,149.37,220.45,122.05,208.86,219.34,239.09,170.37,82.32,197.77,272.86,258.54,62.59, ,16.17,20.87,217.84,262.31,254.01,184.53,286.60,34.97, ,299.72,49.56,179.48,64.03,74.79,48.12,191.66,153.55,62.58,229.52,228.79,50.16,176.53,293.13, 
