Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133
227.48,67.19,29.40,184.82, ,53.62,298.75,139.86,164.28,156.30,80.62,31.39, ,63.08,59.91,80.91,151.05,195.82,294.91,169.77,150.21,233.34,16.59,137.86,148.63,198.86, ,215.64,58.72,193.36,223.48,47.98,24.16,243.42,51.28,112.17,18.84,164.35, ,148.71, ,297.34,88.02,105.51,226.51,167.24,131.30,292.98,138.32,235.64, ,286.92,71.73,269.22,82.27,48.34,140.76,228.32,25.53,186.07,251.06,196.43,181.60,63.91,125.46,296.51, ,283.43,112.34,126.78,283.63,62.42,253.60,142.93,25.46,220.24, ,270.54,189.46,238.22,213.01,34.42,270.87,192.95,187.37,255.22,77.93,263.87,21.67,135.47,289.26,276.07, ,246.61, ,98.74,264.31,296.87,221.28,73.77,96.18,208.53,162.59,119.47,279.00, ,114.47,79.52,173.04,238.89,118.41,218.39,214.14,48.48,151.42, , ,112.40,174.18,110.38,283.28,139.65,27.11,21.39,71.54, ,10.43,48.48,232.48,174.41,148.57,14.04, 
 ,277.20,153.88,132.10,124.28,154.18,96.07,270.09, ,164.53,190.27,181.25,111.09,24.95,129.91,287.76,186.17,271.89,121.33,40.00,237.18,290.04,205.02,155.98,278.17,240.50,199.12,18.98,103.09,283.93, ,271.69,42.33,199.58,60.47,290.23, ,99.19,135.55,284.71,111.93,12.03,131.32,174.17, ,277.26,205.30,50.38,137.94,116.12,42.94,50.01,72.93,132.36,135.22,244.01,248.50,138.77,38.21,175.09,271.29, ,176.59,133.10,200.55,169.69,268.76,288.08,119.23,134.30,122.97,22.54,219.36, ,220.29,138.40,156.14,247.73,286.28,71.96, ,297.77,148.96,255.84, ,75.06,102.77,247.77, ,197.48,105.56,213.28,124.36,229.34,256.40,220.34,240.15,177.63,169.73,204.46,163.64,200.63,275.69,236.21,230.35, ,35.91,255.61,244.02,38.45,220.67,98.41,146.80,65.03,228.32,289.19,255.26,254.51,137.81,179.91,239.08,229.45,133.26,84.11,149.33,255.35,29.20, ,176.00,22.44, ,114.07,94.56
112.03,13.03,57.81,136.97,206.54,271.88, ,55.99,100.81,72.42,207.76,128.22,238.54,44.49,264.73, ,34.06, , ,56.27,240.02,177.55,259.65,186.35,205.43, ,83.98,182.74,202.02,75.49,161.63,119.77,114.38, ,220.81,207.50,197.07,170.31,294.07,224.05,41.09, ,53.02,259.68, ,161.70,280.68,108.36,122.03,215.05, ,135.86,2.63, ,150.14,3.67,113.21,24.63,57.20,207.32,168.16,175.84,89.81,32.12,257.19,132.88,169.72,8.10,230.63,130.76,104.29,224.99,62.15,71.81,158.10,90.00,122.21,56.12,122.36,110.20,242.38,251.79,171.09,13.81,80.93,182.50,279.01,102.73,57.11,160.50,153.67,241.47,216.33,187.91,85.83, ,28.21,70.04,112.28,154.13, ,298.70,296.09,203.99,18.86,273.37,176.31,129.86,102.92,115.37,84.89,288.95,229.41,273.19,42.42,223.85, ,222.55, ,200.26,208.91, ,182.28,94.33,228.34,112.24,27.48, , ,92.03,158.09, ,227.81
 ,151.66,52.88,73.93,274.47,71.86, ,254.14,43.18,220.41,75.69, ,178.77,211.45,216.96,292.96,297.35, ,149.01,144.49,152.47,197.69,79.31,132.16, ,175.34,3.75,72.60,113.40,153.08,222.16,94.38,222.77,272.67,240.74,158.87,203.68,61.64,245.63,219.16, , ,275.98,225.13,138.70,299.95,63.38,61.83,137.24,249.49,298.98,161.11, ,64.80,115.84,269.80,70.95,205.01,224.86,90.58,283.72,273.40,192.49,37.33,32.74,299.74,20.90,3.76,244.17,202.92,220.34,28.76,121.60,156.73,78.78,19.91,76.43,38.00,188.82,19.16,97.26,64.20,208.88,296.91,136.51,213.06, ,241.82,194.16,204.87,254.36,260.54,228.61,54.85,142.67,216.68,227.44, ,45.60, ,42.51,32.89,210.58,14.90,137.87,27.97,149.69,194.92,299.19,64.08,21.05,184.22,270.97,173.32, ,17.79,199.77, ,142.12, ,157.02,256.27,106.25,215.78,193.93,87.77, ,141.81,296.83,276.23,137.70,67.19,167.33
194.73,91.63,108.52,193.88,166.30,293.05,175.74, ,201.74,76.69,11.21,288.65,91.42,174.94,23.63,108.30,64.64,178.23,99.46,295.37,254.56,279.30,131.07,179.12,230.33,24.64,71.00,278.79,269.74, , ,23.64,79.97,202.65,189.76,46.45,288.37,140.46, ,271.53,0.01,258.93,28.98,26.82,179.27,12.01,292.65,56.64,85.34,107.00,34.67, ,219.79,91.00,65.15,31.77,211.90,52.69,65.09,194.53,132.43,119.37,76.42, , ,210.09,87.77,101.64,43.62,294.36,81.68, ,113.45,258.41,205.94,214.66,20.65, ,104.43,156.96,266.15,161.63,146.00,129.87,146.28,269.06, ,50.74,54.62,53.41,13.76,139.15,118.45,250.45,264.24,266.95,58.00,6.72,191.97,64.11, ,237.60,243.05,159.41,0.33,196.60,37.37, ,265.80,12.32, ,276.56,51.33,66.10,128.36,289.27,64.45,186.89,237.55,247.77,273.13,120.57,261.47,25.68,123.74,126.31,84.46,48.08,224.52, ,52.88, ,137.37
51.25,181.03,154.19, , ,76.91,297.06,64.26, , ,22.82,227.98,81.55,243.08,90.24,58.95,98.54,83.73,220.58,138.58,93.57,202.09,130.65,208.86,221.89, ,244.71,10.88,121.47,295.08,77.18,186.50,269.80,65.68,3.39,258.17,124.01, , ,13.15,203.36,101.29,290.97,4.51,98.00,288.80,253.52,264.33,47.92, ,113.60,226.23,11.89,268.05,284.65,207.54,165.91,265.34,106.58,135.01,109.35,97.23,214.51,166.76,211.13,277.36,154.61,168.77, ,136.83,192.63,268.43,265.28, , ,190.61,230.80,142.72, ,45.15, ,211.91,170.61,138.20,167.41,64.12, ,200.94,142.40,63.22,265.60,221.10,37.87,292.19, ,183.98,142.34,92.66,151.11,67.05,158.61,31.09,268.36,123.67,123.27,126.37,89.59,243.45,11.50,143.17, , ,181.59,17.42,191.69,237.51,157.84,193.19, ,161.55,142.51,293.07, ,15.41,24.71,207.07,156.77,84.61,77.39,289.32,240.44,263.35,139.74
274.08,10.12,194.49,135.44,172.99,170.28,158.04,147.26,231.19,115.35,155.91, ,145.23,222.45,250.89,165.98,74.48,82.20,93.41,202.85,135.12,82.89,162.83, ,227.94,174.81,224.87,236.03,175.95,129.32,174.48,68.18,4.21, ,71.62,290.88,273.12,279.27, ,142.11,20.30,242.96,113.35,225.83, ,101.79,204.03,147.44,72.16,137.97, ,209.59,113.64,72.89, ,128.90, ,162.79,75.49,4.57,273.57,238.22,32.19,252.31,58.62,108.34,224.03,275.38, ,89.02,20.25,181.02,117.82,11.94,261.95, ,150.79,162.26,139.54,0.20,230.62,177.91,211.44,186.55,235.56,275.84, ,4.50,3.32,20.72,49.60,132.95,133.47,143.70,63.75, , ,268.78,33.51,192.95,194.29,71.02, , ,182.38,158.52,182.43,200.97,161.91, ,295.37, ,217.85,95.34,177.47, ,210.99,14.99,266.14,117.46, ,141.72,210.49,62.43,179.47,24.95,297.31,36.75,295.61, ,90.95,154.78,217.18
226.91,112.21,26.94,187.41,71.39,87.80,126.56,251.09,205.66, ,144.09,42.70,283.83, ,78.97,85.70,240.55, ,52.76,255.26,93.08,53.81, ,125.43,101.08, ,6.74,160.99,98.22,290.52,223.69,161.01,6.87,39.03, ,91.79,40.75,18.25,128.03, ,253.46,194.77,232.97,98.99,52.34, ,42.86,221.35,140.27,270.89, ,290.37,150.65,123.67,233.78,52.89,90.69,268.49,36.34,186.97,295.43,32.53,282.17, , ,152.04,217.08,293.12,232.40,122.99,68.63,53.07,166.02,127.87,129.22,35.97, ,31.40,32.06,237.68,238.92,195.88,100.96, ,8.41,10.06,33.83,188.18,200.21, , ,188.71,192.29, ,191.82,31.58,280.56,267.71,153.13,92.65,208.95,262.50,269.02,220.53,282.10,247.92,238.09,225.01,168.28,74.04,105.77,283.98,74.88,5.81,115.29,182.09,57.41,210.95,238.51,74.14,138.91,256.90,298.05,74.97,31.61,226.44,254.63,223.71,162.11,257.52,27.98,1.63,284.21
111.81,44.06,143.32,208.00,259.98,282.14,72.40,183.96,151.13,209.26,168.10,4.36,48.76,265.23,117.72,262.98,172.16,115.49,190.01,115.70,229.55,184.93,111.58, ,262.71,210.04,75.58, ,201.20,74.25,80.55, ,43.53, ,50.57, ,240.58, ,90.57,217.04,191.98,44.39,291.33,102.79,27.46,70.79,114.35,95.10,37.01,238.44, ,289.00,202.52,56.01,20.15,238.77,138.02,40.04,258.72,133.57,19.37, ,248.03,203.43,227.03,254.10,98.96,154.47,55.63,250.49,104.20,16.13,34.54,139.88,242.24,198.89, ,116.66,99.19,191.66,75.81,96.42,231.05, ,125.53,179.79,82.52,272.54,83.83, ,223.71,24.41,271.29,206.66,242.48,236.73,148.17,266.24,253.80, ,49.55,199.27,98.84,213.33,80.44, ,162.61,150.88,276.36,141.27,210.12,188.88,217.90,159.38,281.64,81.42, ,104.25,92.06,56.83,274.48,2.55,299.87,203.83,199.77,28.16,236.12,271.68,29.82, ,213.95,55.52,166.14
99.62,10.31,298.01,277.19,18.24,135.14,233.97,141.43,50.19,196.08,195.90,191.93,221.38,195.01,101.26,195.14,2.33, ,0.34,180.79,239.39,270.75,144.90,22.47,42.97,0.94,142.60,97.01,201.36,242.25, ,3.40,205.03, ,108.62,199.99,141.68,200.34,20.43,105.21,150.10,289.59, ,132.20,150.27, ,53.16,210.63,125.09,262.33,262.87,136.89,60.37,2.25,91.01,5.96,65.57, ,55.17,97.67,138.11,66.80,1.10,81.11,13.57,20.75,28.01,281.29,152.08,193.12,50.87,118.75,281.37,291.48,281.90,223.90, ,290.70,38.19,71.61, ,136.75,37.14, ,18.43, ,278.29,173.92,164.53, ,145.90,267.72,249.37,106.34,93.96,59.88, ,131.49, ,268.24,206.11,255.15,188.61,202.82,190.20,1.88,208.21, ,175.93,99.71,136.56,26.76,228.98,209.81,87.66, ,133.76,161.69, ,50.30,112.24, ,44.21, ,252.42,28.60,67.54,61.15,297.41,137.69,246.81,286.86,126.28
168.23,177.26,20.59,62.34,115.22,177.04,236.01,42.06,257.82,92.92,13.69,106.87,16.73,198.89,88.15,19.16,136.33,213.53,123.98,289.75,33.62,243.95,296.25,234.23,95.61,273.04,117.49,260.69,133.59,137.81,184.74,178.12,53.38,177.99, ,167.74,101.15,60.52,30.78,5.01,142.14, ,251.44,37.79,283.89,71.71,93.12,278.66, ,32.05,155.51,130.44,25.99,57.77,2.37,133.03, ,275.17, ,226.62,69.08,173.10,210.46,33.58,273.47,144.42,67.73,214.93,23.17,129.76,27.42,169.50, ,242.90,179.07, ,68.29,200.99,283.74,236.19,278.35,22.15,215.17,122.69,288.05,71.02,226.81, ,96.30,89.46,94.52,13.39,36.82,57.75,40.40,214.41, ,124.06,270.32,169.75,169.34,238.87,275.61,38.80,261.98,15.02,92.21,14.58,20.38,6.73,111.64,212.99,23.48,249.23,76.29,86.81,276.77,185.99,191.36,177.94,222.48,154.54,176.51,263.67,240.36,195.47,146.33,221.36,145.53,163.62,289.57,167.45,276.11
218.73,278.22,20.83,289.62,215.40,44.48,63.01,149.47,36.83, ,258.20, ,128.79,134.30,279.67,84.71,55.18,123.27,100.10,234.11,19.46, ,63.94,18.86,178.06, ,173.87,43.80,256.79,68.74,290.96,92.85,4.20,79.10,181.44,271.56,268.92,265.06,54.96,243.63,171.71, ,45.57,233.14,222.08,153.80,96.69,106.03,206.42,251.46,135.49,5.45,99.57,216.10, ,209.75,155.17,188.94, ,154.23,212.10,83.37,89.50, , ,52.41, ,3.87,285.07,213.87,234.10,152.21,261.78,226.40, ,115.35,270.45,139.09, ,222.46,135.40,216.56,154.93,180.51,299.52,293.33,101.69,123.74,185.86,15.86,202.48,227.61,129.72,203.02,243.08,260.70,228.00,109.41,268.36,241.73,155.49,181.27,162.48,211.08,90.54,160.61,86.21,56.94,285.40,228.20,85.44,6.96,66.17, ,34.53,38.10,261.77,183.67,135.65,130.02,279.23,44.60,143.17, ,59.10,289.15,46.68,176.20,88.02,170.01,276.89,222.49,238.05
162.97,31.30,287.01,30.88,259.89,187.13, , ,210.90,233.53,96.05, ,184.07,181.24,28.99,290.96,95.58, ,252.57,222.90,133.20,283.55,256.90,185.78,116.92,10.67,54.26,160.19,290.79,246.72,241.29,50.21,199.82,120.83,154.73,91.98,297.51,81.02,246.22, ,63.14,254.29,117.74,273.79,51.80,129.95,127.37,161.26,134.02,197.77,252.81,78.39,239.01, ,193.42,288.55,163.29, ,276.89,152.35,53.00,136.77,15.21,117.15, ,251.17,238.85,227.36, ,168.09,169.90,12.77,178.40,133.34,241.16,100.20,60.91,297.67, ,12.88,153.30,202.90,163.90,42.05, ,58.03,141.44,149.20,197.98,4.04,258.02,141.55,38.72,211.42, ,247.57,261.96,238.62,205.33, ,247.38, ,5.41,170.14,2.34,131.32,28.39,287.96, ,46.18,206.65,48.69,205.16,268.75,36.59,211.36,140.22,32.90,164.15,39.05, ,63.40,218.32,91.45,65.37,252.46,2.28,126.37,115.22,277.82,260.92,32.60,251.65
132.93, , ,159.61, , ,81.80,14.79,31.96,268.89,157.84,194.48,280.25,208.54,130.94,69.51,269.49, ,102.43,110.36,1.33,28.76,45.15,239.14,186.40,187.29,177.14,65.30,138.71,69.89,205.93,166.29,208.84,124.33,29.17,132.67,198.05,254.85,15.87, ,202.27,48.89,90.42,138.39,46.06,21.66,119.31,9.13,169.85,13.11, ,247.81,256.25,175.21,89.05,105.08,93.35,299.54,108.79,4.83,252.95,82.22, ,43.22,226.29,1.49,94.18,187.21,183.49,283.18,122.12,199.67,267.62,72.31,26.82,138.88,232.15,169.60,94.61,132.85,125.90,260.31, ,147.52,245.08,11.23, ,185.50,75.47,157.37,287.17,126.98,271.58,183.15,87.06,54.01,298.67,54.26,99.99,106.50, ,287.08,100.58,24.77,65.25,197.28, ,81.48, ,53.05,174.26,186.18,248.24,150.69,160.35,228.15,216.17,37.11,195.46,193.03, ,258.28,74.90,263.19,211.31, ,10.44,103.66, ,51.90, , ,163.07
108.20,157.11,176.37,59.85,253.38, ,211.66, ,82.97,122.94,295.71,4.72,136.03,104.86,204.07,67.98,177.09,206.40,40.58,94.56,96.83,80.52,259.61,255.08,200.14,36.86,110.39,20.13,242.93,134.34,61.13, ,238.22,120.53, ,203.30,219.52,114.93,288.63,158.77,117.12,21.74,254.76,195.56,78.54,99.88,285.49,115.21,99.23, ,71.65,223.46,232.33,253.56,212.22,91.13,145.22,177.67,104.81,194.76,88.34,179.58, ,40.59,218.38,10.15,211.46,162.00,255.29,3.66,297.81,278.79,176.98,31.43,233.65,70.94,129.56,192.93,122.93,247.22, ,257.37,284.79, ,34.88,227.44,123.28,70.30,79.00,230.91,123.47, ,194.41,281.21,70.83,121.53,59.21,77.66,142.68,296.92,97.33,211.96,55.83,206.17,216.21,88.81,276.93,178.29,131.26,169.93,271.51,206.42,154.28,47.30,46.54,281.48, ,193.44,32.59,185.91,246.87,279.29, ,232.65,187.63,11.30,265.99,49.01,13.53,156.50,200.26,105.05,46.91
75.19,114.41,212.57,52.71,284.19,268.24,178.02,280.75,213.44,172.13, , ,165.75,246.49,178.71,247.76,133.36,252.27,128.79,252.66,116.78,207.72,153.69,240.90, ,154.34,147.18,200.36, ,176.02,48.56,30.88,280.35,19.26,112.00,97.47,29.56,1.52, ,155.21,240.18,298.07,70.84,211.32,178.09, ,157.42, ,188.30,182.31,258.01,164.54, ,229.21,126.65,72.90,85.93, ,75.58,160.64,239.22,117.63,265.83,274.74,166.81,147.00, ,105.01,80.12, ,9.33,203.12,119.59,25.98,95.16,9.48,247.99,27.76,66.01,30.48,201.85,203.78, ,119.36, ,199.48,186.93,111.63,148.85,119.09,146.73,276.40,170.06,104.91,290.01,191.41,211.67,217.77, ,164.18,295.96,134.28,161.58,172.52,191.93,70.71,250.48,43.16,155.02,211.59,257.56,244.25,294.18, ,109.63, ,44.43,34.65,236.45,221.79, ,113.72,218.56, ,203.52,269.89,191.20,111.39,264.00,126.81,93.14,67.80,82.62
148.30,290.94,13.50,193.72,26.46,79.90, ,283.42,239.55,21.80,153.36,85.03,297.37,2.15,111.01,102.61,123.18, ,207.93,126.93,94.73, ,174.63,177.75,190.93,200.02,238.33,83.29,262.39,66.58, ,177.59,203.26,62.61,15.03,56.54,72.19,295.34,25.90,158.05,246.60,83.97,213.68,242.63,99.75,3.63,123.94,3.72,282.06,150.35,36.87,139.04,58.16,89.35,190.05, ,136.65,51.98,136.43,238.62,289.09,77.10,85.85, , ,240.38,263.40,160.30,76.50,228.46,58.72,100.93,280.52, ,32.50,65.29,172.19,210.93,215.87,219.95,21.42,114.57,296.40,5.16,128.54,95.16,33.24,140.35,88.20,268.22,11.50,42.54,172.29,17.80,217.79,262.35,270.75,84.07,128.96,133.85, , ,296.91,36.68,136.34, ,104.57,226.69,288.11,10.37,128.19,159.37,60.88,36.69,182.65,266.77,137.69,35.62,221.17,103.38,268.95,273.62,173.83, ,161.95,221.96,138.89,262.89,81.38,241.52,244.12,185.95, 
110.21,149.74,84.21,89.81, ,63.42,55.21,38.26,274.43,20.69,280.72, ,62.10, ,281.28,205.01,205.16,277.44,137.80,240.98,98.63,272.30,120.81,125.79,244.68,119.30,213.54,248.94,162.12, ,143.40,96.35, , ,288.08,222.21,286.07,95.53,285.44, ,12.96,260.08,183.60,223.00,179.40,28.81,165.94,184.91,16.51,37.43,183.62,23.13,68.58,276.05, , ,149.80,17.02,292.31,189.25,297.75,87.26,110.16,246.71,102.32,190.62,64.13,222.26,254.76, ,230.81,145.24, ,179.91,299.30,82.08,87.53,257.21,106.38,128.00,62.45,16.31,70.07,27.31, ,282.07,291.24,22.81,77.33,16.39,211.55,40.88,276.14,57.31,227.09,278.94,187.13,296.50,279.33,167.51,244.65,254.84,62.46,72.36,189.89,98.59,277.36,201.54,260.18, ,187.27,83.38,270.67,163.96, ,240.90,243.63,127.96,121.42,176.11,30.22,282.53,167.44,268.29,213.39,27.84,115.74,101.21,82.05,147.16,65.82,171.31,273.59
207.91,189.69,288.80,150.02, ,17.46,17.01,144.61,114.29,61.22,263.66,7.73,191.58,123.33,71.96,253.23,40.69,260.93,37.05,274.73,229.57,239.60, ,84.21,192.93,253.29,210.32,126.33,189.30, ,168.93,223.94,170.18, ,131.11,207.46,64.05,241.52,155.43,134.88, ,27.81,33.44,96.62,272.74,220.45,155.61,98.67,211.55,44.16,99.96,289.42,197.54,53.42,60.69,88.67,21.67, , ,262.88,86.26,47.72,235.34,96.10,282.87,2.86,89.61,160.52, ,58.06,268.15,44.98,100.51,231.33, ,286.44,215.24,115.49,79.42,166.29,84.85,183.17,176.18,190.53,51.82,94.76,73.40,81.09,207.11,214.39,58.38,3.96, ,119.45,52.97,102.87,255.13,111.66,128.21,233.37,136.25,259.66,112.03,253.45,273.38,9.48,138.24,101.44, ,220.90,236.83,151.31,46.32,276.97,231.54,22.53,197.66, ,70.02,122.38,268.27,103.32,193.24,188.08,53.42,215.58,8.78,253.18,53.09, ,142.25,212.48,84.51
225.94,180.16,263.01,67.40,6.95,252.01,233.24,1.93, ,103.80,169.05,188.06,113.49, ,101.55,229.18,61.75,26.68,254.25,145.55,48.46,66.82, , ,247.18,5.24,206.75,278.52,207.26, ,246.39,178.77,194.23,259.75,91.51,3.59,47.22,129.66,92.06,0.74,77.32,97.36,10.43,165.30,23.83,51.37,31.01,168.22,294.96,274.58,29.64,167.68,3.43,276.58,127.49,187.61,81.00,91.59,101.54,65.59,22.84,95.58,47.10,279.09,91.77,128.54, ,296.22,235.28,174.85,121.05,218.38,233.17,117.44,4.89,90.20,97.17,225.83,254.27,130.12, ,83.79,102.81,121.10,250.92,175.93, ,28.09,261.58,103.41,285.87,153.35, ,250.52,164.38,237.50, ,233.83,15.46,138.23, ,139.31, ,15.24,230.19,163.78,4.59,270.78,75.50,66.52,74.64,178.43,287.25,107.86,267.87,279.78,154.43,245.41,154.05,100.17,3.98,275.99,231.15,299.02,70.90,20.69, ,199.12, ,131.57,23.62,252.91,205.55
162.98,243.79,111.61,101.26,7.91, ,239.06,123.18,94.93,266.40,4.01, ,106.55,91.80,96.54,133.56,152.06, ,95.85, ,139.81,80.24,192.09,86.79,27.58,11.05,298.89,220.31,213.74,161.51,157.02,50.26,260.12,287.13,298.16,77.81,115.54,285.70,62.45,223.75,104.98,6.33,186.33,268.29,253.49,105.62,87.84,101.09,58.19,161.12, ,238.94,204.46, ,212.09,252.51,249.48,70.65,161.36,182.44, ,135.93,162.67, ,18.54, ,76.73,256.37,224.67,27.41,292.29,41.22,159.94, ,217.43,57.02,204.68,208.45,75.40,124.41, ,142.95, , ,205.13,52.77,162.09,258.93,287.62,6.13,177.21,65.00, ,143.80,103.84,291.33,220.14,201.07,258.69,145.74,175.57,231.15,274.62,264.30,298.96,135.14,141.66,211.52,106.85,296.17,107.56,89.92,103.24,163.02,261.44,240.31,121.28,142.38,182.80,224.91,71.13,28.29,2.53,179.36, ,175.53,102.70,109.97,266.27,293.41,62.40,268.52,123.45
41.79,22.78,144.26, ,204.31,132.40,172.64,16.21,187.29,270.47,146.23,16.59,94.28,9.59, ,209.00,153.29, ,176.07,283.50,18.88,13.45,94.64, , ,53.87,147.10,100.65,125.20,240.52,162.03,15.92,159.12,28.63,75.04,209.18,285.32,246.34,79.34,184.86, ,238.72, ,263.06,292.25,210.62,7.75,182.89,247.99,259.48,151.92,181.31,93.06, ,39.40,68.51,50.25,232.20,3.63,252.03,223.36,7.62,48.05, ,71.72,81.04,4.87, ,186.18,158.78,283.24,218.20,278.57,62.66,257.42,141.88, ,65.24,170.92,297.80,260.41,279.45,100.73,274.42,170.51,25.23,251.74,141.52,201.99,66.15,67.38,254.63,295.74,226.59,241.25,117.85,293.92,243.12,81.62,261.10,186.03,175.45,209.75,141.26,126.93,224.48,39.86,171.15,198.98,202.25,22.14,41.89,117.39,110.71,202.55,151.14,58.13,226.35, , ,79.61,275.03,64.81,183.20,50.47,33.71,222.41,272.81, ,90.20,182.62,151.86,140.36
12.56,166.79,210.51,60.06,209.43,145.81,247.36,274.78,115.49,251.95, , ,243.25,165.57,279.73,80.30,257.87,287.04,73.30,59.07,278.56,197.51,192.80,206.15,174.41,95.09,192.97, ,136.22,208.18,265.66,42.39,183.48,72.80,208.56,67.21,248.91,239.43,228.51,279.43,258.71, ,85.07,186.60,30.26,35.86, ,261.46,223.93,169.99,153.09, ,220.30,215.99,59.90,184.51, ,280.60,269.76,187.99,58.39,194.05,51.53,69.08,221.14,157.93,289.74,169.69,231.32,172.80,50.05,71.82,130.77,297.17, ,185.16,282.60,158.37,252.36,282.59,265.91,123.28,265.34,226.73,65.62,94.96,266.94,24.76,87.80,158.37,1.40, ,284.00,11.01,196.72,180.10,21.69,285.34,121.05,5.47,185.26,138.17,189.29,162.95,183.00,208.86,241.53,223.96,196.75,123.04, ,3.14,12.45,240.87, ,60.52,23.09,19.01,83.97,256.46,258.79, ,167.65,128.59,134.73,16.79,177.17,60.45,65.79,39.14,164.08,67.18,42.11
279.75,96.92,159.82,146.85,230.91,210.05,134.54,113.63,114.48,261.59, ,27.38,210.25,111.91,101.22,271.38,52.40,211.09,34.58,87.30, ,101.80,245.36,288.67,87.67,49.79,278.08,76.64,131.14,37.82,211.90,31.80,162.87,237.16,241.13,190.63,77.96,218.88,228.76,82.30,10.70,65.70,52.99,214.69,253.02,244.56,62.99,190.99,182.91,29.19,20.25,99.03,212.24, ,141.01,203.83,236.17,223.14,88.92, ,273.06, ,217.61,155.15, ,81.01,202.56,200.93,30.03,21.03,17.87,83.28,46.38,179.50,163.86,171.23,244.10,247.84,61.90,191.41,205.68,32.76,82.63, ,112.65,52.08,251.51, ,194.85,78.92,23.32,178.81,172.11,38.84,159.17,251.22,56.61,23.00,265.13,23.05,218.29,48.27,208.21,111.41,183.91,177.41,133.10,101.78,179.13,125.17,241.35, ,297.96,111.88,198.42,110.38,135.80,242.88,275.29,220.42,69.69,255.77,243.85,78.69,191.12,74.24,160.66,18.30,83.91,245.94,47.69,176.94, 
119.81,98.69,212.92,75.27,132.81, ,144.80,216.58,50.19,265.34,141.44, ,225.35,15.41,161.51,84.62,195.14,37.50, , ,170.88,274.08,37.48,148.49, ,184.41,148.99,129.40, ,198.87, ,214.27,108.73, ,153.73,112.51,174.97,141.66,7.82, ,45.30,198.03,215.52, ,64.51, ,54.94,160.50,12.80,94.19,60.78,275.26,114.79,116.89,8.16,145.14, ,190.44,110.31,96.76,236.34,124.94,216.21,58.46,203.32,281.14, ,283.41,135.92,166.61,235.52,115.55, ,27.83,179.92,75.21,30.88,137.95, ,54.16,267.98,249.66,222.24,295.21, ,131.14,141.22, ,15.99,20.03,227.34,194.58,66.35,96.36,9.21,287.41,298.53,4.47,56.60,222.70,132.37,182.95,38.54,75.60,166.40,69.19,86.77,159.22,135.03,231.02,207.76,207.60,173.82,154.48, , ,282.23,274.49,107.39,132.07, ,298.48,136.74,65.40,251.44,235.54,149.54,114.78,287.37,241.79,175.55,38.24,154.43
 ,19.60,240.24,299.80,150.15,144.53,43.83,193.81,180.58,111.89,215.61,247.72,121.64,112.23,185.42,148.28,292.18,11.63, ,11.43,169.71,84.74,33.69,5.89, ,106.71,170.72,287.78,259.00,265.61,103.26,136.19,45.85,119.42,60.78,68.91,8.68,85.73,92.45,126.65,25.89,196.42,255.68,15.05,293.61,285.91,131.69,48.41,250.46,235.02,6.80,12.24, ,97.97,155.14,262.89,239.38,140.05,151.92,151.03,17.85,52.51,263.38,163.13,125.06,75.95,37.76,148.54,142.57,189.49,160.00,241.35,48.62,235.37,105.64,267.14,218.09,238.22,194.25,22.39,132.30,155.62,178.22,223.30,250.68,18.50,265.16,210.06,41.25,214.32,231.83,270.39,201.11, ,95.36,53.77,142.25,270.29,30.33,235.61,225.13,69.62, ,29.47,27.34,91.30,217.61,123.13,173.04, ,204.42, ,258.19,248.81,204.55,140.64,196.74,104.13, ,139.94,290.84,286.04,177.11,279.17,50.83,73.27,263.78,194.66,235.88,19.14,33.47,186.84,177.01
