Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97
253.70,41.12,49.49, ,149.85,142.82,72.52,259.09,182.01,279.38,136.43,126.45,188.18,209.32,298.72,36.89,140.34,62.00,192.63,204.57,72.60,148.11,222.35,251.08,259.02,101.69,50.75,47.94,195.21,157.98,143.90,214.81,38.01,200.40,115.60,273.11,152.36,33.32,228.42,179.06,214.88,282.88,208.91,204.56,288.07,298.05,257.41,116.21,189.68,226.05,121.58,193.48,20.37,48.65,211.21, ,126.09,119.09,117.38,296.27, ,58.81,269.95, ,86.15, ,102.77,27.38,136.83,198.29,147.66,105.99,174.65,184.96,61.30,200.50,272.95,49.18,41.55, ,173.96,59.61,208.05,223.44,134.12,30.68,291.95,97.31,152.27,235.79,100.82,135.90,185.42, ,217.17,80.33,173.40
 ,69.46,22.04,226.06,137.19,147.49,234.37,179.98,284.32,22.04, ,157.93,213.65, ,130.82,238.69,288.68,120.72, ,142.76,144.03,188.23,146.41, ,91.21,121.78,13.12, ,41.36, ,255.01, ,85.84,54.86,221.54,2.53,97.13,30.72,144.22,41.93,236.34,81.85,198.86,146.82,18.04, ,275.86,162.01,229.03,146.90,16.41,113.37, ,258.67,64.35,245.77,93.52,183.36,15.80,32.74,124.89,50.80,26.64,31.34,123.03,265.57,142.62,47.24,114.83,165.53,108.80,285.46,293.41,77.69,251.03, ,75.92,222.64,187.86,276.58,239.66,272.11,245.41,220.77,78.57,249.65, ,60.95,237.79,112.02,63.58,125.90,138.97,158.05,174.97,60.79,214.34
 ,87.87,117.36,193.11,235.31,153.68, ,96.89,258.07,224.03,271.96,257.06,37.05,195.14,89.79,93.54,119.50,92.00,64.52,121.59,35.94,114.14,168.06,215.27,119.93,147.78,189.24,202.82,219.95,138.32,53.88,13.87,179.01, ,243.53,223.44, ,187.79,249.15, ,164.42,49.09,29.75,192.97,43.80,54.55,257.59,195.63,78.16,68.46,170.86,90.53,215.99,282.08,282.13,163.27,219.90,150.28,53.35,84.25,162.52, , ,203.09,9.55, ,78.01,74.38,255.81,6.00,150.76, ,188.68,117.46,15.75, ,69.09,142.49, ,281.29,293.62,239.65,165.63,81.19,217.55,286.73,177.20,236.98,246.42,220.69,234.25,31.63,5.54,134.98,216.14,276.90,0.66
212.94,59.73,197.20,165.33,63.50,159.44,159.83, ,80.53,60.40, ,52.89,244.00,194.28,4.15,69.90,87.74,171.09,276.97,124.74,252.22,184.82,188.72, ,14.87,87.26,142.15,128.15, ,16.02,92.78,230.12,24.97, ,196.06,122.49,290.08,216.57,149.60,67.04,245.74,19.44,157.16,21.64,26.24,1.33,47.06,15.30,46.46,55.27,198.50, ,188.58,123.44,292.15,133.93,97.39, ,130.39,67.43,58.30, ,59.64,153.38,194.15,127.59,118.39,125.83,276.98,138.70, ,130.85,215.22, ,131.05,179.87,290.52,262.35, ,21.99,291.59,157.20, ,84.52,0.82,169.26,224.75,78.23,138.80,221.27,79.79,79.15,256.37,291.56,153.87,240.71,121.36
274.12,274.54,49.18, ,218.44, ,226.39,199.79,61.72,221.25, ,0.40,129.76,92.72,223.95,289.21,43.85,14.99,7.58,269.11,42.62, ,236.37,267.53,179.13, , ,170.75, , ,260.38,64.63,94.82,298.08,30.98,150.68,38.70,220.01,266.94,257.77,221.49,39.47,254.55,201.00, ,1.79,87.68,161.86,267.48,94.62,179.96,253.85,164.44,50.88,145.11,143.85, ,69.16,180.56,84.57,149.01,83.35, ,256.01, ,223.49,190.72,137.03,280.51,180.90,18.79,3.79,210.83,257.16, ,137.72,224.64,152.71,2.63, ,258.63, , ,164.11, ,1.14,189.29, ,47.97,87.20,165.06,103.95,278.03,259.94, ,179.22, 
181.84,141.23,140.43,22.60,196.25,5.68, ,274.73,168.64,143.00,127.62,24.35,119.06,209.79,137.04,235.23,270.85,283.45,9.05,133.93,253.08,19.27,185.98,44.44,256.56,275.01,28.47,34.03,267.74,248.32,32.83,247.00,52.18, , ,287.28,74.82,14.26,229.01,88.09,254.86,160.89,128.82,229.23,36.90,106.68,1.75,168.78,143.19,179.20,282.19,207.16,106.85,151.11,121.66,9.30,283.84,6.39,59.56,275.52,132.58,81.68,221.70,83.08,171.42,23.10,128.77,210.63,151.69, , ,0.93,49.87,150.96, ,210.52,72.94,124.45,88.65,76.83,41.86,210.53,164.83,132.91,274.77,246.78,39.98,37.42,270.00,171.71,119.61,18.12,89.20,47.69,101.35,216.97,266.25
 ,131.07,280.25,166.41,172.94,88.75,240.33,63.06,281.21,82.13,107.43,152.65, ,30.51,146.90,194.56,74.97,244.21,22.16, ,70.93,35.93, ,276.26,199.45,250.39,20.90,96.19,166.48,17.96,97.55,144.46,278.00,34.01,186.05,92.58,127.10,54.99,272.27, ,171.72,206.35,290.92,256.67, ,2.87, ,100.42,128.12,147.32,126.54,233.60,162.11, ,298.01,296.58,38.91,142.00,158.88,299.86,259.15,165.73,290.84,62.44,277.51,7.49,281.50,258.67,239.14,174.01, ,170.59,257.92, ,266.85,51.90,61.06,253.08,273.08,76.17,104.09,190.49,78.75,188.61, ,127.75,210.22,167.77,272.32,203.93, ,185.92,59.24,84.71,173.77,256.23, 
60.32, ,171.90,155.79,119.80,188.26,102.22,236.33, ,62.01,247.21,272.88,213.78,105.56, ,163.35,43.57,242.64,240.46,129.57,175.05,288.26,17.93,16.45,273.50,16.27, , ,33.33,84.59,15.56, ,178.91,90.38,135.65,76.04, ,172.30,216.53,188.54,251.02,188.72,146.91,284.97,75.80,246.04,271.49,171.08, ,64.08,276.09,246.26,149.92,224.42,129.95,163.69,36.00,253.13,215.59, ,251.64,263.79,94.31,159.29,253.58,29.47,275.90,8.53,79.12,252.45,51.89,217.95, ,286.63,33.95,227.54,153.87,243.24, , ,210.85,132.10,250.62,186.55,202.89, ,124.83, ,176.73,231.16, ,217.79, , ,290.00,273.89,234.51
107.23,236.30,245.12,279.00,33.51,42.37,117.76,115.11,43.93,62.12,297.45,99.41,99.93,0.54,240.86,99.26, ,35.56,293.19,55.47,216.02,175.03,32.05,279.22, , ,225.13,296.23,222.52,4.97,6.04,252.79, ,0.88,213.59,282.35,132.82,12.12, ,176.22,32.28,242.17,154.22,241.55,72.35,155.96,176.01,156.09,103.09,129.69,247.72,74.59,39.86,55.95,179.65,166.13,87.61,30.37,275.61,92.28,136.00,125.27, ,281.36,213.32,270.49,263.22,80.16, ,269.77,4.36,295.16,61.35,278.80,24.59,63.64,2.38, ,127.65, ,109.01,88.68,22.95,87.73,174.41, ,144.17,122.22,152.91,54.94,271.52,260.27,210.31,228.31,142.26, ,17.61
74.06,289.48,200.53,297.48,171.98,219.11, , ,182.65,267.65,201.81,78.60,24.63,56.05,298.01,156.18, ,230.24, ,27.25,43.68,97.38,140.08,245.39,229.20,7.95,246.36,11.17,37.51,180.70,170.37, ,26.55,182.56,16.24,284.04,192.71,136.06,148.85, ,226.50,181.80,278.62,144.21,153.12,25.58,275.28, ,180.85,106.87,179.30, ,163.33,105.16,297.85, ,150.41,247.45,149.09,210.79,26.11,130.38,226.16,183.10,76.75,44.62,127.37,6.72, ,168.51,259.35,58.51,16.76,227.74,174.90, ,152.16,60.30,43.58,146.75,108.57,290.64,107.11,77.11,157.82,282.34,123.70,61.31,165.46,31.74,262.02,274.12,277.13,96.72,20.88,247.39,166.97
282.64,56.03,87.91,224.10,216.65,218.94,151.80,65.09,198.78,24.92,141.29,207.32, ,228.20,270.15,48.44,40.29,264.21,110.43,24.13,94.71,99.61,223.74,137.77,82.78, ,255.68,134.26,244.18,91.20,127.17,174.10,189.13,299.55,7.05,13.29,272.32,287.32,8.96,182.77,254.10,248.44, , ,72.78,239.72,123.65,12.81, ,201.94,101.77,201.41,204.39,251.70,76.45,298.57,179.46,201.86,63.26,280.92,184.42,85.67,102.55,61.20,254.79,294.66,154.24,35.94,285.19,48.24,284.33,9.40,161.63,90.89,22.90,70.84,50.72,255.70,9.07,253.57,280.04,20.42,144.29,192.92,44.00,191.11,287.97,192.12,111.77, ,134.67,145.32,105.55,297.69,10.91,212.38,294.64
295.19,4.90,21.84,95.56,25.48,250.97,16.02,37.77,175.05,53.87,214.43,22.20,118.23,226.72,7.87,191.22,50.28,54.62,30.48, ,55.97,286.10,290.10,19.73,261.71,43.00,106.59, ,18.71,37.38,51.25,166.79,48.32,138.58, ,169.06,24.33,227.21,206.99,97.09,206.45,118.89,40.88,151.87,244.20,82.53,223.76,56.41,176.11,4.79,262.68,232.19,98.88,297.43,76.72,232.59,153.32,232.62,276.96,239.35,257.00,110.78, ,167.20,25.79,51.77,103.36,237.04,24.50,87.81,173.16,262.97,35.65,88.96,291.41,169.20,130.45,23.35,40.76,58.17,31.22,71.40,35.56,224.96,104.88,90.44,195.10,134.38,67.85,160.60,96.78,271.83,220.89,238.43,185.72,28.20,106.54
 ,142.09,276.49, ,289.25, ,184.35, ,115.10,248.65,173.11,5.50,272.67,140.12,188.03,207.70,242.78, ,294.30,123.85,58.48,260.04,227.70,97.07,259.49,201.67,84.04, ,228.98,167.07,130.88,94.93, ,37.71,287.16,209.14,2.80,147.77,18.70,107.24,28.49,26.70,1.92,177.27,39.72,109.68,227.93, ,266.50,241.47, ,273.48,234.29,196.07,239.12,157.52,30.54,113.09,116.17,167.97,57.62,90.49,16.51,32.08,284.92,161.73,291.47,232.67,111.49,7.81,43.50,96.97,51.33,131.27,25.07,160.94, ,251.43,223.44, ,143.71,150.25,258.98,140.65,67.47,20.39,2.75,240.60, ,291.94,269.18,34.85,20.38,175.35,67.52,241.66,242.50
199.83,155.40,88.59,109.02,67.44,43.47,124.90,269.24,152.96,276.28,206.84,5.34,268.47,180.97,122.44,106.55,71.41,63.83, ,172.85,76.45,244.19,182.04,177.01,240.33,275.15,22.27, ,104.46,206.33,150.41, ,256.95,180.31,114.87,227.91,241.02,44.86,212.14,272.57,225.78,204.58,41.03, ,174.50,113.02,16.75,109.59,220.38,5.96,275.51,67.19,287.28, ,172.49,234.98, ,160.76,277.42, ,204.28,273.49,47.46,252.35,163.91,231.27,83.96,0.05,137.75,117.51,271.36,192.98,135.06,67.11,243.24,292.01,63.24,83.12, ,35.46,183.72,52.87,197.42,208.33,261.17,145.16,142.96,63.45, ,29.28,163.24,245.21,120.04,120.75,119.16,238.62,24.29
293.63,249.50,140.89,78.23,122.30,155.45, ,204.76,41.43,90.91,266.38, ,274.83,37.14,207.47,34.76,27.83,164.33,145.45,254.47,17.70,172.38,34.22,77.91,225.96,52.80,65.45,73.89,65.87,134.28,86.78,205.11,197.42,91.94,74.65,266.55,123.17,265.51,23.45,119.29, ,172.10,207.94,263.21,236.93,82.51,161.02,115.38, ,184.82,191.84, ,158.39, ,297.31,94.55,60.75,270.18,85.94,111.18,122.70,193.93,141.92,57.95,219.58,242.43,101.15,63.86,292.66,152.27,133.01,10.74,160.66,96.99,140.41,203.60,267.59,160.04,201.73,202.97,251.58,225.70,279.68,267.86,105.24, ,238.25,273.05,227.62,229.00,94.37,77.83,104.76, ,214.26,135.52,198.39
262.64,139.84,113.65,214.67,227.84,157.14,150.03,222.42,218.14,198.36,174.48,160.07,173.36,126.91, ,25.30,154.22,235.83,263.03,11.21,271.37,39.06,38.22,188.59,246.35,40.58,159.72,161.74,169.78,36.46,127.66,274.65,211.15,78.42,254.01,56.10,277.82,191.56,123.37,158.26, ,198.84,225.10,233.13, ,169.21,243.70,232.88, ,144.03,57.16,82.85,74.31,124.61,199.79, ,279.94,62.56,197.74,270.43, ,105.08,236.28,101.74,209.07,211.89,148.93,71.30,115.83,240.01,15.09,81.09,119.73,70.50,277.73, ,70.72,240.56,207.81,30.49, ,50.58,178.92,21.88,131.28,95.84,78.15,211.08,118.87, ,189.37,216.95,31.34,65.34,216.42, ,246.91
14.48,166.94,197.00,143.62,26.54,99.56,50.40,263.93,41.45,58.64,120.11,268.64,217.80,24.20,129.19,5.05,268.60,37.06,60.81,193.88,120.14,192.04,4.08,39.80,59.12,282.83,250.89,287.01,192.01, ,21.20,64.69,250.92,201.93,297.48,10.40,202.75,276.87, ,132.83,53.44,211.54,71.18,287.74,31.13,69.40, ,51.72,65.82, , ,119.17,50.36,174.45,133.41,26.41,284.15,194.77, ,231.05,213.48,5.48,98.54,35.37,126.60,65.31,282.95,248.42,83.42,247.01,211.40,62.94,82.47,247.51,253.48,205.87,97.34,111.56,286.23,195.38,37.75,242.07,293.76,93.27,268.48,113.71,138.60,232.62,79.08,179.65,58.68,199.52,296.86,51.91,158.01,95.91,207.99
216.46,228.48,278.92,50.00,76.85,269.27,109.67,189.60,80.91,74.84,104.31,291.51,54.78,103.52,45.27,188.69,213.25,271.45,14.13,284.80,210.06,100.46,2.42,9.05,238.35,63.75,155.59,198.88,204.77,61.07,13.91,211.77,66.93,119.34,204.68,172.05,58.21, ,60.63,143.52, ,227.41,243.58,262.95,293.38,144.87,117.76,4.21,85.95,212.75,152.21,9.43,232.15,296.77,128.26,210.13,160.27,179.91,220.54,246.32,10.59,268.37,249.97,157.88,43.72,241.20,188.05,220.19, ,216.95,146.53,96.95,36.56,298.65,155.04,86.73,152.11,37.32,127.88,138.33,53.63,104.99,97.01,169.74,73.88,104.04,263.00, ,299.56,37.80,290.52,226.70,31.42,96.80,232.49,150.21,160.34
201.27,156.19,279.64,30.77,177.44,29.34,290.33,213.91,168.87,207.45,263.91,200.17,250.75,167.43,228.94,160.14, ,16.33,117.30, ,183.64,69.05, ,59.38,259.51,110.74,294.96,127.86,106.47, ,239.13,285.54,83.76,298.28, ,85.38,251.74,222.37,272.29,264.50,77.22, ,187.96,114.14,215.81,200.74,232.55, ,218.09,244.15,6.22,225.79,204.31,294.84,96.43, ,60.94,39.25,118.00,72.90,21.48,280.11,93.11,62.10,130.75,197.65,76.27,120.31,267.53,162.71,94.27,56.23,128.66,140.16,22.69,178.80,201.78,266.39,71.56,248.38,98.52,96.83,209.25,42.65,214.98,270.98,35.21,164.45,122.68,110.54, ,289.34,119.44,155.92,219.81,62.71,282.93
 ,157.71,136.09,294.75,105.73,60.31,292.93,4.82,229.37,260.98,104.70,266.48,6.43,172.75, , ,173.76,213.82,170.22,231.84,100.98,130.69,178.52,86.05,239.23,298.71, , ,50.72,56.35,209.74,247.98,223.97,105.50,153.21,187.71,140.69,122.63, ,1.15,236.02,34.23,183.21,113.89,285.15,42.97,152.57,290.27,196.05,11.33,265.22, ,50.27,210.23,99.12,174.05,296.22,228.34, , ,61.55, ,4.38,190.21,243.43,62.78,292.49,173.32,61.17,7.98, ,180.88,65.31,182.14,113.49,9.20,273.25,283.64,75.13,11.38,198.43,294.86, ,68.98,142.07,6.11,19.05,30.92,76.53,189.21,199.35, ,254.60,218.01,94.11,193.25,225.22
 , ,129.59,289.05, ,119.19,173.83,58.15,145.31,290.61,272.74,34.21, ,7.15,82.81,31.13,206.75,67.74, ,197.33,165.48, ,284.67,283.43,43.24,268.23,178.79,150.65, ,270.64, , ,296.12,39.78,52.12,39.91,172.55, ,38.03,151.65,160.48,145.62,23.26,81.62, ,232.27, ,202.91,197.68,180.22,251.33,95.16,192.30,120.01,93.43,4.93,180.74,80.16,69.11,140.22,5.46,83.01,110.39, ,8.07,40.57,148.81,146.28, , ,216.27,291.10,219.73,255.06,16.34,154.25,121.64,125.21,88.00,188.85,261.82,271.39,248.04,195.35, ,280.61,132.74,283.09,115.15,162.11,235.60,54.54,265.17,180.56,147.53,232.48,243.84
192.84,77.44,141.57,229.51,163.75,17.60,269.30, ,131.41,1.71,87.58,240.12,237.62,294.64,216.23,163.48,108.93,123.07,251.28,51.48,158.59, ,5.43,223.82,214.45,73.24,44.45, ,191.56,113.26,287.55,102.29,75.12,260.73,33.18,193.03,285.48,198.39,57.05,0.38,195.88,201.82,1.69,214.78,100.02,79.46,57.52,238.60,92.96,30.83,111.35,210.81,275.47,173.39,90.63,161.10,131.01,71.78,95.04,25.95, ,105.41, ,287.16,204.74,120.57, ,231.92,117.07,134.89,202.14,16.91,28.51,206.91,75.19,186.47, ,81.53,170.97,148.44,285.39,238.25,288.74,37.89,261.58,283.05,268.79,204.76,178.98,251.61,283.37,156.88,56.79,121.44,2.56,85.89,23.06
93.92,168.64,159.97,198.46,18.07,293.49,211.95,131.01,142.87,154.78,159.49,238.15,139.33,250.82, ,273.88,22.59,117.99, ,248.21,288.67,220.12,189.12,154.61,295.63,134.52,297.23, ,235.38,201.31,225.76,104.76,75.88,185.32,281.75, , , ,108.37,1.79,86.80,17.63,153.89,232.84, ,294.82,121.10, ,46.87,67.36,98.54, ,292.42,162.81,211.08,242.88, ,240.37,40.65,35.04,110.16,45.67,262.71,77.42,94.77,181.51,70.80,56.84,272.47,65.44,144.39,49.85,132.14,262.81,248.23,67.33,265.75,14.69, ,92.11, ,216.40,202.08,248.87,189.83, ,255.27,36.61,78.15,35.30,9.63,16.60,275.41,273.23,89.68,33.59,289.00
98.18,275.62,206.68,275.20,126.78,156.31,133.63, ,168.93,219.83,19.44,52.42,200.56,184.09,174.43,91.25,164.06, , , , ,224.64,284.92,240.06,288.74, ,157.67,278.36,196.80, ,291.22,127.94,208.49,241.19,250.34,48.79,54.69,32.08,88.26,134.44,165.32,202.84,280.85, , ,277.00,202.64, ,30.58,122.60,84.72,283.29,171.13,244.66,189.31,263.91,58.42,71.65,195.07,162.46,197.69,252.28,280.63,219.69,64.03,44.15,164.64,38.71,184.68,211.41,207.35,280.31,167.55,147.39,47.45,37.89,87.84,250.72, ,170.41,274.71,123.83,77.35,162.17,35.95,24.52,52.89,90.25,67.38,166.05,189.66,167.90,263.74,85.52,68.74,111.89,168.65
166.90,86.99,59.12,174.60,232.88,283.48,246.16, ,112.22,54.99, ,189.80,206.83,284.07,231.26,19.02,31.67,45.92,214.99,241.59,188.67, ,172.15,263.25,62.93,103.88,63.58,7.72,59.47, ,35.04, ,54.06,127.13,60.14,154.98,187.39,53.84,261.66,259.45,149.00,0.37,140.31,105.52,79.39, ,78.90,45.39,254.09,1.50, ,247.29,284.92,293.63,196.53,264.75,180.21,178.37,66.64,244.54,166.72,37.14, ,237.16,277.19,102.79,85.33,225.98,207.45,128.02,257.19,210.96,263.52,291.55,91.35,88.64,176.94,0.64,215.40,217.92,129.05,171.28,243.25,48.76,157.92, ,115.11,7.86,223.62,219.84,123.92,156.36, ,268.93,281.75,25.87,76.92
220.38,69.30,45.47,14.33,294.84,18.50,119.10,178.55,166.63,275.60,102.63,203.70,151.09,255.89,85.12,31.88,281.01,169.14,219.23,229.87,294.71,169.00,195.16,265.49,293.81,158.49,4.12,168.00,247.64,32.16, ,64.04,137.71,207.41,84.44,94.05,85.59,167.52,237.58,164.89,208.88,157.86,110.09,173.33,167.69,297.46,153.92, , ,226.71,155.81,237.02,9.67,292.29,222.01,92.26,229.24,192.88,6.46,7.15,268.27,177.01,75.30,27.23,22.55,160.18,265.08,128.22,119.81,151.94, ,244.20,279.63,21.59,251.80,73.88,292.83,8.60,24.03, ,38.07,239.72,240.43,295.45,179.56,189.17,157.08,275.69,219.18,7.39,172.83,59.79,24.79,13.02,32.54,269.14,114.62
268.86,113.67,123.70,79.57,24.72,252.42,222.46,221.44,157.50,261.80,98.70,225.80,269.94,164.27,28.96,147.94, ,261.61,157.63,41.70,279.55,122.92,200.82,201.41,152.02,92.47,94.39,295.11,49.01,70.37,282.41,136.04,83.19,242.36,52.48,111.32,262.42,12.00,228.76,293.91,209.10, ,3.48, ,209.59,98.64,202.55,29.22,61.28,136.24, ,188.72,164.54,250.13,232.75, ,146.16,108.32,193.66,58.74,103.59,273.57,248.29,283.29,214.71,89.91,48.20,239.67,7.68,286.03, ,99.40,239.32,242.32,100.34,53.32,4.32, , ,269.94,189.84,223.85,37.37,282.61,214.47,188.18,4.54,168.05,128.64,10.62,101.95,271.69,270.40,176.92,182.57,112.56, 
36.42,131.68,289.43,225.68,200.37,12.48,168.62,23.65,127.04,77.95, ,233.22,42.32,11.82,257.01, ,51.32,4.12,172.01,195.19,1.48,98.27,290.57,130.39,242.88,108.84,195.42,254.04, ,64.18,142.36,240.01,72.51,143.78,272.82,150.71,138.80,168.78,236.83,283.16,78.54,59.89,136.00,53.40,152.52,55.44, ,295.44,211.29, ,166.81, ,17.52,254.44, ,107.22,144.02, ,222.56,211.57,166.96,75.33,299.13,162.20, ,157.65,242.99,106.86,22.95,127.32,176.95,170.88,291.73,74.54,237.46,54.98,272.45,34.70,200.71,241.43, ,99.07,202.30,130.13, ,52.63,238.44,230.52,213.75,124.22,65.67,93.78,21.05,22.23,145.46, ,86.88
242.68,140.92,238.92,157.07,23.68,253.27,227.01,167.01,186.80,214.93,249.07,269.53,57.81,160.77,8.65,98.41,133.60,96.30,210.38,87.35,249.85,187.33,103.21,26.12,209.63,238.49,276.63,174.01,233.29,15.18,282.42,193.26,52.92,188.55,242.92,197.36,16.51,69.62,139.02,109.73,36.79,207.35,256.23,47.85,116.13,131.45,176.62,214.58,14.26, ,257.18,90.18,95.53,219.56,13.88,24.98,52.09,269.87,29.43,113.37,167.35,50.39,53.02,180.49,89.35,175.38,62.63,196.47,140.42, ,154.30, ,216.83,171.60,248.94,237.92,119.97,238.71,71.18, ,251.67,34.80,149.65,297.92,277.80,255.63,229.51,225.18,26.76,199.51,57.55, , ,220.50,58.57,27.84,36.31
 ,71.11,174.21,212.72,130.24,245.05,298.31,149.26,81.75, ,295.21,26.27, ,246.78,193.85,131.08,73.94,268.71,25.40,297.49,132.34, ,77.39,5.24,201.07,214.13,257.20,174.35,55.92,230.25,203.47,290.25,41.82,116.32,126.24,184.36,91.58,71.28,63.90,1.35,107.98,123.90,124.82,48.64,7.87, ,211.35,30.16,288.59,175.28,257.26,59.83,226.10,92.90,135.83, ,100.80,11.91,42.57, ,91.21,230.82,57.39,16.87,201.13,218.56,180.94,210.94,197.43,12.69,232.12, ,28.55,137.15,174.02,177.19,270.93,27.79,252.05, ,39.61,63.38,147.52,133.99,185.08,195.50,21.75,46.30,156.16,18.65,169.65,73.81, ,268.47,210.33,164.38,260.13
31.62, ,275.93,141.45, , ,58.79,164.55,286.96,100.72,217.33,203.97,236.98,259.61,283.60,95.77,140.26, ,58.56,259.40,255.68,194.55,179.21,157.18,286.95, ,292.56,55.38, ,292.37,45.96,253.40,19.52,66.35,188.71,165.00,235.76,268.52, ,147.73,270.47,117.26,217.05,243.58,6.35,264.80,75.88,229.55,208.08,68.33,23.51,123.84,129.00,140.15,57.81,89.61,119.90,176.64,16.68,9.39,150.15,299.18,162.74,228.01,63.52, , ,189.58,258.66,98.02,277.88,86.68,184.12,274.36,243.54,180.98,14.07,227.11, ,89.85,185.17,5.50,190.34, ,43.84,89.66,150.01,297.69,135.03,143.27, ,86.81,123.55,114.50,266.85,111.84, 
297.01,75.22,107.71,249.60,218.96,293.41,106.79,5.65,172.91,51.20,235.74,239.03,266.13,242.33,205.56,163.60,216.41,81.09,106.58,175.67,69.94,94.50,160.18,118.55,249.08,148.57,21.38,160.30,181.31,81.37,101.66,289.43, ,70.52,290.37,217.87,171.14, ,47.86, ,166.41,159.65,128.79,57.53,204.77,97.69,126.40,109.06,173.99,255.16,169.33,45.71,261.43,174.14,264.70,282.40,101.49,167.27,186.51,146.66,269.83,98.68,128.91,167.61, ,122.77,204.21,293.11,29.73, ,101.57, ,83.97,88.31,173.04,112.53,165.24,67.67,2.50,238.50,31.51,245.13,188.80,222.59,140.75,91.86,53.89, ,137.86,81.42,145.32,176.40,265.24,10.82, ,174.72,292.96
254.73,60.52,87.43,25.44,235.42,234.46, ,227.57,56.09,191.04,109.00,144.56,147.65,149.08,30.10,223.32,117.15,296.86,248.83,286.12,215.39,111.46,187.23,31.87,48.03,144.72,290.35,231.27,144.66,68.36,242.76,111.10,153.08,20.60, ,6.72,3.31,90.36,297.37,239.88,177.43,85.40,153.14, ,291.13,46.07,94.10, ,205.20,204.24,69.34,101.08,285.04,186.20,12.41,204.80,124.24,115.08,116.69,284.33, ,203.67,18.84,117.31,202.97, ,216.13,280.38,11.45,121.60,40.83, ,245.63,205.45,201.39,144.55,99.43,128.96, ,147.80,172.75,203.85,192.05,274.20,137.19,137.85,183.29,92.80,124.31, , ,80.49,296.72,84.48,79.05, ,226.86
151.87,292.30,36.71,164.87, ,150.52,208.25,225.67,298.31,180.15, ,260.64,198.86,237.79,289.79,101.67,113.83,61.30, ,98.01,9.09,167.86,54.15,193.41,77.16, ,257.31,231.94,213.30,128.68,253.35,176.46,35.10,8.56,96.41,194.42,161.86,182.67,255.73,214.87,35.94,265.34,166.58,211.20,28.10,230.96,158.34,36.46,97.71,289.85, ,184.27,59.65,91.60,41.57,295.98,86.33,242.46,269.16,290.78,167.85,279.99,188.99,185.76,185.12,72.28,128.57,288.17,42.40, , ,130.16,61.09,67.88,296.08, ,286.86,11.15, ,160.45,153.47,288.94,276.98,117.82, ,105.99,60.17,263.09,15.92,205.23, ,208.78, ,52.08,119.38,232.86, 
139.37,269.88,77.49,189.54,52.41, ,46.17, , ,111.63,237.65,135.38,225.64,267.24,279.21,40.95,272.07,51.43,234.52,88.46,69.28,233.79,285.08,244.08,289.23,75.11,72.57,160.80,274.36,275.92,214.67,165.63,281.51,197.71,96.81,97.41,269.95,142.68,11.17,127.16,142.47,227.27, ,88.07, ,216.12,40.69,206.05, ,187.56,215.22, , ,200.99,171.34,228.97,243.36,253.53,158.21,171.03,268.56,286.50,175.21,96.38,81.72,23.51,126.10,72.86,140.13,132.59,206.05,137.84,77.29,93.17,247.16,8.74, ,295.24,98.51,67.79,252.63,128.02,196.60,294.77,206.89,75.49,174.68,56.20,214.33,117.26,94.73,158.56,4.75,281.87,24.71,207.77,120.17
199.24,102.55,259.67,162.63,227.80, ,284.00,86.54, , ,226.29,94.92,264.87,218.61,273.43,275.90,88.44,150.00,114.25,64.89,206.64, ,243.94,35.49,58.79,184.00,93.34,90.07,108.98,248.69,12.22,153.02,5.41,112.99,278.96, ,102.66,275.56,7.59,189.64,6.61,196.92,150.02,91.83, , ,128.79,142.85,180.13,51.17,218.83,23.81,37.30,139.48,280.61,260.68,159.99,226.94,269.04,97.94,257.06,191.49,275.07,131.60,140.18,200.05,44.56,134.84,50.33,94.73,121.38, ,281.37,128.13,291.74,136.21, ,84.16,247.99,278.44,214.42,262.36,177.63,38.33,88.79,286.79, ,108.18,20.79,261.63,127.82,54.00,5.98, ,250.08,107.42,243.72
47.15,136.31,213.00,237.25,263.30,185.32,32.22,103.69,85.88,249.59,6.61,45.23,261.82,86.89,223.84,91.08,236.68,195.77,102.04,151.48,57.06,148.24,161.05,211.04,204.54,286.19,74.26,133.92,26.74,105.32,251.41,221.57,123.80,37.77,250.35,291.19,226.04,96.68,91.37,34.02,168.36,207.07,51.62,278.70,261.79,28.94,280.43,101.28,67.85, ,18.20,21.27,254.34,122.29,252.06,75.45,298.37,155.04,147.28,219.68,157.81,254.58,284.13,172.29,272.94,118.44,39.64,16.75,0.40,35.42,269.05,200.44,206.52,208.41,251.51,279.43,131.79,180.33,139.11,204.28,63.96,103.20,162.42,97.59,258.99, ,228.04,15.74,150.39,103.88, ,231.97,132.05,117.63,179.68, ,83.96
