Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126
139.73,186.89,167.96,209.44,239.06,242.09,271.81,277.78,99.91,154.15,193.00,15.99,250.10,34.97,69.28, ,209.00, ,171.70,74.96,146.88,278.47,20.27,252.14,136.07,23.73,235.72,254.55,102.80, ,137.77,267.73,222.88,256.17,48.43, , ,224.20,108.04,149.04,265.31,194.39,170.82,253.08,139.15,190.36,103.23,36.66,31.11,247.69,299.34,64.59,125.70,242.87,1.96,292.06,239.00,284.63,71.06,197.38, ,87.74,245.72,290.68,146.98,264.36, ,260.48,63.66,187.65,19.93,98.43,156.88,198.44,147.25,79.22,179.71,132.37,167.43,124.40,95.23,148.47,24.19,128.34,195.13,94.37,205.60,227.05,230.23,203.99,94.99,122.10,204.92,108.42,202.72,256.44,7.45, ,31.64,55.79,108.99,213.85,277.38,251.11,36.88,243.85,171.59,236.45,131.97,254.70,93.65,160.76,194.97,19.06,179.53,46.09, ,259.94,124.01,263.68,103.46,107.71,211.87,154.27,166.74,12.85
138.85,231.81,95.34,249.52,77.00, ,65.53,27.98, ,94.57,158.87,82.07,115.84,1.35,52.09,15.31,239.14,265.31,84.63,68.42, ,145.43,150.64,229.51,289.06,273.18, ,171.21,49.96,106.86,257.16,219.40,223.89,126.65,29.48,249.85,245.42,243.33,183.08,233.45,143.35,34.87,241.35,287.12,193.13,42.62,252.93,122.77,120.55,66.02,160.69,247.94,48.32,110.06,45.56,293.10,201.47,63.10,234.05,134.12,144.20,277.47,138.76,273.95,49.66,109.34,55.83, , ,248.55,35.55,170.03,183.01,56.62,214.32,296.33,117.84, ,95.31,63.95,211.60,245.20,132.59,7.40,172.02,138.42,147.11, ,175.75,240.08,261.65,223.03,202.85,98.51,136.17,191.99,247.77,276.92,47.83,206.74,4.50,76.12,165.40,171.61,224.18,273.53,266.10,143.81,237.43,296.98,278.48,105.32,104.21,125.58,214.72,89.74,50.62,222.26,74.51, ,298.69,230.71,171.66,28.33,64.70,37.59
249.12, , ,30.77,0.95,240.60, ,159.82,138.42,299.92,175.94, , ,187.81,253.17,124.48,79.78,31.37,44.24,161.70,288.69,220.55,128.17,144.06,37.71,70.06,195.41,294.73,27.52,203.18, ,27.66,277.39,5.83,167.02,57.17,252.46,7.17,72.92,268.02,298.70, ,36.33,76.98, ,104.49,156.12,111.21,59.65,6.56,284.08,29.24,260.21,286.00,105.66,228.37,119.84,24.16,263.39,27.79,123.00,208.05,217.47,162.90,107.87,42.60,43.05,133.20,53.54,270.64,178.13,232.87,126.07, ,89.46,276.56,250.10,291.96,26.31,92.12,119.09,46.03,4.64,44.23,171.41,278.54,41.56,263.47,3.62,288.30,47.61,176.99,73.71,226.93, ,19.05,299.25,149.48, ,267.34,293.20,117.94,169.35,149.29,199.02,53.33,245.99,152.17,98.64,291.93,25.90,44.62,171.35,278.83, ,246.17,3.76, ,275.50,13.58,87.09,277.69,99.90,241.35,46.66, 
38.59,203.86,110.18,82.03,12.04,146.01,199.80,43.12, ,297.39,250.05,280.05, , ,151.42,32.03,206.22,236.67,113.84, ,147.05,217.41,93.04,117.29,213.19,46.72,157.81,288.50, , ,167.18,67.67,206.22,239.64,202.42,230.04,293.38,279.15,236.17,274.21,65.03,213.88,225.86,225.94,13.98,130.60,194.36,214.57,164.02,216.77,65.62,116.20,223.90, ,160.07,244.00,232.56,127.42,57.26,270.24,213.09,102.22,184.77,8.82,164.50, ,230.94,48.94,287.64, ,257.42,10.02,46.45,32.83,286.88,72.99,61.71,247.54,80.33,164.42,117.66, ,19.79,180.81,7.00,41.56,125.87,159.50,220.92,60.12,88.96,167.78, , ,293.63,234.19,240.28,243.60,275.50, , ,32.11,24.75,85.54,248.14,177.91,47.12,263.85,88.24,182.16,285.48,76.03,1.73,243.00,285.51,208.73,74.81,150.63,14.51,250.17,181.21,131.71, ,95.56,154.35, 
154.52,122.36,132.33,246.86,69.43,293.84,146.95,218.99,168.21,233.75,196.15,246.46,43.29,123.43,166.91, ,21.43,176.62,95.61,198.84,70.13,164.78,278.16,267.28,101.63,209.48,96.93,166.47,67.73,248.23,45.95,229.69,262.12,19.36,107.01,228.67,49.41,225.43,26.87,3.30,93.48,48.52,237.22,15.22,94.03,180.38, ,110.07,224.40,226.72, , ,210.80,194.33,125.96,31.12,225.19, ,137.97,2.56,123.13,80.15,281.22,57.13,70.60,167.90,191.22,10.35,60.83,230.47, ,152.37,55.49,255.81,215.53,170.20,287.08,70.88,169.20,261.37,102.01,280.61,117.09, ,153.23,10.21, ,47.04, ,102.53,8.54,229.17,140.38,159.58,290.78,197.57,25.19,124.20,290.89,68.14,12.52, ,22.73, ,69.77, ,172.30,30.82, ,203.32,103.85,11.21,126.71,116.82,219.05,102.95,154.21,31.47, ,44.48, ,14.03,38.70,131.52,67.12,177.44
256.85,33.33,75.91,176.84,11.93,133.75,5.83, ,37.30, , ,44.14,95.80,214.69,134.88,199.23,85.61,65.72,203.00,142.81,210.61,74.97,169.28,12.33,175.82,11.92,131.41,130.26, ,44.95,194.29,258.54,38.74,68.88,31.21,248.45,13.28,169.21,153.27,32.10,234.88,22.43,213.13,19.41,137.90,199.66,17.49,35.36,286.41,161.87,206.90,111.87,94.31,239.95,40.14,258.09,53.78,164.16, ,183.57,196.90,6.92,265.42,264.45,151.54,183.52,275.59,281.02,88.15,135.73,2.24,293.81,161.57,141.42,33.32,235.75, ,242.67,238.34,123.76,259.32,143.50,168.04, ,63.81,71.61,261.21,7.31, ,168.88,192.52,262.66, ,192.88,175.77,128.76,175.95,242.88,232.25,236.43,180.87,295.07,199.77,26.32,211.30,75.96,269.94,103.30,6.43, ,182.21,206.63,224.33,108.65,227.62,229.15,60.89,292.27,129.16,39.69,159.84,112.19,87.04,103.78,191.95, 
74.15,258.97,72.68,48.57,181.96,294.55,289.48,171.43,53.10,42.53,279.82,201.53,246.67,84.08,279.00,273.51,32.39,293.07,186.83,170.47,270.23, ,259.71,119.37,142.07,5.08,219.17,132.94,111.38, ,32.54,167.60,252.13,238.53,5.06,286.84,194.14,40.56,216.78,261.46, ,200.80,203.01,49.12,19.44,255.93,193.04,170.59,107.03,137.61,75.64,39.07,157.11,291.74,212.93,260.64,92.88, ,295.89, ,31.83,186.29,3.85,142.67,278.42,245.02,1.94,79.00,271.85,37.16,235.29,84.87,42.36,57.39,173.63,44.83,39.67,193.23, ,35.90,288.87,162.99,287.54,183.90,155.51,65.71, ,15.80,251.23,81.71,77.21,47.43,160.81,53.17, ,63.63,48.59, ,211.58,63.08,41.30, ,161.31,69.85,173.15,167.84,55.53,8.53,223.88,171.69,183.74,141.59,15.68,299.87,101.76,154.31,198.58,147.74, ,217.59,276.44,144.32,246.94,216.29,244.66,129.51
230.59,97.23,70.92,177.83,89.16,16.45, ,262.39,293.57,51.49,42.12,114.38,189.84,166.17,79.81,277.18,143.62, ,21.58,120.08,265.49,234.51,195.40,244.33,161.75,80.79,52.14, ,2.02, ,168.19,161.15,38.37, ,70.79,246.40,149.35,139.63,80.31,254.00,65.91,110.25,64.08, ,87.77,130.08,269.58,62.48,79.47,27.33,171.64,250.70,205.95,185.40,176.82,218.55,72.88,235.58,265.92, ,53.69,106.94,35.47,117.46,184.68,193.53,89.95,139.68,156.09,21.12,113.02,39.19, ,241.03, ,206.95, ,260.63,33.59,152.92,133.07,23.48,212.65,141.33,52.14,18.88, ,139.52, ,178.71,127.25,213.62,26.69, ,287.32,37.28,235.55,136.01,199.55,167.33,28.72,164.15,49.00,3.93,253.84, ,293.54,186.98,234.50,172.36,200.99,275.47,190.55,39.93,51.10,12.55,256.04,27.26,91.67,265.73,133.60,47.43,153.39,34.31,148.07,26.07
161.66,252.98,153.08, ,204.18,209.99,176.27,94.56, ,274.31,24.52,99.73,235.05, ,269.36,154.43,67.06,37.69,156.47,221.68,287.34,69.63, ,245.90,287.72,194.30,187.77,69.94,290.77,240.61, ,281.61,150.37,55.05,117.27,277.96,60.91,164.81,162.62, ,12.59,160.40,7.72,125.72,35.67,82.65,113.63,257.89,207.37,20.23,123.82, ,162.77,38.68,123.20,85.55,213.89,60.04,138.97,246.51,143.88,299.28,176.64,78.05,263.65,162.06,208.43,132.46,86.48, ,209.67,184.34,286.32,169.34,154.55, ,71.18,116.63,241.58,126.75, , ,104.23,149.46,90.97,83.86, ,182.64,225.48,196.43,82.56, ,237.11, , , ,189.16,106.32,205.51,17.53,230.18,145.36,105.66,26.69, ,209.33,205.82,266.67,58.87,136.52,75.76,4.28, ,83.05,280.63,172.78,284.46,12.84,45.80,257.10,101.61,281.82,143.26,138.52, ,170.97
13.00,6.44,187.24,100.33, ,88.88,83.42,209.81,203.16,214.76,28.09,97.70,188.23,268.05,201.83,197.72, ,144.45,15.34,110.30,265.76, ,72.61,277.88,75.24,238.03,41.30,6.37,276.04,79.96,221.35,229.15,281.03,263.53,242.54,97.00,260.98,262.75,271.55,16.01,121.67,36.79,220.16,1.97,237.77,140.28, ,69.44,44.76,241.72,239.19,128.45,197.92, ,231.51,200.76,139.36,201.56,185.39,219.32,17.91,269.30,16.21,227.63,77.80,236.13,163.46,237.70,70.98,120.98,151.28,250.01,44.17,166.79,273.28,116.93,243.19,149.38,119.27,253.80,1.28,6.31,63.00, ,133.98,146.56,154.01,86.49,212.48,11.44,211.34, ,202.53,45.21,0.14,128.91,61.53,143.87,294.92,11.85,40.85,167.07,168.58,263.81,247.85,24.67,113.21,48.87,162.95,67.64,258.55,117.03,26.74,87.92,167.78,42.17, ,209.24,282.92,49.76,192.46,20.82,64.84,31.23,5.98,148.21
83.86,286.11,71.51,191.85,114.79,135.35,105.96,109.37,289.20,85.04,110.77,164.02,248.89,256.18,20.56,123.94,149.15,208.35,57.06,13.84,91.82, ,197.78,4.64,182.97,71.71,274.54,228.66,126.45, , ,144.48,205.26,59.86,157.25,72.37,294.36,49.28,139.49, ,144.12,220.28, ,284.92,183.01,132.58,37.49,90.78,149.60,130.86,11.36, ,83.73,184.34, ,27.88,241.90,11.56,285.48,181.07,1.88,183.98, ,221.47,164.32, ,160.37, ,171.73, ,255.45,206.75,162.82, ,104.73,162.39,285.31,161.43,183.72,139.69,299.05,91.54,164.59,23.74,146.92,21.31, ,189.29,134.33,10.71,156.83,147.56,295.85,298.63,213.12,91.26,223.20,22.84,17.01, ,115.90,5.78, ,156.70, ,291.03,140.35,235.44, ,72.63,153.15,98.30,295.40,297.58,41.98,5.17,57.75,174.89,121.26,295.58,38.60,268.99,265.58,52.64,68.93,263.20
196.53,288.34,251.07,110.53,6.34,52.03,231.17,6.09,239.02,30.40,126.90,94.82,244.57,208.94,272.72,235.57,233.65,61.18,209.83,177.75,287.41,280.26, ,286.35,95.71,1.41,114.92, ,207.39,15.60,258.87,288.47,157.57,118.35, ,28.18,284.58,77.87,224.61,71.05,267.47,198.98,240.09,269.68,221.29,123.83, ,112.15,68.36,248.19,188.48,214.90,39.59,56.82,83.86,25.00,20.74,193.80, ,207.70,240.09,174.36,166.60,176.06,116.64,140.86,34.25,218.24,235.46,70.01,161.35,214.41,144.03,49.98,238.03,92.95,86.66,242.03,15.58,145.93,263.86,135.57,182.67, ,118.13,81.33,292.66,221.95,48.64,198.81,266.15,275.24,243.14,86.30, ,204.38,90.34, ,225.91,211.78,177.68,111.02, ,103.68,259.40,212.25,151.32,253.68, ,97.95,12.32,147.34,88.63,60.79,218.77,123.23,266.42,160.46,259.91,181.13,157.32,35.78,284.96,98.52,200.10,243.70
80.72,182.86,280.69,126.22,230.35,30.02,250.36,274.22,88.40,33.80,288.98,90.55,199.91,266.69,85.55,12.43,1.42,35.62,138.94,181.58,111.29,266.06,102.08,271.93, ,5.73,84.60,226.74,275.23,25.23,201.37,87.66,237.04,103.26,121.89,100.74,76.38, ,138.03,97.52,4.89,115.69,277.75, ,36.29,183.63,241.47, ,29.13,234.19,255.90,133.97,254.08,297.37,182.39,80.83,245.36,173.06,226.79, ,294.60,118.29,248.62,263.24,88.90,179.95,71.79,234.96,287.38,290.16,142.50,34.62,70.92,295.48,47.13,84.03,33.39,219.97,262.09, ,50.99,107.73,70.89,86.93,128.41,53.83,189.53,116.83,250.31,7.42,284.30,166.31,187.10,245.99,30.72,96.89,128.30,233.67,45.66,262.86,67.63,256.28,196.07,269.11,10.28,228.67,130.24,20.61,163.61,186.46,95.81,276.03,187.98,123.29,230.30,107.72,102.83,255.09, ,224.20,147.40,73.95,30.97,162.59,32.54,234.78
225.00,202.90,106.12,272.40,42.90, ,40.82,211.47,160.28,220.11,195.98, ,37.96,248.46,200.12,29.74,207.87,53.03,103.84,223.36,198.91,134.79,7.08,257.86,156.46,223.10,202.43,241.56, ,190.01,95.86,170.67,78.88,283.79,229.26,113.00,41.85,140.29,86.35,46.10,292.92,12.45,254.97,96.50,252.12,36.29,157.53,278.74, ,262.53,261.63,239.05,147.32,107.42,104.66,281.66,236.80,206.45,289.17,188.26,214.95,220.80,32.30,241.66,160.13,94.75,9.66,88.88,52.10,92.53, ,74.19,76.98,257.21,97.55,56.99,134.98,202.87,264.06,39.57,190.77,27.51,253.41,101.40,113.41,202.92,137.88,20.93, ,278.14,183.05,140.59, ,72.35,131.06,98.63,269.18,114.38,1.92,57.99,178.17,101.03,141.57,58.20,153.78,140.64,26.74,77.96, ,150.31,203.04,58.49,155.90,188.04,49.80,210.58,134.00,254.15,223.54,273.29,46.84,226.68,143.72,62.17, ,212.48
240.50,53.94,255.10,202.21,151.62,18.26,292.05,258.90,23.78,180.42,198.80,36.50,141.13,245.18,39.47,172.16,256.86,294.14,27.91,19.64,54.40,184.28, , ,253.58,295.14,271.74,131.41,76.94,10.24,149.25,179.78,29.68,247.50,48.60,220.18, , ,106.15,21.02,182.42,106.20, , ,71.50,86.19,212.55,170.57, ,50.35,175.83,30.70,235.59,119.83,161.06,109.98,115.42,82.72, ,260.28, , ,138.64,180.22,121.03,112.97,101.13,143.00,226.87,223.71,162.48,94.05,37.52,72.31,77.07,252.26,60.96,69.13,215.28,250.77,0.14,3.49,259.92,89.40,189.14,119.78,240.65, ,278.17,80.83,285.24,22.21,4.12, ,203.72,41.07,164.48,218.24, ,178.16,231.89,203.59,184.73,185.64,263.74,6.73,233.76,287.73,14.56,168.86,195.57,147.35,161.50,268.31,31.05,43.91,211.42,207.93, ,93.57,166.46,201.43,191.13,198.76,207.95,15.96
86.19, ,136.25,50.15,203.95,251.03,44.14,195.37,258.60,45.65,264.56,54.72,194.16, ,41.26,264.96,170.30,70.22, , ,82.04, , ,243.00,207.38,291.88,64.04,205.11,54.53,272.06, ,220.18,143.55,269.43,246.56,271.00,207.99,60.48,64.36,142.96,131.10,152.75, ,242.73,229.78,103.80,227.37,122.02,49.64,201.26,144.83,221.43,129.83,183.75,201.49,172.75,238.57,215.11,133.59, , ,155.09,265.20,134.67,14.29,285.49,134.74,137.40,253.59, ,137.34,94.78,169.77,183.37,72.25,124.50,237.28,85.17,153.07,0.54,181.93,225.78, ,56.10,75.74,202.11,147.03,63.81,68.90,275.21,293.20,184.31,24.98,8.46,225.25,191.38,58.02,91.32,95.81,90.39,157.11,140.59,191.63,95.97,125.36,20.33,158.88,41.84,276.82,74.71,226.39,67.61,42.32,139.92,6.34,9.69,222.80,167.58,54.69,74.95,34.72,298.60, ,40.44,276.76,152.16
17.14,246.43,160.57,141.48,111.70,8.39,294.60,142.72,213.36,183.98,140.99,92.00,279.19,112.05,223.19,134.78,82.47,241.89,186.57,241.74,155.17,273.41,108.81,258.79,222.41,115.57,122.03, ,101.22,210.04,263.22,191.95,256.72,145.45,159.73,141.51,83.99,131.41,200.46,192.54,169.96,38.20,157.33,31.35,285.80,15.72,115.65, ,72.37,298.03,40.57,113.64,10.84,29.98,105.74, ,28.37,172.43, ,29.76,112.20,298.14,4.03, ,211.70,241.62,97.76, ,24.61,31.67,232.68,280.04,39.18,66.78,289.60, ,19.35,79.70,143.83,11.69,2.54,190.72,15.92,157.91,13.10,180.69,117.98,28.60, ,145.76,168.18,56.52,154.71,215.39,46.03,174.05, ,97.44,295.39,16.23,262.39,38.60, ,156.58,106.48,66.94,236.15,87.61,70.81,194.88,104.68,34.88, ,86.11,105.68,189.54,234.79,151.25,295.02,129.97,35.61,147.38,79.10,75.46,153.31,266.66
122.46,174.39,285.52,177.38,41.99,213.12,218.86,250.18,293.50,294.32,223.10,16.97,224.21,73.98,110.21,217.03,248.21, ,233.73,211.26,93.91,238.04,197.04,20.87,295.90,105.24,24.13,41.98,171.15,100.30,244.62,165.69,89.15,211.16,9.02,47.81,100.60,173.61, ,194.49,284.16,213.80,19.64,51.15, ,185.56,280.55,287.21,7.47,103.34,99.24,41.05,215.28, ,88.89, , ,247.86,278.89,114.50,22.40,44.49,51.21,34.83, ,181.07,254.33, ,53.56,148.53,12.05, ,100.94,154.67, ,259.99, ,74.49,261.40,106.23,291.35,50.51,174.96,61.60,215.99,182.85, ,83.46,7.80,125.75,271.63,214.62,273.29,6.11,115.02,141.26,237.60,181.21,13.20,171.94,28.79,25.33,58.64,66.36,225.75,203.73,102.19,129.00,271.98,110.51,81.36,217.70,90.01,129.29,211.70,245.70,42.25,282.04,79.81,167.34,240.52,202.95,189.43,118.20,167.06,248.41
180.47,267.37,265.01,73.70,97.89,117.20,290.43, ,70.24,108.38,88.17,278.75, ,10.70,230.30,177.80,126.19,44.81,28.76,190.22,186.54,121.86,128.25,102.98,182.53,177.67,38.80,237.08,126.02,118.78,125.55,235.03,54.85,45.30,289.67,186.07,223.63,179.94,120.22,121.18,233.55,261.08, ,198.16,181.99,260.83,271.49,173.34,12.26,268.53, , ,281.95,127.68,199.00,110.10,0.74,115.48,73.92, ,272.08,237.55,190.70,89.51,49.21,160.36,281.27, ,185.32,64.31,228.06,192.56,145.24,151.00,192.89,48.55,197.00,186.01,169.12,104.52,111.08,177.58,98.54,58.73,72.00, ,0.06,189.42,231.61,189.22,275.61,240.88,11.14,110.07,88.41,130.68,283.02,283.21, ,117.03,30.34,178.28,189.09,216.61,196.25,116.53, ,230.68,199.00,248.75,267.98,181.01,142.79,46.60,160.54,243.03,123.42,94.06,21.14,67.22,254.96,64.98, ,295.66,240.50,21.76
205.45,130.57,201.71,50.71,155.14,270.74,267.22,164.98,123.94,185.05,178.65,137.36,293.09,295.19,70.49,183.15,75.87,280.06, ,30.77,163.47,276.04,141.79,99.37, ,23.05,275.16,96.26,123.89,245.54,22.94,136.03,291.98,219.82,189.48,2.81,91.62,170.81,19.17,125.38,152.42,123.46,50.13,240.10,9.08,293.09,201.67,238.11,41.02, , ,86.07,125.27,45.88,203.70,245.73,43.84,177.51,225.72,87.01,101.65,51.45,128.10,223.86,146.77,224.14,195.38,180.96,187.91,16.72,291.89,120.69,60.59,203.02,225.84,152.13,86.12,122.23,156.71,280.44,10.97,15.95, ,196.91,102.70,243.72,115.63,15.01,266.76,54.38,239.05,105.20,130.53,88.76,165.50,25.19,145.83,184.93,144.56,279.17,205.59, ,21.22,156.59,95.81,226.96,108.85,154.09,101.90,164.15,28.38,171.84, ,101.61,197.01,164.13,193.44,99.06, ,228.11,263.52,61.41,72.80,161.85,245.65,89.76
110.40,108.81,15.49,83.85, ,30.03,26.82,31.63,258.50,53.98,86.09,211.52,150.69,138.41, ,102.16,137.24,285.47, ,0.96,278.64,50.33,60.66, , ,203.03,214.86,40.75,34.91,277.52, , , ,61.50,130.52,130.64, ,25.43,44.48,215.69, ,276.35, ,68.64,135.53,32.01,284.46,128.56,252.53,77.91,224.13,46.23,126.63,267.66, ,12.14,194.84,168.86,278.91,239.83,249.27,85.92,207.79,254.11, ,116.74,21.09, ,67.32,70.29,131.41,208.68,78.47, ,247.33,229.41,214.54,10.35, ,135.91,222.07, ,27.44,163.11, ,106.78,111.37,45.38, ,254.06,177.89,36.82,32.29,186.30,249.54,84.70,32.56,240.84, ,268.28,208.91,276.98,132.66,192.76,31.12,132.09,170.07,154.27,221.96,181.60,70.03,253.49,110.82,29.64,129.65,262.76,14.73,54.25,28.08,25.43,239.19,176.65,47.20, ,269.16,286.16
221.44,91.44,175.24,39.89,4.95,71.40,52.54,97.75,39.21,225.37,283.94,275.05,130.09,197.76,157.37,237.21,248.34,89.06,203.94,232.22,166.75, ,219.30,50.14,53.97,44.60,78.84,127.43,257.58,69.81,290.77,294.03,202.07,158.64,226.63,257.87,154.33,87.91,276.26,192.86,232.95,182.60,64.95,183.84,143.43,79.35, ,73.39,109.44,62.41, ,49.99,158.21,54.45,277.95,84.17,60.93,108.27, ,173.22,212.75,96.99, ,231.19,48.48,183.21,197.37,167.24,111.25,151.68,271.57,196.41, ,257.34,108.71,101.76,154.45,177.67,180.90,182.62,201.24,137.87,214.95,213.03,267.41,13.99, ,143.62,265.78,286.87,252.77,140.40,42.19,112.37,35.81,176.25,166.36,128.35,108.79,125.18,251.93,285.09,273.69, ,239.48,101.44,225.56, ,160.25,273.42, ,9.24,201.25,104.11,128.07,203.87,141.44,64.52,160.07,178.78,264.14,261.57,96.37,54.76,47.38,188.30
111.14,257.74,197.26,107.47,78.12,137.91,186.31,124.64,52.01,35.16,121.68,81.74,183.85,132.93,222.64, ,33.77,208.97,116.03,153.63,48.94,279.26,51.28,93.13,233.71,132.82,218.23,31.61,13.39,269.20,90.75, ,124.52,104.82,25.23,24.31,124.59,145.84,240.56,186.21,261.26,171.03,200.99,242.73, ,110.84, ,201.59, ,26.11,259.26,231.34,221.11,159.49,243.76,50.95, ,89.17,121.55,143.69,260.78,59.81,197.26,233.34,63.19, ,269.30,21.76,81.95,298.55, ,242.30,104.21,32.80,146.17,153.58,176.89,76.27,89.11,2.99,72.39,110.24,35.47,219.12, ,161.99,180.68,176.95,19.47,107.50, , ,66.43,138.75,2.84, , ,78.44,48.77,102.60,180.08,165.24,199.12,50.83, ,227.78,261.95,262.00,255.05,241.23,62.61,184.47,91.93,216.50,209.62,186.88,241.20,20.98,45.87, ,125.67,36.00,252.63,242.17, ,166.03
191.01,190.68,66.70,236.34,66.89,44.32,1.69,100.52,42.91,70.87,272.07,187.13,14.18,194.41,250.84,210.26,289.07,217.34,83.54,38.97,299.64,104.20,68.82,24.00,51.12,262.86,156.42, ,170.60,169.83,42.29,222.47,219.33,101.49,106.96, ,257.39,97.37,256.13,266.30,277.93,75.00,40.60,90.79,102.03,185.85,224.52,36.71,35.44, ,10.54,165.32,124.46,121.99,76.25,152.35,266.12,131.37,210.37,297.70, ,179.93,279.06,228.35,213.12,75.89,274.33,288.59,67.43,120.93,184.96,105.82,75.22,72.71,185.96,279.84,0.32,224.59,264.23,295.14, ,71.03,91.06, ,90.00,97.92,34.90,20.03,224.21,116.31,77.40,132.42,114.61, ,39.21,181.23,107.26,8.88,59.20,192.29, ,273.72,100.85, , ,149.34,216.15,50.34,267.91,50.78,15.50,121.73, , ,234.88,22.75,266.78,5.47,12.61,161.52,287.80,234.36,44.15,102.78,144.05,277.24
153.21,162.60,120.36, ,55.24,11.56, ,134.24,201.16,153.07,260.33,53.42,278.01,45.19,192.06,151.48,84.06,162.05,279.63, ,268.44,177.45,206.05,114.24,264.59,233.00,221.43,80.70, ,178.27,132.68,50.54, , ,288.86,81.25,84.09,236.93,216.97,27.78,31.17,244.98,40.71,213.70,52.96,166.47,191.12,1.56,283.32,76.25, ,157.50,126.97,177.61,113.98,276.48,125.70,39.36,124.90,31.67,64.58,105.96,252.60,297.36,88.44, , ,281.43,1.31,25.03,57.10,273.45, ,99.15,272.75,242.68,248.79, ,10.28,44.75, ,42.10,181.69,127.65,262.08,243.62,280.69,127.59,95.98,53.10, ,25.85,221.63,61.05, , ,91.92,34.21,146.02,66.86,19.00,88.76,252.80,255.36,286.84,171.31,128.17, ,154.01,48.59,239.74,223.40, ,27.32,129.48,236.62,0.01,205.51,230.30,248.02, ,234.85,104.95,88.90,209.83,50.08
107.14,110.80,0.88,57.87, ,231.21,80.92,238.41, ,168.71,268.02,78.37,15.10,285.74,54.71,46.90,153.98,94.61,184.60,19.89, ,204.47,124.43,104.90,271.81, ,116.54, ,194.91, ,78.23,105.00, ,151.91,31.07,32.33,190.55,15.74,269.47,6.69,205.59,156.73,236.49, ,29.41,188.85,75.20,6.72,100.02,32.11, ,38.07,210.74,197.90, ,167.37,68.33,52.28,117.99,116.42,223.63,280.45,171.03,79.56,235.86,61.56,217.32,6.04,187.18,185.29,296.30,260.34,13.92,244.55,242.30,38.18,206.81,278.41,74.28,255.59,237.55,278.11,293.60,142.27,218.81,294.44,80.22,279.73,267.40,226.05,285.26, ,192.07,54.04,57.14, ,67.29,242.65,204.43,29.54,117.04, ,111.48,154.48,143.18,33.67, , ,52.72,19.00,121.75,214.70,185.05,246.18,82.85,139.04,21.13,136.15,259.99,132.93,13.90,63.08,43.57,290.94,76.64,41.09
82.98, , , ,23.48,178.83,41.69,36.18,34.09,187.41,138.59,295.61,64.96,158.27,34.11,79.34, ,277.74,251.44,95.07,78.51,226.25,39.41,129.75, ,135.41,140.00,156.11,88.69,178.79,223.77, ,3.12, ,280.86,148.62, ,196.04,176.79,207.95,246.49,183.02,173.11,244.77,193.37, ,114.45,182.75,172.08,41.34,281.45,213.03, ,92.09,172.47,148.40,185.07,118.12,199.66,105.35,138.33,224.82,113.17,256.86,56.07, , ,22.59,98.13,273.00, ,145.47,27.17,44.18, ,112.27,35.24,166.17,216.35,247.69, ,204.55,31.04,73.65,268.27,14.27,261.58,299.70,63.60, ,107.77, ,220.05,112.21,36.85,54.03,233.46,102.80,264.47,83.70, ,51.97,64.25,288.28,172.61,32.34,128.28, ,205.24,219.12,197.84,3.23,83.80,35.42,74.71,20.44,38.02,210.38,134.68,53.01,255.91,135.77,276.62,203.84, ,122.96
233.90,202.55,162.73,221.18,213.95,69.77,259.09,282.75,274.88,76.83,21.94,214.09,201.79,81.18,226.04,282.98,283.07, ,145.80,266.87,238.73,264.89,147.04,293.83, ,59.87, ,81.81,72.37,74.64,40.34,188.39,141.28, ,26.81,73.36,60.88,290.31, ,1.39,38.47,266.71,55.10,276.73,87.24, ,161.88,136.41,199.84,161.47,8.45,42.17,239.86,50.29, , ,231.56,22.13,114.44,281.88,117.30,116.07,214.86, ,51.27,77.70,159.60,140.62,68.02,287.73,272.71,222.94,149.46,278.51,185.10,58.12,236.39, ,102.79,7.95,143.05,58.35,165.68,115.83,152.23,201.29,10.97, ,267.34,16.91,44.89,64.93,115.95,279.93,104.11,153.89, ,159.97,189.96,227.32,239.21,44.04,102.86,259.70,22.35,66.02,273.24,33.13,83.99,56.18,138.55,83.83,42.63,66.43,269.46,238.38,73.31,49.18,37.43,225.28,237.22,27.97,259.35, ,43.33,42.89
