Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70
230.01,10.35,36.64,154.06,10.15,82.86,85.60,295.12,117.19,97.51,70.43,225.14, ,261.40,202.65,236.60,238.52,53.91,2.98,198.03,299.12,51.31,65.81, ,291.64,31.94,162.43, ,87.57, ,48.98,154.99,293.43,295.99,252.47,262.76,237.99,240.56,282.52,284.02,20.40,212.55,64.81,154.72,162.56,169.92,70.15,269.01,223.47,23.36,4.97,117.38,217.33,161.16,190.86,88.79,120.84,263.61,76.32,103.23,131.64, ,201.79, , ,221.54,288.72,89.41,214.87,192.17
193.53,163.67,180.81,159.55,38.54, , ,148.43,288.50,47.77,119.65,155.65,251.64, ,41.04,53.54,11.39,266.93,190.03,284.22,165.20,3.50,124.84,58.83,148.86,69.97,0.07,194.80,188.80,179.93,158.39,3.25,259.83,273.19,275.83,114.82,123.77,51.43,278.67,270.81,290.67,166.67,277.94,32.00,100.64,96.59,145.41,128.81,70.03,255.11,59.41,186.89,188.24,131.78,48.57,294.44,143.36,29.99,222.58,288.04,273.92,282.25,184.47,224.58,213.07,0.36,249.61,155.65,125.56,4.76
90.03,213.38,160.31, ,82.89,42.73,279.28,88.36,11.84,23.19,112.50,266.70,152.49,240.63, ,228.07,153.64,294.30,251.48,10.39,237.49,48.91, ,176.27,93.63,31.40,154.46,19.71,228.89,275.10,162.55,97.59,108.25,151.94,67.17,185.65,244.05, ,287.65,298.53, ,186.64,106.88,294.92,162.25,298.79, ,161.34,190.91,200.20,170.93,73.77,261.12,121.53,269.37,58.93,228.79,154.53,155.86,74.72,57.88,281.24,91.84,287.19,161.56,289.35,262.86,209.97,210.24,86.50
140.67,147.49,194.41,149.26,197.65,32.73,222.49,150.76,156.55,297.08,25.33,50.61,49.55,212.17,292.08,139.39, ,286.88,38.52,51.48, , , ,142.09,135.49, ,292.04,209.36,156.13,60.77,245.35,56.49,13.44, ,146.19,31.40,237.79, ,26.58,75.34,48.97,283.60,185.57,172.61,285.80,290.73,173.05,67.93,141.21,284.71,227.56,217.13,121.77,75.86, ,151.20,193.29, ,235.11,255.70,105.00,136.45,288.07,31.80,239.05,137.36,58.74, ,275.87,229.50
116.74, , ,74.30,92.44,186.04,10.05,207.51,130.20,239.63,35.04,78.75,132.99,266.78,110.24,238.80,155.97,117.60,23.49,164.53,246.26,218.43,44.32,207.87, ,147.49,164.21,92.98,276.11,39.04,205.73,112.82,137.65,63.07, ,254.97,7.78,266.36,157.54,52.15,185.20,212.90,45.53, ,117.79,87.90,206.16,138.51,239.10,187.34,27.42,257.15, ,158.37,13.17,220.24,81.32,246.64,4.87,50.25,109.96,85.17,288.54,105.30,17.91, ,20.08,274.05,52.09,135.60
74.18,181.90,232.84, , ,292.21, ,289.49, ,74.67,48.24, ,55.76,41.82,191.45,224.67,202.79,4.28,59.86,46.34,88.64, ,15.70,63.81,15.39,52.71,107.16,243.52,156.71,109.34,6.35,32.01,162.84,179.31,77.55, ,276.90,107.31,139.45, ,132.47,278.30,238.64,286.13,152.98, ,262.32,3.40,282.18,85.20,57.74,77.42,186.11,216.60,16.72,126.63,188.53,21.24,213.86, ,96.03,202.66,221.99,96.48,135.02,229.56,32.66,212.31,228.16,42.11
283.34,48.22,286.70,47.51,237.30,120.22,113.88,126.41,175.73,180.23,197.81, , ,151.84,55.97,24.57, ,7.91,49.81,182.96, ,243.35,235.91, ,49.79,170.29,262.19, ,272.94,75.68, ,227.53,277.44,201.10,9.12,271.78,243.20,132.17,98.09, ,161.67,10.59,56.88,210.33,62.14,141.05,1.85,65.35,39.95, ,115.47,288.48,140.93,241.99,256.58,115.82,201.75,227.98,59.29,60.22, ,243.49,224.18,112.91,123.71,62.42,268.33,191.67,285.36,297.58
79.93,74.28,239.42,225.29,135.98,149.52,35.87,95.72,38.34,249.59, ,12.01,29.82,256.90,141.79, ,100.25,120.65,157.49,251.22,149.37,32.29, , ,91.89,28.22,136.86,292.29,289.82,228.16,14.43,288.04, ,88.28,217.19,112.35,214.03,126.62, ,125.51, ,217.40,23.80,198.86,39.93, ,97.45,137.68,38.93,206.57,214.00,52.67,273.78,90.85,156.55,96.32,225.84,199.46, ,247.10,117.30,283.89,84.49,246.41,48.19,102.94,286.14,236.33,238.14,253.81
122.81,203.37,271.74,4.33,110.95,146.26,238.47,36.99,139.41,219.32,55.53,71.27,286.63,204.62,273.86,31.82,204.32,201.53, ,205.86,41.40,281.89,95.76,6.64,251.46,38.04,45.57,210.32,46.93, ,271.70, ,3.52,54.60,189.97,169.14,66.29,253.12,180.20,160.22,167.59,176.88,250.74,265.93,9.67,78.99,284.56,151.79,259.21,226.77,137.04,245.00,6.46,251.51,246.99,73.50, ,250.38,174.15,286.14,182.49,114.21,283.55,35.80,44.18,198.40,79.23,138.35,0.78,234.07
283.47,260.94,269.21,118.26, ,104.40,266.63,292.79,86.95,186.43,121.94,256.98,207.85,153.65,252.08,124.49,173.59,100.46,139.50,89.91,95.92,161.45,297.71,213.18,231.99,143.25,228.23,69.23,51.53,26.50,113.00,143.12,21.27, ,160.77,48.15,51.28,5.08,240.17,27.00,91.31,168.09,54.84,214.47,19.84,217.43,250.36,166.57,89.69,195.19,65.51,94.09,185.80,230.61,258.48,150.82,84.23,195.02,287.23,29.99, ,247.42,197.21,197.09,105.52,29.36,72.75,150.06,158.50,120.15
207.70, ,257.48,154.20,1.06,262.00,148.51,278.47,106.06,76.12,99.82,269.57,156.10,5.86,100.77,165.79, ,243.55,120.27,74.75, ,216.18,137.65,143.63,243.72,110.43, ,210.25,159.47,259.28,71.90, ,26.98, ,189.77, ,10.04,283.06,26.41,217.59,263.93,280.18,10.89,227.48,0.86,60.27,289.95,138.80, ,165.78, ,55.55,260.61,199.65,48.40, ,265.98,106.84,70.29,38.09,241.97,161.75,299.15,262.60,67.45,225.70,123.05,288.78,238.60,2.54
102.77,25.17,18.70, ,89.00,134.04,88.48,111.65,72.08,23.72,107.76,158.94,104.25,29.78,75.53,209.69,186.91,282.97,156.99,51.61,261.49,195.88,258.57,111.10,47.83,263.89,116.02,196.58,259.76,127.41,10.50,293.09,175.38,153.08,91.05,278.34,90.34,102.52, ,213.62,229.58, , ,164.46,281.74,126.05,212.13,218.59,154.45,124.60,269.09,221.57,135.31,264.13,76.64,191.28,92.61,38.71,206.02,2.36,287.90,95.86,289.77,149.26,130.46,274.73,130.83, ,266.14,237.46
247.05, ,237.32,287.81,179.18,179.20,81.60,9.96,67.13, ,216.39,22.37,118.66,21.08,95.25,185.37, , , , ,69.73,117.66,205.50,224.96,93.10, ,270.56,96.73,75.57,184.84,59.33,286.89,102.02, ,134.73, ,117.94,161.81,184.51,49.77,132.53,289.10,233.82,83.77,122.13,271.22,125.15,13.74,104.84,86.16,250.49,156.57,90.01, ,274.52,262.46,58.48,159.62,33.09,66.83, ,226.16,248.39, ,262.13,170.25,249.52,28.39, ,96.82
 ,9.52,35.65,207.72,71.25,77.18,186.62, ,128.04,202.82,121.49,38.56,138.48,234.38,144.85,164.54,269.74,251.18,9.89, ,104.01,282.00,98.74,25.21,296.67,169.53,216.88,111.66,276.24,136.11,72.96,214.01,12.91,265.81,198.14,234.51,183.36,183.35,85.14,248.81, ,118.34,220.83,266.56,232.34,258.68,267.64,195.81,14.76,248.07, ,137.03,284.34,185.64,2.50,76.25,52.59,69.64,1.02,174.06,258.08,82.27,36.37,135.70,98.87,266.70, , ,102.60,124.13
53.99,259.02,77.94,210.43,219.10,173.32,35.03,161.90,71.30,201.41,216.90,126.75,133.77,287.35,214.99,224.62,238.11,99.21,195.24,163.63, ,36.95,256.12,69.40,239.65,274.83, ,275.12,68.19,2.09,45.26,167.01,186.06,153.52,121.16,294.91,163.11,21.74,172.11,140.02,129.75,220.36,292.27,249.79,4.36,115.98, ,282.99,55.02,173.03,209.28,35.21,84.89,215.80,123.32,295.53,235.65,289.21,95.48,161.83,189.04,271.92,282.67,258.18,43.02,77.99,52.99,146.36,64.41,293.39
168.06,256.57,92.13, ,187.62,177.58,19.50, ,258.17,270.37,11.66,47.55,265.68,202.85,238.41,174.20, , ,220.72,145.97, ,161.72,187.79,244.02,30.60,165.46,229.85,16.22,129.35,208.93, ,20.97,275.97,100.10,237.44,242.51,33.67,245.14, ,284.44,94.94,137.64,19.60,42.20,10.74,141.69,101.44, ,269.73,135.81,257.33,90.65,156.67,199.69,58.46, ,236.62,101.28,142.67,141.74,156.71,56.43,72.15,148.80,127.60,148.60,232.52, ,132.36,112.41
180.32,119.39,107.49,67.85,144.34,23.49, ,175.97,43.83,243.51,260.91,167.81,268.55,31.36,232.69, ,264.74,239.93,256.77,85.80,229.17,213.35,259.35,128.64,2.62,288.50, ,59.61, ,28.15, ,284.79,288.41,60.83,293.77,235.39,230.76,270.37,173.35,120.24,51.67,134.75,153.72, , ,93.06,241.48,191.79,52.54,280.12,158.82,258.32,15.08,54.21,49.97,208.49,59.70,35.44,88.58,224.45,102.48,267.93,273.97,270.23,39.92,139.87,224.24, , ,287.27
224.78,274.73,207.46,93.42,228.88,132.05,136.67,170.85,278.50,264.31, ,4.23,11.20,123.32,195.93, ,243.10,133.92,120.68,252.25, ,181.12,116.33, ,50.86,37.35,50.12,278.09,5.90,232.65,0.49,104.81,138.72,50.56,265.73,14.02,85.33,99.10,114.62,114.18,38.85,194.84,153.20,10.42,50.11, ,50.61,172.78,123.85,164.30,186.42,110.50,120.86,203.50,223.41,116.46,75.89,283.74,121.19,175.29,206.78,48.26, ,221.05,227.34,235.43,28.16,134.32,91.83,36.05
166.53, ,255.43,178.57,13.85,95.84,280.06,7.50,260.01,249.37,38.32, ,62.15,237.54, ,29.37,287.87, ,60.97,261.55,212.63,223.81,296.55,192.45,120.45,259.18,170.14,269.76,256.90,80.51,228.38,223.82,20.20,74.09,81.36,291.12,236.35,206.39,27.88,232.06,19.61,79.76,181.57,151.00,81.43, ,9.81,256.74,284.03,151.86,85.39,56.31,123.84,285.77,299.11,288.80,104.22,227.19,61.61,144.98, ,76.48,67.95,189.74,24.34,297.58,279.17,145.84,8.92,44.32
116.18,54.46,233.15,190.81,296.11,72.11,225.67,129.20,188.91,139.34,212.72,2.79,22.00,250.44,265.70,96.58,123.68,45.49,85.53, ,81.64,56.08,29.49,107.03,93.58,162.45,38.68,9.62,21.37,181.00,123.95,148.87,299.44,251.32,85.43, ,167.07,96.33,20.94,251.93,94.59,206.49,116.58,111.05,227.23,228.15,93.24,128.38,103.35,250.39,213.71, ,80.78,296.21,150.39,177.61,91.80,100.92,72.09,4.27,234.01, ,213.52,151.29,65.88,170.18,114.26,154.27,164.67,10.35
134.12,267.96,99.36,129.47,295.56,296.86,70.26,162.17,37.24,25.68,268.10,119.38,279.75,96.50,257.39,234.77,114.40,120.05, ,249.52,121.76, ,236.55,173.65, ,210.89,165.48,80.28,133.39,41.09,259.13,64.44,120.27,180.38,275.99, ,225.51,270.97, ,207.52,77.36,7.12,118.43,2.26,233.95,61.35,242.70,160.54,86.46,163.08,3.82,60.97,64.58, , ,265.17,243.18,37.77,30.78,122.90,54.91,168.69,31.89,136.75,118.53,173.25,190.04, ,251.01,185.25
154.11,277.65, ,20.18,154.58,79.61,84.00,34.34,250.79,64.08,258.66,10.74,164.21,8.99,151.79,170.12,193.21,141.91,35.52,2.25,213.05,167.58,216.39,249.74, ,13.82,226.80,265.46,60.63,67.70,18.03,215.63,0.01,24.21,82.37,81.11,99.35,140.05,79.36,46.15,10.11,201.26,256.38,295.62,32.95,62.51,170.12,233.27,24.99,248.98,143.78,79.83, ,219.88,272.43,85.69, ,145.65,208.86,286.94,119.03,267.81,70.87, ,4.14,184.67,257.04,105.40,71.87,180.20
88.07,253.60,71.59,19.41,134.41,178.75,240.47,6.70,269.51,281.69,152.69,235.28,158.40, ,230.27,277.07,177.29,175.61,201.28,70.46,235.57,271.85,132.36,281.17,140.01,236.07,278.49,48.94,260.82,185.09,178.84,113.11,291.86,107.17,89.88,286.24,69.52,299.91,128.59,156.26,106.87,82.26,194.75,173.59,220.83, ,99.67,159.77,212.70, , ,238.36,92.08,210.11,263.72,178.75, ,147.35,60.57, ,255.32,10.62,281.65, ,81.32,17.33,202.84,200.07,104.18,100.75
250.78,31.72,29.67,31.02,28.19,106.63,46.91,175.85,149.09,15.36,235.29,167.52,198.50,146.80,108.26,70.67,98.47,121.80,78.90,5.16,244.41,272.32,279.24,149.12,93.31,58.74,197.17,166.73,293.85,98.36,261.07,161.14,271.42,187.68,135.77,157.41, ,129.73,283.86,220.63, ,85.11,99.81,97.19,77.96,280.06,193.15,45.34,0.68,37.23,67.08,81.20, ,85.82,24.68,32.12,181.88,30.41,203.14,150.01, ,241.05,266.96,90.87,188.49,29.05,279.91,98.71, ,51.88
74.84,216.61,21.86,210.29,151.31,64.96,283.11,242.37,122.56,223.72,265.05,163.91,295.18,289.48,280.66,203.20,117.92,162.47,218.30,192.05,186.19,70.93,112.62,2.15,89.87,70.04,241.13,245.69,194.00,292.58,276.52,230.17,15.60,234.22,165.40, ,51.59,74.45,195.90,223.04, , ,148.90,201.12,232.53,90.03,135.07,178.22,26.34,29.07,113.38,18.92,203.73,89.90,214.71,133.90,184.35,230.31,226.54,118.57,164.21,91.94,244.85,167.73,143.54,28.13,242.17,64.43,224.02,29.92
287.47,55.10,207.53,136.38,256.22,140.06,226.41,91.28,18.27,252.75,120.35,131.65,271.67,24.08,221.55,186.38,157.98,105.90,116.69,84.53,224.48,280.91,176.47,169.32,148.63,20.01,197.45,90.81,84.44,121.48,120.73,71.92,176.58,28.25,208.29,132.79,168.31,134.70,224.08,186.58,87.45,44.43,18.23,59.12,68.51,239.79,245.51,226.50,45.69,62.20,11.03,270.17,43.10,187.50,139.49,191.74,207.51,36.94,282.55,291.95,158.42,103.28,63.86,35.00,131.53,272.16,167.79,299.84,106.86,91.87
186.42,194.31,136.30,204.65,253.43,204.82,144.44,198.94,131.32,190.12,261.14,142.34,160.29,4.24,29.84,299.78,195.98,237.34,36.72,178.53,229.29,195.15,281.81,293.15,230.14,113.34,265.31,97.94,113.17,72.17,189.81,299.59,266.47,26.11,204.24,219.91,230.93,48.68,118.85,62.24,238.80,79.99,204.58,99.09,84.23,234.42,98.88,280.21,171.77,135.60,158.74,101.06,30.75,140.55,94.21,260.89,253.89,59.52,58.83,67.06,131.69,248.63,66.65,98.16,274.74,270.90,18.07,205.67,19.57,136.91
