Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75
 ,142.92,233.11,20.79,279.53,253.90,44.52,93.32,170.68,33.39,195.60,117.02,46.26,179.58,167.63,61.72,69.02,137.92,234.48,82.44,25.11,234.78,78.00,226.42,118.26,11.29,244.26,271.95, ,151.52,284.86,287.43,282.70,161.82,126.56,67.26,45.63, , ,181.59,41.67,121.71,141.56,245.74,107.52,87.10,161.96,172.72,95.87,41.47, ,168.03,207.52,23.85,183.94,192.71,180.78, ,182.26,144.67,134.42,64.24,211.23,293.49,75.59,239.38,47.06,285.08,287.15,49.13,77.60,190.97,69.01,274.10,78.49
79.27,70.96, ,282.20,127.92,145.29,5.54, ,85.18,289.62,141.09,70.60,226.99,183.69,175.52,247.28,276.55, ,47.52,1.35,239.76,95.88,46.55, ,10.89,294.81,258.93,39.27,54.59,291.11,262.27,96.06,120.64,236.09,120.14,288.90,45.90,245.73,164.73,178.34,233.75,176.14,9.05,222.21,181.66, ,143.93,97.99,200.58,289.56,290.74, ,140.60, ,86.33,159.94,150.88, ,24.03,259.90,127.10,96.73,95.43,152.70,196.64,75.95,195.73, ,291.44,198.59,136.33,105.58,118.39,31.83,280.50
145.51,70.63,110.31,123.05, ,298.43,138.26,172.84,38.46,25.43,129.42,15.91,264.05,232.72,44.01,201.01,263.85,58.16, ,137.55, ,69.64,39.46,187.34,241.89,143.14,105.38,125.79,86.89,133.48,10.35,137.95,165.02,125.95,93.28, ,207.81, ,20.77,38.27,36.47,133.91,247.48,152.16,60.59,163.11,258.66,71.55, ,236.57,210.75,291.70,220.46,146.31,220.29,89.10,6.94,262.31,16.74,38.71,262.19,253.11,236.41, ,33.02,164.37,122.13,223.14,244.58,30.03,42.94,84.50,7.44,133.64, 
35.24,260.50,210.45,153.68,40.18,179.88,245.86,73.67,34.46,214.55,287.43,200.05,294.45,295.37,205.01,18.70,122.06,237.68, ,91.36,232.99,59.25,118.70,258.21,205.03,3.22,203.04,262.18,207.62,186.35,238.58,74.54,197.76,116.50,246.56,109.63,80.71,64.09,39.44,288.08,237.92, ,140.96,268.79,112.09,218.28,240.93,242.46,191.75,236.26,242.76, ,122.31,100.52,124.23,208.71,84.44,103.62,287.59,59.84,120.18,237.81,3.12,230.56,123.55,59.13,169.52, ,291.84,277.74,252.31,86.95,202.15,168.24,221.16
53.04,296.50,178.50,118.36,215.17,233.85,0.37, , ,56.64,31.69,181.53,152.09,48.62,202.05,47.44,93.19,63.91,215.72,74.29,52.70, ,286.54,275.67,142.85,222.60,210.98,27.67,109.07,243.60,198.20,210.76, ,11.24,43.34,27.72,261.03,107.09,66.96,212.01,81.33,155.52,2.27,255.13, ,251.28,84.90,1.31,170.90,6.90,298.30,283.94,194.89,223.02,131.33,43.23,242.83,219.78,136.79,125.43,253.86,174.89,226.19,34.41,131.17,53.31,275.17,245.41,101.61,1.28,29.94,297.20,179.03,143.07,249.25
49.86, ,224.76,271.40,276.27,232.13,121.80,292.75,7.02,260.66,164.08,205.40,190.79,87.62,21.24,57.02, ,260.13,78.06,6.36,178.27,111.16,196.64, ,55.69,51.40,55.25,209.94, ,100.74,211.70,160.05,265.52,168.45,184.74, ,191.10, ,265.95,201.77,109.47,218.28,141.77,44.51,144.56, ,245.30,93.03,4.02,119.32,276.62,38.56,172.62,48.68,195.60,80.31,94.85,276.47,12.46,128.63,55.65,251.05,277.75,154.75,152.25,135.59,19.05,52.01,103.81,70.21, ,150.52,180.93, ,265.04
245.16,103.37,227.46,1.76,98.50,186.99,130.58,79.61,196.73, , ,232.31,299.95, ,57.56,283.25,164.35,36.80,120.28,185.48,39.37,273.20,277.68,26.46,3.55,196.99,217.40,67.49,197.48,290.96,285.17,46.68, , ,107.54,121.08,286.10, ,259.30, ,183.24,61.64,258.89,21.97, ,89.46,53.64,196.16,160.49, ,10.01,138.84,272.87,110.57,120.38,218.27,255.67,259.50,288.30,275.94,94.68,99.73,185.75,196.04,135.55,249.80,227.87,263.11,48.57,159.71, ,77.98,223.63,5.15,167.79
216.88,18.21,277.79,234.73,214.13,88.39,78.96,208.40,197.06,216.18,268.86,238.71,130.78,226.33,103.28,59.47,272.18,69.14,95.78,202.81,133.03,290.43,225.15,79.60,7.99,92.95,80.92,23.69,193.99,47.64,44.14,17.43,184.79,266.29,90.43,290.47,160.30,135.45,179.75,207.66,210.83,164.59,32.27,203.45,138.30,223.53,58.20,198.76,27.53,223.56,34.15, ,194.45, ,279.90,91.91, ,2.74,127.01,220.44, ,146.70,149.03,36.03,11.19,150.22,99.84,156.67,287.82,28.44,74.95,257.45,195.90,169.60,46.88
4.51,62.04, ,211.07,251.79,232.62,268.52, ,42.30,120.41,26.10,212.88,157.20, ,53.10,137.51,137.08,141.69, ,292.89,274.71,66.81,146.95,61.53,239.82,246.30,133.95,209.09,73.46,217.16,119.39, ,256.57,180.49,43.70,91.15,218.84,225.53,152.43, ,270.72,177.22, , ,189.43, ,262.89,275.17,273.75,183.14,126.97,28.58,7.77,29.39,125.22,238.46,133.84,248.37,189.06,131.57,54.83,258.24, ,233.41,47.76,205.13,42.91,6.67,276.52,242.96,251.62, ,229.27,153.43,284.31
43.04, , ,35.53,115.59,134.39,157.29,42.69,93.23,142.04,287.98,249.77,220.07,32.70,179.36,26.97,228.63,279.55,167.88,72.34,124.61,121.03,257.06,117.28, ,259.32,163.15,6.87,147.84, ,297.17,273.10, , ,94.16,73.10,192.18,245.50, ,66.53,9.23,115.97,105.43,116.62,3.06,22.84,278.00,148.07,82.91,209.41,266.37,57.73,278.69,173.90,255.35,294.16, ,110.13,276.12,140.73,188.48,267.54,242.22,187.44,160.26,163.50,26.03,202.63, , , ,224.17,68.77, ,239.46
49.84,213.87,160.28, ,127.82,97.01,29.16,65.43,214.59,114.85, ,69.29,218.75,17.46,266.40,5.64,264.24,121.44,246.06,280.45,109.53,197.86,151.34,80.13,163.54,55.01,103.41,121.44,21.93,2.07,74.69,194.19, ,15.63,9.26,197.49,106.87,7.97,171.00,201.72,120.46,166.17,295.58,270.04,12.40,19.81,183.63,194.91,90.71,139.59,207.88,210.08,56.74,136.33,174.96,38.90,230.22, ,225.80,114.06,207.94,263.35,106.64,103.58,81.58,168.80, ,205.87,236.74,9.67,190.35,111.13,180.04,134.32,267.15
138.12, ,237.81,61.13,174.04,146.48,167.78,164.91,250.06,196.98,246.49,264.17,65.77,128.04,186.16,271.65,219.66,122.91,234.26,229.33,195.99,124.62,113.95,7.11,53.87,293.99,48.46,188.19,18.05,15.61,218.06,156.17,226.29,155.87,217.31,100.33,2.34,85.08,265.24,252.40,282.06,211.72,216.57,47.84,39.76,102.74,19.49,259.42,225.65,253.75,188.75,121.63,78.37,2.69,128.75,132.24,296.68,177.21,20.43,14.73,192.81,238.48,170.90,119.11,94.35,88.21,219.44,96.69,173.29,184.68,49.09,155.35,96.40,265.67,203.19
136.16,68.40,222.68,95.58,294.05,176.43,284.33,115.68,254.80,287.02,244.43,87.03,283.70,121.63,107.46,298.43,14.44,45.94,169.33,133.55,140.29,257.54,52.99,236.99,130.83,237.67,286.08,286.19,34.07,251.75,189.38,170.23,20.15,112.06,265.82,14.20,288.49,250.14,129.88,243.28,237.17,74.31,30.32,220.87,195.94,137.78,219.31,210.39,183.72,88.64,43.94,24.01,46.18,96.93,261.00,177.01,34.60,247.09,163.20,68.67,198.83,52.57,238.90,218.98,164.63,204.71,233.18,153.12,154.86,63.06,96.40,92.03,137.37,126.72,12.90
33.31,264.50,232.20,243.70,148.22,20.84,287.64,172.24,67.02,84.56,133.24,244.03,119.16,80.32,107.23,187.83,279.16,159.81,126.72,198.14,24.44,31.44,131.32,177.56,186.30,194.39,273.96,278.32,31.76,100.68,291.22,65.07,65.18,223.43,8.77,213.40,244.27,296.41,85.63,11.29,80.97,218.87,255.33,200.13,299.20,62.56,87.96,278.35,222.36,214.68,176.49,246.80,246.12,7.81,124.36,132.42,202.20,98.32,110.74,233.96,199.00,101.96,299.03,264.18,25.39,7.80,177.58,269.66,4.21,263.21,280.95,85.18,182.08,236.28,285.31
181.28,298.83,73.27,159.63,221.20,287.95,36.12,168.00,234.07,43.94,292.36,66.48,246.14,90.67,177.22,180.09,289.67,279.18,179.12,253.85,4.57,186.93,131.42,274.23,191.13,94.63,255.18,276.31,276.71,191.46,261.62,157.99,190.29,34.89,17.62,111.49,22.84,53.74,279.48,256.90,97.68,271.84,23.38,43.81,62.51,200.60,223.91,52.18,179.79,103.03,6.03,184.36,289.96,137.45,158.59,181.09,232.08,113.77,157.41,208.79,5.23,119.03,66.79,195.52,153.92,84.41,7.00,176.76,138.15,286.49,133.66,235.83,258.33,157.04,279.64
