Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147,Col148
207.94,83.00,29.13,273.20,39.75,255.16,267.88,30.66,91.93,271.02,204.80,167.78,270.10,46.74,127.32, ,35.27,234.65,236.76,49.22, ,267.85,153.55,283.11,36.12,272.88,109.00,168.26,82.03,65.27,17.75,227.32,227.86,104.06,71.70, ,296.71,20.95,287.46,159.99,292.80,144.55,44.04,168.20,104.25,86.09,24.31,160.34, ,295.28, ,66.98,263.53, ,284.48,218.27,100.58,233.97,234.48,79.65,102.11,60.96,186.56,132.98,154.32,71.80,24.49,216.59,245.76,52.19,220.88,171.42,60.40,57.06,39.29,251.59,237.17,250.07,6.53,288.97,109.75, ,134.23, ,255.62,207.35,219.01,278.27,149.68,195.81, ,235.11,285.15,280.62,26.58,4.23,93.32,219.38,175.55,197.08,9.23,9.95,104.86,295.31,287.85,91.10,67.54,238.03,102.72,50.40,22.99,238.93,219.72,270.39,211.91,197.88,53.32,238.18,46.00,53.47,267.47,228.44,170.78,87.70,85.12,102.80,192.73,224.42,200.03,207.72,62.29,33.09,13.43,273.79,204.76,93.28, ,21.72,42.61,294.94,273.30,118.91,25.77,5.83,60.67,45.95,262.94,205.71
164.98, ,224.41,79.61,253.96,39.40,294.05, , ,200.88,129.08,14.97,288.13,50.39,199.14,151.72,128.72,215.66,282.61,87.44, ,41.41,197.16,7.71,58.76,25.63,146.95,62.92, ,216.11,184.84,110.07,165.94, ,81.60,249.43,31.94,79.43,25.31,275.96,101.34,50.89,82.66,134.90,34.50, , ,15.79,31.64,42.88,19.17,214.93,46.15,280.25,20.22,102.18,38.58, ,89.46,113.55,165.39,21.81,20.82,12.14,275.00,240.64,83.65,160.37,111.27,32.50,127.46,39.04,76.63,154.52,273.05,153.40, ,175.20,248.02,146.92, ,211.40,39.01,151.54,47.29,6.62, ,134.09,238.72,194.48,112.25,154.33,213.98,7.52,127.55, ,274.47,1.33,187.75,180.92,239.72,2.11,8.00,80.43, ,38.15, ,150.40,176.12,294.88, ,84.06,193.79,270.92,293.14,182.88, ,222.17,265.92,219.55,126.06,99.76,38.13,288.35,200.98, ,195.86,57.50,29.80,271.73,246.41,157.51,298.35,51.46,161.13,191.09,101.80,234.81,229.20,56.73,255.87,236.97,254.56,131.65,245.76,285.08, ,142.59
66.59,72.92,198.93,229.23,150.46,268.78,49.49,275.56,279.54,104.19,151.32,262.92,44.41,120.75,134.53,258.04,1.14,239.25,79.63, ,230.09,202.82,38.26,124.49,206.02,9.66,172.56,0.21,152.73,128.99,201.03,47.35,93.47,41.39,157.94,227.57,198.63,236.96,56.87,142.37,82.70,0.18, ,0.39,113.07, ,202.38,184.82, ,278.29,111.44, ,21.30, ,219.93,210.99,86.66,299.18,55.14,49.74,111.56,273.90,117.02,127.01,251.21,154.98, ,266.42,290.78,100.73,207.65, , ,217.18,63.65,203.38,16.47,26.42,187.67, ,254.06,268.55, ,123.53,259.58, ,250.36,136.83,285.32,90.97,184.53, ,151.26,28.31,56.37,234.33,5.77,198.10,86.50,238.62,238.15, ,274.25,77.66,63.74,78.42,112.77,93.93,114.21,254.52,292.89,216.27,15.02,135.04,120.73,37.47,176.56,30.74,84.24,261.88,171.38,2.69,3.25,210.37,33.14, ,26.03,15.67,189.17,98.00,170.62,25.49,212.96,232.12,45.40,25.64,211.90,196.08,69.19,106.42,25.83,286.04, ,1.71,34.63,112.81,222.23,48.14
62.18,55.73,54.71,151.59,8.14, ,204.19,136.87,173.37,281.94,214.55,161.11,162.03,42.17,134.95,232.83,253.57,14.29,296.85,231.11,118.67,89.12,135.36,33.49,88.68,168.13,142.82,232.60,241.97,189.54,166.16,35.48,64.50,199.25,160.30,6.29,279.00, ,114.36,35.33,110.08,291.23,193.57,45.92,262.45,87.96,186.85,74.85,274.82,205.82,284.92,42.47,15.17,265.74,159.28,252.63, ,243.85,245.39,128.60,226.78, , ,36.14,41.00,116.93,248.54,150.54,195.57,299.89,80.16,192.74,82.06,133.05,244.79,290.24,222.26,222.68,183.16,296.15,1.54,89.78,266.19,234.80,54.74, ,134.90, ,216.13,250.06,172.09,127.62,268.23,79.35,203.93, ,200.08,151.27,276.45,279.36, ,141.13, ,36.35,34.96,22.54,74.36, ,269.20,215.57,249.24,128.35,257.44,53.25,129.34,120.57,45.78,266.83,8.84, ,115.25,47.56,153.78,209.53,91.12,122.59,58.11,156.90,74.96,264.53,264.32,39.65,76.73, ,263.64, ,186.89,72.13,38.88,56.36,132.93,57.29,176.04,73.04,26.68,167.92,67.08,22.16
27.23,183.72,62.52,288.56,170.64, , ,286.61,157.93,87.70,75.06,30.62,296.69,296.10, ,63.18,70.67,24.07,53.62,232.07, ,181.48,262.39,103.33,5.56, ,93.27,143.60,207.10,53.70,287.79,12.91,215.14,220.87,253.14,152.33,297.67, ,191.48,132.04,265.41,256.07,230.86,177.54,39.66,41.57,157.03,16.97,175.01,128.88,53.69,266.54, ,20.57,292.52,137.63,2.40,243.40,206.09,213.89,115.62,235.53,240.16,136.65,70.41,277.04,290.90,151.17,181.46, , ,208.72,161.31,48.26,247.46,180.68,148.31, ,83.84,184.63,252.62,49.66,9.83,180.72, ,110.52,257.18,145.69,118.94,77.02,111.72,121.54,185.82,288.69,53.70,14.92,57.28,82.60,57.54,127.83,102.33,119.51,284.26,225.42,272.21,270.40,26.91,76.33,61.79,43.01,169.69,148.43,105.64,174.07, ,1.90,50.26,130.49,224.51, ,27.71,37.62,151.83,90.04,277.25,293.19,267.33,78.20,89.84,46.80,47.03,265.81,44.98, ,154.75,284.19,158.27, ,156.37,292.09,132.08,98.25,289.61, ,67.81, ,251.65,41.90
222.86,56.68,213.77,122.60,229.37,202.61,240.10,185.38, ,17.46,103.65,191.14,130.88,50.57,210.60,250.76,201.57,265.96,172.25,292.01,140.51,119.19,244.65,7.35, ,24.81,287.22,269.51,298.42,207.03,139.07,158.04,87.31,14.32,288.76,248.74, ,253.28,187.94,202.70,74.76,220.10,73.50,122.65,86.05,136.98,190.19,151.37,110.03,252.86,256.65,15.49, ,268.77,132.24,89.23,241.46, ,94.60,35.26,178.95,268.36,114.64,38.65,97.09,233.90,215.44,228.27,52.54,199.71,4.81, ,32.34,203.80,102.47, ,19.72,136.53,47.69,146.62, ,243.71, ,293.66,41.63,81.42,94.51, ,99.32,61.54,55.42,111.62,118.15,177.60,263.37,197.60,12.30,131.72, ,282.80,69.46,171.61,118.60,132.00,65.43,213.38,234.96,8.70,296.86,270.45,98.90,44.37,148.43,145.17,247.31,54.12,152.40,167.65,191.84,122.84,179.20,154.36,214.94,207.01,298.60,58.57,13.60,110.94,131.27,266.47,84.08,95.35,246.31,207.49, ,30.33,141.84,249.78,281.49, ,193.29,40.47,208.94,54.81,216.09,275.99,264.65,203.14
296.55,22.99,287.61,234.37,127.47,32.81,282.41,246.47,257.10,127.56,41.00,185.92,68.44,139.64,221.98,93.09,192.24,122.57,101.71,262.88,57.87,12.65,141.35,215.98,246.06,264.48,225.91,244.14,12.31, , ,126.57,152.82,236.62,198.66,32.34,267.52,157.23,130.49,239.29,97.02, ,61.50,15.91,116.56,224.20,37.72, ,158.26,45.72,286.70, ,19.04,100.73, ,80.90,261.72,286.19,205.55, ,77.96,32.12,102.38,94.86,114.81,298.35,167.49,112.81,226.44,217.79,241.09,108.06,142.66,167.01,33.80,21.63,35.33,6.28,10.07,277.81,222.91,250.99,69.40,202.28,195.64,23.00,1.00,17.55,259.31,45.05,127.78,104.88,120.43,0.83,212.29,255.38,254.80,225.60,270.17,20.03,247.95,2.55,174.09,92.61,204.67,126.52,204.34,195.56,42.55,155.28,175.02, ,129.83,15.64,287.20,174.06,91.47,155.57,91.19,133.03,80.34,51.11,175.03,8.35,25.05,55.08,79.76,69.93, ,85.57,169.97,237.68,20.56,178.56,245.97,194.01,134.56,221.67,39.73,255.69,229.22,294.62,240.18,279.03,43.13, ,213.11, 
236.10,5.84,75.25,168.88,122.36,133.95,250.79, ,206.48,177.41,107.83,7.09,65.55,11.33,70.24,123.87,160.54,227.14,213.39,144.08,1.31,16.60,98.31,293.54, ,170.95,111.33,78.78,23.02, ,153.18,15.29,227.17,115.19,151.02,33.26,211.22,142.63,79.92,118.09,245.73,244.41,232.91,96.22,224.91,103.28,37.73,55.14,294.39,119.21,198.90,140.52,187.04,37.93,224.09,40.42,277.60,187.26,186.71,222.94,15.33,189.71,144.79,17.96,115.17,284.60,289.64,124.18,108.27,143.65,18.13,202.18, , ,206.25,72.92,167.22,155.41,141.32,1.77,139.38,296.45,131.00,249.11,162.78,117.29, ,135.42,291.92,59.38,37.40,154.28,282.21,22.01, ,22.21,243.13, , ,285.58,225.68,244.02,292.06,94.89,196.73,73.72,44.76,65.29,9.36,141.95,253.90, ,276.11,278.87,79.83, ,68.67,57.98,232.59,74.00,131.85, ,205.56,57.61,63.91,70.00,59.31,249.70,57.63,162.38,63.53,254.96,10.88,244.81,31.67,97.57,126.70,71.99,66.92,92.90,46.95,126.64,184.79, ,242.42,209.03,65.69,233.88
162.11,197.33, ,192.18,123.78,51.55,51.14, ,144.04,72.31,75.94,191.73,225.21,154.45,113.08,285.48,172.67,79.93,33.27,262.17,268.34,68.06,32.20,189.47,135.84, ,211.78,74.92,65.55,218.52,22.15,185.27,11.33,149.04,66.13,43.50,261.95,150.70,56.75,15.53,173.07,116.17,117.65,148.92,100.16,83.00,206.10,191.43,1.12,298.75,34.08,149.89,66.80,122.09,37.82,56.53,114.92,295.74,63.80,115.78,212.10,286.27,167.04,35.62, ,34.37,252.25,85.29,143.41,70.37,123.71, ,34.60,196.19,255.48,175.00,123.95,270.03,205.29,287.93,5.23,275.28,158.35,25.93,195.31,177.00,235.52, ,270.12,81.93, , ,175.47,165.87,104.66, ,241.73,108.78,170.12, ,28.47,213.52,31.26,12.11,260.84,79.26,204.98,231.43,203.12, ,68.99,207.65,237.32,9.11,96.34,130.16,207.71,197.44,297.38,54.92,183.61,270.16,57.00, ,25.35,152.89,103.48,35.99,159.68,157.68,281.71,35.93, ,2.05,287.44, ,42.36,269.46,160.49, ,291.85,276.72,282.93,129.81,141.06,64.96,136.05, 
172.96,273.79,8.71,105.02,222.72,198.47,41.75,276.22,50.81,269.83,89.18,206.96,215.95, ,242.38,30.15,194.34,224.31,45.53, ,53.67,264.33,176.10,11.10,299.19,258.58,139.06, ,46.01,259.86,101.65,252.73, , , ,77.09,214.16,275.95,122.18,219.97,246.35,150.60,292.98,214.55,156.93,178.05,218.33,0.80,62.13,273.35,1.23,68.20,188.71,183.21,284.42,9.17,34.26,176.30,268.93,159.28,49.31, ,267.64,25.82,208.86, ,118.05,112.00,75.04,230.40,11.59,61.44,145.58,180.52,122.94,112.72,275.31,19.56,129.68,26.15,75.14,279.45, ,91.45,119.28,9.84,103.74,138.99,70.23,5.01,57.64,204.82,129.77,59.42,196.53,156.25,0.85,93.88,85.07,273.49,277.48,281.90,207.98,205.71,55.58,70.31,65.18,153.07,41.98,25.04,138.19,52.94,222.12,33.08,32.14, ,9.62,193.45,197.87,296.55,69.91,246.38,272.45,36.20, ,248.69,202.01,73.72,225.91,101.76,3.04,265.55,143.53,108.04,153.31,230.91,192.30,275.76,110.63,111.62,160.77,170.45,147.18,17.73,240.03,32.09,253.40,157.66
253.08,31.29,88.08,135.77,100.38,55.80,8.81,189.02,227.73,232.36,3.66,148.01, ,180.09, ,177.73,119.91,10.11,237.19,113.39,78.57,184.49,124.77,1.80,62.88, ,295.23, ,245.32,20.61,32.54,37.89, ,157.80,261.88,278.28,122.38,138.65,235.73, ,129.03,174.71,204.35,187.14,24.91,61.24,147.37,252.88, ,204.64,45.13,52.05,226.59,74.65,210.58,38.27,139.41, ,31.31,194.20,126.23,50.91,264.62,281.24,83.53,122.14,30.43,178.63, ,53.07,280.50,138.86,35.15,31.85,9.58,175.57,75.52,278.93,59.30,244.23, ,229.53,87.32, ,265.96,2.85,142.27,282.67,2.11,259.40,299.20, ,174.77,58.77,175.93,28.74,265.99,13.87, ,101.19,192.07,169.26,86.18,178.27,292.67,86.68,214.34,221.04,260.64,256.36,293.97,258.83,244.12,60.97,68.84,295.12, ,164.38, ,175.92,84.35,214.50,120.66, ,41.70,217.55,282.79,153.71,106.46,205.04, , ,139.67,39.80,53.28,256.43,80.10,153.13,205.04,69.34,281.06,60.31,270.78,46.24,4.02,25.31,223.54,253.75
111.06,163.80,197.73,233.12,110.78,226.51,110.41,49.70,106.89,290.08,153.11,202.16,189.03,66.20,214.58,175.78,13.49,189.99,159.82,189.04,209.37, ,19.77, ,111.24,146.11,295.94,137.64,156.35,125.58,139.23,242.49,65.81,54.60,167.20,78.91,185.01,171.78,8.04,207.54,201.45,220.60,52.88,95.50, ,221.09,224.14,74.27,27.05,293.75,197.45,61.75,93.18,125.47,58.06,172.15,10.10,97.95,278.68, ,187.91,224.08,165.22,93.96,212.38,98.13,21.67,256.98,99.48, ,64.10,209.48,242.41,162.05,127.06,196.54,28.64,54.13,2.86,142.28,151.84,205.36,288.16,4.04,11.15,64.35,76.10,11.49,193.40,58.86,14.27,150.52, ,204.65,95.90,233.52,295.95,108.49,188.18,47.05,31.30,216.05,134.18,118.03,83.27,211.55,5.84,254.25,260.00,139.99, ,73.51, ,273.53,41.97,87.68,13.40, ,229.45,281.29,43.55,202.59,45.53,40.96,260.56,172.49,229.70, , ,187.42,276.74,163.38, ,252.40,161.60,81.30,80.79,130.67,103.21, ,109.53,172.80,296.47,189.55, ,12.02,161.10,206.13
296.82,158.66, ,20.25,277.72,129.52,238.04,281.55,4.59,10.59,161.17,222.67,233.23,62.74,57.45,68.75,193.00,32.15,9.74,190.94,159.77,165.80,64.75,201.64,238.42,246.72,219.29,150.31,65.75,15.14, ,83.89,2.23, ,144.44,81.24,194.42,55.84,38.83, ,240.48,145.98,136.65,71.99,95.87,71.80,239.66,118.15,191.69,220.77, ,127.73,0.21,242.79,82.37,176.64,222.10,135.90,203.22,146.80,177.34,281.06,10.98,4.42,67.75,255.30, ,83.03,89.84,232.86,187.54,22.54, ,89.11,211.39,94.84,201.59,129.50,158.45,58.71,175.01,287.67,114.75,213.33, ,18.51,13.03,252.15,83.52,124.68,0.11, ,58.30, ,187.80,22.36,259.96,203.29,172.90,201.17,246.92,117.34,43.66,171.49,165.94,84.53,51.91,107.62,142.95,107.56,27.46,59.03,15.15,73.84,295.91,138.26,281.00,208.26,85.97, ,251.91,104.99,86.67,50.14,32.59,137.87,203.81, ,191.22,84.68, ,80.59,9.26,221.07, ,245.73,11.43,2.73,71.19,132.86,295.40, ,171.75,56.75,268.84,266.78,263.80,122.79
171.91,67.80,96.92,38.72,10.90,150.48,76.10,189.95, ,53.12,262.88,87.09,23.01,5.21,230.01,97.59,108.97, ,201.95,41.67,174.31,245.59,109.67,120.53,58.61,52.75,174.54,176.04,129.93,218.19,72.26,202.31,264.21,88.85,158.52,106.84,183.10,57.62,74.11,292.40, ,45.15,264.36,97.71,282.00,95.53,12.23,289.03,214.99,147.74,279.51, ,12.34,240.43,154.14,248.12, ,37.93,68.93,43.76,179.63,106.61,112.47,225.94, ,140.93,25.46,202.00,110.09,165.08,284.31,65.05,165.76,270.36,281.23,101.21,152.29,254.48,239.43,53.39,251.03,263.42,116.41,280.21,79.77, , ,164.52,296.51,254.37,87.73,239.53,83.47,15.89,219.27,111.26,296.25,166.97,38.78,125.11,209.87,164.29,268.96,228.94, ,183.30,146.80,171.88,202.37,51.63,182.97,51.57,3.21,22.58,152.64,87.99,215.82,35.91,261.83,31.64,123.79,159.65,33.84,6.33,295.24,176.52,64.91,33.83,41.94,31.00,62.36,66.21,111.86, ,73.69,112.52,290.62,160.64,61.31,267.55, , ,174.04,90.43,99.45,144.08,189.55,218.22
104.86,120.41, ,194.10,89.82,64.44,55.73, ,247.91,176.12,18.72,200.94,152.29,267.70,156.25,35.03,165.79,270.88,46.87,180.30,37.99, ,155.28,210.78,79.03,209.99,222.71,115.29,112.44,299.55,271.93, ,46.40,283.72,8.80,265.45,151.28,264.49,158.71,247.18,174.64,102.57,73.87,204.27,175.16,105.27,291.88,127.80,284.67,55.55, ,20.99,293.40,147.05,183.15,276.98,117.30,178.31,202.01,110.56,116.19,113.00,122.39, ,160.66,39.49,53.20,237.20,175.01,82.82, ,25.48,220.51,9.94,49.07, ,159.63,156.04,32.68, ,107.75,273.19, ,189.41,105.25,156.45,88.25,185.07,264.75,153.54,76.80,156.61,292.21,208.42,6.38,104.44,48.85,92.11,212.23,137.02,108.12,297.73,232.73, ,197.49,282.94,26.47,161.64,227.52,223.65, ,164.75,3.17,168.79,129.93,76.79,98.50,260.41,81.29, ,210.68,228.70,95.65,128.93,270.40,135.16,132.21,58.79,22.60,181.20,102.31,194.67, ,79.59,156.95,222.80,71.56,64.68,109.08,94.12,290.26,201.53,282.77,243.09,243.55,176.38,17.78,256.10
199.33,116.69,196.57,192.26, ,256.94,162.00,27.45,267.06,129.90,160.78, ,155.96,9.92,55.83,170.95, ,70.28,231.43,244.20,18.82,23.85,145.67,252.57,114.22,51.12,70.98,294.96,67.87,175.35,45.19,271.16,17.80,104.75,168.01,220.16,261.30,162.59,129.87,280.08,34.78,188.20,243.11, ,10.97, ,111.18,49.60,274.85, ,79.60,291.80,236.79,89.85,41.21,10.68, ,254.76,208.10,296.91,26.14,162.18,114.65,116.40,55.70,231.65,170.84,171.29, ,49.91,65.88,286.06,247.49,31.32, ,174.29,222.26,103.66,99.10,57.79,82.56,6.73,292.99, ,164.28,147.55,266.22,5.31,289.99,115.24,91.44,195.59,108.55,30.65,195.11,250.77,31.51,117.33,57.25,8.20,171.89,135.71,69.19,90.40,93.81,80.47,91.93,112.24,72.08,93.46,91.85,77.78,108.50,169.08,190.03,87.28,33.03,200.03, ,290.42,157.83,241.86,287.99,155.32,290.00,281.94, ,26.17,213.42,230.08,0.43,259.77,182.03,10.71,95.02,72.48,232.55,198.28,256.53,130.94,106.20,126.94,219.21,98.35,287.79, ,288.22,174.89
 ,167.69, , ,161.35,219.13,153.65,69.52,233.61,255.19,29.62,103.20,235.25,81.44,229.99,211.25,171.44,109.12,73.82,1.85,106.87,29.07,38.39,70.71,299.06,11.82,108.03,277.49,16.56,266.32,55.49,25.09,164.75,266.07,55.96,173.74,188.91,123.34,1.39,199.31,219.95,29.12,26.13,71.26,65.55,289.25,215.15,47.97,148.55,18.47,281.96,67.33, ,190.67,96.40,297.48,4.67,125.97,234.73,103.91,198.13,266.68,56.64, ,136.54,81.18,34.07,47.22,234.02,292.07,238.62,29.67,81.45,161.43,173.01,218.01,192.14,117.12,116.14,278.44,227.70,107.70,122.77,63.17,297.14,88.97,132.02,271.23,56.92,27.57, ,245.58,18.82,197.48,121.23, ,73.92,268.19,185.10,36.54,147.73,3.50,269.44,55.36,48.99,73.35,42.20,22.14,218.85,20.05,148.45,57.54,238.99,103.99,116.68,72.36,174.20,201.12,211.39,84.33,68.75,36.94,57.70, ,276.55,253.57,234.77,183.07,208.24,261.13,25.47,104.69,275.85,191.00,91.94,203.82,216.23, ,27.18,148.36,95.76,214.27, ,183.52,26.58,13.15,124.08,89.35
28.50, ,219.51,201.27,88.52,283.22, ,10.40,191.22, ,125.89, ,295.33,90.61,160.64,9.61, ,98.96,170.88,22.82,48.86,157.37,177.68,287.40,150.99,111.77, ,237.66, ,232.99,98.44,237.01,264.50,44.57,135.23,227.63, ,276.49,163.21,259.82,101.27,154.79,292.13,79.46, ,87.30,60.73,117.66,87.93,219.48, ,54.71,73.26,53.80, ,217.01,254.70,264.90,75.61,127.20,102.24,36.86,219.76,75.27,95.34,119.59,295.71,69.52,38.48,97.47,277.17,251.87,235.30,66.93,239.54,63.42,251.11,231.31,197.87,208.29,169.79, ,165.50,77.55, ,59.83,119.82,21.14,268.86,288.45,267.36,229.93,269.77,131.05,51.91,207.67,22.13,288.07,242.96,107.70,12.75,158.79,204.52,204.26, ,192.71,103.73,139.10,90.48,265.57, ,294.49,32.24,276.69,46.78,1.48,71.80,22.01,146.80,110.52,99.91,243.77,50.63,148.19,154.95,150.71,240.38,45.74,161.82,292.94,242.09,63.09,8.65,244.48, ,55.01,111.55,150.29,52.53,268.83, ,137.16,216.21,233.58,50.16,284.39,4.00,37.51
240.38,152.19,201.63,239.87,275.38,258.43, ,173.19,231.98,202.01,159.11, , ,29.70,105.46,53.35,110.31,272.32,272.64,58.10,97.06,111.85,124.67,33.14, ,265.12,174.72,99.87, ,220.93, ,26.39, ,58.33,162.58,223.53,187.84,271.69,147.87,23.72,291.40,270.41,21.99,138.83,11.04,246.91,177.06,258.36,277.83,200.87,47.34,275.62,106.04, ,253.91,243.80,22.24, ,286.36,108.05,30.12,118.28,51.06,212.73,129.15,26.11,30.97,154.43,8.64,253.91,214.38,172.51,6.99,37.72,195.81,118.54,264.85,202.96,232.16,25.33,6.26,91.33,124.90,43.82,206.23,62.24,282.48,261.46,107.91,282.82,144.95,229.65,38.17,125.71, ,151.04,254.57,122.97,27.38,35.62, ,33.35,95.57,157.90,5.29,56.22,269.53,89.47,10.97,31.79,97.97,287.73,234.67,252.57,217.59,262.08,296.26,1.65,11.25,148.87, ,205.09,94.89,94.12,117.24,25.86,19.73,241.65, ,131.86,167.09,123.21,127.95,124.59,211.30,289.16,152.38,265.26, ,71.52,203.49,172.92,142.68,235.31,41.98,216.19,43.03, 
172.20,86.57,223.20,132.64,58.05,26.88,142.06, ,93.22,283.59,69.13,158.78,210.61,180.39,44.66, ,11.76,186.04,92.42,96.21,21.59,210.09,177.56,284.76,145.37,255.99,193.67, ,198.11,171.04,119.67,1.92,227.46,98.15,189.97,122.01,228.97,25.12,153.83,262.19,222.64,82.21,280.39,4.42,157.35,257.00,91.17,189.13,56.47,44.43,194.66,61.48,142.70,101.07,163.88,122.74,149.98,120.66,69.43,8.87,0.54,203.80,224.80,110.34,80.22,227.72,21.20,98.52,75.80, ,239.68,283.16,112.82,146.86,257.55,252.06,272.48,88.14, ,181.07,124.02,29.29,236.17, ,34.69, ,234.27,56.43,57.96,9.93,229.48,203.63,205.19,173.90,176.10,265.87, ,89.89,141.91,254.63,182.58,106.79,223.59,55.75,239.56, ,185.63,83.77, ,288.96,143.17,53.31,77.96,193.88,128.94,9.49,228.20,72.89,191.38,216.59,117.19,85.50, ,153.36,131.04,20.56,265.80,61.58,210.60,240.95,1.00,87.94,204.94, , ,171.38,156.52,271.15,204.02,54.46,250.58, ,271.14,145.81,255.34,14.37, ,92.83
110.56,212.97,160.76,255.43,224.39,150.65,124.63,114.52,112.04,64.59,36.24,137.86,213.69, ,41.08,247.21,275.12,82.45,288.73,246.05,77.28,171.53, ,226.19,61.73, , ,30.29,84.67,28.68,198.89,39.44,130.28,38.58,291.37,246.99,275.25,221.54,139.39, ,65.59,277.63,134.13,134.11, ,2.26,186.97,234.56,264.60, ,3.17, ,32.37,270.97, ,192.51,77.35,256.80,68.56, ,202.69,80.87,227.00,276.99,284.27,40.38,276.39,252.04, ,284.41,273.39,207.54,32.93,252.76,127.83,224.16,224.02,155.46,189.54,126.50,222.85,43.90,14.44, ,13.92,108.18,195.41,191.04,133.15,14.07,3.76,47.05,259.41,233.80,199.14, ,202.65,273.47,266.96,166.15,1.83,198.89,283.59,176.38, , ,58.97, ,94.35,134.42,11.78,162.68,240.61,113.57,71.58,2.80,226.27,61.33,292.41,298.04,223.05,123.78,101.91,31.43,81.11,250.02,234.08,3.81,210.82,210.54,177.49,41.90,6.86,118.20,149.89,290.79,159.18,48.30,193.49,157.35,245.59,67.49,220.08,54.36,188.68,113.30,178.24,169.91
258.42,184.37,104.35,181.24, ,229.54,183.22,81.97,254.86,225.31,109.42,188.89,185.29, , ,32.04,121.36,167.21,101.51,213.83,156.76, ,86.30,149.62,183.96,50.42,232.75,182.72,73.84,114.65, ,66.10, ,187.46,252.66,278.32,210.77, ,88.13,171.23,71.00,74.08,17.22,11.19,30.10,276.00,55.20,29.78,163.30,8.77,67.87,18.42,216.47,80.99, ,252.22,265.80,268.80,236.24,55.43,146.28,114.40,51.18,29.19,181.33,181.25, ,186.96,208.34, ,289.32,108.08,2.75,160.56,118.12,87.73,235.20,169.53,233.42,67.63,93.21,107.03,170.41,161.42,227.65,23.55,72.87, ,75.62,19.08,23.62,134.90, ,68.90,100.68,287.42,264.94,117.28,55.09,91.28,97.96, ,121.50,254.22,94.42,158.63,77.01,229.38,79.42,280.81,81.13,133.55,248.08,66.72,269.27,111.33,152.36,67.13,66.17,226.99,51.19,274.09,267.87,40.12,183.91,193.42,4.07,214.48,241.15,272.20, ,83.53,187.97,163.32,279.96,88.82,235.86,114.63,142.30, ,189.59, ,83.00,129.18,81.53,51.12,53.52, 
137.05,286.31,221.05,30.80, ,171.35,111.39,105.65,4.07,143.27,34.95,73.12,36.25,245.46,217.38,48.90,136.03,2.03,27.68,217.67,87.11,174.97, ,280.62,79.06, ,285.14, ,58.26,257.99,34.98, ,33.96,146.02,200.88,56.86,298.20,61.95,63.55,283.81,217.54,217.61,131.46, ,53.19,122.92,173.91,56.53,191.86,150.22,51.67,118.71,296.46,42.18,156.79,65.59,196.65,212.94,33.05,38.03,76.68,97.42,18.86,254.79,4.75,272.58, ,91.29,99.74,78.84,41.33,247.11,254.59,249.60,181.75,297.27, ,158.22,92.56,219.38,87.81,152.37,280.54, ,17.19,36.21,236.89,153.97,114.20,32.71,67.80,129.09,182.46,223.29,63.63,167.25,188.18, ,248.56,219.00,89.11,136.45,211.27,39.11,28.19,127.98, ,42.44,280.55,192.16,172.77,4.22,66.77,131.40,140.96,249.12,292.43,77.65,134.76,216.69,19.83,58.00,279.85,32.92,25.33, ,198.10,168.45,247.63,69.52,201.81,226.87,265.27,220.66,285.12, ,215.15,123.91,43.94,73.59,64.15,1.93,297.02,96.84,130.42,4.65,59.50,35.04
