Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62
147.07,288.49, , ,54.62,234.88,275.32,26.35,91.75,151.21, ,228.96,17.63,204.15,284.52,160.28,167.60,268.13,207.59,228.42,79.05,290.16,184.23,206.71,52.39, ,99.59,185.00,4.77,298.75,37.33,167.95,87.34,245.51,151.69,256.39,139.26,275.87,118.14, ,104.13,237.12,51.88,118.03,37.02,98.03,73.90,129.67, ,80.36,155.47,85.60,13.67,48.41,46.70,299.23,171.94,269.78,258.68,145.80,72.23,27.08
194.33,154.88,129.64,260.99, ,144.89,54.15,63.68, , ,50.09,134.65, ,293.30,135.95,253.53,260.55,161.77, ,199.35,24.10,104.58,239.34,18.02,184.96,135.54,199.89, ,47.82, ,167.08,45.67,150.04,157.93,158.54,187.64, ,145.16,63.34,156.03,9.04,261.80,63.60, ,36.76,50.64, ,10.24, ,9.43,44.64,89.46,172.76,270.22,246.42,11.23,189.60,242.68,193.86,241.30,267.90,112.77
294.21,156.06,207.87,138.64,158.88,86.95,159.87,11.06,150.28,188.47, ,232.17,167.45,148.04,161.14,122.08, ,205.54,61.74,106.08,4.03,46.63,63.99,189.34,246.43,284.59,18.43,66.15,114.57,118.94,1.15,233.14,17.27,191.45, ,195.48,205.99,292.04, ,112.51,50.39,164.30,13.19,111.98,59.25,133.05,34.92,60.42,52.98,202.17,40.41,152.39, , ,120.92,56.76,22.03,269.77,30.44,250.14,73.23,98.39
187.23, ,185.84,286.66,92.10,52.15,257.26,299.04,189.65,177.70,127.39,46.50,15.88,120.92,252.93,138.07,261.51,35.85,58.31,152.53,115.54,32.65, ,247.78,12.07,93.86,292.45,216.22,123.88,112.75,193.48, ,289.67,248.98,36.96,167.19,128.53,128.70,41.84,46.21,106.66, ,90.39,293.72,73.83,268.32,65.31,297.43,232.97,183.06,230.48,204.50,281.44,115.62,128.81,210.21,95.56,221.79,88.96,190.82,286.43,292.63
175.11,172.71,285.36,56.10,46.17,260.06,97.63,6.54, ,266.96,112.32,251.88,153.05,270.04,19.17, ,296.49,116.48,278.16,226.32,192.88,78.93, ,97.35,139.03,129.20,87.21,283.33,109.37,182.63,40.55,5.74,2.97,208.25,197.45,28.37,274.95,22.10,52.17,32.54,48.11,1.66,157.34,286.21,88.90,160.05,110.00,92.01,244.03,206.20,77.23, ,224.81,73.24, ,196.16,181.54, ,149.68,85.13,168.47, 
134.52,249.48,287.26,284.75, ,98.33,224.67,280.52,149.28,175.84, ,135.67,198.24,113.75, , ,98.92,144.82, ,144.41,272.07, , ,64.83, , ,233.92,245.03,100.68,175.00,260.90,17.03,32.51,246.79,288.40,268.12,255.58,150.56, ,45.27,14.11,299.65,182.74,19.99,132.39,3.31,269.20,228.08, ,225.86,27.67,170.70,274.04,29.49,155.51,207.96,115.22,207.08,170.24,270.22,10.41,13.73
138.75,201.69,136.63, ,12.20,127.88,281.78,205.26,235.85,21.22,104.97,230.24,213.48,176.22,231.58,253.04, ,65.69,226.17,239.04, ,42.67, ,108.10, ,89.48,182.45,57.19,283.36,214.27,105.27,237.41,226.03, ,43.63, ,246.32, , ,23.13, ,296.94,202.89,72.51,127.53,164.17,111.99,101.74,173.80,148.50, ,111.28,283.83,268.61,160.61,262.35, ,90.52,284.58,229.51,180.93,295.29
128.41,281.01,5.19,266.49,34.73,119.97,2.61,50.55,100.76,233.83,246.65,27.38, ,102.24,44.14,95.86,192.69,258.76,148.83,266.95,23.08,75.37,8.61,69.92,126.82,65.67,258.37,86.75,147.52,187.48,280.54, ,105.93,178.09,249.58,89.50,37.07,278.44,264.55, , ,109.26, , ,80.84,216.08,42.52,290.44,290.09,49.22,77.94,6.93,99.04,192.12,74.13,70.54,240.88,268.16,217.30,216.74,150.63,97.25
100.91,119.75,70.95,257.67, ,151.78,160.64, ,257.89,208.87,14.04,81.27,17.11,142.08,104.26,160.20,129.31, ,278.93,79.63,110.39,181.19,46.46,166.42,20.47,276.38,119.82,66.99,83.87,156.89,97.03,14.04,82.22,2.96,219.87,36.40,13.94,113.11,51.69,147.20,246.22,60.69,233.59,270.58,129.17,299.34,54.24,259.22, ,230.63,27.63,221.24, ,165.84,66.04,193.14,293.79,249.55,53.92,45.17,51.35,22.96
191.76,276.02,252.76,187.60,245.67,42.61,272.98,199.78,294.86,176.34,82.38,245.78,143.20,136.07,288.78,44.10,290.54,117.89,37.54,283.31,295.46,181.11,111.59,231.69,254.42,33.11, , ,267.53,132.53,225.67,93.64,255.99,184.65, ,141.99,89.19,10.40,278.66,180.84,174.26,231.91,272.37,142.39, , ,64.50,259.68,95.69,6.28, ,159.91,274.69,289.39,186.13,104.72,65.19,69.61, ,132.78, ,269.22
73.38, ,193.15,98.27,230.79,187.44,223.05,135.93,223.43,212.06, ,252.65,193.35,45.23,223.48,151.73,22.71, ,256.41, ,171.68,251.55,136.62,175.96,135.41,80.74,237.98,133.66,1.52,273.23,298.82,124.17,283.01,117.39,169.81,87.37,155.52,45.33,282.01,63.69, ,79.42, ,102.43,160.52,34.99,299.47,107.72,54.49,237.49,29.17,88.44,14.52,204.63,290.70,102.63,90.31,125.90,253.99, ,114.08,35.13
0.88,82.71, ,172.81,127.36,272.11,95.65,229.79,281.42,160.01,232.68,6.00,121.71,219.53, ,115.99,278.18,107.29, ,212.76,77.56,252.07,21.90,133.69,295.61,176.55,137.31,197.28, ,213.99,189.37,148.33,87.03,35.43,14.20,294.53,131.16,181.78,250.03,163.46,1.84,113.15,244.53,65.71,97.54, ,32.95,276.26,73.13,79.37,249.89,114.95,33.99,94.58,192.56,299.55, ,168.99,282.63,288.16,229.72,273.83
111.59,184.16,72.18,40.99,29.08,297.78,123.79,27.59,254.24,202.41,56.86,113.18,131.55,63.89,284.50,112.23, , ,204.88,125.53, ,38.17,91.20,81.08,133.58,244.43,182.36,64.76,299.70,219.53,212.32,64.47, ,295.93, ,205.95,16.75,298.95,241.88,25.21,82.67,140.70,124.66, ,104.13,295.33,91.75,163.50,245.40,211.87,7.74,293.74,23.72, ,279.44,218.50,186.82, ,205.72,50.55,189.98,123.58
251.45,79.15,123.17,6.03,299.44,191.17,24.17,294.86,91.82,105.58,297.98,174.89,35.42,6.34, ,210.65,115.50, ,196.65, ,191.51,96.55, ,183.05,85.47,250.45, ,248.43,48.95, ,253.99, ,260.33,218.95,173.16,231.10,76.68,212.71,275.23,100.21, , ,14.54,255.64,188.24,264.92,102.72,37.16,94.91,209.76,262.83,91.67,21.24,31.19,2.90,58.23,213.78,206.66,15.17,290.63,250.04,29.21
147.87,96.30, ,243.42,278.42,139.52, ,53.58,178.61,60.83,119.23,8.91,1.96,250.58,231.19,287.44,189.29,194.80,185.16,242.74,0.30,30.20,135.20, ,35.44,280.79,225.95,138.87,153.60,170.82,246.75,282.09,19.77,184.24,16.18,21.55,192.30,252.25,111.84,224.73,61.38, ,193.57,245.23,211.56,61.99,92.15,8.47,78.40,180.92,180.91,149.86,115.65, ,231.54,143.85, ,198.11,294.76,143.25,48.36,59.88
147.15,103.40,162.99,212.96,264.70,96.95,116.62,98.54,212.60,110.40,266.34, ,109.10,85.96,196.29,201.97,94.35,51.15,163.36,36.86,20.81,201.43,204.34,22.95,181.05,177.67,109.45, ,104.86,270.42,225.45,31.03,196.15,0.34,120.22,110.08,216.27,271.69,93.19,276.00,183.12,259.81,233.01, ,22.52,183.25,117.22,104.08,24.87,146.61,196.34,162.28, ,99.18,60.26,46.95,271.80,254.90,120.29,180.85,73.51,74.74
141.31,61.78,133.07,201.51,164.00,180.04,283.54,183.64,24.66,292.39,93.90,169.14,233.89,27.16,201.18, ,30.30,121.13,130.58,224.48,239.81,133.38,222.10,65.01,269.67,275.02,5.32,126.45,76.11,50.58,96.73,164.53,112.52,19.51,253.66,289.27,81.64,173.05,249.16,299.74,251.12,272.44,56.49,62.65,133.82,171.17,118.01,2.68,97.32,272.42,186.87,80.45,86.55,112.16,91.42,59.96,110.12,115.72,118.40,290.40,204.39,31.19
71.39,193.67,66.82,121.68,99.54,46.99,137.09,18.98,292.41,8.51,39.70,142.49,79.52,91.59,230.00,241.13,213.03,264.10,84.75,103.43,117.26,262.19,131.89,93.18,267.74,114.58,27.61,246.42,176.47,39.83,105.97,276.11,222.85,102.38,45.83,219.28,33.86,61.47,190.23,37.07,196.80,198.09,139.94,200.84,243.93,36.35,97.82,151.01,29.19,45.65,57.79,161.15,1.08,201.92,145.85,7.13,157.01,67.77,34.55,63.74,130.00,68.84
31.83,52.11,14.11,69.98,226.99,294.76,29.31,93.04,223.04,42.52,74.35,126.46,94.09,195.04,111.85,288.89,253.76,70.21,47.83,193.79,164.09,89.67,172.46,258.30,54.32,27.47,159.77,21.38,276.03,153.73,128.69,16.59,298.57,175.59,164.46,34.20,103.86,193.52,204.96,111.86,256.76,114.00,110.05,299.91,175.50,39.96,74.16,178.02,71.54,276.50,88.37,45.13,159.13,269.18,54.65,110.03,72.51,152.25,64.72,270.93,285.90,134.96
