Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109
171.92,245.05,183.70,196.93,169.25,40.56,282.84,96.03,288.83,104.98,28.96,181.53,0.82,40.94, ,105.82, ,249.68,135.18,231.13,65.24, ,105.80,81.48,72.84,185.46, ,285.44,119.78,240.75,257.55,10.46,87.51,282.84,245.91, ,177.04,235.81,248.77,254.23,238.24,198.13,71.01,109.15,290.76,84.66,233.68,121.81,153.86,250.75,73.38,61.61,218.89,227.84,39.03,197.91,209.15,100.97, ,210.12, ,186.25,69.14,275.08,87.84, ,38.59,91.81,81.61,26.24, ,193.89,152.15,95.32,187.84, ,154.86,165.54,292.67,181.79,49.36,200.44,91.17,198.29,46.37,225.21, ,195.29, ,47.43,272.29,246.14,150.19,275.00,213.66,90.00,80.26,168.20,17.66,219.72,142.35,195.85,38.70,262.85,131.74,63.51,119.01,272.62,110.66
284.93,215.29,119.77,214.29,276.24,247.34,147.90,162.06,157.25,298.52,205.97,130.38, ,249.39,206.92,89.80,203.51,69.82,233.89,192.72,41.61,169.19,272.57,99.64,116.13,14.85,206.37,66.60,79.41,154.98,234.58,140.87,58.89, ,292.78,9.25,17.68, ,255.26,42.70,122.82,55.29,95.05,282.78,137.51,177.65,48.52, ,189.39,296.16,66.84,76.14,203.57, ,287.40,16.51,103.97,188.94,276.99,120.93, ,258.43,23.30,70.48,188.18,85.85,59.95,173.27,228.79, ,138.80,278.98,94.35,294.64,242.22,267.28,231.40,21.58,136.23,23.84,160.68,57.61,43.65,218.29,139.09, ,277.89,88.63,153.74,127.85,113.80,104.31,30.89,198.52,53.47,8.08,31.69, ,76.70,293.15,215.16,290.12,110.13,113.43,203.24,71.19,98.82,144.57,201.56
 ,185.81,45.30,140.51, ,223.36,221.10,148.68,48.74,161.07,188.31,102.22,259.52,131.81,44.08,34.09,38.20,131.44,253.67,293.99,211.01,184.35,133.85,268.37,171.84,41.47,103.94,151.70,17.09,121.79, ,155.89,298.09, ,151.57,163.58, ,74.59,232.94,196.75,175.07,137.81, ,197.96,264.50,171.91,33.17,42.76,149.59,291.16,187.80,231.77,288.29,125.96, ,32.66,179.27,27.29, ,148.11,20.68,264.71,94.20,186.30,290.95, ,282.11,74.32,181.51,113.13,251.66,75.17,112.27,192.04,271.53,287.67, ,100.28,17.55,149.16,31.44,239.73,122.21,292.28,70.97,60.18,69.63,8.01,36.76,245.99, ,50.26,120.55,264.27,192.76, ,96.60,261.10,108.16, ,100.43,296.76,90.54,288.04,237.61,51.79,287.97,134.03, 
254.58,56.37,106.20,47.41,105.33,239.13,91.83,13.92,161.68,212.72,220.36,28.89,279.55,250.31,62.98,299.76,201.98, , , ,291.39,76.59,150.12,91.73,3.99,176.73,126.64,156.67, ,119.01,225.85, ,288.82,241.36,259.84,250.36,268.75,179.01,241.67,35.41,44.18,247.32,275.70,188.91,128.36,251.38,111.66,103.90,78.56,106.87,42.75,6.43,298.99,56.84,214.57,274.06,131.64,179.65,295.35,239.72,254.38,286.01,211.79,166.53,135.16,28.75,30.63,189.42,220.62,270.28,38.51,93.94,165.73,277.50,42.17,284.79,108.32,62.59,60.70,10.47, ,39.22,233.15,263.20,295.02,233.05,247.98,224.16,43.13, ,204.21,12.86,236.47,159.79,141.29,228.19,116.36,190.98,63.86,153.35, ,62.82,90.61,137.07,128.93,212.52,84.41,237.42,88.90
133.20,199.89,16.16,170.06,242.63,210.72,213.56,168.40,197.02, ,34.09, ,214.30, ,298.70,278.07,127.63,105.31,236.56,231.75,29.07,230.85,289.33,2.83,7.26,123.70,266.37,240.04,72.08,123.12, ,101.19,292.69,148.21,74.42,140.04,36.28, ,125.55, ,128.38,139.60,258.36,73.96,45.92,188.23, ,259.02,80.73,29.99,150.13, ,157.34,55.65,296.97,19.18,181.48,39.62,255.15,126.96,114.12,185.52,45.12,261.38,245.78,112.42,113.42,157.38,129.00,164.39,262.18,30.93,31.13,164.75,68.53,15.38,164.58,185.01,65.96,292.13,109.67,176.12, ,33.50,284.25,58.26,208.71,141.15,272.95,217.12,280.22,274.61,73.41,47.88,241.48,275.25,3.93,129.35,235.05,120.90,109.39,29.51,120.97,70.48,82.35, ,62.57,27.77, 
203.29,252.95, ,228.21,171.52,227.35,243.06,219.44,199.60,191.86,219.57,288.18,144.87,66.66,172.20,132.89,297.72,94.99,273.79,240.50,31.21,243.86,258.06,136.61,261.90,75.36,90.99,194.96,39.32,143.30,56.05,53.54,82.40,196.27,171.72, ,202.93,145.36,262.68,13.81,270.56,195.70,133.27, ,69.12,8.60,210.07,188.60,118.42,112.15, ,283.87,228.70,156.07,64.00,82.72,239.08,120.09, ,253.36,252.29,92.59,234.90,25.54,266.28,94.51,158.64,62.30,50.39,166.16,13.10,207.17,223.98,211.00, ,164.36,118.05,245.39, ,248.06,245.24,248.43,292.77,161.45, ,211.84,283.32,17.29,243.47,192.20,19.20,69.68,103.77,70.40,266.67,297.22,137.38, ,177.13,126.66,259.42,250.42, ,286.71,195.37,89.09,134.09,38.55,291.85
91.51,191.48,254.39,129.32,100.27,268.89,275.55,264.02, ,227.62,244.59,41.89, ,129.47,105.89,212.63,10.33,159.99, ,114.37,191.63,190.78,175.03,16.08,159.40,140.37, ,84.96,123.87,293.12,268.58,121.35,196.74,185.35,33.50, ,124.02,77.24, ,252.27,195.90,69.59,275.13,213.34,152.14,19.82,290.55,244.27,169.61,243.60,197.75,2.61,101.11,146.09,21.72, ,217.62,95.68,208.25,262.31,104.43,288.17,290.08,193.96,146.17,45.58,232.72,203.73,123.79,147.66,67.35,265.79,179.14,33.94,13.76,55.75,295.78,67.88,20.48, ,166.65,133.43,229.54,271.50,279.89,78.78,84.49,185.38,203.94,103.40,260.60,47.08,95.43,146.67,111.47,169.13,105.33,45.89,158.66,265.98,34.53,58.15,69.55,188.48, ,291.88,150.97, ,229.76
102.91,268.26,184.94,192.51,139.95,25.14,255.79, , ,35.87,109.34,138.85,78.92,289.70,180.18,55.67,268.21,186.37, ,71.31,265.47,213.81, ,212.43,77.83,149.96,244.92,219.13,257.11,112.99,41.80,28.05,103.11,256.05,232.72,60.80,294.47,220.39,209.10,57.98, ,207.94,127.34,19.77,124.35,24.10,59.63,99.21,120.38,113.14,28.18,170.66,136.62,255.14,202.14, ,189.07, ,289.71,168.11, ,292.46,32.92,86.93, ,244.03,258.29,280.42,199.32,21.22,144.13,70.90,64.32,235.33,164.71,132.40,234.52, ,261.83, ,48.76, ,292.79,210.01,75.30,249.29,217.70,70.51,56.13,258.38,52.11,84.67, ,117.49,266.70,173.51,231.66,65.15,215.07,93.39,235.33, ,161.72,199.55,101.63,49.01,175.64,53.09,78.28
77.79,145.27,163.47, ,85.74,35.60,211.29,265.84,118.86,8.34,79.70,128.05,289.58,211.02,241.15,168.98,249.12,264.98,22.41,21.90,2.34,108.95,186.49,60.25,254.94,31.76,9.17,70.02,47.88,89.45,152.37,108.75,117.37,271.17,24.81,247.92,50.56,240.78,131.66,242.39,69.62,121.24,133.97,77.54,172.29,170.87,125.43,126.15,53.35,82.58,90.39,105.32,87.38,78.01,47.13,5.63,294.56,195.55,18.12,10.37, ,181.25,265.51,41.23,214.22,290.89,228.95,97.70,108.77, ,27.81,168.32,7.69,160.30,291.41,176.32,68.84,183.03,281.90,25.16,258.12,181.10,92.67,48.20,11.27,10.50,82.94,72.51,41.71,293.86,111.24,34.90,186.57,164.01,261.83,58.68,52.88,170.45,142.27,8.13,110.66,192.61,197.46,284.22,197.94,272.29, ,7.19,34.81
53.27,186.96, ,106.91,201.74,140.87,196.02,197.55,167.63,200.28,55.28,4.27, ,276.56, ,283.75,45.64,204.94,95.84,210.88,142.69,180.12,156.63,132.56,82.82,144.35, ,199.63, ,152.85, ,115.24,29.86,86.64,171.84, ,19.22,237.33,59.06,145.47,193.59,269.88,278.21,259.52,13.85,113.04,157.30, ,198.30,248.85,127.75,20.50,139.91,99.66,25.99,147.29,110.71,211.56,103.53,46.64,39.64,260.07, ,119.21,229.38,137.14,135.97,234.81,97.74,97.96,227.73, ,169.42,72.17,212.90,106.77,22.72,133.31,52.76,102.00, ,110.22,8.08,36.02,244.49,144.63, ,72.36, ,241.78,252.34,96.21,129.54,150.77,189.07,28.71, ,269.75,45.78,155.29,83.95, ,217.71,278.92,15.16,31.20,219.75,279.71,111.59
71.71,85.19,95.92,14.23, ,161.44,131.59,69.24,114.90,133.26,284.63,72.87,15.49,240.83,9.52,110.63,28.51,203.96,168.90,3.51,101.52,277.64,181.68,148.65,52.58,54.28,266.20, , ,156.96,280.72,255.92,285.25,164.34,273.71,207.07,233.63,142.17,241.69,258.14,20.43,72.26,47.94,201.87, ,58.83,0.86,61.28,210.57,256.56,19.41,6.84,223.43,138.80,257.12,92.84,183.08,119.73,151.50,159.66,178.32,63.09, ,124.37,54.37,227.96,189.48,160.99,141.20,24.90,133.54,68.74,70.62,0.74,23.80,188.06,37.24, ,216.42,169.00,4.72,115.78,228.54,19.86,174.74,139.54,29.81,219.38,97.71,211.55,115.48,14.18,107.71,141.65,71.08,211.96,49.71,234.67,61.29,92.90,150.80,86.68,259.53,91.43,97.74,183.35,73.46,10.24,18.26
 ,89.35,117.28,212.25,99.83,206.32,283.41,205.16,229.04,175.39,177.21,32.83,115.98,253.65,256.29, ,108.18,121.12,157.42,182.97,86.11,208.76,56.89,45.63,280.16,148.13,8.61,248.09,196.73,142.45,150.42, ,258.60,63.14, ,49.42,177.27,185.76,276.00,137.15,215.39,153.03,32.57,144.26,50.45, ,192.90,25.21,193.25,187.60,213.12,5.80,239.70,211.16,117.32,162.89, ,280.20,132.71,153.62,293.42,17.96,96.97,193.41,162.44, ,118.82, , ,115.74,265.95,182.62,180.71,222.23,25.71,82.62,67.83,31.89,77.56, ,46.75,36.02,270.73,28.02,107.94,176.82,118.60,147.44,84.44,124.11,218.65,116.97, ,176.56,78.05,189.12,0.87,182.94,253.37,238.09,181.65,191.26,209.33,293.90,179.43, ,213.78,273.63,62.62
207.31,157.82,240.76,162.31, ,72.38,261.39,191.20,101.19,289.50,177.45,121.73,170.25,270.66,30.67,38.37,208.71,268.27,30.77,232.45,160.69, ,122.08,22.13,116.48,254.62, ,238.02,38.92,5.78,84.02,10.98,146.90,212.40,289.84,88.18,197.33,227.12,70.95,50.38,58.89,290.68,137.01,134.63,36.98,185.51,176.87,243.40,116.18,138.93, ,227.11,296.30,255.42,246.94,74.92,256.72, ,142.62,202.40, ,239.38,128.34,294.54,3.78,141.00,157.23,258.54,275.32, ,230.74,207.27, ,190.28,284.20,227.92,66.37,293.93,22.85,66.13,147.10, ,288.10,192.92,188.03,210.43,237.59,122.25,269.75,35.14,160.76, ,211.86,188.15,271.23,28.07,228.39,107.28,163.27,156.99,224.79, ,67.66,150.00,216.70, ,251.83,227.24, 
139.10,45.93,87.65,72.97,185.32,232.29,111.42,6.38,193.84,218.62,212.47,151.42,188.37,81.00,145.13,220.94,48.36,29.13, ,102.11,109.12,193.30,161.67,264.89,56.20,290.09, ,58.71,147.17, ,228.17,232.15,231.19,208.47,245.52, ,47.62,230.98,198.80, ,61.16,31.01,259.90,135.06,79.81,125.07,91.20,37.14, ,268.34, ,166.40,166.30,232.88,219.24,70.61, ,131.77,21.29,223.01,84.18,122.20, ,149.09,79.21,202.93,154.57,114.38,27.93, ,260.80,228.47,223.10,281.84,0.31,3.98,45.53,124.23, ,150.21,56.11,203.06,221.99, ,36.37,129.63,87.84,169.55,81.99,53.51, ,53.82, ,277.14,239.66, ,116.20,297.06,181.02, ,103.01,233.05,36.35,156.44,153.13,140.49,118.63,298.96,247.83
117.63,178.43,26.35,173.48,155.72,158.96,177.14,13.58, ,49.93,257.78,26.01,14.61,102.40,260.08,156.44,186.16,204.44, ,63.10,85.71, , ,274.65,206.63,150.04,38.17,265.75,48.92,226.89,51.91,270.13,291.95,6.60,200.58,181.13,66.96,182.50,211.50,269.52, , ,126.10,142.48,95.84,41.37,201.46,158.24, ,150.18, ,223.54,170.37,31.99,71.50,167.01,71.64,101.13,256.09,100.59,19.08,289.98,219.17,153.74,63.03,227.59, ,151.13,158.17,31.04, ,245.53,10.29,99.04,234.21, , ,153.72,231.24, , ,35.14,227.81,39.39,28.92, ,27.97,262.32,280.87, , ,299.91,42.42,255.92,149.98,251.28,221.96,25.90,130.12,0.17,37.22,257.20,162.09,249.77,44.19,114.03,174.02,70.46,225.28
 , ,17.10,282.98,60.27,11.42,6.70,118.67,167.16,108.32,61.05,153.67,288.73,153.98,81.65,79.20,250.81,82.19,58.49,206.97,74.05,9.14,229.98,124.66,203.69,126.39, ,280.06,279.80,223.96,29.41,221.75, ,14.96,67.13,183.70,192.21,192.49,38.50,29.17,219.60,96.13,197.59,26.05,67.00,191.54,3.22,131.31,139.16,158.09,219.71,180.39,299.54,13.27, ,42.44,114.94,297.32,172.88,186.98,151.52,31.99,164.01,192.39,211.09,61.65,258.37,297.76,102.99,83.56,265.97,42.22,101.30,241.83,124.05,114.64,289.60, ,153.61,229.04,129.65,118.82,226.06,244.78,25.26,79.91,281.38,208.50,7.21,4.12,72.09,96.04,122.52,84.32,161.23,33.30,281.05,237.91, , ,203.45,198.10,265.94,189.28,241.77,122.49,177.89,78.81,242.25
216.60,177.47, ,210.77,20.97,6.61,137.29,131.53,87.41, ,266.89,77.33,200.67,154.54,94.40,52.50, ,269.09,12.16,103.14, ,124.11,122.25,123.11,183.71,98.96,262.94,2.77,274.51,240.10,282.01,62.41, ,197.10,134.36,50.52,132.18,61.61,288.39,241.11,297.50,98.90,264.11,298.87,139.26,244.48,184.32,30.71,50.12,222.42,137.07,121.99,139.09,87.25,297.40,127.43,29.52,291.00,91.08,298.02,192.18,198.64,221.47,295.33,157.17,156.09,190.69,263.49,161.68, ,159.08,284.69,108.62,144.97,2.10,100.26,27.02,131.08, ,60.44,235.83,16.60,211.85,69.99,237.07, ,94.34,5.16,244.73,290.05,216.03,224.54,224.60,59.06,55.07, ,153.92,33.73,51.04,77.82,120.92, ,46.99,143.46,188.26, ,178.31,81.97,102.42
95.06,157.32,109.05,266.86,139.73,133.50,246.18,11.80, ,64.51,35.43,166.24,296.16,102.00,114.15,276.48,67.54,69.73,139.50, ,102.48,185.73,280.85,147.29, ,73.50,13.09,265.14,32.62,211.52,135.36,107.09,238.08,142.29,92.91,258.16,84.27,163.78,29.08,167.54,194.69,78.90,49.97,87.11,5.35,217.21,24.30,252.54,198.93,270.20,76.61,269.88,276.60,181.13,129.34,27.42,289.71,231.81,150.37,122.26,17.55,296.42,63.77,4.23,43.78,254.53,202.80,281.27,58.06, ,187.41,212.50,200.77,143.24,169.19,62.70,179.72,21.32,165.93,225.80, ,200.24,134.44,7.56,282.43, ,167.50,189.17,164.46,98.82,30.39,169.87,292.90,195.26,271.16, ,196.96,298.54,272.96,200.23,248.69,46.14,50.16,115.97,163.63,228.98,236.30,41.20, 
90.79,204.10,285.84, ,175.65,56.12, ,256.35,268.80,175.28, ,174.44,19.33,217.48,209.40, ,250.61, ,41.40,239.26,93.67,62.27,14.98,117.94,74.73,3.88,122.35,102.92,211.05,34.87,70.56,282.32,194.88,251.00,273.32,39.63,18.11,36.31,220.28,68.17,101.32,208.76,271.54,220.48,133.92,11.11,199.62,120.32,158.93,30.78,261.58,199.24, ,235.56,92.60,80.95,191.13,296.37,124.54,35.28,141.97,18.24,190.25,166.76,170.59,15.53,199.67,202.09,258.25,192.14,227.45,138.46,126.09,233.39,142.88,257.75,259.30,31.29,287.65, ,158.24, ,161.09,235.77,215.17,200.82,244.87,80.39,246.85,218.17,157.11,148.91,45.90,90.84,257.76,275.25,236.73,241.89, ,177.66,62.36, ,169.67,190.09,99.89, ,18.06,13.65,166.09
125.02,219.35,232.07, , , ,288.84,32.38, , ,198.40,255.18, ,145.27,31.79,174.67,299.39,128.96,16.84,139.78,156.20,234.02, ,168.59,61.99,158.54,94.33,121.01, ,52.91,143.13, ,17.80,176.38,263.51,222.97,181.63, ,253.48,107.34,261.77,111.44,288.38,257.07,138.12,170.31,201.37,275.73,31.24,254.74,73.79,160.35,178.22, ,131.69,172.31,74.46,292.59,290.52,194.26,147.82,206.15,102.22,14.58, ,124.86,188.21, ,48.56,10.12,254.89,180.75,22.96,129.34,192.40,25.24,155.70,287.50,211.91,281.44,270.30,51.36,120.48,237.51,139.93,237.10,89.43,222.02,73.06,127.93,171.23, , ,26.23,88.79,129.34,164.64,2.50,205.24,166.00,292.03,90.37,100.76,46.98,292.19,74.15,85.49,273.29,272.32
177.22,237.66,131.33,106.18,18.29, ,184.29, ,190.22,177.98,124.34,13.76,44.99,236.64,33.29,268.07,209.45,66.71,151.84, ,258.03,267.69,288.70,123.62,42.21,115.53,192.49,46.95,85.47,245.66,168.16,184.02,65.04,240.47,181.14,161.55,170.40, ,159.10,232.24,23.44,212.19,192.88,103.58,38.14,147.55,106.60,138.10,68.18, , ,48.55,141.88, ,271.12,88.86,228.58, ,228.97,32.41,50.38,23.75,74.43, ,181.03,180.71,242.61,82.23,96.66, ,284.38,35.94, , ,209.30,264.07,143.42,260.12,132.47,282.31,155.16,87.94,205.62,272.21,31.56,50.39,259.96,244.49, ,104.68,224.80,248.25,293.81,23.19,77.21,169.91,162.21,72.06,100.45,164.02,52.95,104.57,19.12,170.58,154.85,299.20,125.66,142.72,192.19
7.07,172.96,253.52,71.82,226.97,46.97,226.44,150.15,26.01,170.35, ,25.19,183.49,297.51,247.56,23.14,124.05,286.42,246.07,72.86,248.56,18.61,171.55,189.70, ,58.97,41.13,98.10, ,202.94,257.70,27.47,263.96,273.37, ,219.44,225.42,220.52, ,260.06,28.22,244.65,208.73,213.89,115.65,278.74,37.36,169.09,217.27,216.35, ,68.91,55.39,1.17,164.87,235.97,239.09,151.62,294.46, ,146.45,152.60,3.42,61.64,254.78,5.55,169.55,240.04,144.37,280.81,99.25,56.25,130.76,157.83,136.45,268.35,11.83,108.10,10.91,187.75,148.64,136.83,282.28,297.83,11.24,246.94,170.31,116.70,145.18,243.68,1.53, ,13.36,72.63,43.89, ,9.59,109.65,109.20,223.28,218.59,85.68,45.00, ,161.70,13.89,200.74,137.76, 
 , ,32.68,189.64,96.06,66.05,45.63, ,268.91,216.23,67.97,248.42,250.47,281.02,246.35,259.89,294.53,235.22,252.61,29.91,210.99,293.71,274.77,114.34,151.26,147.10,112.33,243.19,205.64,27.17,105.97,236.09,206.99,240.77,286.24,87.26,199.82,13.94,249.95,118.26,158.86,20.44,60.88,33.99,187.84,118.51,48.22,94.30,225.91, ,212.16, ,109.39,283.06,80.15,251.62,34.21,163.77, ,224.66, ,191.18,176.83,199.93,64.29,180.26, ,295.08,35.04,11.76,180.21,20.75,86.71,147.43,82.93,278.85,220.36,198.77,271.34,26.42,272.76,76.65, ,71.73,84.97, , , ,12.17,262.32,265.48,296.07,11.82,56.01,69.43,58.67,163.23,237.16,105.73,98.95,85.54, ,54.43,266.21,153.53,165.84,278.01,248.48,287.41
82.44,292.83,278.27, ,63.36,36.43,284.58,24.75, ,265.38,241.03,28.08,244.12,46.98,169.51,248.57,218.85,76.51,68.21,245.28,118.13,5.09,200.63,11.97,240.14,95.31,208.94,275.73,17.31,75.20,18.16, ,237.01,120.25,122.98,93.98,293.16,96.72,210.66,292.34,177.34,276.73,178.63,34.23,117.43,106.89,75.09,47.98,185.42,160.80,43.25,100.03,264.80,16.79,133.95,56.88,278.82,69.79,133.73,189.14,160.96,255.41, ,3.39,12.10,108.96,214.87,120.53,28.53,268.07,151.24,260.88,256.01,232.32,128.23,2.60,197.30,34.79,125.31,81.52,209.79,157.92,254.21,75.95,295.74,186.74,21.21,9.50,142.11,90.68,278.16, ,175.46,84.51,217.23,90.34,32.48,212.56,235.03, ,217.76,277.11,33.73,252.12,275.55,285.06,64.56,159.52,138.68
198.79,168.66, ,223.30,218.67,211.10,26.88,71.46,121.31,247.37,128.07,95.19, ,161.43,238.88,101.15,272.38,225.07,21.42,64.34,81.59, ,235.28,130.68,140.72,182.69,71.63,78.70,233.07,28.26,293.25,21.09,21.59,295.88, , , ,117.83,127.18,175.67,234.99,194.99,65.09,258.62,61.78,8.93,153.71,109.39,249.96,224.51,176.09, , ,14.13,275.28,235.59,195.58, ,90.56,98.45,16.19,135.42,183.24,295.34,60.96,62.07,122.77,117.26,46.51,224.04,127.44,113.38,260.93,11.74,41.53,125.13,284.49,199.35,212.13,279.85,92.94,214.26,74.99,125.63, , ,299.29,115.02,289.50,96.63,127.43,111.42,195.88,213.12,263.65,289.92,98.34,285.42,298.58,44.11,181.91,173.87,238.89,293.87,64.83,229.62,228.67,144.83,136.95
219.78,183.20,44.10,292.58, ,291.16,38.24,271.83,289.24,204.90,146.90,42.96,62.90,166.06,80.06,240.88,210.40,21.21,85.58,112.68, ,103.84,35.12,176.86,208.44,206.04,176.79,229.52,102.22,280.25,244.80,147.04,181.26,104.02,274.10,114.05,103.66,294.23,137.09,139.91,200.99,232.08,85.27,191.96, ,172.20,271.14,240.68,24.32,157.97,103.30, ,192.50,57.62,207.18,57.84,240.23,93.04,36.60,33.91,65.80,100.76,31.39,100.12,268.14,243.30,32.62,133.56,276.44,111.86,85.88,230.71,128.52,198.42,202.07,93.68,292.58, , ,138.26, ,106.41,52.62,189.37,233.80,237.11,226.35,210.85,51.44,224.58,135.38, ,67.71, ,60.29,72.45,216.08,193.58,156.64,122.72,206.87,160.50,181.49,264.71,182.91,29.31,91.34, ,68.60
80.56,292.68,86.17,74.46,270.53,242.69,219.67,123.60,149.20,157.69, ,250.03,248.42,226.44, ,123.62,76.41,122.09,62.56,146.03,294.32,233.96,33.28,225.71,129.83,124.46,10.95,237.55,5.16,56.35, ,179.97,137.32,275.37,146.71,52.43,177.95, ,114.96,71.33,59.15,115.56,188.67,240.35,256.43,43.11,290.44,192.75,241.34,119.09,123.62, ,107.35,69.16,295.62,96.37,30.59, ,214.20,278.36,12.43,100.06,247.57,159.56,234.22,117.23,248.64,56.03,48.20,217.98,232.32,169.62,220.01,120.45,53.36,288.75,33.61,121.33,179.31,121.51,81.79,166.84,179.60,179.25,159.56, ,91.88,170.67,206.65,180.95,91.19,29.61,13.37, , ,297.74,116.06,40.99,278.10,234.40,250.66,60.53,163.25,34.54,212.91,71.75,282.04,73.62, 
86.99, ,81.55,257.43,239.08,252.42,69.84,118.15,49.02,68.39,31.10,246.20,44.12,37.86,180.90,37.82,198.47,199.06,295.70,177.63,154.92,151.96,16.87,245.26,148.79, ,179.88,224.38,160.70, ,186.86,273.22,24.06,92.57,151.70,79.61, ,234.53,175.01,176.25,104.54, ,118.19,173.79,144.69,95.47, , ,210.26,207.01, ,299.58,156.03,237.05,110.90, ,285.92, ,131.04,163.14,253.59,298.74,228.15,283.83,155.83,225.44,173.17,292.80,17.19,260.60,34.19,125.82,57.41,299.92,292.07,13.40,246.51, ,174.66,117.84,164.38,115.27,257.17,145.65,292.22,90.51,28.67,72.28,219.42,107.52,221.03,121.27,217.08,0.70,141.95,281.57,202.55,159.18,71.87,289.63, , ,10.55,242.15,135.59,11.78, ,232.81,90.72
130.76,100.20,66.07, ,72.40,0.91,281.01,236.42,136.87,50.78,263.73,230.25,154.50, ,123.95,256.10,274.34,138.79,9.35,293.28,277.26,214.32,95.58,145.25,123.97,116.99,44.72,201.64,264.43,186.46,18.52,3.04,229.41,67.41,46.69,152.18,175.26,232.78, ,78.03,177.56,154.04,203.73,50.59,228.39,234.22,212.78,19.81,6.20,273.05,208.34,97.13,209.00,165.06,217.22, ,94.78,70.93,5.84, , ,263.29,287.83,101.37,299.87,70.81,280.07,69.85,112.90,222.81,167.19,193.76,19.54,212.39, ,218.24,226.59,88.65,259.68,216.54,68.58,95.11,203.62,299.93,223.78,140.25,169.25, ,279.53,82.61,52.90, , ,241.47,266.92,41.70,273.19,104.20,161.11,100.37,34.22, ,36.29,96.09,100.94,185.07,272.77,116.28,187.17
229.12,261.45,10.88,258.96,101.28, ,135.57,209.97,273.88,206.07,201.83,232.87,296.69,64.76, ,52.41,107.06,230.03, ,240.91,226.27,166.87,255.77,38.05,172.23,271.49,143.85,189.91,265.31,72.98,260.29,82.49,292.56,151.18,31.33,126.67, , ,39.58,295.98,231.39,89.56,246.51,76.20,10.14,23.02,71.59,268.61,204.45,218.10,22.25,147.72,207.04,142.46,23.25,24.25,6.64,157.52,47.23,89.57,275.23,140.48,95.90,200.90, ,119.00,92.52,203.70,275.47,83.90, ,222.34,139.19,60.15, ,107.38,271.69,205.66,5.22,180.18,153.39,184.59,236.52,40.81,218.56,1.52,238.37,224.80,25.26,244.86,35.91,252.40,216.97, ,222.20,272.07,263.93,221.11,89.13,277.13,116.79,230.88,231.77,44.06,142.21,61.34,233.76,116.58, 
274.64,252.74,5.33,49.13,210.37,247.07,262.58,225.39,107.29, ,224.24,4.24,286.56,230.63,179.14,161.69,21.86,162.41,200.28, ,58.21,141.63, ,104.21,96.03,288.98, ,213.22,252.18,215.97, , , ,257.53,106.57,192.93,86.44,120.65,151.42,84.26,53.33,38.39,248.66,290.05,240.60,148.79,135.41,130.59,63.43,269.68,67.50,138.99,255.82,96.58,142.33,263.93,69.30,45.01, , ,214.56,254.51,190.58,229.89,61.62,109.29,163.33,193.92,30.74,261.96, ,104.29,220.91,77.46,44.96,252.94,9.98,34.52, ,124.44,135.00,296.55,217.38,121.09,162.20,261.04,279.15,228.45,138.93,64.77,273.35,15.10,170.17, ,243.50,212.33,187.18,243.28,15.77,252.56,265.36,88.11,83.54,17.97,145.05,135.61,219.70,222.32,165.97
60.95,212.84,56.20,71.68,231.49,102.63,214.52,288.45, ,71.99,175.48,153.82,278.45,41.54,283.35,140.21,75.56,56.85,5.88, ,5.36,207.97,272.42,175.98,125.13,32.85,208.97,287.71,154.13, ,128.37,86.96,176.09,218.27,211.36,89.81,229.51,239.85,150.59,213.48,187.47,144.30,155.94,9.06,174.11,259.11,89.88,271.07,208.59,198.91,113.50,151.83,166.89,80.50,154.03,128.93, ,273.23,96.89,71.92,167.32,242.75,219.60,140.88,197.40,84.49,143.72,169.19,240.10,267.22,114.90,86.52,202.14,219.25,52.96, ,220.28,225.41, ,214.22,226.06,261.20,128.98,83.75,291.64,259.03,281.44,220.06,230.33, ,149.58,180.67,103.88,261.63,191.04,243.52,228.18,83.21,184.12,22.48,179.77,141.32,27.78,58.68, ,180.88,295.16,104.11,105.98
