Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82
53.46,157.20,244.80,73.91,156.59,170.92,221.92,26.01,130.01,239.22,78.86,205.00, ,106.03,75.39,29.29,233.86,172.16,165.96,73.96,282.48, ,32.10,222.81,136.55,264.43,34.65,199.60,275.20,45.68,272.40,237.62,159.94, ,159.99,285.42,98.43,111.91,299.99,265.85,48.34,22.52,53.31,23.71,41.00,38.64,193.13,186.96,124.65,40.01,70.47,218.60,293.32,211.93,242.31,51.41,196.44,114.77,139.73,242.72,59.20,130.07,246.06,132.82,62.77,55.36,198.26,2.13, ,214.06,246.78,236.30,288.28,52.19,149.96,180.75,249.87,160.77,108.17, ,178.88,207.85
73.80, ,75.93,212.66,182.59,81.82,96.86,129.13,8.13,39.73, ,289.60,170.54,159.14,226.81, ,134.66, ,240.76, ,238.46,128.62,252.54,239.95,280.53,198.45,48.16,177.53,227.78,228.49,87.65,46.38,265.74,97.93,121.80,167.07,71.48,181.31,206.12,73.42,190.34,175.30, ,52.83,137.83,224.93,68.98,3.78, ,184.82,195.94,270.96, ,42.44,248.19, ,69.45,151.47,111.75, ,21.81, ,159.64,119.67,129.91,120.82,188.93,17.14,12.25,147.88,30.53, ,97.00, ,236.88,56.56,49.65,70.44,149.59,190.19,47.12,290.69
44.67,173.57,264.48,49.90,264.95,18.93,177.43,89.04,213.22,162.94,100.44,92.13,163.45,219.28,2.43,78.50,89.58,108.90,137.90,166.41,239.24,95.13,75.68,230.98, ,93.92,130.20,43.90,190.74,299.51,28.65,179.81,299.05,184.65,269.79,219.52, ,104.87,99.37,51.94,169.45,124.26,211.90,165.12,42.30,291.63,219.99, ,295.74,155.32,253.26,223.84,197.76,277.65, ,158.20,36.26, ,160.52,111.07,13.99,54.37,94.82,125.32,221.41,196.07,1.44,201.83,22.12,131.82,165.13, ,282.60,185.62,34.51, ,46.58,96.05,253.80, ,79.12, 
200.17,297.07,232.20,126.90, , ,254.09,96.45,146.23, ,28.02,32.17,51.53,116.92,34.44,151.42, ,71.77,277.44,215.34,267.75,163.96,0.96,129.88,230.11,67.85, ,72.80,25.00,40.59,276.82,149.70,188.58,200.01,21.72,117.64,236.60,95.31,160.83, ,258.24,8.85,71.25,98.90,37.99,71.79,200.05,29.61,35.40,228.29,95.60,55.35,133.75,122.26,76.05,69.34, ,78.19,250.32,159.28, ,82.50,9.07,200.13, ,235.54,239.13,208.17,228.59,270.02,57.38,219.85, ,254.14,154.16,222.39,173.80,74.51, ,83.58,157.36,249.68
234.83, ,143.00,194.72,295.11,135.51,258.38,77.70,200.57, ,122.96,100.84,251.70,284.08, ,141.44,245.67,92.37,200.46,159.56,13.49,133.71,156.40,77.50,4.61, ,231.65,43.15,127.89,89.63,30.14,253.41,31.28,280.05,88.21,25.32, ,179.99,77.90,109.19,270.48,133.48,45.46,179.59,62.39,167.58,204.58,127.78,284.47,72.30,103.73,175.55,216.62,4.22,91.92,149.92,227.22,198.84,217.90,50.63,252.87, ,157.45,282.45, ,297.97,6.11,9.71,88.82,237.19,220.85,206.45,91.51,54.17,106.34,68.78,252.37,75.18,179.09,89.48,102.45,150.79
189.16,290.21,86.84,71.01,256.51,78.46,111.13, ,217.47,107.16,57.07,149.61,7.89, ,136.68, ,287.48,230.20,297.42,234.82, , ,181.34,20.97,67.78,267.74,258.30,59.68,203.70,179.47,5.48,48.27,174.11,211.34,183.73,12.49,133.58,61.07,248.33,244.28,235.63,1.35,286.92,209.29, ,88.76,275.81,150.48,95.93,91.28,69.96,212.72,133.62,249.58, ,31.62, ,267.25, ,161.18, ,70.47,201.54,284.60,81.05,57.30,21.31,77.22,148.61, ,282.22,229.37,47.06,223.58,228.24, ,89.41,17.30, ,218.84,87.18,100.17
153.50,243.56,54.36,150.68, , , ,243.98, ,204.96,201.60,115.66,222.61,4.98,138.43,101.61,20.03, ,173.52,91.43,233.29, ,277.59,159.18, ,122.84,289.81,103.54,125.74,45.62,96.21,0.01,229.72, ,131.50,213.59,164.91,243.71,115.46,132.03,137.54,97.47,206.69,143.02,233.29,75.32,30.45,94.89,133.16,90.56,93.99,275.09,93.33,250.05,140.10,183.42,298.97,17.12,88.44,235.36,94.38,116.60,214.12, ,47.28,265.89,25.98,287.02,63.37,234.92,45.92,155.58,15.98,40.68,224.92,157.00,295.19, ,120.03,274.74,129.07,261.24
 , , ,217.58,33.86,266.81,169.51,103.34,258.87,107.13,44.83,130.45,131.80,160.05,168.44,42.66,116.65,7.87,11.70,42.58,77.95,125.34,131.78,132.95,72.70,274.45,204.20,157.56, ,17.61,167.03,292.24,289.67,250.07,187.61,80.17,253.46,58.51,221.33, ,11.99,273.94,177.41,91.34,214.13,52.58,256.96,155.95, ,31.86,252.86,24.74,152.64,122.58,179.12,198.33,55.90,186.93,135.63, ,170.60,223.61,142.90,148.78,79.73,30.71,16.90,253.70,102.81,172.50,111.03,212.29, ,170.51,14.65,276.02,176.74,71.93,98.12,248.70,32.23,127.68
29.64,214.90,180.66,252.06,257.84,106.91,140.78, ,155.43,168.84,160.30,75.68,222.18, ,19.14,221.67,21.61,224.67,30.88,83.31,299.95,151.41,23.02,84.29,147.63,84.69,228.15,227.07,130.92,97.30,15.66,296.88,270.29,273.77,26.88,284.11,98.24,133.70,127.72,37.09,285.83,126.73,30.52,102.35,9.05,11.51, ,8.39,188.91,35.75, , ,174.19,191.07, , ,137.43,49.42,21.18,239.51,201.72,37.51,2.35,74.67,155.78,89.04,13.00,234.77,217.63,253.47,118.67, ,256.10,170.45,127.35,8.39, ,1.70,6.54,37.18,31.11,164.27
237.65,244.95,147.08,281.38,271.28,171.38,56.15,262.75,104.90,133.42,247.77,267.44,139.16,35.52,197.57,290.42,77.05,7.64, , ,24.68,89.07, ,145.22,124.28,278.51,103.67,76.45,113.36,77.95,66.28,15.55,238.64,43.11,158.42,271.96,291.92,236.50,202.71,61.59,51.96,155.68, ,232.13,299.40,172.36,29.16,132.93,59.22,38.34,142.12,205.18,297.50, ,185.49,7.78,176.07, ,31.75,173.22,9.79,226.77,290.00,2.72,251.16, , ,295.16,295.07, ,292.58,164.37,295.79,125.15,231.89,203.62,285.56,157.05,94.27,148.18,41.91,1.36
77.75,99.01,285.92,264.82,146.07,156.56,1.35,13.73,94.04,80.51,84.84,237.78,276.76,229.31,57.08,122.52,221.52,161.34, , ,185.94,255.36,208.82,24.21,189.95,139.89, ,224.73,135.64,184.78, ,203.45,263.81,113.51,247.50,92.78,101.00, ,56.36,144.16,45.44,203.01,206.59,61.56,81.48,235.15,118.80,169.71,232.11,210.98,143.17,210.22,286.83,246.90, ,91.05,255.62,259.25,64.35, ,195.66,78.07,180.45,99.11,294.34,245.83,148.66,91.15,100.55,247.82,121.15,138.50, ,296.26,232.94,269.35,256.27,191.88,63.99,186.20,83.09,59.97
66.07,79.56,249.52,72.78,278.68,135.47,44.39, ,277.32,262.06,148.61,283.02, ,71.77, , ,39.31,143.26,232.69,230.33,80.34,179.19,233.88,215.09,146.39,255.59,169.87, ,15.48,123.05,101.51,248.82,284.25,99.63, ,22.45, ,102.80,26.63,256.96,76.91, ,284.72,226.42,237.55,170.07,236.81,68.82,43.97, ,76.51,255.64,147.27,189.20,298.69,111.88,257.13,190.88,173.52, ,28.11,185.00,286.56,293.33,3.57,80.56,113.82,125.22,52.64, ,2.71,260.60,55.16,3.39,62.53,27.74, ,46.99,103.21, ,96.54,144.14
169.48,247.66,138.93,127.50,147.99,39.27, ,94.43,248.20,88.84,68.21,30.14,241.37,148.75,229.88,226.08,107.16,11.38,78.71,9.52,262.59,57.73,84.54, ,32.74,186.32,260.83,187.99,50.30,224.78,251.21,58.32,269.61,26.32,76.82,161.14,103.51,153.01,85.41,272.17, ,158.50,158.63,163.98,17.73,159.44,136.52,208.29,291.50, ,143.12,18.70,78.49,5.13,296.90,236.67,208.68,127.57,293.09, ,227.75, , ,262.70,109.07,221.93,77.38,243.69,118.40,139.08,253.08,237.51,7.25,252.29,34.15,134.80,185.60, ,119.55,204.57,258.81,111.96
152.94,3.07,30.06,52.61,204.10,208.18,130.44,200.00, ,36.96,278.04,169.51,42.11,124.48,278.05,44.10,52.97,40.50,285.82,19.12,195.62,164.66,272.76, ,244.91,80.29,106.36,221.38,44.97,150.75, ,50.78,256.11,276.96,70.26,288.13,219.26,231.69,27.08,63.35,149.36,150.70,298.03,122.61,198.52,175.05,281.92,196.84,29.58,234.63,136.57,189.21,106.51,139.76,25.34,204.00,94.77,75.93,208.26,117.10,261.77,282.41,217.98,181.71,53.04, ,189.61,236.61,145.62,85.21,82.85,183.20,83.09,33.47,146.16,292.99,193.78,235.35,203.12,19.17,167.64,198.08
 ,134.69,20.24,87.91, ,76.23,232.60,120.56,35.22,198.08,219.66,13.35,229.32,269.60,67.16,84.00, ,258.63,197.20,292.12,278.32, , ,199.76,281.52,255.89,63.91,167.90,297.45,85.08,292.51,281.08,117.57,24.25,46.25,55.07,206.56,5.54,194.35,188.58,71.13, ,135.04,292.02,126.01,75.89,7.44,21.02,227.04,161.45,13.58,58.31,289.46,57.48,286.05,145.94,33.92,286.05,118.96,159.77,292.99,284.90,45.13,137.63,273.26,275.41,81.97,38.79,125.41,28.79,59.06,273.39,165.13,261.94,237.50,229.06,57.38,230.93,219.89,74.68, ,50.10
 ,83.82,221.03,15.05,20.69,124.55,167.09,253.51,273.77,250.73,121.51, ,52.43,36.69,185.31,188.62,109.83,19.22,259.25,43.65,249.14,33.61,284.85,196.73,297.07,64.61,209.25,16.71,183.34,82.68,283.24,4.05,9.51,121.67,251.71,177.83,283.09,144.07,234.73,81.81, ,146.42,37.79,148.41,102.48,82.16,185.05,175.17,62.96,99.78,150.15,209.55,248.19,195.06,55.72,297.93,64.40,119.23,63.49,101.67,169.45,37.09,237.27,110.69,31.96,97.51,11.84,62.49,261.82,142.75, ,207.15,224.96,167.59,111.01, ,294.84,116.56, ,149.18,93.59,264.30
79.09,66.27,268.30,86.61,115.92,192.24,150.46,32.42,9.79,51.61,138.27,188.41,105.15,2.73,19.18,253.18,172.84,223.06,292.62,227.64,56.02,131.62,237.08,224.54,7.47,18.72,98.41,216.12,244.72,102.30, ,55.48,58.72,285.23, ,294.90,176.10,247.38, ,184.46, ,131.33,158.11,24.96,57.18,160.07,159.93,265.80,17.86, ,92.79,4.38,8.11, ,59.03,44.17,263.73,198.40,95.15,245.11,13.01,61.20,4.20,135.46,266.93,297.98, ,207.73,187.08,103.00,290.89,235.75,267.38,224.52,276.54, ,9.55,110.07, ,296.94,290.13,106.54
205.90,196.80,192.63,266.79,220.26,209.52,94.11,155.78, ,272.84,165.47,263.35,156.58, ,33.17,12.46,228.79,79.26,140.47,64.75,230.58,100.72,133.89,136.23,0.07,62.45,22.70,47.59,19.65,106.94,179.13,78.95,165.75,13.63,201.69, ,254.27,225.31,33.87,251.99,275.42,129.70,10.32,84.19, ,299.78,191.70,293.26,206.09,213.04,143.37, ,85.50,188.87,234.63,43.05,190.59,17.73,23.71, ,107.91, , ,195.35,0.15,198.02,130.29,54.10,247.28,59.16,251.51,272.41,113.02,64.83,176.76,155.21,28.04,32.62,70.80,157.48,116.59,277.19
166.56,220.54,93.93,151.62,49.67,219.68,283.06,294.18,69.63,64.63,112.50,94.58,25.22,254.24,7.56,88.68,262.73, ,56.65,139.59,38.59, ,201.28, ,195.46,75.91,171.13,157.35, ,40.65,220.23,135.39,226.33, , ,233.28,245.71,229.47,260.78,69.57, ,75.85,246.29,102.38,25.35, ,293.51,79.39, ,214.78,221.61,243.43,72.13,56.39,262.78,255.12,295.65,174.70,101.36,59.36,236.82,120.22,224.54,232.48,278.17,264.77,152.23,44.63,270.88,248.69,153.97,180.59,195.59,198.82, ,271.27,171.85,276.38,165.41,80.95,125.98,42.50
277.96,49.13, ,270.86,155.09,46.29,45.58,217.58,213.95,215.66,9.17,48.24,21.50,81.26,268.03,2.97, ,254.27,71.25,151.46,293.95,146.51,21.88,247.19,2.34,181.93,93.68, ,93.99,264.49,20.00,280.81,63.99,277.24,116.10,110.05, , ,94.23,86.86,173.04, ,247.24,280.46,34.17,266.69,30.68,60.19,71.32,133.13, ,212.86,240.82,221.28,21.24,225.32, ,40.68, ,236.09,239.92,150.11,213.96,62.65,7.96,165.04,55.12,36.27,151.64,33.89,208.80,259.07,267.03,151.53,205.35,200.81, ,37.71,29.92,231.18,257.72,267.37
 ,221.27,108.89,67.74,98.52, ,21.56,283.11,260.55,267.29,191.86,151.67,59.68,241.67,259.60,232.29,167.37,148.24,107.59,255.00,10.39, ,31.96,44.88,138.94,61.19,227.78,91.93,26.71,99.02,233.13,249.86,165.78,8.34,56.15,8.04,230.60,170.67,255.77,56.46,251.47,34.97,84.69,36.61,100.42,128.97,134.05,193.64,27.40,52.88,122.19,192.46,138.31,15.35, ,71.81,230.15,223.76,274.16,146.02,151.07,214.54,115.71,78.25,20.78,168.43, ,229.34,155.20,59.93,161.74,242.37,72.80,10.79, ,119.01, , ,28.23,187.68,113.45,39.37
201.47,147.83,61.67,245.12,266.15,116.64,267.58,143.21,227.35,179.95,157.92,6.39,26.33,105.27, ,144.64,106.88,255.46,171.04,76.44,31.85, ,102.27,173.01,281.49,242.96,146.73,153.10, , ,47.19,19.20,236.95,59.50,82.29,217.36,267.25,179.84,13.62,69.93,227.59,287.00,212.85,271.44,286.84,245.38,50.79,286.65, ,46.15,173.70,251.41,204.22,201.53,22.19, ,208.83,60.37,281.79,29.55,39.18, ,284.56,262.50,37.08,40.56,284.29,20.19,235.94,244.27,163.43,21.11,175.30,232.75,101.66,29.87, , ,174.07,197.05, ,18.88
115.28,217.24,160.73,110.44,166.42,145.97,37.40,292.27,114.01,70.72,146.30,248.70, ,275.64, ,34.67,259.68,222.64,175.62,217.84,36.11,194.45, ,231.85,115.68,266.33, ,42.65,298.27,193.23, ,205.10, ,235.86,151.62,226.45,241.88,13.28,228.55,160.06,139.58,167.63,278.72,12.11, , ,12.73,209.38,276.48,281.40,48.74,70.85,160.24,119.48,290.72,81.26,99.98,163.17,261.33,67.36, , ,283.82,16.88, ,293.36,137.12,241.16,276.56,130.37,35.83,280.01,85.16,183.84,293.96,267.33,218.81,299.11, ,203.76,280.84, 
228.62,247.13,144.39,52.97, ,249.97,12.47,12.51,79.53,218.55,260.84,138.96,100.32,241.62,106.60,239.13,104.59,295.32,144.86,41.17,199.39, ,232.31,70.06,141.29, , ,130.25, ,70.27,242.50,23.78, ,19.10,26.23,149.30,298.24,231.98,147.75,65.08,163.46,253.99,45.53,252.65, ,139.68,177.43,120.92,40.98,220.31,235.41,197.28, ,145.64,36.59, ,101.67, ,236.81,169.79,234.30,158.12,262.12,120.22,225.09,85.28,241.74,69.69,30.54,87.37,254.11,169.58,225.62,120.71,270.48,144.77,112.94, ,75.06,267.79,32.15,126.25
148.20,155.35,50.27,298.03,209.69,216.59,13.42, ,129.98,130.60,292.62,228.78,18.35,235.05,72.59,275.68,245.17,4.41,174.14, ,113.30,283.79,170.47,271.80,127.18,48.08,249.50,177.29,208.33,113.15,119.19,33.43,155.29,272.65,31.44,108.69,57.77,174.62, ,146.42,216.87,193.79,52.81,42.67,292.10,44.06,208.45,83.28,109.47,149.35, ,209.72, ,267.49,291.37, ,137.79,0.19,235.25,293.90,208.23,11.11,268.86,205.95, ,82.64,84.82,124.96,141.71,173.59,19.73,4.94,2.76,103.23,281.64,237.76,177.04,11.77,131.43,80.48,216.98,50.72
103.00,275.14,65.18,133.16,158.61,206.58,104.01,162.96,82.29,241.29,38.34,287.36,152.75, ,46.12,22.33,23.82, ,290.28,157.73,31.83,296.06,89.51,27.30,28.99,96.86,238.59, ,225.95,134.81,141.12,8.79,47.57,96.38,22.90, ,146.34,63.43,64.72, ,92.03,271.45,202.27,140.21,223.78,206.99,154.13,239.52,211.56,195.54,176.44,102.42,64.77,286.96,293.45,149.63,245.30,287.10,62.80,185.04,193.47,45.18,140.14,210.52,271.79,59.63,24.49,71.76, ,58.72,84.23,146.06,143.92,156.80,29.95, ,16.54,268.55,225.18,46.42,160.39,241.76
113.82,125.15,236.90, ,256.11,179.53,265.81,54.72,2.02, ,180.69, ,16.72,171.03,224.37, ,229.29,226.61,138.55,291.56,103.01,31.56,29.87, ,255.13,207.22,206.77,137.85,112.68,8.16,242.70,267.04,161.82,269.23,83.74,196.49,124.00,190.75,76.70,42.85,83.11,288.99,153.62,65.09, ,73.25,224.11,217.05,167.60,235.97,245.98,269.01,80.96,295.92, ,255.50,124.36, ,113.35,178.02,93.57,221.59,94.34,172.60,112.43, ,48.40,119.62,81.73,86.31,220.72,190.10,192.11,214.82,127.81,94.53,36.88,289.59,33.19,76.30,247.72,218.22
229.22,279.53,218.22,268.42,194.64, ,12.29,289.74,80.00,275.90,114.43,131.15,33.94,229.97,299.21,210.57,208.96,38.92,259.74,264.81,181.16,231.54,152.61,264.71, ,240.61,98.66,179.70,197.07,98.51,231.90,218.16,55.47,30.20, ,16.72,88.35,226.52,91.34,241.16,11.73,296.65,24.05,239.98, ,172.66, ,104.56,282.62,193.07,126.04,161.74, ,250.08,188.10,131.99,211.13, ,136.53,39.24,44.48,53.17,151.88, ,256.44,148.41,74.95,178.33,252.46,281.45,61.75, ,193.74,83.65,115.75,266.46,80.75,134.21,112.28,178.19,242.54,126.49
135.01,115.38,29.47, ,70.12,170.70,154.02,33.04,170.90,54.27,197.02,294.74,195.88,39.91,205.97,109.52,169.94,205.90,236.35,40.52,36.05,155.35,290.35,41.45,117.81,132.41,275.28,97.27,277.39,158.58,187.22,114.24,109.54,173.07, ,213.59,159.11,28.08,239.20,161.79,197.13,224.33, ,262.71,21.33,107.27,134.47,136.84,51.65,268.86,292.25,138.31, ,87.16,71.36,272.39,118.28,176.29,272.73,5.33,116.04,280.48,79.91,132.80,26.62,297.48,71.42,89.65,40.41,129.49,203.17,44.92,271.40,64.07,15.92, ,131.96,97.80,94.74,260.71,99.39,120.84
97.61,93.27,19.50,179.17,179.53,122.93,73.91, ,204.03,236.04,148.34,107.10, ,126.87,106.10,41.37, , ,134.48,26.51, ,205.68,35.83,176.80,220.32,177.86,140.87,189.26, ,296.36,55.90,37.75,28.85,75.80,218.09,21.59,64.25, ,118.12,296.69,99.59,98.65,41.35,91.35,228.73,226.97,252.54,62.29,79.05,190.34,59.50,229.22,164.87,154.38, ,151.07,120.42, ,97.86, ,189.21,244.81, ,269.35,17.22,152.92,173.05,3.90,143.87,236.65,40.22,291.73,242.10,181.46, ,279.33,62.28, ,7.09,126.68,292.77,8.09
240.16,188.96,113.69,177.18,41.57,141.37,278.45,2.95,93.65,139.24, ,7.78,118.53,199.61,254.94,103.06,283.67,289.59,97.89,104.90,63.99,289.59,0.75, ,160.66, ,299.90,260.82,152.91,269.84,174.32,96.02,25.41,261.58,7.41,37.43,207.68,134.61, ,135.36, ,296.03,148.34,217.02,3.60,188.50,122.45,198.22,40.20,298.14,238.64,61.24, ,268.92,252.48,276.19,136.53,83.87,123.48,190.60,260.53,82.98,1.44,178.69,225.94,5.13,93.40,256.10,75.47,147.08,258.82,245.70,83.52, ,167.94,0.95,172.66,276.82, ,234.45,290.33, 
18.98,63.35,166.46, ,220.73,121.96,272.71, ,166.73,240.47,242.91,194.36,235.87,201.92,9.52,120.28,29.64,67.35,138.53,257.66,261.26,20.19,283.68,250.89,158.69,175.76,87.64,174.98,67.93,124.74,155.09,129.35,79.56,166.88, ,124.54,243.41,40.00,179.05,142.17,218.76,205.21,121.17,195.34,43.27,269.42,127.33,250.07,294.00,178.95,128.91,231.92,198.86,263.60,31.99, ,250.75,12.58,260.48,166.45,31.18,74.57,266.02,101.97,283.02,157.03,127.03,59.38,113.55,130.95,244.65,257.23,245.15,124.26,128.23,2.05,65.98,106.51,220.06,160.92,257.42,63.30
240.21,128.06, ,119.73,242.43,250.36, ,96.58,271.07,284.33,280.80,253.57,186.81,24.62,140.19,101.88,136.98,121.79,200.97, , ,125.77,170.17,82.51,69.37,251.15,280.01,295.15,108.37,41.06,184.72,161.08,90.10,254.26,212.29,95.24,75.05,230.08,283.41,211.96, ,163.11,46.18,101.63,203.43,20.83, ,202.08,154.90,195.55,204.08,264.40,34.74,220.33,284.66,277.42,256.53,59.72,89.77,164.65,58.21,90.36, ,292.44,171.45,187.67,188.71, ,188.03,284.46,295.07,12.09, ,268.62,225.46,105.85,196.29,138.45,265.75,61.08,225.19,242.82
213.15,108.36,19.55,58.28, ,169.36,246.15, ,247.14,144.49,275.38,211.35, ,183.75,9.43,256.23,199.41,284.72, ,55.67,48.37,135.96,283.31,41.59,23.20,212.93,142.80,186.77,258.59,237.91,268.66,25.78,186.41,90.20,113.96,133.16,259.83,257.77,248.26, ,271.45,41.17,130.90,25.90,188.06,122.97,253.78,283.40,296.38,149.46,94.52,296.59,255.16,214.62,213.97,26.54,202.09,24.56,297.17,218.04, ,41.01,289.37,126.25,147.36,198.09,201.33,7.39, ,273.10,46.89,286.78,72.50,141.13,221.85,147.52,23.54,180.91,172.47,292.63,179.25,119.19
0.77,197.44,161.21,231.74,57.62,281.53,107.40, ,29.25,74.69, , ,50.06,130.26,143.51,261.19,170.55,243.72,48.68, ,219.22,252.47,252.93,106.96,56.65, ,17.61,258.73,66.61,152.97,90.73, ,51.92,118.77,183.15,251.83, ,171.06, , ,273.16,254.86, ,288.98,7.03,81.80,164.40, ,61.27,158.59,233.23,128.26,281.18,88.21,176.50,287.22,107.17,108.05,293.88,51.01,104.51,198.75,13.20,275.75,170.65,83.96,232.36, ,213.54,28.47,218.92,167.76,94.91, ,156.93,299.73,238.97,56.75,217.88,127.06,144.42,27.97
101.59,140.61,173.87,70.31, ,58.05,196.16,257.77,244.73,63.42,199.73,220.08,181.93,297.96,65.74, ,254.58,146.86,150.03,197.78,46.81,11.90,11.96, ,176.15, ,239.57,203.79,108.36,282.38,126.11,98.97, ,53.55,45.67,103.88,120.29,29.40,77.89,272.00,8.44,74.41,87.72, ,188.18,44.44,104.27,156.57,121.76,256.78,101.05,179.48,299.59,113.03,23.37,231.64, ,79.79,174.00,164.24,55.69,134.74, ,5.29,242.78,138.20,202.65,78.85,22.88,27.61,38.08,288.97,178.13,49.51,24.48, ,114.77,179.20,198.97,254.80,161.52,119.99
284.50,139.93,82.12,94.25,256.46,207.00,23.35,275.69,132.58,196.85,284.10,272.00,46.83,42.26,14.96,117.86,152.87,298.88,191.73,244.49,100.29,224.91,177.61,2.05,15.55,200.24,198.78,176.46,40.97,218.57,25.39,171.93,160.68,197.32,37.07, , ,93.85,265.92,83.60,281.65, ,181.90,65.65,275.26,95.11,229.82,219.37,22.97,126.93, ,179.35,136.77,68.22,107.35,202.08,2.11,290.09,65.64,234.64,64.16,214.89,175.71,177.51,88.90,268.90,270.11,213.55,179.13,37.50,15.91, ,18.02,167.52,188.96,121.65,20.56,223.62, ,289.55, ,78.45
54.11,101.48,274.69,81.48, ,67.96,185.44,290.38, ,177.39,69.31,206.46, ,130.08,9.82,224.80,198.08,149.14, ,51.49,66.00,190.38,200.93,197.30,153.13,259.22,103.79,29.55,118.40, ,186.98,259.96,200.98,167.95,117.27,101.60,91.60,241.57,135.50,0.76,257.43,241.03,10.63,17.51,87.96,161.21,219.58,86.73,279.22,170.68,280.28, ,71.88,89.25,42.35,176.10,150.99,265.19,93.56,156.45,22.72,275.65,189.66,84.40,76.04,180.89, ,153.17,91.23,109.47,102.37,142.67,154.02,91.73,19.16,149.40,49.20,109.25,9.14,131.26,282.12, 
154.66,53.43,280.91,284.34,215.82,90.15,141.39,134.08, , ,283.74,209.76,277.77,112.37,87.89,165.96,31.98,147.91,195.49,198.85, ,114.67,166.45,8.59,291.10,217.11,126.68,61.42,63.39,42.27,105.94,113.19,205.98,212.07,29.30,190.23,117.20,76.35,161.93,165.85,227.87,4.69,168.59,284.46,84.17,179.21, , ,254.27,126.21,98.08,207.24,64.65,293.22, , , ,173.94,153.80,12.88,125.49,192.81,163.16,236.67,120.27,7.54,55.28,25.05,81.12,275.43,6.60,113.66,42.36,169.93,244.51, ,70.00,297.33,124.97, ,178.24,293.20
264.11,59.67,259.26,2.54, ,9.13,60.01,93.48,40.81,292.12,94.16,185.43,189.58,8.37, ,45.51,74.43, ,134.10,254.65,1.33,221.24, ,281.25,33.95,222.15,20.98,117.76,31.21,272.67,217.63,230.26,173.28,272.76,138.79,123.32,272.88,34.91,253.12,164.68, ,86.83, ,232.61,149.08,37.68,5.44,48.13,218.44,240.39,90.08,162.76,192.86,226.05, ,179.18,283.64,288.95,176.91,3.08,204.03,43.01,272.34,73.91,216.76,148.44,85.40,270.72,120.48,224.85,225.32,292.19,270.27, ,147.18,282.52,240.13, ,265.92,193.85,129.81,35.15
218.58,205.88,119.34,295.65,74.62,148.21,129.94,47.96,265.66, ,118.18,41.32,290.10,207.57,92.91,65.07,236.76,277.04,4.95,121.71,78.02,197.35, ,15.83,282.00,276.85,99.67,115.22,291.14, ,21.07,39.15,242.38,271.76,101.97,222.83,25.86, ,223.20, ,239.03,120.98,15.33,20.20,10.10,7.51,154.55,259.63,114.73,169.60,121.44,63.21, , , , ,12.27,0.60,229.30,171.82,16.46,261.00,25.60,114.97,297.10,73.84,276.62,198.31, ,261.52, ,50.58,271.87,78.28,14.15,94.05,252.21, ,213.22,103.58,252.04,178.83
57.57,3.26, ,101.33,150.49,26.28,131.13,263.92,270.63,217.00,164.03,175.20,82.43,45.59,264.31,142.99,86.90,294.22,22.62,3.93,39.22,74.18,28.37, ,298.99,296.77,180.19, ,122.20,251.14,212.56,197.12,206.40,189.21,71.93,296.17,84.94,106.08,205.74,197.22,133.44,282.27,93.57,135.98,96.65,83.56,2.57,64.77,264.70,109.59, ,105.76,250.74,218.57, ,53.02,32.39,220.45,83.58,162.91,229.77,6.69,268.77,294.01,218.23,287.52,295.33,133.58,104.06,26.40,21.62,220.98,265.89,68.67, ,231.58,85.21,275.71,159.92,92.55, , 
180.98,46.59,64.60,138.35, ,52.26,260.25,114.95,114.66, ,270.10,244.62,6.35, ,166.26, ,59.72,297.64,39.52,274.99, , ,143.45,165.61,39.72,19.35,253.51,241.45,18.18,278.91,106.41,190.78,79.15,120.22,191.20,121.03,263.86,279.54,99.14, , ,284.00,104.71,234.03,161.12,232.23,276.74,272.79,50.35,118.02,128.74,30.30,175.42,269.44, , ,0.12, ,284.12,12.15,78.27,82.76,290.53,7.22, ,174.74,247.53,250.07,1.99,26.03,274.53,32.39,64.05,189.18,16.63,283.63,111.69,21.03,32.47,149.39,139.42,141.14
16.90,163.23,71.59,196.31,184.72,122.12,261.21,220.26,44.72,216.11,245.83,298.58,180.98,39.92,172.11,107.36,272.27, , ,159.85,89.97,32.91,293.35,223.39,271.96,117.49,124.51,125.22,41.62, ,81.54,143.18,133.98,234.87, ,278.72,44.31,8.99,280.79,71.34,215.94,172.29, ,296.80,56.60,138.38,90.97,89.42,182.51,266.33,27.96,96.11,250.74,1.37, ,3.70,49.78,142.60,253.08,218.87,130.58,188.21,129.74, ,63.88,206.19,108.02,236.65,226.52,68.93,215.34, ,14.64,151.23,186.37,231.22,154.14,144.01,255.17,150.47,37.63,144.15
