Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111
169.33,208.04,232.50,53.10,227.82,80.26,8.05,168.18,146.00,184.21,291.68,196.15,120.21,179.32,14.93,189.41,225.70,278.26,94.69,48.10,270.88,144.11,298.83,1.65,227.02,250.47,142.66,109.00,238.18,128.91,24.40,137.37,115.77,108.29, ,156.38,117.87,77.08,283.58,98.46,16.39,78.88,126.98,44.09,163.68,218.76,56.81,254.15,52.85,115.19,216.76,196.30,256.32, ,239.90,229.90,79.14,147.18,41.20,58.33,236.35,49.79,147.55,7.29,39.73,269.65,293.84,199.35,197.54,159.91,235.48,205.74,4.03, ,45.22,87.18,61.94,226.06,25.48,122.38,252.66,149.58,193.29,155.05,288.33,81.67, ,171.48,277.88,84.42,220.73,93.92, ,271.84,87.04, ,209.42,188.63,26.82,2.16,299.39,105.95,5.58,290.42,263.23,52.57,275.04,257.66,70.28,40.80,16.67
29.30,215.36,34.96,62.27,59.80,261.03,88.83, ,79.25,60.71,196.25,22.59,66.02,239.82,132.34, ,170.45,238.40,280.38,28.00,10.47,104.31,253.56,238.13,272.39,111.75,278.05,42.53, ,134.07,281.76,120.55,136.86,232.47,163.37,250.67,216.30,10.33,292.04,125.94,175.85,154.83,185.80,238.32,61.05, ,42.81,241.35,175.65,269.35,287.72,48.99,91.47,204.07,79.50,105.22,283.39,277.41,198.76,117.51,113.39,52.94,228.69,193.08,118.63,202.65,37.61, ,129.08,204.15,118.60,213.58,295.08,218.59,125.30,291.76,84.31,110.38,110.34,133.59,223.30,117.33,33.63,29.73,108.08,271.07,245.57,167.86, ,86.45,236.50,106.67,141.68, ,82.18,208.99,13.35,211.79,161.94, ,191.67,7.73,79.19,71.12,102.27,75.04,126.67,246.08,5.48,221.66,169.94
18.80,33.67,297.49,13.03, ,204.69,71.73,130.21,101.36,108.40,169.09,239.79,243.19,186.11,94.78,200.89,14.71,148.78,284.09,178.83,77.13,278.01,113.77,154.99,202.27,28.26, ,268.05,203.69,138.10,235.96,135.53,148.73,199.84, ,212.98, ,290.11,11.21,90.66, , ,21.70,34.05,217.84,45.05,143.27,56.17, ,191.70,165.91,30.14,120.03,73.81,233.22,164.44,141.35,66.14,5.56,181.19,241.32,143.67,26.56,119.02,44.01,236.09,24.54,90.36,209.34,297.80,214.86,214.75,146.10,203.35,4.37,250.28,267.83,8.54,120.79,100.19,138.28,74.71,2.50,7.40,29.23,54.41,167.45,0.29,250.04,165.22, ,115.50,256.01,208.65,30.25,50.59,174.50,269.76,89.37,44.73,164.05,55.63,217.39,108.42,274.83,96.16,0.24,129.34,121.12,206.65,74.20
46.41,44.10,286.02,151.00,134.69,80.69,123.18,215.10,229.01,243.66,119.17,236.83,200.15,286.50, , ,64.03,9.41,271.90,241.61,26.18, ,106.87,261.12,181.73,33.96,136.39,190.83,295.95,280.44,125.85,263.21,151.27,195.96,190.84, ,13.73,277.33,24.44,112.79,125.69,163.34,141.90,88.18, ,227.53,272.33, ,235.54,141.13,135.89,45.31,1.56,244.85, , ,222.85,98.68,29.01,245.89,184.50,93.10,261.60,75.25,285.60,254.91,165.26,227.27,118.08, ,62.93,180.32,130.57,130.91,232.83, ,103.74,159.07,80.36,192.57,135.65,166.39, ,31.65,232.18,299.44,211.83,68.73,94.60,295.96,78.41,18.45,32.53,62.48,76.24,121.94, ,0.12,109.37,129.88,237.21,290.17,283.93,166.95,147.14,72.04,144.66,91.10,33.36,110.55,163.23
84.68, ,84.79,121.89,23.19, ,95.28,125.24,155.34,155.29,58.45,75.13,228.16,251.19,253.22,224.25,55.45,211.51, ,104.82,183.54, ,210.56,105.28,2.50,28.00,263.09,85.12,289.57,204.45,274.80,2.49,274.11, ,185.63,1.70,15.77,118.45,95.80,123.53, ,84.14,202.03,246.06,85.45,0.43,176.38, ,178.88,121.69,82.26,62.73,297.76,269.19,96.75,157.95,196.59,4.42,104.22,2.25,137.10,91.81,114.26,274.58,241.32,229.95,103.58,107.53,71.17,217.55,141.70,88.20,277.69,94.48,144.27,173.28,34.61,108.38, ,82.96,273.44,71.95,282.81,104.55,135.80,1.69,22.96,91.92, ,184.54,136.78, ,10.06,287.07,118.56,7.28,277.93,80.76,277.74,114.50, ,250.30,149.41,286.51,45.93,281.47,203.49, ,155.95,269.45,103.47
278.96,289.54,91.47, ,69.20,121.28,281.58,115.03,25.59,57.58,149.29,1.98,157.31,208.73,230.71,89.10,30.71,8.27,291.31,294.38,212.44,212.01,187.23,25.00,128.58,284.34,121.63,30.65,247.57,264.56,291.13,197.01, ,205.28,244.81, ,5.33,119.48,90.31,244.37,219.52, ,203.86,19.51,81.47,137.75,263.00,11.98,213.05,270.15,43.26,102.18,220.29,166.56,88.79,82.00,92.79,101.98,205.77,186.83,119.94,8.10,40.61,99.60,53.90,71.99,284.72,144.24,172.65,42.64,184.06,165.53,279.58,273.50,89.00,172.60,184.90,291.88,200.78,179.18,161.22,51.83,125.34,50.95,206.86,259.42, ,124.94,197.80,41.28,181.45,255.76,86.52,82.27, ,173.74,291.91,142.38,180.91,239.80,265.70,25.44,237.59,50.05,141.46,46.66,23.96,180.37,34.79,196.62,54.06
238.03,105.33,89.70,48.12, ,13.81,243.52, ,187.18,119.13,131.49,253.25,114.06, ,148.85,166.41,204.51,133.69,42.10,40.18,262.22,246.42,245.84,214.96,77.12,178.73, ,44.52,190.87,192.63,7.43,27.07,247.59,36.79,5.94,238.25,213.11,280.68,253.77,104.10,247.74,192.11,43.46,112.51,95.21,94.99,48.21,5.74,85.89,193.86,293.42,126.10, , , ,93.82,199.78,225.14,299.30,251.28,91.15,31.15,280.59, ,102.65, ,188.54,34.15,175.48,106.47,6.31,177.68,190.64, ,115.78,206.62,236.55,185.57,173.70,102.75,126.34,147.02,93.94,0.78,204.56, ,286.56,94.03,273.48,241.70,100.45,87.42,163.52,80.45,103.68,88.43,188.65,258.19,87.78,156.06,191.83,42.87,196.46,42.64,121.56,50.74,211.31,116.89,68.13,60.52,259.66
282.98,142.78,3.59,228.44,92.65,182.76,298.66,272.42,249.16,25.63,16.00,138.06,11.77,30.24,78.00, ,60.98,64.02,141.80,230.58,87.23,184.21,49.50,195.16,212.60,116.43,5.14,50.57,65.14,168.27,34.76,58.67,296.37,97.89,117.28,139.61,79.31,127.25,287.27,219.61,11.56,112.38,89.41,154.72, ,22.99,154.47,50.65,177.52,48.10,290.62,155.29,155.87,22.38,166.39,204.30,56.35,178.63, ,41.58, ,161.29,176.28,131.92,265.97,100.28,25.12,90.64,286.02,59.53,231.20,53.20,292.17,75.84,182.60,212.39,289.89,61.15, ,193.06,55.41,193.38,227.62,160.11,270.30,167.55,37.82,31.90,85.64,249.17,24.06,168.84, ,242.51,210.82,88.65,87.35,197.29, ,181.57,26.79,123.57,130.57,287.81,34.71,3.93,29.90,38.64, ,83.29,58.02
173.19,298.02, ,195.31,56.60,134.31,228.75,277.73,119.26,221.80,38.99,137.86,253.73,267.62,259.78,174.19,282.06,251.91,158.69,59.97,224.10,298.68,152.15, ,271.41,133.97,280.94,263.24,13.43,17.45,99.52,3.79,108.38,5.31,183.35,110.95,76.63,97.32,157.37,141.66,15.67,254.16,35.34,46.44,57.14, ,156.66,182.16,298.60,215.37,90.16,160.54,144.52,286.11,23.14,215.66,75.51,106.08,226.63,118.56,80.62,153.78,72.67,147.34,242.74, ,32.90,281.39,275.12,207.81,170.29, ,22.21,156.09,115.29,151.77,58.13,116.31,169.68,247.83,260.24, ,81.10,210.32,145.17,209.64,234.57, ,199.36,63.79,230.42,138.17,112.93,14.59,108.19,118.21,201.28, ,281.00,170.08,222.04,76.77,68.23,211.60,210.70, ,266.15,31.71,26.34,0.61,73.87
225.18,164.84,270.54, ,130.09,298.79,296.77,183.81,86.90,153.85,109.14,263.76,38.20,79.62,68.69,256.71,45.73,42.34,119.34,279.66, ,278.45, ,54.00,197.08,280.78,138.51,57.41,143.20,170.34,278.45,43.37,116.53,83.97,261.29,12.66,152.74,219.40,280.04,39.67, ,20.45,252.81, ,55.07,81.07,176.39,164.44,294.69,8.87,139.85, ,152.50,134.70,130.51,280.51,28.67,218.21,85.67,159.49, ,113.05,151.50,211.71,209.21,296.91,285.06,188.24,289.26,101.73,229.86,270.24,119.40,251.97,213.54,28.01,49.08,136.86,130.50,216.52,254.98,257.80,50.19,207.07,245.38,29.19,99.52,209.00,127.30,87.44,283.97,25.52,256.51,233.64,210.96,126.73,63.59,105.99,230.56,153.23,21.85,51.18,181.85,40.30,121.17,50.00,243.19,138.19,237.90,286.71,221.98
14.81, ,120.80,128.52,252.58,155.71,55.64, ,15.83,26.00,145.13,242.13,151.52, ,89.42,274.73,74.14,253.10,286.12,159.05,207.75,119.10, ,174.75,263.47, , ,27.57,65.46,291.39,50.03,6.40,254.14,276.32,197.79, , ,195.08,179.43,262.17,253.34, ,216.81,41.38,55.07,271.74,235.84,74.81,195.13, , ,253.31, ,289.34, ,184.43,188.72,45.34,144.49,115.06,209.74,267.58,100.89,289.58,128.05,251.98,41.38,162.99,33.05,284.04,209.89,56.33, ,101.66, ,283.92,265.39,201.72,158.47,172.30,39.34,212.45,23.52,112.68, ,145.73,232.56,297.00,175.21,160.63,25.84,260.79,30.11,272.84,12.92,135.38,14.79,73.43,159.24,118.79,275.78,132.87,83.40,9.36,225.49,235.47,234.71,22.45,50.72,227.91,270.75
224.62,199.02,291.65,25.31,104.02,74.95,209.42,66.77,116.95, ,52.42, ,248.69,288.31,261.32,63.04,279.52,217.61,285.71,236.81,19.70,12.11,277.73,253.00,140.32,36.76,122.37,252.58,246.37,70.46,157.12,139.76,121.17,15.18,266.64,117.90,292.84,80.99,51.54,15.07,103.94,120.95,32.17,297.38,14.42, , ,201.34,8.17,83.37,129.39,275.36, ,268.20,117.33,128.84,253.84,255.26,141.65,37.84,178.95,229.59,202.60,148.13,109.30,11.96,0.04,108.02,98.30,24.63,14.99,66.95,174.17,274.50,203.79,230.99,28.72,29.53,261.71,159.91,48.31,203.68, ,11.70,32.13,20.31,102.91,14.71,47.96, ,63.77,58.58,23.44,155.35,18.62,230.64,188.08,50.40,27.29,103.46, ,191.38,264.12,217.07,66.03,15.75,28.80,170.85,279.90,178.91,276.78
263.50,184.05,205.71,269.74,79.27,206.31,35.99,264.95,149.26,218.08,143.25,121.46,270.44,272.26,134.22,145.31,104.35,40.18,5.17,200.01,2.63,55.10,276.74,291.68,51.03,291.00,156.63,208.39,213.82,276.42,129.69,145.77, ,185.95,156.26,144.10,198.49,295.81,227.16,228.79,66.90,44.16,295.18,169.57,70.43,98.67,179.90,264.24,71.49,58.03,46.06,168.46,152.55,181.66, ,110.45,247.04,177.02, ,33.64,66.42,128.01,222.55,85.48, , ,36.98,84.73,82.01,27.58,117.47,14.27,19.69,244.65, ,152.88,57.78,279.28,58.68,84.40,229.85,188.44,8.17,171.55,150.33,118.78,242.20,99.16,47.72,184.46,270.44,229.26,268.01,190.08,52.90,93.28,245.66,69.57,50.04,45.03,65.84,285.26,191.84,247.85,30.72,255.97, ,185.23,137.67,219.46,146.67
257.64,139.60,198.98,289.39, ,189.76,2.27,213.98,259.46,133.68,294.15,291.33,274.88,1.48,240.17,215.31,123.47,273.70,243.70,52.22,205.58,289.72, ,203.69,76.47,235.64, ,25.28,223.48,78.69,68.81,90.79, ,214.26,126.67,272.55,29.31,99.38,46.05,88.31,109.18,15.27,231.42, ,289.40,70.27,223.38,86.95,123.20,228.43,66.60,124.60,234.83,59.77, ,67.00,176.72,159.21,221.00,266.93,80.02,61.37,188.73,235.07,23.65,131.32,241.59,0.30,271.66,261.76,108.20,172.22,204.94,176.91,122.05,117.03,109.19,50.18,78.85,200.81,160.24,278.20,68.96,3.82, ,265.58,267.93,90.62,199.27,129.76,244.10,142.24,82.79,196.35,99.49,281.51,41.84,180.19,82.60,147.49, ,113.08, ,107.41,239.19,254.30,31.89,42.55,44.56,194.77,206.04
