Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121
60.96,24.10,179.97,7.35, ,181.99,28.09,243.77,82.78, , ,170.84,192.38,65.08,63.40,160.98, ,247.07,19.93,66.49,186.69,150.36,255.83,262.69,205.84,150.88,163.74,18.73,127.46,211.59,269.83,165.18,58.58,141.42, ,207.91,270.11,128.78, ,90.85,5.68,175.94, ,39.67,163.30,219.10,97.78,39.56,88.48,292.60,206.13,284.14,49.54,95.79,158.95,269.16,39.06,202.27,110.41,287.26, ,206.35,225.91,83.01,218.12,152.53,53.84,102.99,273.18,263.68, ,297.06,242.51,86.50,231.74,86.73,170.63, ,214.08,255.00,0.69,144.81,291.97, ,94.96,50.04,30.23,68.38,22.19,63.41,155.67, ,242.40,176.23,39.50,298.01,87.41,167.63, ,159.60,228.78,197.43,106.76,180.37,254.95,186.03,11.25, ,16.85,227.66, ,267.16,139.36,70.81,129.29,289.98,133.92,243.46,197.59, ,77.95
213.95,111.38,291.77, ,8.62,173.48,278.52,185.10, ,255.91,231.60,245.93,92.87,163.95,62.28,83.23,139.53,120.75,229.49,104.00,121.14,48.79,219.70,207.94,291.73,293.53,122.80,143.82,104.15,39.89,221.94,6.67,120.29,12.39,239.93,225.10, ,273.89,277.26,291.85,155.04,8.37,278.51,222.19,51.98,234.06,151.90,225.08,177.47, ,227.25,42.15,53.50,126.24,76.97,129.26,144.60,100.18,263.47,145.16,99.99,91.71,227.02,243.49,26.35, ,253.61,108.31,41.91, ,179.32, ,8.58,66.35,176.97,257.02,134.47,24.97,206.37, , ,286.87,81.61,43.17,271.26,141.17,59.50,192.50,295.12, ,61.47,298.25,151.64,185.26,248.21,172.68,231.46, ,208.48,261.30,44.76,103.13, ,162.63,138.24,254.42,28.39,233.93,66.66,249.88,51.87,46.77,189.67,152.48,186.71, ,138.36,61.98,92.71,104.11,145.95
6.42,39.62,119.19,88.96,16.14,256.63,87.66, ,65.90,272.00, ,101.42, ,163.39,195.16,136.58,17.06,253.58,187.43,21.51,64.84,269.83, ,184.05,64.07,259.29,259.95,293.40,2.88,224.76,291.02,171.92,112.92,191.76,207.15, ,160.84,263.02,38.21,14.72,209.98,190.89,262.61,1.11,105.67,248.73,87.98,12.93,157.51,217.91,239.80,209.50,18.03,231.31,18.43,287.84,248.69,236.11,281.52,235.26,34.18,228.20,228.58,148.31,273.78,258.85,151.78,14.22,40.87,226.05,191.55,287.70,92.61,51.54,161.03,161.32,170.79,17.37,30.65,185.47,231.91,218.01,12.67,253.51,177.76,112.83,93.44,209.56,24.35,260.19,247.90,80.59,211.02,218.06,263.65,246.10,247.85,279.25,96.35,14.05,112.32,43.43,227.42,91.82,214.09,137.14,173.51,280.68,15.70,26.20,2.27,174.90,136.41,210.63,86.92,206.88,51.57,105.00,203.31, ,117.40
67.89,122.33,260.06,1.32,233.05,161.07,155.57,41.76, ,274.52,246.50,295.88, ,100.87,35.02,207.81,246.51,131.81,261.33,275.70,250.67,243.32,114.10,222.92,108.61,130.39,191.23,201.13,143.50,166.36,299.70, ,246.21,162.76,11.20,290.74,205.30, ,17.03,16.07,169.46,184.67,29.94,11.63,265.21,233.08,33.66,205.74,178.99,227.36,266.82,184.78,87.28,157.85,97.87,44.26,298.60,267.16,4.84,259.62,133.92,101.61,125.48, ,4.46,159.54,229.79,83.28,128.81,28.31,265.42,277.37,200.84,199.90,211.14,189.00,12.61,282.80,207.17,112.36,253.12, ,182.91,193.41,142.23, ,75.34,283.91,259.11,259.02,114.13,37.70,51.35,84.82,230.49, ,42.85,277.43,13.77,28.17,213.71,268.14,245.74,279.30,253.63,257.47,278.19,150.35,178.98,66.14,131.15,237.43,261.77,188.75,75.19,182.71,87.31,284.28,145.36,31.50,127.64
211.64,116.60,87.14,262.64,208.71, , ,267.79,60.99,148.71,73.46,125.07,182.26, ,27.62,225.32,200.57,38.25,30.89,93.53, ,246.81,156.66,81.33,31.39,281.00,278.49,211.51,215.23,212.91,121.40,34.37,186.42,286.26,279.56,286.34, ,233.15,6.02, ,130.47,164.87,2.86,165.93,246.93,8.15,190.22, ,224.60,32.11,63.81,152.82,211.26, ,144.41,5.67,122.64,58.54,247.62,130.88,275.76,194.71,237.64,113.45,9.53,115.44, ,40.35,105.11,194.46,96.03,110.43,117.19,90.34,194.19, ,7.74,13.38,111.40,287.39,34.35,115.86,179.71,190.14,175.77, ,280.53,104.33, ,221.52,59.93,231.74,261.80,39.16, ,150.57,129.33,260.54,191.28,5.96, ,221.28,142.23,118.25,135.40,49.61, ,109.54,178.51,44.94,60.37,259.93,246.30,286.36,215.50,17.17,139.59,142.74,159.87,95.56,9.20
289.49,251.55,149.26,120.23,248.05,214.31,91.55,297.24,67.45,255.55,134.20,102.26,72.44, , ,202.00,172.78,226.06,290.52,254.40,269.52,291.36,110.43,44.43,160.81,20.41,196.49,211.49,131.54,260.87,151.93,142.22,54.36,149.05,143.60,155.62,5.90,296.94,229.88,224.00,153.24,207.05,99.02,48.48,102.48,212.84,172.22,279.13,123.33,271.46,231.63,80.04,274.06,53.85,118.34,294.63,222.27,21.31,20.22,251.84,79.14,77.11,219.73,177.94,184.42,9.98,276.47,53.56,166.99,154.48,85.28,256.90,50.79,28.82,47.99,193.71,145.34,78.49,27.06,108.12,105.82, ,82.29,81.08,75.10,187.30,273.78,17.32,87.20,10.15,43.53,51.93,136.15,249.14,49.82,9.33,11.38,288.81,35.54,126.49, ,13.79, ,50.20,213.50,183.91,295.62,214.46,98.09,70.30,251.82,252.80,81.42,88.58,57.84,140.13,234.75,198.12,30.71,294.19, 
178.10,81.33,82.31,203.63,199.19,84.74,203.66,100.73, ,170.96,258.59,110.01,109.61,299.15, , ,84.53, , ,123.50,34.70,180.60,151.57,252.35,35.12,271.60,132.72,128.63, ,238.64,263.26,283.79,203.21,188.11,148.58,68.88,175.19,6.16,172.82,295.16,172.74,15.30,126.12,204.33,11.50,202.07,89.73,78.33,163.00,238.33,106.93, ,282.12,143.29, ,280.91,244.98,13.50,229.35,118.13,57.05,276.65,104.38,144.99,59.33,149.15,19.56,4.86, ,33.32,263.13,280.89,179.59,296.73,63.89,258.00,193.41,174.22,192.01,297.52,299.93,223.88,25.07, ,181.76,35.78,81.30, ,64.52,297.17,289.84,197.61,258.63,35.47,243.56, ,241.08, ,246.59, ,271.66,73.42,224.20,35.16,79.59,70.02,194.96, , ,28.89,214.64,202.70, ,130.18,4.55,194.31,58.47,222.80,38.70,88.71,111.38
 ,9.17,157.05,295.49,160.14,243.68,144.29,122.26,276.56,212.31,137.49,167.42,86.24,141.47, ,289.37,214.84,283.01,73.90,74.55,47.27,94.02,243.22,244.31,216.96,63.29, ,226.73,127.75,225.27,175.42,258.59, ,175.45,39.81,19.40,99.69,213.29, ,156.51,133.02,51.07,70.78,45.50,270.31,10.48,142.48, ,101.07,202.23, , ,225.86,56.40,253.49,219.27, ,53.38,133.70,295.74,181.43,202.00,214.50,47.32,98.38,158.04,191.04,0.96,60.42,189.48,141.27,5.25,285.38,258.70,163.08,23.57,295.68,196.25,138.05,267.15,232.38,69.96, ,70.92,20.17,145.98,99.96,111.40,290.54,42.13,33.10,133.20,292.26,273.86,196.82,169.59,149.81,203.20,254.54,229.74, ,75.72,32.78,192.26, ,62.29, ,95.39,14.26,147.18,146.85,269.86,219.21,214.10,6.30,168.54, , ,213.24,224.13,273.68
62.22,178.68,226.16,75.49,147.06,13.45,272.29,58.19,86.41,105.50,159.62,73.13,117.31,169.49,232.38,157.82,188.28,215.17,10.57,54.86,213.33,151.53,51.62,77.13,182.02, ,41.64,3.88,273.98,187.83,222.63,173.24,219.28,132.40,220.31,88.57,36.40,229.47,208.51,299.15,21.21,277.28, ,281.16,12.44,269.02,194.03,201.10,219.29, ,253.01,66.72,109.08, ,38.54,106.97,24.29,198.95,130.79,244.52,42.99, ,12.00,277.37,185.91,231.31, ,184.32,99.01,136.96,124.37,227.27,53.24,84.85,157.62, ,102.14,256.98,110.93,43.90,281.00,176.93,226.55,96.63,8.24,91.40,146.90,137.64,20.15,163.08,246.82,186.33,106.30,108.05, ,151.95,93.29,182.47,8.31,102.23,99.93,54.15,271.66, ,49.90,237.12,13.55,291.70,232.90,43.20,15.24,192.90,248.79,203.24,282.96,56.62,94.86,299.85,153.05,253.08,62.12
115.93,74.15,275.56,205.64,47.99,174.25,241.65,215.54,77.42,139.82,144.21,15.43,39.83,164.97,71.42,183.12, ,257.26,278.32,200.61,12.30,171.33,63.14,168.73,71.78,47.84,211.44,221.25, ,89.72,15.25,147.57,48.48,155.63,128.65, ,125.73,65.56,85.43,291.41,36.72,21.38,269.02,67.07,288.32,279.98,104.67,56.36, ,206.69,233.06,278.61, ,110.85,158.13,71.39,150.43,212.74,192.67, ,259.74,92.94,52.01,153.82,58.09,82.73,15.53,0.12,192.92,104.98,19.34,207.00,151.68, ,23.49,263.39,167.52,221.05,87.42, ,280.54,227.36,245.64,79.06,237.02,106.96,107.59, ,14.59,194.94,76.81, ,40.20,105.00,267.59, ,190.36,143.58,19.52,116.86, ,62.63,257.89,241.42,295.89,80.07,179.61,67.89,47.25,144.58,183.71,173.92,2.53,190.32,285.60,290.62, ,53.24,40.97, ,106.45
73.53,209.79,296.29,51.18,85.77,195.79,7.93,16.22,35.79,184.21,3.70,269.40,228.07,127.75,205.68,69.63,120.72,232.34,257.10,160.55,179.28,12.35,126.05,197.67,235.11,183.22,256.71,25.60, ,153.35,175.13,105.32,208.27,86.68,41.84,185.83,249.49,97.07,68.22,34.37,60.76,113.28,72.96,25.17, ,178.52,110.49,98.75, , , ,199.61,121.72,10.05,27.62,207.91,232.76,25.90,58.53,293.09,105.08,89.23,196.78,150.92,181.41,37.18,167.26,290.24,22.24,60.19,107.40,145.70,210.39,33.69, ,26.78,115.85, ,156.28,272.30,104.67,122.95,218.61,78.64,279.19,209.14,150.73,7.49,56.71,168.04,186.79, ,287.20, ,176.83,104.04,158.15,2.84,50.56,271.32,130.31,230.07,289.90,55.98,77.24,215.27,203.09,124.09,89.26,182.48,269.70, ,127.86,118.07,245.80,80.29,169.84,5.07,20.71,265.26,163.12
233.37,281.04,232.49,124.69,183.79, ,170.32,148.81,24.07, ,63.59,86.35,68.87, ,89.58,107.97,40.42,41.06,166.97,81.32, ,132.56,291.95, ,197.95,287.94,260.10,285.61,85.65,67.03,61.74,54.38,264.31,55.65,243.62,81.85,90.89,157.50,274.96,65.33,13.34,94.92,52.57,271.60,299.56,15.30,195.25,231.03,164.47, ,108.10,246.77,0.17, ,143.12,1.55,77.66,261.73,288.33,253.11,152.52,298.55,13.98,237.49,53.36,231.68,210.06,165.04,141.14,33.64,299.58,192.72,50.08,249.81,168.75, ,21.27, ,189.08,190.69,114.59,228.54,162.33, ,27.37,28.39,215.34,121.77, ,199.01,59.83,39.01, ,37.34,207.34,138.92,224.91, ,168.95,237.79,32.65,58.65, ,180.84,166.07,80.21,201.62,131.28,119.83,102.18, ,9.52,148.61,116.29,277.95,8.15,16.52,40.77,255.14,256.02,60.26
165.04,160.25,262.99,65.69,12.88,32.52,114.24,108.84,295.23,215.78,2.52,44.17,7.48,237.48,84.14,222.12,129.45,195.05,293.07,115.27,183.60,28.34,28.92,228.38,223.97,27.53,76.47,269.79, ,207.27,155.16,269.56,34.46,299.39, ,260.12,50.96,89.97,141.56,216.48,143.05, ,170.58,290.56,36.73,13.31, , ,149.01,272.80,143.44,10.38,232.31,239.40,42.52, ,161.42, , ,75.64,175.05,192.19,179.32,130.65,88.64,272.33,271.92,23.58, ,212.03,118.73,252.45,170.14,22.67,157.56,180.96,202.20,251.38, ,218.07,26.17,149.31,186.86,154.30,65.33,122.47,139.20, ,0.46,64.22,249.36,50.28,280.98,153.86,272.02,150.43,82.89,271.51,44.00,235.69,158.06,76.91,95.37,293.99,194.85,118.96,280.00,274.54,121.71,193.33, ,43.76,268.00,187.44,244.90, ,199.34,241.24,238.04,27.07,132.43
290.24, ,270.24,40.68,242.33,124.55, ,168.30,22.19,139.43,14.11,56.64,257.86, ,195.90, ,127.93,138.70,118.31,88.42, ,19.63, ,144.18, ,12.48,190.97,8.75,95.80, ,9.26,17.07,282.12,115.75,218.47,228.23,159.30,275.73, ,157.00,180.46,88.20,243.66,274.63, ,70.43,260.89,167.01,278.66,29.50,259.19,48.85,284.77, , ,12.97, ,232.38,191.84,13.75,299.74,87.91,58.81,202.33,35.70,117.15,209.79,144.02,260.41,142.53,235.50,181.53,220.53,296.66,134.49,247.86,298.78,75.67,204.47,196.09,158.28,124.99,224.80,225.84,0.44,53.77,171.40,111.80,49.21,204.30,118.87,17.92,187.94,175.24,71.60,32.57,84.57, ,9.37,223.79,127.01,248.35,163.56,174.76,232.86, , ,102.08, ,219.73,228.07, ,299.67,24.85,250.88,227.50,8.98,154.83,143.44,198.94,286.84
262.48,56.91,36.25,134.21,78.72,98.81,26.37, ,51.22,290.87, ,251.12,106.82,78.60,209.13, , ,51.24,115.66,42.00,267.14,22.65, , ,219.55,219.93,287.89,250.41,203.49,164.13,7.48,260.56,220.27,112.57,137.56,79.66,80.15,55.78, ,266.08,12.22,144.19,190.64,222.18,295.64,276.30,131.19,266.52,139.30,160.36,21.90,190.47,168.75,257.25,29.94,195.81,126.07,13.93,132.15,128.88,59.82,133.75,24.22,238.80,284.60,274.34, ,164.81,56.50,165.21, ,88.54,174.18,263.85, , ,124.21,223.81,165.40,75.03,157.82, ,142.42,27.48,0.75,56.89,294.37, ,126.39,9.16,225.25,188.67,69.02,216.78,196.91,50.38,271.80,285.78,50.61,52.43,99.52,256.42,239.10,242.07,189.17,66.06,224.25, , ,267.61,286.09,269.96,136.47,244.67,266.71,221.02,194.82,263.87, ,202.96,119.38
218.94,34.51,294.86,4.35,256.85,274.22,162.09,257.83,255.36,70.57,1.10,145.46,53.58,198.95,26.47,224.99,88.95,278.77,248.73,71.94,175.26,26.94,56.85, , ,64.86,262.86,1.49,87.59,105.03,11.61,4.87, ,93.82,55.69,144.84,249.57,214.07,77.36,52.58,92.64,127.00,27.66,5.91,280.54,241.01,72.59,271.95,149.43,205.30,243.40,243.93,100.55, ,177.91, , ,202.07,67.04,33.73,212.39,240.54,110.73,45.97, ,55.16,245.34,237.79,10.60,81.69,39.73,289.05,211.66,51.23,296.14,251.47,170.10,196.67,231.92,189.45,283.86,147.83,205.07,117.93,267.35,26.81,170.01,156.24, ,207.46,241.11,250.88,35.28,93.92,3.99,68.20,182.07,266.98,217.88,229.20,19.96,160.37,298.84,183.27,121.20,79.92, ,30.81,291.18, ,169.94,251.68,226.01,250.95,245.03,245.60,2.38,3.05,292.59,38.98,82.40
266.60, ,222.50,182.06,296.01,83.62,187.22,28.89, ,221.88,141.55,140.23,133.04, ,125.63,45.67,227.57,268.09,128.36,283.03,104.27,245.94,81.91,209.66,154.14,32.69,23.93,260.36,33.21,174.54,248.81,160.33,126.07,266.28,19.00,264.84,228.34,11.17,43.94, ,198.08,153.74,127.14,278.57,87.12,169.55,31.02,106.29,215.82,173.68,253.71, ,76.98,45.86,61.57,8.99,287.88,36.36,239.35,284.67,177.39,103.89,97.91,229.64, , ,178.99, ,1.97,195.03,160.67,114.86,292.17,238.36,33.85,43.72,229.12,1.52,81.96,93.92,54.50,85.09,278.21,36.89,179.61,33.47,215.09,290.75,145.81,11.64,173.56,3.78,33.43,98.69,130.16,91.01,291.84,103.51,240.90,250.23,72.31,160.80,132.02,194.67,80.66,157.49,261.67,56.91,166.57,110.50, ,201.51, ,77.60,10.11,125.31, ,197.62,299.82,76.06,79.69
232.03, ,186.25,72.67,242.77,98.76,235.98, ,117.38,32.38,197.14,227.60,189.90,101.52, ,177.58,89.92,273.11,142.87,23.58,102.52,154.77,19.61, ,274.39,235.30,10.43,57.64,289.92,63.24, ,73.48,178.35,200.50,239.32,10.82,258.90,229.24,14.63,204.43,223.23,298.20,122.98,287.64,120.56,124.25,72.44,181.03,61.14,102.25,124.90,263.35,226.43,197.48,141.43,3.96,214.46, ,37.45,282.30,253.36,222.71,289.93,46.40,181.58,42.97,252.84,145.38,82.47,234.13,179.40,27.49,250.50,238.73, ,221.03,115.82,9.11, ,129.56,69.16,155.52,193.18,268.18,145.01,76.53,74.18,115.16,200.00,131.33,53.61, ,140.01,198.29,90.80,278.68,95.89,273.91,183.00,176.20,227.28,298.10,1.03,121.58,154.04,234.04,240.84,52.55,37.43, ,128.22,208.64,73.47,220.52,81.47, ,3.03,84.55,236.48,255.17,188.29
245.29,101.99,50.15,266.98,105.38, ,82.96,162.41,4.06,137.92,85.73,88.56,80.16, ,165.74,10.33,154.08,176.36, ,226.50,108.74,216.00,229.89,111.29,155.39,175.23,200.88,288.93, ,69.09,229.03,124.01,288.86,194.99,234.17,91.72, ,105.80,151.18,259.75,127.98,77.82,108.45,264.17,268.14,166.47,169.95, ,109.32,149.38,255.37,41.05,128.34, ,89.13,188.57,0.20,164.03,19.77,56.72,69.86, ,236.33,94.81,243.42,127.78,208.43,176.36,130.23,136.02,93.83,171.68,173.94,6.74,208.00,8.67,49.08,116.80,105.66,23.03,115.74,141.90,233.95,273.65,22.95,47.29,283.41, ,157.35,266.23,15.20,117.97,294.53,23.94,257.16,2.97,51.29,148.14,87.74,49.12,189.35,199.21,142.20,265.61,225.38,108.84,177.28,147.72, ,171.66,35.47,154.72,158.50,189.86,96.24,283.08, ,141.86,251.72,265.54,283.60
149.17,131.51,19.26,198.27,150.89, ,258.09,174.75,213.25,50.55, ,33.63,66.46,105.01,159.55,235.52, ,84.69,92.99,254.86,9.41,223.10,185.46,264.16, ,177.41,48.34,245.68,144.54,257.46,30.33,20.11,260.16,50.53,74.57,150.62,171.08,69.89,88.51, ,148.72,72.08,297.22,219.23,103.52, ,53.07,153.65,227.55, ,278.08,129.34,160.19,10.83,46.02,151.75,136.00,245.98,274.02, ,193.25,270.57,59.02,86.33,96.81,26.48,291.96,280.91,196.25,142.54,3.06,111.24,219.88,246.15,85.72,295.02,211.73,103.59,289.24,183.42,203.80,237.63,245.95,27.47,175.58,101.68,253.89,178.80,24.63,1.74,14.29,89.32,262.36,196.77,82.84,37.65,290.09,182.39,193.81,78.24,79.87, ,33.75,126.82,117.47,209.27,266.05,17.14,168.39,88.84,292.90,157.64,159.11,161.93,26.72,173.39,151.65,44.13,146.15,92.93, 
2.20,88.77,208.58,76.62,69.67,111.54,54.25, ,187.16, , , ,66.33,176.43,54.12,265.79,154.76,47.78,120.85,65.19,117.38,148.07,38.42,125.74,50.69,279.82,116.49,28.47,203.69,2.47,266.73,182.88,197.67,278.45,67.21,47.95,185.44,71.64, ,197.39, ,120.93,210.00,190.05,120.25, ,122.73,110.10, , ,288.66,210.05,232.29,55.12,139.13, ,62.99,85.91,13.07,75.87,144.27,161.54,59.67,87.25,115.01,45.63,166.90,256.66,142.99,229.20, ,180.34,112.46,234.30, ,141.14,223.24,233.79,249.93, ,37.18, ,215.41,251.31,61.00,256.38,118.32,163.87,65.91,280.25,246.56,53.19,140.10,73.11,61.21,67.34,60.22,55.60,22.29,57.93,214.88, ,33.20,151.15,265.81,181.24,109.97,72.01,193.58,270.78,109.64,34.79,54.04,16.14,229.08,87.60,237.93,299.65,1.81,172.11,14.21
286.44,106.83,21.84,106.88,267.87, ,2.66,40.48,193.20,138.53,157.74, ,259.65,125.30, ,297.41,15.55,215.52,157.60,161.57,80.84,125.87,140.64,174.43,37.99,251.26,283.87,27.42,68.66,263.34,179.32,259.20,11.52,34.59,148.68,27.12,50.36,226.89,281.52,72.12,168.95,196.03,132.39,290.87,101.42,231.17,214.97,175.60,65.09,95.60,106.36,143.28, ,70.17,257.24,119.84, ,143.22,193.28,96.22,176.66,138.37,178.37,298.20,279.82,264.17,277.05,198.15, ,173.86,274.97,62.00,107.85,238.03,295.73,76.85,90.29,18.25,152.86,196.32,51.40,171.00,236.66, ,56.99,198.83,143.75,9.50,137.77,176.58, ,90.21,287.56,169.73,78.63,77.39,229.42,234.56,255.62,41.95,228.20,179.42,54.47,185.20,47.12,169.60,104.84,60.76,140.32,98.21,253.08,193.90,4.40,282.92,299.67,240.60, , ,103.57,29.36, 
76.49,152.70,90.76,2.77,252.85,281.38,186.34,65.70,161.38,51.75,193.83,61.99,12.22,225.27,211.37,285.39,199.97,229.86,250.62,173.90,165.88, ,52.22,140.96,173.64,172.81,228.95,57.02,261.65, ,263.94,189.96, ,89.93,68.12, ,0.74,241.52,109.85,218.84,157.75,295.75,212.71,121.81,47.80,123.79,148.38,137.23,37.07,128.28,43.60,162.56,163.51,210.97,120.87,95.47,169.71,171.49,82.01,244.55,165.76,116.64,156.07,52.48,229.36,17.64,89.71, ,253.22,228.26,105.16,22.05,227.79,255.27,195.27,254.76,114.34,141.73,179.16,180.97,24.95,89.93,151.44,15.20,254.42, ,59.59,53.28,229.33,98.64, ,47.22,86.90,217.38,290.05,24.22,168.84,232.75,47.08, ,62.29,183.33,220.07, ,273.35,236.63,184.93, ,232.15,288.61,287.84,83.77,241.47,253.21,187.53,37.73,140.89,160.55,105.76,267.13,53.96
49.69, ,225.85,170.50,84.18,284.14,47.98,242.89,21.73,190.30,271.26,74.60,22.56,177.04,65.96,157.14,39.79,57.72,146.56,261.94,192.44,232.17,14.60,243.19,108.60,270.04,295.50,151.14,143.47,121.23, ,278.37,58.06,86.53,175.93,285.63,207.20, ,147.63,213.90,282.64,224.31,102.36,297.34, ,140.81,59.09,299.95,79.04,66.83,81.70,180.32,49.42,299.05, ,245.36,25.96,24.66,180.69,170.08, ,107.94,62.19,69.07,204.50,120.14,13.67, , ,269.18,281.51,51.76,213.59,242.62,78.58,22.28,62.97,286.12, ,48.31, ,110.44, ,230.59,150.00,127.86,101.60,25.50,143.12,283.41,184.77,275.61,147.29,140.64,167.33, ,215.64, ,26.08, ,256.67,241.31,33.61,190.70, ,260.53,252.97,165.12,68.95, ,216.24,56.05,189.28,230.60,117.12,130.99,276.89,14.84,176.76, ,67.46
214.32,141.49,271.94,5.03,147.34,257.12,276.49,58.57,151.56,161.22,294.47,14.03,285.14,258.90,135.73,206.99, ,48.48,26.28,222.37,202.43,24.29,119.30,130.29,96.81,24.62,288.25, ,70.38,80.20, ,215.94,220.63,109.99,183.33,24.21,203.44,248.51,298.36,172.98,231.21,122.43,103.74,250.75,181.06,31.92,244.46,265.97,213.85,134.21,212.23,202.87, , ,43.40,219.19, ,150.40,34.50,289.90,56.98,26.23,273.54,232.25,202.54,135.24,231.55,190.74, ,6.41, ,49.81,205.86,170.51,152.34,162.50,50.18,83.87,207.28,12.99,278.80,236.88, , ,46.45,258.39,91.18,168.40,91.85,107.16,130.53, ,293.02,217.55, ,293.97,243.02,259.32,222.48,35.86,64.62,201.29,264.05,156.43,133.44,206.72,210.63, ,78.00,1.87,242.77,289.52,130.51,21.87,218.95,88.20,282.68,236.75,134.57,162.13,62.66
173.74, ,210.98,99.04,205.25, ,92.74, ,223.25,268.44,299.53,63.79,169.19,271.75,68.87,37.02,263.63,209.62,168.46,170.27,61.85,62.09,168.26, ,91.51, ,67.10,47.39,261.29,65.18,91.46,134.01,169.93, ,79.56,144.36,234.80,262.01,173.96,178.57,100.32,246.92,37.18,8.59, ,225.16,67.56,67.29,145.10,299.20,16.78,265.36,298.53,178.96, ,86.84,271.34,157.50,148.37,91.48,62.74,82.12,293.56,63.27,243.85,194.33, ,258.06,234.22,107.44,265.44,200.01,29.96,10.36,235.53,39.70,267.77,174.61,259.26,27.01,217.21,48.73,44.78,12.27,263.38,92.17,178.33,81.67,79.34,156.51, ,196.22,264.82, ,228.57,255.35,275.58,283.09,154.62,31.09,6.86,286.60,223.29,91.20, ,170.54,229.74, ,125.96,58.87,274.77, ,230.12,84.65,226.11,257.29,140.05,260.83,110.78,57.81, 
62.77,21.59,278.69,253.79,199.79,92.53,0.10,104.68,286.24,169.22,164.65, ,288.83,69.75,143.87,75.32,190.33,16.51,102.95,3.88,123.31,0.12,16.64,102.56,187.95,128.97,174.57,218.38,36.18,263.00,115.70,174.97,162.58,56.11,114.99,173.12,76.53,236.17,74.95,52.92,48.65,246.05,134.05,86.61,152.56,50.29,87.93,274.29,116.75,216.05,90.39,170.04,262.41,260.09,144.94, ,193.59,246.32, ,110.75,199.18,253.03,231.58,174.74,291.48,236.27,223.23,296.69,193.59,199.48,296.46, ,296.73,61.57,54.82,53.81,289.70,211.27,248.71,113.91,243.72,90.85,28.63, ,121.90,107.04,164.79,65.81,100.23,93.04,58.65,97.09,173.26,228.16,62.92, , ,124.11,8.35,60.38,123.29,136.97,203.66, ,269.47,134.05,126.27, ,9.84,48.83,88.64,295.53,157.39,69.06,253.62, ,14.00,80.15,40.25,99.94,44.30
75.24,42.70,55.69, ,30.11,94.45,100.46,270.31,11.85,239.35,116.78,279.48,276.35,60.31,275.70,31.12,177.57,87.81,265.16,290.44,285.92,114.02,174.86,44.23,123.70,152.19,179.78,260.55,7.43,142.95,123.19,28.24,83.55,79.84,278.50,43.98,155.16,50.79, , ,216.73,78.60,6.51,200.59,114.51,287.91,191.16,131.54,111.85,35.46,263.80,261.96,278.37,165.77, ,108.09,63.86,202.78,180.62,33.37, ,241.39,233.13,246.68,51.96,279.76,250.23,101.36,251.33,29.31,108.89,225.18,240.30,135.85,279.91,106.44, ,47.84,205.80,209.84,232.35,250.23,218.61,121.12,145.11,160.10, ,36.54,242.82,286.68,49.91,75.68,94.16,204.19,254.15,267.16,16.93,174.86, ,68.64,284.94,58.66,175.96,181.58,11.23,50.03,208.33,165.57,110.77,268.88,168.07,135.25,70.39,267.56,224.94,264.89,249.95,54.92,91.96,189.27,94.92
 ,3.25,58.65, ,272.57,234.78,90.28,233.35,140.82,267.76,237.10,275.65,256.20,12.96,267.07,151.35,141.52,65.23,103.08,164.12,169.98,216.30,168.92,120.93,50.54,75.51,21.33,174.69,81.72,25.69,89.88,110.78,221.47,28.84,9.17,100.21,291.85, ,160.77,260.33,216.69,246.03,70.36,79.02,78.91,73.58, ,250.63,287.95,114.48,196.66,209.74,2.79,13.37,62.36,102.53,96.21,178.90,221.91,79.57,255.00,43.38,102.79,21.17,166.10,107.53,259.29, ,262.08,72.99,281.22,206.81,48.72,93.00,280.26,128.83,224.08,293.43,277.85,27.94,153.54,176.13,122.88,275.92,112.26,189.24,1.42,7.57,154.40,99.40,69.65, ,293.73,78.16, ,65.60,149.75,192.04, ,14.92,111.36,31.53,289.12,161.69,132.57,239.57,11.24,2.79,158.97,42.77,297.03,2.72, ,221.86,299.54,232.44, ,32.33,28.92,75.33,106.62
