Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94
8,77,56,13,11,10,17,89,96,23,7,3,0,91,95,89,37,92,67,94,2,29,28,94,56,70,83, , ,71,56,4,71,13,36,70,60,35,93,8,89,5, ,89,58,5,30,85,45,91, ,72,95, , ,22,95,36,95,44,32,83,84,36,49,3,4,41,93,10,67,96,64,47,75,84,69,13,31,11,64,58,27,46,36,69,90,67,98,14,6,82,66,29
47,78,56,80, ,27,72,75,76,43,39,45,64,96,11,70,40,88,68,32,62,58,45,11,74,53,13,28,44,18,18,66,0,10, ,43,43,80,50,90,88,25,59,32,70,55,76,92,44,46,28,34,94,49,28,16,86,20,67,83,10,64, , ,23,4,40,59,3,89, ,17, ,35,57,25,9,63,48,7,84,60,0,20,75,14,78,82, ,17,85,78, ,87
 ,36,10,85,28,41,94,4,16,97,51,56,22,41,51,87, ,24, , ,11,21,18,79,54,36,95,75,21,88,85,14,76,36,65,93,50,62,64,89,39,43,91, ,12,89,49,90,54,95,96,48,18,35, ,76,46,3,52,9,7,43,21,73,76,75, ,44, ,62,8,69,27,2, ,54,15,33,52,9,90,50,65,94,60,73,77,72,51,65,94, ,9, 
97, ,7,50, ,45,86,73,8,50,70,49,11,5, ,14,64,13, ,21,67,6,81,53,40,2,48,14,94,12,32, ,47, ,61,89,57,1, ,82,24,97, ,88,12,32,28,7,92,8, ,70,84,18,54,12,39,75,24,24,28,92,56,43,30,26,60,94,50, , ,96,41,37,71,32,21,24,97,51,98,6,15, ,10,72,99,19,19,36,26,69,19,47
27,84,28,74,82,76, ,49,52,36,46,87,18,52,4,90,10,22,47,54,72,77,49,81,52, ,98,42,28,34,32,61, ,80,7,83,29,57,20,32,9,19,84,5,58,0,65,90,45,29,99, ,28,71,88,67,88, ,51,39, ,97,4,56,17,67,21, ,34,16,7,91,19,74,90,10,82,27,18, ,40,21, ,43, ,78,63,71,72,33, , ,44,16
40,1,49,42,26, ,85,28,86,96,64,40,44, ,50,11,12,98,65, , ,39,72, ,81,13,59,36,20,46,71,15,12,21,80,30,4,68,11,80, ,94,32,96,24,4,44,4,18,76,67,13,16,64,63,96,44,17,94,34,87, ,32,11,61,63, ,75,61,11,7, ,3,41,48, ,62,6,91,82, ,69,22,41,8,49,11,6, ,10,15,66,92,86
80,13,12,32,60,50,73,97,63,79,47, ,62,34,86, ,85, ,98,72,40,97,31,79,44,46,32,65,63,16,23,63,89,66,15,25,19,61,69,34,94,30,77,50,23,39,70, ,60,19,26,73,77,43,65,64,80,9,22,58,29, ,76,6, ,17,4,7,26,75, ,41,78,35, ,43,35,9, ,13,22,71,37,82,28,7, ,77, ,32,96,31,11,62
87,40,69,19, ,57,23,91,45,19,33,55,92,71,35,81,36,88, ,51,20,13,15,74,97, ,19,14,52,98,26,72,82,16,46,22,15,16,30,72, ,51,85,62,16, , , , ,13,73,19,68,67,30,88,13,2,22,90,18, ,35,26, ,18,19,11, ,80,5,84,40,1,16,20,34,89,97, ,24,25,89,35,83,82,79,21,75,69, ,14,22,21
36,37,43,70,27,21,97,11,74,55,22,11,42,88,74, ,10,14,72,25,80,80,38, ,73,68,91,19,85,28,28,84,13,21,86,95,53,25, , ,84,51, , , ,96,28,75, ,78,93,0,61,88,31,92,5,58,14,42,52,86,14,74,32,4,45,39,91,64,70, ,75,37,37,7,99,14,7,72,91,28,71,57,24,42,55,26,23,96,10,89,97,8
62,29,7, ,79,29,15,0,70,89, ,53,83,2,74, ,83,39,33,73,66,82,9,11,61,10,84,5,17,84,45,66,87,94,0,12,19,62,93,40,57,7,83,24,82,90,92,56,62,1,18,29, ,92,3,7, ,57,65,78,40,98,88,87,71,95,13, ,42, ,34, ,1,58,84,90, ,80,63,97,69, ,41,93,48, ,91,97,77,27,55,88,43,81
79,3,97,62,13, ,27,95,37,26,32,91,78,25,88, ,12,84,96,88,77,57,30,61,41, ,5, ,96,86,11,28,83,70,56,49, ,26,83, ,87,36,70, ,19,30,17,16,99,45, ,12,6,43,88,16, ,4, ,33, ,67,58,28,69,37,12,10,95,57, ,90, , ,26,10,16,65,10,1,18,78,14,75,57,93,84,17,97,81,71, ,87,51
46, ,55,9,21,81,21,24,5,66, ,63,64, ,56,42, ,73,64,93, ,27,39,41,47,76, ,42,58, ,22,14,67,71,31,56,3,51,24,39,52,32,40,71,65,75,73,68,48, ,79,89,52,68,93,23,11,92,50,11,65,42,62,22,81,36,11,76,95,47, ,70,15,40,31,66, , ,40,19,82,54,59,56,91,80,67,40,16,19,11,96,48,35
61,61,76,88, ,44,21,0,32,98,85,89,66,38,88,80,0,38, ,54,47,77,6,69,73,64,24,33,85,5,62,11, ,46,90,32,5,0, ,42,89, ,53,5,92,58,77,28,2,69,46,6,83,97,85,26,12,9,1,39, ,98,65,89, ,58,39,18, ,1,82,44,12,17,82,55,23,86,10, ,99,1, ,40,17,47,45,5,34,61,71,36,42,76
80,80,86, ,44, ,6,19,56,84,53, ,15,50,7,3,54,48, ,39,34,72,63,91,33,47, ,1,88,8,78,17,83,13, ,25,42,1,14,93,49,54,44,99, ,16,92,6,76,83,21,15,39,94,89,47,9,49,19,6,66,91,18,69,89,83,50,3,74,44,58,59,66,74,23,87,4,49,78, ,67,0,22,81,74,57,37,98,15,79,31,89,65,70
48,4,62,93, ,75,78,54,92,15,19,76,55,11,3,47,29,95,99,39, , ,81, ,36,61,16,60,35,96,94,76,20,5,62,56,90,66,22,74,50,0,94,8,43,3,77,13,47,55,69, ,59,39,76,39,40, ,7,96,98,19,77,81, ,28,49, ,61,38,49,90, ,26,17,87,60,85,22,77,68,13,77,36,24,94,96,30, , ,15,20,45,5
 ,27,57,87,60,2,20,47,53,64,16,93, ,51,17,73, ,53,46,97,36, ,39,39,27, ,14,3,71,4,48,5,71,74,78,36,55,33,12,13,41,62,91,86,62, ,10,56,59,30,62,21,7,72,7,94,27,80,6,70,7, ,18,76,9, ,94,57,62,10, ,17,40,49,15,61,3,68,51,14,61,89,18,24,76,44,35, ,75,82,12, ,73,23
83,29,3,22,57,6,75,71,95,81,82,11,90,5,46,6,3,28,25,0,91,65,89,86,43,13,46,40,50,0,74,26,42,85,6,51,92,65,53,66,19,24,3,2,10,51,10,64,34,20,35,38,87,9,55,38,55, ,59,43, ,46,23,45, ,79,29,72,58,89,8,18,68,39,34,57,13,25,19,25, ,5,22, ,23,15,47,42,8,58,42,47,72, 
97,15, ,21,73,94,82,83,30, ,72,30,55,25,26,21,21,30,98,59,72,65,7,55,13,26,81,69,35,85,21,49,25,80,79, , ,64,23,43,75,64,43,58,82,8,55,74,72,86,24,92,17,80,27,18,81,5,28,37,58,79,74,19,54, ,78,92,88,77,77,47,83,86,58, ,69,90,24,2,12, ,12, ,5,9,10,31,85,95,99,74,48,60
93,3,28,53,28,98,21,88,45,44,32,46,44,83,65,31,28,54,49,34,96,11,39,49,19, ,52,61,78,68,47,2,40,60,86,31,64,75,3,31,94,4,59,32,48,8,12,2,46,49,31,97,44,78, ,9,42, , ,94,21,56,40, , ,55,97,35,50, ,46,0,8,34,90,86,63,1,50,34,58,58,82,80, ,96,75, , ,65,34,80, ,60
91,60,85,44,80,88,81,77,65,85,60,87,19,30,96,88, ,49,37,74,26,70,59,67,5,55,46,16,60,26,11,71,68,28,66,88,80, ,40,50,5,65,82,49,66,5,75,21,90,4,10,85, , ,86,44, ,50,4,55,32, ,97,28,60,48,93,48,59,7,78,76,31,73,20,60, ,94,87,37,94,8,81,93,19,93,6,43,18,3,79,82,50, 
 ,10,98,45,50,67,12, ,5,77,98,11,11,36,17,23,67,5,59,71,61,33,11,77,74,10,63, ,74,65,73,69,80,73,90,77,45,89,87,30,83,15,49,85,94,70,64,36,70,51,94,16,4,92,15,96,8,54,49,80,92,11,90, ,60, ,21,81,92,43,77,7,57,85,73,53,78,4,3,38,55,58,48,14,26,26,16,78,50,87,0,77,86,69
 ,7,31,54,52, ,94, ,20,97,5,5,59, ,0,49,87,77,26,96,27,83,27,44,98,6,76, ,47,88,39,66,82,4,12,42,4,25,75, ,83,42,55,68, ,7,84,97,73,37,26,54,91,17,85,20,76,0,77, ,91,41, ,88,23,71,39,9,66,52,19,75,96, ,96,38,52, ,94,74,15,43,58,84,76,69,34,68, ,64,90,80,77,58
27,55,99,53,11,70,12,50,56,10,67,29, ,9,12,45,69,48, , ,32,14,85,80,44,63, ,29,7,9,68,56,41,80,98,99,92,14,98,41,53,68,97,89,57,49,95,36,55,7,76,55,20,29,79,25,35,70,92,38,58,75,93,91,29,3, ,58,26, ,45,74,40,64, ,56,80, ,67,84,94,9,74,29,70,6,7,6, ,47,86,34,30,49
83,45,26,53,95,79, ,83,36,33,73,90,41,0,79,34,99,86,92,97,3,21, ,5, ,96,81,49,36,21,75,54,42,75, ,68,95,40,32,61,79,34,82,23,42,76,89, ,98,87,50,42,80,27,86,1,27,58, ,64, ,6,15, ,93,27,7,65, ,52,98,12,27,8,15, ,99,81,37,53,48,43,61,78,43,79,21,28,87, ,42,81, ,13
95, ,48, ,95,25,68,83,26,28,22,52,97,52,48,12,32,12,56,82,5,9,10,86,55,83,70,87, ,40,52, ,14,44, ,1,40,20,62,57,82,10,78,67,75,18, ,71,97,33,14,43,31,50,58,37,28,24,9,93,87,43,91,11,2, , ,36,46,70,48,43,43,16,97,79,51, ,95,12,81,12,32,64,75,78,80,16,51,82,86,98,60,98
 ,11,17,79,45,8,84,31,22,74,90,71, ,81,28,74,98,38,28, ,72, ,81,38,81,46,71,11,7, ,88,14,5,29,80, ,31,17,93,79,23,27,82,5,33,16,1,33, ,75,69,57,87,31, ,31,21,57,24,47,34,42,0,98,76,9,21,96,52,67,84,65, ,23,77,1,98,49,83,47,70,27,20,6,44,22,84,77,74,43,64,58,27,11
0,28,58,80,47,33,86,4,77,60,83,2,49,10,68,88,80,39,72,17,5,12,6,63,99,35,29,30,98,56,62, ,43,75,33,99,0,66,57,56,83,75,10,97, ,38,79,89,45,90,84,28,85,4,35, , ,72,52,27,37,78,62,77,72, ,63,87, , ,25,33,59,30,12,94,18,48,71,91,65,24,30,93,90,67,10,68,43,73,26,21,25,99
44,28,62,96,15,10,76,41,44,35,71,56,30,89,5,1,81,70,25,11,63,16,79,74,85,22,47,12,43,73,11,88,2,74,84,17,85,60,58,29,96,29,86,26,19,91,28,1,61,54,12,25,70,91,0,55,14,48,67,58,21,79,46,23,53,30,41,38,91,0,68,87,30,54,14,50,46,42,51,8,97,64,34,67,56,34,23,70,82,91,28,4,70,74
28,24,5,70,63,96,70,31,84,1,86,98,51,33,41,3,41,38,67,75,5,23,10,29,94,93,20,23,97,90,98,26,15,3,96,78,0,67,10,84,68,96,83,20,30,24,23,71,62,91,47,68,15,57,97,9,50,18,33,47,9,31,74,24,35,70,2,35,37,13,20,6,10,3,26,40,27,49,11,90,41,58,58,56,16,56,66,66,75,99,14,84,31,88
8,66,58,11,1,96,25,21,2,35,24,28,75,52,78,86,42,19,45,1,76,61,57,42,27,32,42,42,17,73,30,26,39,89,38,41,85,63,62,87,98,87,16,73,40,94,60,82,14,5,83,90,67,41,33,95,74,75,37,92,48,68,18,87,57,56,28,42,19,91,30,17,79,46,91,20,41,51,2,56,57,86,46,24,28,79,19,3,55,57,95,3,25,14
